	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_11	Gad2_tdTpositive_cell_13	Gad2_tdTpositive_cell_74	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_33	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_37	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_76	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12
Eif1ad	0.0	0.0	0.0	21.59	0.0	55.15	154.84	0.0	0.24	16.95	123.1	0.0	82.29	14.55	29.1	17.82	82.81	49.07	22.03	95.32	0.0	117.28	37.17	38.71	52.73	36.26	76.7	0.0	152.78	55.62	22.55	43.49	27.03	168.57	79.73	28.81	49.83	5.36	127.62	100.31	77.88	51.15	52.06	76.32	42.61	93.04	41.13	50.55	27.26	73.2	85.15	89.29	41.06	23.29	62.44	0.0	0.0
Elp3	4.34	0.0	0.0	1.5	29.0	0.0	234.53	0.22	0.0	0.0	10.35	0.0	36.04	25.02	24.08	137.18	43.09	130.48	66.57	81.78	41.38	82.33	1.62	10.91	84.12	198.81	78.05	0.0	42.61	40.65	153.41	99.44	80.76	107.5	69.88	38.71	89.85	0.47	70.47	98.76	68.28	1.31	44.82	96.72	36.23	38.52	21.63	0.96	52.48	121.54	18.73	53.59	123.79	0.21	0.0	0.13	0.0
Epm2aip1	0.18	0.19	0.21	0.28	12.99	118.47	78.42	0.14	0.18	0.0	16.15	0.83	30.11	17.42	0.27	73.27	47.82	15.72	1.26	16.66	20.87	41.15	80.13	1.09	32.16	31.79	5.9	1.81	34.66	22.67	17.15	22.64	21.94	20.47	23.03	18.82	41.05	64.91	26.92	52.29	57.37	16.54	51.64	95.52	2.64	103.25	5.9	40.92	22.27	15.13	68.04	65.31	79.48	5.98	1.6	1.09	0.27
Gm14430	0.0	0.0	0.0	12.2	0.04	0.32	7.02	0.0	0.0	0.0	3.32	0.0	31.03	0.0	14.72	1.87	10.3	6.05	13.5	14.04	0.0	13.46	12.83	3.07	2.82	11.03	16.3	10.87	18.55	13.57	4.08	11.25	0.32	0.54	11.45	8.34	9.58	28.79	31.83	13.98	26.82	8.31	17.65	13.81	18.59	20.22	40.89	23.53	11.12	13.13	30.75	25.3	15.88	2.38	0.24	0.0	0.0
Gm14434	0.0	0.0	0.0	12.2	0.04	0.32	7.02	0.0	0.0	0.0	3.32	0.0	31.03	0.0	14.72	1.87	10.3	6.05	13.5	14.04	0.0	13.46	12.83	3.07	2.82	11.03	16.3	10.87	18.55	13.57	4.08	11.25	0.32	0.54	11.45	8.34	9.58	28.79	31.83	13.98	26.82	8.31	17.65	13.81	18.59	20.22	40.89	23.53	11.12	13.13	30.75	25.3	15.88	2.38	0.24	0.0	0.0
Gm4724	0.0	0.0	0.0	12.2	0.04	0.32	7.02	0.0	0.0	0.0	3.32	0.0	31.03	0.0	14.72	1.87	10.3	6.05	13.5	14.04	0.0	13.46	12.83	3.07	2.82	11.03	16.3	10.87	18.55	13.57	4.08	11.25	0.32	0.54	11.45	8.34	9.58	28.79	31.83	13.98	26.82	8.31	17.65	13.81	18.59	20.22	40.89	23.53	11.12	13.13	30.75	25.3	15.88	2.38	0.24	0.0	0.0
Itpr1	0.0	0.0	0.0	22.75	0.0	0.76	22.99	0.0	0.0	0.0	26.38	0.18	27.24	0.02	18.25	36.03	84.64	32.52	32.34	16.52	1.27	56.97	57.7	89.6	52.94	22.88	19.41	14.86	38.85	8.03	23.9	48.77	52.66	11.4	25.91	29.95	1.98	28.3	29.75	41.95	23.59	37.87	60.57	50.83	37.18	91.46	28.88	30.17	44.84	40.54	18.76	74.95	43.96	29.32	0.04	0.07	0.0
Kctd17	0.0	0.32	0.0	0.39	0.0	0.0	79.79	0.0	0.0	0.0	106.14	2.7	55.86	2.41	26.53	169.03	142.76	187.75	23.12	4.25	1.03	28.08	142.39	9.61	89.97	53.29	75.39	82.61	23.68	67.26	3.43	52.46	15.81	10.79	17.04	8.46	31.73	265.45	278.21	8.29	26.25	75.28	247.88	22.76	69.72	47.68	86.79	5.33	79.82	110.25	45.51	106.37	68.75	0.0	0.0	0.0	0.0
Ldhb	7486.96	8970.97	5274.92	7241.68	5855.34	8204.16	8550.52	3693.02	5876.73	5600.23	8752.31	6399.01	8798.32	10118.08	10894.4	8892.3	8583.06	9220.91	9343.6	8808.99	6372.23	10165.1	9602.81	11261.44	8285.69	10004.69	7259.91	8757.21	9074.03	13571.31	12546.17	9106.97	9755.78	11010.48	7686.04	10182.84	7057.76	7891.81	7551.43	7750.55	7070.46	7124.4	7739.08	9082.37	7352.41	7441.82	7928.56	7910.47	7844.79	6796.56	8351.44	7830.1	8111.86	11746.38	5217.81	5873.38	5577.5
Lrrfip1	0.0	0.0	4.76	1.71	1.68	4.13	5.96	0.0	0.0	0.0	29.9	0.0	39.38	9.64	16.9	33.55	23.44	56.54	36.01	7.02	70.2	26.6	44.27	11.34	10.3	74.34	29.07	20.19	71.87	7.73	41.28	65.86	28.78	51.8	11.12	30.87	126.09	110.01	129.74	69.99	32.01	44.72	66.68	64.78	18.67	181.08	67.47	25.75	11.84	111.6	45.56	80.97	117.48	63.38	0.0	0.88	0.0
Mrps7	423.1	0.0	0.0	14.1	58.56	0.0	168.46	0.0	0.0	0.0	128.39	19.88	28.86	46.19	90.14	42.86	84.18	105.09	62.94	16.06	98.72	47.67	265.49	154.22	124.69	76.88	35.28	0.0	39.8	37.8	175.83	57.03	6.73	32.51	0.0	59.02	32.65	207.2	220.88	40.41	74.34	0.86	55.04	39.85	1.14	113.61	75.51	114.71	171.66	29.43	115.39	91.28	91.31	61.29	0.96	0.29	0.0
Nacc2	5.21	0.68	0.5	0.28	0.0	37.19	61.75	0.09	0.88	0.53	41.32	0.0	39.04	36.86	26.61	47.78	64.47	15.05	43.19	65.76	31.06	47.35	41.17	22.86	68.07	63.42	18.33	34.21	15.49	75.82	45.2	54.54	41.02	0.53	20.38	31.4	46.53	58.09	48.33	33.37	80.77	114.26	49.97	67.16	80.22	34.78	105.09	60.79	22.76	7.55	41.19	76.32	84.6	25.37	5.71	3.07	0.06
Nbea	0.04	3.28	0.0	15.49	0.0	19.33	45.3	0.0	0.02	0.0	13.45	0.11	19.92	5.89	5.39	27.06	7.38	6.94	8.84	12.26	0.36	47.25	41.63	18.0	24.54	22.85	28.28	21.56	16.53	9.35	8.29	20.07	16.66	23.83	20.77	14.05	17.24	16.44	28.44	23.25	13.49	16.08	47.19	11.31	26.49	6.48	46.26	16.82	58.85	32.4	19.61	14.75	61.78	10.9	0.04	0.17	0.0
Pacsin2	0.0	0.0	0.69	2.16	44.09	451.87	228.76	0.17	0.15	0.0	59.53	0.0	184.71	18.96	105.98	108.62	89.93	187.82	70.21	69.44	64.97	150.48	99.79	102.31	80.66	40.63	153.3	149.37	210.19	45.57	195.46	288.84	125.45	107.33	77.17	74.11	152.43	68.99	175.35	82.46	208.93	67.63	197.02	151.89	169.65	258.55	74.05	238.75	168.65	162.78	83.02	170.66	118.79	69.84	0.12	0.3	0.0
Ppm1l	0.0	0.0	0.0	61.86	2.0	0.0	121.41	0.0	0.0	0.0	0.0	0.0	55.25	0.06	19.21	0.0	31.96	23.42	8.59	4.2	30.49	42.09	66.14	7.77	1.59	38.31	2.28	25.26	62.16	21.99	0.1	34.72	86.54	24.64	11.58	44.04	11.94	0.0	55.27	12.9	36.11	7.7	7.37	45.47	56.68	28.12	37.31	18.94	56.91	48.87	5.01	36.02	106.05	30.69	0.0	0.09	0.0
Prkce	0.0	0.89	0.0	41.25	32.74	4.89	108.56	0.19	0.04	0.0	38.63	0.38	57.2	2.92	36.24	55.14	45.32	28.08	26.82	66.56	38.51	24.63	36.28	37.4	55.61	69.04	39.06	15.93	31.97	12.17	15.45	29.69	28.57	34.59	24.9	27.51	89.17	76.21	84.99	32.04	42.96	25.54	82.26	39.5	103.09	17.14	92.7	51.44	39.46	87.55	37.85	58.8	81.95	31.32	0.29	0.21	0.39
Pvalb	0.0	0.0	0.0	1881.16	211.09	207.61	2914.72	0.0	0.0	0.0	3332.67	0.0	1987.37	1319.97	2144.98	1711.38	1292.73	1590.34	1199.86	1414.35	825.97	1316.24	1724.33	1740.57	1202.67	1769.21	841.9	1277.26	1815.89	1408.27	1731.8	1698.2	1974.07	1295.74	994.82	1914.29	1510.65	2248.99	1223.54	760.46	1555.2	1457.87	1909.51	1681.17	1086.73	1693.91	2567.22	1689.22	1415.72	1388.14	1830.01	1823.48	1749.01	3516.69	0.0	0.43	0.0
Rasgrf1	0.0	0.12	0.0	0.0	0.06	126.06	387.46	0.0	0.0	0.48	200.51	1.66	176.7	48.51	84.4	94.14	141.19	150.39	149.1	210.55	0.0	132.91	134.57	95.81	209.4	285.82	0.0	134.29	60.38	215.72	226.45	0.09	346.31	140.98	159.24	141.74	298.57	280.07	177.69	167.43	157.43	140.14	215.83	229.42	230.01	89.01	188.54	31.82	330.4	236.57	169.97	281.59	298.49	107.24	2.25	1.21	0.0
Rbfox1	0.0	2.08	0.0	34.21	63.53	57.44	147.61	0.0	0.13	0.04	88.81	1.29	111.53	125.14	91.05	160.2	222.62	254.3	171.68	77.38	63.84	73.23	101.8	100.93	78.99	141.49	68.53	107.11	53.76	54.96	122.22	157.32	131.12	66.71	119.62	74.89	137.09	166.55	189.29	139.53	145.2	119.05	208.61	96.1	126.58	190.15	122.34	100.83	162.06	143.94	120.05	141.51	114.5	190.51	0.2	1.14	0.0
Setd7	0.0	0.07	0.0	5.71	1.07	0.0	0.0	0.0	0.04	0.0	0.56	0.09	10.65	4.7	15.58	5.79	25.76	17.8	12.95	8.89	0.75	5.92	11.81	16.36	12.42	13.56	9.15	0.64	14.96	6.71	8.29	24.67	13.03	0.33	3.84	9.27	3.32	30.11	24.23	18.54	2.58	37.66	29.35	24.09	3.61	9.34	17.22	9.48	19.58	7.66	26.43	44.37	14.25	2.81	0.0	0.25	0.0
Slc24a2	0.0	78.59	0.0	176.49	88.61	25.71	420.49	0.0	0.0	0.0	155.95	0.28	172.15	170.46	264.55	263.46	205.99	257.24	244.33	203.59	162.34	283.6	223.98	341.43	159.47	304.97	190.12	127.86	202.85	214.57	191.88	226.68	170.1	161.6	274.46	247.62	204.79	309.39	237.88	168.29	213.38	238.38	302.93	190.94	301.69	265.4	242.35	409.04	317.36	276.76	356.83	293.84	263.01	269.92	0.31	0.48	0.0
Slc4a8	0.0	0.02	0.0	7.15	0.22	0.0	7.39	0.0	0.0	0.0	5.74	0.0	0.99	0.35	9.37	2.06	10.2	1.05	0.86	1.11	2.33	8.29	20.24	1.43	1.75	2.46	2.35	0.28	2.09	1.85	4.06	6.94	5.56	0.41	0.0	0.19	14.7	6.57	9.77	0.32	2.63	2.76	23.94	20.02	0.58	20.82	0.29	6.66	1.49	16.24	6.95	10.36	10.36	0.91	0.0	0.06	0.0
Snord116	0.0	0.0	0.0	2.83	0.0	0.0	5.72	0.0	0.0	0.0	7.69	0.0	0.0	0.0	8.69	13.81	7.55	0.0	10.13	0.0	0.0	0.0	8.33	3.39	4.84	5.67	4.54	3.11	13.15	7.64	3.68	3.4	3.94	9.68	4.05	0.0	11.12	0.0	14.45	0.0	0.0	3.43	0.0	13.5	3.36	10.44	10.52	7.07	11.1	11.17	17.03	0.0	12.73	1.69	0.0	0.0	0.0
Snord116l1	0.0	0.0	0.0	2.83	0.0	0.0	5.72	0.0	0.0	0.0	7.69	0.0	0.0	0.0	8.69	13.81	7.55	0.0	10.13	0.0	0.0	0.0	8.33	3.39	4.84	5.67	4.54	3.11	13.15	7.64	3.68	3.4	3.94	9.68	4.05	0.0	11.12	0.0	14.45	0.0	0.0	3.43	0.0	13.5	3.36	10.44	10.52	7.07	11.1	11.17	17.03	0.0	12.73	1.69	0.0	0.0	0.0
Snord116l2	0.0	0.0	0.0	2.83	0.0	0.0	5.72	0.0	0.0	0.0	7.69	0.0	0.0	0.0	8.69	13.81	7.55	0.0	10.13	0.0	0.0	0.0	8.33	3.39	4.84	5.67	4.54	3.11	13.15	7.64	3.68	3.4	3.94	9.68	4.05	0.0	11.12	0.0	14.45	0.0	0.0	3.43	0.0	13.5	3.36	10.44	10.52	7.07	11.1	11.17	17.03	0.0	12.73	1.69	0.0	0.0	0.0
Ssx2ip	0.0	0.0	0.0	0.0	0.0	0.0	47.86	0.0	0.0	0.0	20.9	0.87	61.26	27.77	11.65	69.2	0.0	35.0	19.49	0.0	37.71	34.21	71.96	10.15	3.04	50.55	0.0	15.55	15.98	25.85	6.15	0.0	4.42	9.38	31.77	0.0	43.07	13.52	70.9	33.84	81.02	71.34	43.1	0.0	42.89	21.4	0.0	12.71	0.0	19.32	7.53	57.19	6.34	0.11	0.12	0.0	0.0
Trank1	0.0	0.0	0.0	1.39	0.0	1.33	17.3	0.0	0.0	0.09	7.65	0.11	7.21	0.02	19.45	11.58	7.08	2.81	2.59	1.04	1.49	3.89	0.47	12.56	4.66	3.93	4.61	0.19	8.23	1.2	11.31	5.57	13.4	0.2	10.17	17.08	12.08	14.84	10.37	10.61	13.71	13.04	7.71	16.45	22.74	14.82	14.81	37.05	49.43	9.85	21.24	28.88	4.49	2.55	0.0	0.1	0.0
Trappc6b	285.77	0.2	0.0	0.25	0.0	0.0	159.94	0.0	0.0	28.37	75.44	0.49	55.71	27.51	7.42	107.65	103.98	91.77	82.1	29.83	50.25	153.37	98.97	10.36	0.0	80.54	35.69	6.43	43.26	34.99	18.32	63.69	18.87	12.78	22.67	30.55	39.52	0.0	159.02	126.71	53.91	79.81	0.0	69.68	59.32	25.52	24.61	60.68	58.19	141.63	29.28	55.67	96.86	61.31	0.0	0.0	0.0
Ttll7	0.0	0.0	0.0	31.2	36.72	0.5	19.05	0.0	0.0	0.0	25.65	0.1	66.25	4.46	20.16	58.66	51.67	48.32	86.13	27.48	25.33	87.84	34.62	59.92	119.75	26.08	53.48	5.89	44.25	49.81	71.31	53.56	34.36	76.78	13.76	18.59	67.85	62.63	130.69	27.37	123.52	19.33	71.08	85.59	11.2	88.68	143.76	99.31	145.02	26.31	138.23	67.4	73.55	34.98	0.2	0.18	0.0
Ubr3	0.0	0.3	0.0	32.33	3.18	1.42	63.71	0.0	0.0	0.0	8.2	0.07	25.85	2.05	3.27	35.29	15.64	53.68	49.36	4.95	8.58	31.45	20.01	0.14	15.8	11.39	15.46	20.25	18.08	24.79	21.16	16.19	18.55	31.97	28.58	27.59	51.15	26.35	25.68	34.04	50.43	47.31	94.8	41.51	95.17	31.99	4.5	1.52	37.8	11.05	43.56	22.25	26.33	11.72	2.58	0.09	0.0
Unc13a	0.0	1.71	0.17	2.52	0.7	2.7	1.79	0.0	0.0	0.0	5.4	0.0	7.27	1.17	4.08	8.49	2.27	2.45	1.55	2.32	1.38	4.59	7.73	1.02	9.9	3.23	3.22	2.79	2.66	3.02	1.97	2.18	4.05	7.28	2.39	2.69	3.47	5.41	5.1	7.49	7.43	4.15	14.86	17.44	4.01	8.39	1.65	4.41	2.12	5.68	10.6	10.28	5.72	1.86	0.05	0.18	0.0
Usp9x	0.0	43.09	0.04	13.7	14.51	3.97	156.95	7.9	0.0	0.0	13.0	0.15	38.52	7.01	15.05	24.84	50.64	33.29	47.11	25.54	24.35	99.32	28.73	36.66	40.37	33.38	67.75	18.99	12.53	17.53	19.58	23.28	43.77	21.71	47.62	20.53	64.74	98.79	62.88	53.84	21.19	16.5	37.44	51.45	44.53	50.33	20.23	47.69	50.79	51.77	46.62	48.34	55.06	25.07	0.07	0.15	0.0
Zfp385b	0.0	0.09	0.0	30.8	20.25	0.0	186.01	0.0	0.0	0.0	69.16	0.0	97.6	57.98	42.0	166.81	85.34	53.19	48.29	48.64	35.83	85.96	113.55	39.73	52.31	36.93	67.5	100.74	52.26	28.25	45.07	40.62	43.0	44.97	18.91	75.53	42.51	97.59	109.26	94.29	128.75	79.4	172.56	126.27	175.33	120.9	55.97	104.53	63.88	64.97	43.85	78.63	47.33	5.96	0.47	0.28	0.0
