	Calb2_tdTpositive_cell_19	Calb2_tdTpositive_cell_20	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_35	Calb2_tdTpositive_cell_41	Calb2_tdTpositive_cell_55	Calb2_tdTpositive_cell_56	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_24	Chrna2_tdTpositive_cell_47	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_52	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_56	Chrna2_tdTpositive_cell_57	Ctgf_tdTpositive_cell_10	Gad2_tdTpositive_cell_23	Gad2_tdTpositive_cell_31	Gad2_tdTpositive_cell_44	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_71	Htr3a_tdTpositive_cell_80	Htr3a_tdTpositive_cell_88	Htr3a_tdTpositive_cell_104	Nr5a1_tdTpositive_cell_39	Nr5a1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_11	Ntsr1_tdTpositive_cell_15	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTnegative_cell_29	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_41	PvalbD.Slc32a1_tdTpositive_cell_10	PvalbD.Slc32a1_tdTpositive_cell_15	PvalbD.Slc32a1_tdTpositive_cell_42	Rbp4_tdTpositive_cell_54	Rorb_tdTpositive_cell_35	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTnegative_cell_1	Sst_tdTpositive_cell_1	Sst_tdTpositive_cell_3	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_6	Sst_tdTpositive_cell_9	Sst_tdTpositive_cell_19	Sst_tdTpositive_cell_37	Sst_tdTpositive_cell_62	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_78	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_83	Sst_tdTpositive_cell_88	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_2	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_48	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_52	Vip_tdTpositive_cell_61	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_17	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_38	CAV_LP_Ipsi_tdTpos_cell_39
Arhgap26	16.81	98.26	0.0	70.74	0.0	0.05	6.21	3.1	42.65	2.22	1.98	26.64	20.61	0.0	12.08	0.0	17.83	28.44	0.03	51.55	0.0	0.03	2.27	62.27	0.0	0.05	0.15	0.49	0.0	58.9	17.97	36.65	18.75	81.22	48.86	72.63	18.42	4.41	8.14	21.63	0.0	0.0	0.0	31.53	0.0	0.0	40.95	138.74	0.04	0.0	23.45	23.76	24.78	33.35	34.01	0.04	0.0	0.0	7.24	9.5	25.73	42.69	10.07	0.21	0.1	0.07	237.67	83.72	24.78	15.39	0.06	43.61	5.11	1.45	74.28	41.46	38.18	52.06	36.26	67.22	34.95	212.92	130.44	137.55	46.43	12.99	0.07	1.62	1.14	22.31	23.4	13.58	26.55	79.76	86.76	100.79
Arhgap32	7.01	10.07	0.0	0.0	0.0	80.81	0.0	0.0	31.0	0.66	24.33	0.0	4.16	0.0	0.83	3.42	0.0	0.0	0.0	0.0	0.0	1.53	0.0	8.22	0.0	0.04	0.11	22.1	0.0	170.28	17.72	0.13	28.32	32.33	24.3	0.1	50.97	17.74	50.94	2.2	0.0	0.04	0.0	0.54	0.04	20.7	40.07	15.66	0.06	0.0	20.1	0.0	0.0	14.89	32.25	0.0	7.45	0.0	5.21	0.0	0.0	10.77	0.0	0.0	0.0	0.0	0.0	11.63	0.0	0.0	48.71	0.05	0.0	0.04	32.45	24.92	22.94	29.95	14.7	31.14	18.97	12.02	10.69	7.89	43.69	29.61	5.39	22.76	15.64	12.77	34.34	23.0	0.66	49.7	18.59	38.12
Asap1	6.95	0.0	0.0	28.32	18.58	0.1	0.0	2.16	8.15	31.39	18.17	0.0	0.0	0.05	0.0	0.78	0.0	0.0	0.0	84.5	0.0	102.41	0.09	0.0	0.09	0.0	70.09	38.3	0.0	36.54	2.78	39.48	10.14	3.61	26.24	0.0	55.09	53.27	0.0	26.49	0.14	0.0	204.02	4.19	149.56	0.0	45.9	53.98	0.06	0.0	67.45	0.0	0.43	0.07	0.09	0.0	0.0	0.0	20.57	20.85	13.6	13.6	0.07	19.91	0.0	104.3	0.0	0.0	17.56	0.0	106.03	68.61	25.6	0.16	39.93	34.69	20.9	29.3	17.03	13.24	28.86	28.2	29.11	28.63	27.22	148.38	34.14	3.3	4.47	20.18	0.1	70.71	50.55	19.02	14.79	21.91
Atg12	0.22	0.0	46.21	0.0	0.0	0.0	0.0	140.44	100.95	23.63	62.59	71.35	1.03	5.91	1.45	2.03	0.08	0.0	86.18	3.11	0.0	0.0	0.0	150.17	0.0	3.72	0.0	0.0	0.0	151.36	0.0	175.46	123.62	81.38	53.87	0.0	38.3	3.78	0.0	0.0	0.27	543.23	0.0	0.0	10.9	22.07	74.81	274.12	286.86	0.81	110.13	395.38	56.45	18.11	0.17	0.0	15.59	0.0	79.27	0.11	45.45	25.04	26.75	31.7	0.0	0.0	0.0	0.07	0.32	0.0	0.58	458.01	177.62	0.15	114.63	75.58	58.16	63.58	107.7	114.82	74.87	90.46	103.1	85.88	62.31	215.94	96.63	0.0	39.95	87.28	0.18	9.41	26.36	174.81	0.15	90.03
Atp2b1	59.35	89.95	24.68	130.79	104.42	100.5	31.1	68.71	55.54	136.92	101.22	49.85	36.04	50.55	75.17	114.14	19.07	49.25	0.0	5.35	32.37	14.25	28.47	78.96	0.0	0.12	9.12	10.78	214.09	206.42	193.76	828.86	803.22	551.8	392.53	456.28	383.85	641.96	245.11	320.63	60.73	0.17	80.96	68.04	1.58	127.02	417.68	104.41	0.32	0.0	359.84	205.63	38.78	173.7	56.77	11.7	276.82	46.38	40.32	84.78	39.72	3.36	60.19	126.73	36.22	7.95	38.79	9.25	82.5	22.49	70.79	83.66	84.72	130.24	549.86	524.22	545.99	437.9	423.36	450.35	406.68	532.17	401.54	376.73	407.91	770.95	600.3	488.35	405.62	382.14	395.09	289.35	488.69	464.8	560.98	611.06
Atp6v0a1	84.62	0.61	115.73	173.85	86.6	19.26	194.5	53.52	15.66	22.41	44.07	15.47	50.99	11.27	11.42	1.8	0.91	9.04	0.0	145.94	165.95	21.77	9.32	6.08	22.12	302.78	104.86	44.0	12.58	219.22	57.85	71.44	69.42	91.44	72.99	1.45	30.27	10.3	4.47	98.9	0.17	91.23	19.38	54.46	117.38	6.21	52.3	186.25	24.33	4.87	86.45	99.92	40.48	130.01	145.38	0.94	191.68	22.4	30.36	55.24	58.22	90.66	40.64	400.09	8.84	16.49	0.0	137.39	0.52	34.7	167.8	84.44	42.91	16.34	91.86	88.58	71.56	102.98	65.94	102.39	56.98	111.58	107.84	140.35	102.75	76.03	16.64	0.0	39.54	11.62	47.25	3.32	16.15	81.08	91.84	85.44
Atp6v1a	293.51	601.49	963.95	733.85	722.53	88.96	556.65	153.53	611.64	295.03	504.57	298.47	186.34	267.97	279.55	418.29	327.58	0.0	524.54	432.56	243.49	1024.22	54.12	732.0	432.86	433.71	752.87	802.85	437.71	828.56	233.75	518.76	313.77	441.09	641.68	138.78	320.75	198.23	320.52	308.87	360.86	205.72	0.0	298.75	360.66	592.19	514.8	694.43	0.29	38.89	663.69	219.05	259.71	152.64	512.46	0.63	607.65	462.74	529.08	598.0	232.98	445.57	385.92	721.88	1036.42	626.05	565.71	1049.42	335.8	170.12	504.89	634.26	334.43	461.1	517.22	511.64	421.22	553.69	391.58	657.52	326.33	451.08	437.01	444.36	407.66	895.72	377.97	535.57	492.74	731.88	304.05	364.56	309.86	531.34	381.33	634.55
Atp6v1b2	728.4	487.65	183.49	506.16	277.79	524.88	237.06	167.91	115.15	143.58	172.73	131.71	31.3	75.26	154.07	70.03	1.87	0.0	901.26	513.41	30.76	1.78	251.99	1033.08	252.96	16.56	340.33	409.26	139.82	335.27	111.5	396.19	496.0	477.51	183.24	286.24	24.96	51.39	57.24	432.25	0.24	173.57	0.1	191.31	331.09	369.02	243.05	561.97	0.52	0.0	205.43	69.94	407.29	300.76	394.86	0.46	353.19	620.36	170.98	187.94	365.97	249.88	162.75	663.34	598.65	796.97	1154.47	728.55	257.66	868.88	31.09	101.42	440.46	504.09	492.98	455.38	405.2	505.4	339.51	476.63	271.7	288.42	632.24	617.31	326.28	556.7	5.71	6.86	138.72	193.86	98.24	173.7	203.17	386.49	484.24	640.26
Avpi1	0.0	0.0	0.0	0.0	44.89	0.0	0.0	0.0	157.66	1.3	0.0	0.0	0.0	251.71	190.89	357.86	0.0	249.76	0.0	76.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	178.02	0.0	237.7	97.75	118.51	101.18	0.0	0.0	124.88	0.29	231.58	0.0	126.29	0.0	0.0	0.0	12.38	0.0	0.0	118.19	216.41	0.0	0.0	0.0	0.0	49.49	138.76	0.0	0.0	123.11	0.0	62.84	0.29	12.24	0.32	0.0	1.18	0.0	61.15	0.0	136.7	0.0	0.0	0.0	224.15	0.59	0.0	29.55	57.29	125.81	28.12	49.54	49.77	48.58	36.29	37.05	46.27	47.06	0.0	0.3	0.0	16.94	143.14	0.0	0.0	176.19	0.0	1.17	0.0
B230219D22Rik	5.18	14.7	3.07	11.66	103.76	9.43	27.24	21.6	64.63	7.97	18.42	1.72	8.25	0.79	3.6	4.07	58.01	139.26	244.67	26.05	35.63	6.38	101.46	10.6	8.29	22.67	3.18	7.97	25.3	20.36	16.04	7.52	2.99	51.64	35.18	86.41	46.08	51.26	11.62	7.27	42.08	1.62	8.19	4.7	10.51	66.18	100.31	149.27	10.52	171.29	6.77	10.69	38.53	84.88	27.24	82.55	5.22	3.0	22.32	18.81	2.9	3.76	4.89	6.54	94.06	3.67	0.4	7.69	18.81	15.38	4.68	148.64	6.93	9.97	47.58	32.85	32.16	23.97	15.98	20.21	19.61	24.56	24.7	26.74	24.79	12.04	97.45	18.85	58.44	24.53	7.99	51.36	2.92	15.43	7.89	97.14
B3galnt1	0.0	504.39	104.61	0.0	261.28	0.0	236.24	87.01	192.88	127.7	357.51	245.02	112.18	0.26	102.87	91.49	213.49	0.0	0.0	0.0	0.0	203.88	404.68	419.46	331.81	0.0	140.64	384.23	0.0	867.0	44.8	122.46	0.0	118.23	152.9	182.56	169.11	53.54	155.72	184.6	0.35	1.06	0.15	0.51	0.38	324.44	245.55	380.03	0.15	0.0	2.65	0.0	276.16	149.91	4.58	0.17	333.95	0.22	4.49	464.78	77.91	52.92	133.13	67.92	275.85	195.74	590.84	244.71	672.94	279.94	292.9	297.25	529.6	149.49	290.18	148.61	179.86	232.2	188.84	213.98	168.17	191.91	175.26	226.46	186.33	213.21	106.78	68.03	152.92	168.78	299.29	149.7	0.0	200.6	262.81	470.25
B4galt2	0.0	0.0	0.0	0.0	0.0	0.0	95.4	0.0	0.0	74.95	0.0	0.0	1.31	26.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.17	0.0	74.27	159.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.88	0.0	0.64	0.0	0.0	0.0	0.0	5.13	0.0	0.0	0.0	0.0	0.0	183.21	73.88	55.91	0.24	35.07	0.0	104.08	0.0	27.06	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.16	2.78	5.02	0.0	2.65	0.32	13.33	0.9	10.46	13.05	8.02	1.31	0.0	0.0	0.0	0.0	2.44	0.0	0.0	0.0	0.0	47.02	0.0
Bag5	0.0	0.0	0.0	0.0	174.28	122.17	0.0	0.0	0.0	40.93	0.0	0.0	0.07	0.0	81.85	15.93	0.0	0.0	0.0	0.0	0.0	88.87	0.0	0.0	0.0	0.0	0.0	180.59	0.0	100.62	62.06	0.0	0.0	46.99	0.0	117.13	0.25	0.0	76.9	95.24	0.0	0.38	0.0	10.94	0.0	104.54	30.31	0.11	0.0	0.0	36.16	0.0	114.43	0.0	197.28	0.0	0.0	0.0	0.0	36.46	49.35	0.14	0.0	154.74	0.0	71.61	0.18	0.0	0.0	473.27	1.82	58.32	103.37	0.54	42.31	34.23	46.46	33.42	47.89	13.6	30.07	33.03	32.75	39.09	57.22	0.0	0.0	0.27	0.0	216.82	76.93	46.98	3.51	66.03	37.9	329.33
Brsk2	57.66	0.0	0.1	1.97	45.29	0.11	0.0	0.0	12.16	4.66	22.73	25.61	3.11	14.02	35.32	43.01	27.47	9.83	42.63	0.42	23.11	0.0	3.42	0.0	0.1	0.0	38.4	50.14	0.0	14.08	21.0	6.16	40.23	27.01	38.7	17.19	24.96	11.64	6.67	18.83	0.0	20.1	62.21	5.78	2.36	0.58	3.85	104.97	0.0	0.0	25.59	0.0	11.88	25.78	19.05	12.91	29.68	0.4	27.19	4.39	0.0	1.04	0.16	0.27	0.0	52.19	0.0	0.0	0.1	0.12	53.26	0.0	1.9	0.0	35.97	21.87	34.93	18.49	22.3	20.47	15.23	16.22	18.08	21.57	33.78	21.67	5.58	0.0	2.12	10.92	5.08	30.0	12.33	28.38	28.99	3.28
C230004F18Rik	2.67	20.49	3.55	0.0	134.06	0.0	0.0	137.06	0.0	28.01	14.99	7.01	19.1	0.0	0.0	26.79	50.58	0.0	0.0	5.7	0.0	0.0	0.0	2.76	0.0	0.0	0.0	8.35	0.0	1.48	274.27	1.94	70.2	0.86	203.43	195.67	0.0	19.96	3.24	240.64	0.0	0.0	0.0	21.8	23.98	6.9	64.68	23.14	0.0	0.0	182.26	37.88	0.0	5.64	28.11	0.0	29.22	51.68	0.0	26.1	0.23	23.11	0.0	29.95	0.0	0.0	0.45	68.5	0.0	0.0	0.0	21.67	0.0	88.18	49.75	57.51	85.09	27.75	34.9	59.03	13.13	38.92	37.78	31.01	1.39	5.16	2.75	149.79	18.62	38.27	433.34	0.0	0.0	5.49	0.88	0.0
C530028O21Rik	0.0	0.0	16.3	0.0	0.0	0.0	85.83	0.06	0.0	0.3	155.16	62.46	23.03	0.0	73.43	88.13	0.0	0.0	30.31	12.22	0.0	0.13	0.0	3.42	0.0	0.0	0.0	0.0	220.76	9.52	57.83	81.64	102.55	0.0	73.46	0.0	144.44	93.82	0.0	7.4	0.0	0.0	0.0	0.0	2.63	211.89	34.65	63.57	0.0	0.0	7.18	0.0	30.74	0.15	54.49	0.0	0.18	0.2	22.45	15.66	15.59	35.45	68.21	56.49	1.0	1.87	251.38	28.19	117.38	0.0	1.9	0.23	0.0	0.0	56.41	34.06	55.84	40.92	40.11	29.9	21.71	16.1	27.17	26.73	17.12	92.93	204.09	0.0	0.0	0.0	0.0	0.0	66.77	54.54	0.0	44.66
