	Cux2_tdTnegative_cell_11	Sst_tdTpositive_cell_106	Vip_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Hist1h2bq	0.0	0.0	0.0	0.38	0.28	0.38
Hist1h2br	0.0	0.0	0.0	0.38	0.28	0.38
Hsd3b3	0.0	0.0	0.0	1.43	0.98	1.07
Ibtk	0.0	0.0	0.0	14.46	13.45	13.46
Ifnar2	0.0	0.0	0.0	21.88	22.18	20.05
Il11ra2	0.0	0.0	0.0	1.73	1.86	1.4
Jmjd6	0.0	0.0	0.0	25.18	26.98	25.75
Josd2	0.0	0.0	0.0	56.0	64.65	61.11
Kdelc2	2.52	0.35	0.33	6.58	6.75	5.72
Kif13a	0.0	0.0	0.0	13.91	12.9	14.69
Kifc5b	0.0	0.13	0.0	2.05	2.29	2.15
Lcp2	0.0	0.0	0.0	2.19	1.83	2.12
Maff	0.0	0.0	0.0	0.77	1.41	0.97
Mdc1	1.77	0.75	0.03	8.22	9.1	8.61
Mettl9	0.0	0.0	0.0	75.08	79.73	74.6
Mir3068	0.0	0.0	0.0	0.0	0.0	2.39
Mir677	0.0	0.0	0.0	9.5	4.31	4.9
Mmgt2	0.0	0.19	0.0	14.5	14.7	16.22
Mogat1	0.0	0.0	0.0	0.08	0.16	0.09
Mpp2	0.0	0.08	0.0	102.69	102.07	97.3
Msr1	0.0	0.0	0.0	0.19	0.05	0.17
Mtap9	0.0	46.63	0.0	64.23	56.71	58.21
Mtmr12	0.0	0.0	0.0	28.16	27.53	27.0
Myo1d	0.0	7.99	0.0	8.31	8.4	8.53
Ncf2	0.23	0.13	0.0	3.01	3.87	3.24
Nup155	21.72	0.16	0.0	12.0	10.48	10.27
Obfc2b	0.0	120.33	0.0	100.31	106.05	102.15
Olfr212	0.0	0.0	0.0	0.07	0.1	0.15
Pank2	0.0	0.0	0.0	32.39	32.48	32.67
Pkib	0.0	0.0	1.31	3.75	3.56	3.72
Ptpn1	0.0	0.0	0.0	32.35	32.97	30.2
Ptrh1	0.0	0.0	0.0	6.58	7.54	5.56
Rbm15	0.0	0.21	0.0	8.13	8.99	9.2
Rhobtb1	0.0	0.0	0.0	4.2	3.96	4.07
Rnu12	0.0	0.0	0.0	0.0	0.0	0.0
Sla2	0.0	0.0	0.0	1.34	0.64	0.85
Slc29a4	0.0	0.0	0.0	9.37	9.23	10.36
Slc39a11	0.0	0.0	0.0	13.51	11.6	12.26
Slc52a2	0.0	0.0	0.0	10.97	11.29	11.91
Slc6a2	0.08	0.0	0.0	0.12	0.22	0.06
Slc7a6os	0.0	0.0	0.0	27.25	26.58	28.7
Smap2	0.0	0.36	71.57	140.44	138.22	141.36
Snn	0.0	0.0	0.0	193.32	197.85	194.31
Sowahc	0.0	0.0	0.0	5.66	5.68	6.56
Srf	0.0	0.08	0.0	36.57	39.4	34.31
St13	0.0	12.66	0.0	141.08	140.69	138.58
Stc2	0.0	0.0	0.0	1.77	2.19	1.72
Taz	0.0	0.38	0.0	48.03	48.91	47.98
Tenc1	0.0	0.0	0.0	11.5	12.6	10.8
Tmco4	0.0	0.0	0.0	2.19	2.15	2.14
Ttc15	12.5	0.44	0.0	59.74	63.17	59.81
Ugdh	0.0	2.58	0.0	21.41	22.72	19.05
Unc93a	0.0	0.0	0.0	0.01	0.0	0.0
Vat1	0.0	0.0	0.0	25.86	30.28	27.81
Wdr81	5.52	0.0	0.0	11.67	12.24	12.65
Wdr92	0.0	3.66	0.0	15.5	15.28	16.17
Zbtb41	0.0	0.12	0.0	9.66	8.26	9.05
Zfhx2as	0.0	0.0	0.0	8.1	6.32	10.68
Zfp324	0.0	0.0	0.0	6.41	6.19	5.86
Zfp438	0.0	0.0	0.0	3.52	3.7	3.36
Zfp513	0.0	0.0	0.0	21.38	25.5	23.87
Zfp647	0.0	0.0	0.0	2.64	3.62	3.05
Zfp937	1.2	2.0	0.19	7.3	5.56	7.66
Zmynd17	0.0	0.0	0.0	0.7	0.46	0.84
c11_tRNA-Ala-GCG	0.0	0.0	0.0	6.49	2.13	0.0
c14_tRNA-Ala-GCG	0.0	0.0	0.0	0.0	0.0	4.02
c15_tRNA-Lys-AAA	0.0	0.0	0.0	0.0	0.0	0.0
cm_tRNA-Leu-TTA(m)	0.0	0.0	0.0	669.38	548.77	764.29
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	26.94	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
