	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_7	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_67	Rbp4_tdTpositive_cell_51
Cdk5rap3	0.0	0.0	0.0	218.53	46.66	0.0	43.95	0.0	66.09	0.0	133.75	50.61	0.0	0.0	54.03	53.34	75.36	53.54
Chl1	0.05	0.0	0.0	99.71	23.33	0.47	5.35	5.38	20.83	0.26	18.31	14.17	0.57	18.84	1.0	60.54	38.11	24.29
Clec2l	0.0	0.0	0.0	215.2	72.88	58.76	27.86	83.18	26.41	1.86	32.21	49.56	105.9	121.85	43.11	0.0	57.0	78.93
Cplx2	0.95	0.0	4.25	62.27	0.0	1.98	0.51	1.81	1.2	1.89	1.38	0.37	0.68	3.5	11.38	52.59	2.11	1.26
Cthrc1	0.0	0.0	0.0	770.46	0.22	84.16	17.04	342.71	68.34	13.52	48.89	0.0	16.72	342.88	78.7	326.62	321.5	259.7
D17Ertd648e	0.0	0.0	0.0	1.87	0.0	0.0	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0
Dbndd2	0.0	0.0	0.0	133.16	0.0	39.25	9.87	1.6	26.37	0.1	2.39	0.07	0.7	2.73	100.22	71.05	2.17	70.5
Disp2	0.0	0.0	0.0	153.29	70.73	33.73	29.23	70.38	82.8	33.65	50.02	142.23	26.78	42.66	36.02	94.64	67.72	80.29
Dock11	0.0	0.0	0.0	67.97	0.0	0.0	0.0	0.0	0.1	0.0	1.86	3.56	0.0	0.0	0.32	31.51	22.12	0.23
Ehf	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ermp1	0.13	0.0	2.61	58.18	0.0	29.32	0.21	13.08	59.44	79.36	15.22	5.69	1.11	2.62	1.58	1.26	61.73	39.65
Fbxo28	0.0	0.0	0.0	81.8	21.28	17.58	0.0	0.0	46.87	80.72	37.56	2.72	0.0	0.0	36.11	0.28	54.45	0.0
Fbxw7	0.0	0.0	0.0	355.92	49.8	112.3	229.72	298.17	227.09	264.09	108.03	33.73	262.19	233.79	295.58	142.44	196.78	229.38
Fnta	0.0	0.18	0.0	55.13	0.0	18.33	53.88	30.93	48.8	8.41	0.0	0.0	14.77	0.0	55.59	6.15	65.46	54.17
Frmd4a	5.07	2.0	19.68	56.05	0.0	9.75	2.22	44.85	15.67	0.0	0.47	0.0	0.0	0.0	0.0	11.04	19.6	11.18
Fut9	0.0	0.0	0.0	106.67	19.17	6.38	32.6	35.64	93.87	11.3	68.35	16.36	54.43	27.22	40.85	67.27	132.54	54.07
Galntl4	0.0	0.0	0.0	98.54	0.0	2.13	0.0	37.35	0.25	0.0	0.0	51.22	0.0	63.38	1.26	44.03	0.0	0.38
Gfm1	0.0	0.0	0.0	213.2	70.87	0.0	54.49	66.86	108.58	69.09	185.32	0.0	49.89	70.52	70.04	67.31	92.01	41.29
Gm11981	0.0	0.0	0.0	1.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm14431	0.26	0.0	0.1	19.34	0.74	2.31	5.03	3.25	5.1	1.79	1.31	2.1	2.52	4.65	1.58	6.24	0.47	1.92
Gm8898	0.26	0.0	0.1	19.34	0.74	2.31	5.03	3.25	5.1	1.79	1.31	2.1	2.52	4.65	1.58	6.24	0.47	1.92
Gnal	0.52	0.0	0.0	186.53	7.04	75.32	63.14	18.3	84.15	47.2	70.0	83.84	110.89	18.18	85.99	81.4	94.77	124.03
Golga7	0.0	0.0	0.0	595.78	362.73	0.0	88.5	53.36	159.57	145.51	209.25	109.14	98.57	114.47	127.74	89.74	174.5	137.82
Grap2	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0
Grm1	0.53	0.0	2.07	49.58	0.13	0.08	14.95	16.46	2.11	12.33	1.0	0.56	25.28	1.04	43.38	0.53	0.86	40.81
Gtf2h4	0.0	0.0	0.0	134.98	17.08	0.0	2.87	0.0	0.0	0.0	56.02	0.15	28.5	0.0	0.0	75.03	0.0	53.09
Gtpbp4	0.0	0.0	0.0	344.01	3.3	105.93	71.44	19.0	73.26	44.1	46.13	72.31	25.38	46.73	45.06	26.49	47.45	130.52
Gucy1a3	0.0	0.0	0.0	171.03	31.92	0.26	11.98	116.32	4.15	12.31	10.98	0.0	24.38	17.57	83.57	93.99	90.89	56.7
Hspe1	0.0	469.21	0.0	889.58	1101.97	516.07	361.02	530.19	486.45	387.75	309.21	341.56	577.66	714.43	659.4	478.16	476.85	528.23
Igf2r	0.0	0.0	0.0	38.77	0.0	0.67	14.93	0.28	12.18	10.08	2.27	5.12	1.99	8.43	10.54	18.77	18.16	8.03
Jhdm1d	0.07	0.0	0.51	83.42	0.15	0.4	3.49	19.05	18.5	7.64	4.44	0.6	15.19	16.21	8.62	22.26	24.47	30.09
Jph3	0.0	0.0	0.0	50.38	0.0	0.0	0.0	28.69	0.0	1.52	0.08	0.12	0.0	0.0	0.0	0.47	0.0	0.0
Ldhb	7486.96	2593.67	5404.32	8550.52	10118.08	7234.97	8808.99	8620.64	10165.1	11261.44	10004.69	7259.91	13571.31	12546.17	11010.48	7750.55	7928.56	11746.38
Lins	16.19	0.0	0.0	79.92	0.0	0.47	10.73	27.17	0.47	0.72	7.19	3.46	0.17	0.39	0.7	0.21	0.32	0.15
Lipa	0.0	0.0	0.0	97.7	0.0	18.03	17.37	0.0	31.02	0.0	0.31	47.3	2.99	38.21	0.0	38.66	18.54	1.77
Lpcat1	0.0	0.0	0.0	73.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.33	0.0	20.47	0.0	0.0	0.0
Lrp6	0.0	0.0	0.0	33.64	0.0	0.32	18.55	0.0	0.0	0.0	1.87	0.0	0.0	0.0	0.34	0.0	15.87	0.0
Mapk8ip1	0.0	0.0	0.0	9.83	3.73	0.0	0.0	0.22	3.81	0.0	0.0	0.83	2.55	2.22	29.92	2.65	4.92	4.3
Metap1d	0.0	0.0	395.09	101.32	27.73	38.25	9.5	12.0	57.65	53.15	42.09	61.38	46.86	48.58	0.0	141.61	0.32	59.84
Mier2	0.0	0.0	0.0	41.73	0.0	0.0	0.0	0.0	1.78	0.0	0.48	0.1	0.0	0.0	0.0	0.0	0.0	0.0
Mir9-2	0.0	0.0	0.0	24.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mlst8	0.0	0.0	0.0	135.28	0.0	0.0	0.0	112.69	0.0	1.53	0.97	15.39	0.0	1.68	25.92	0.0	1.98	7.71
Mrpl38	0.0	0.0	0.0	87.92	0.0	1.32	0.0	0.0	0.0	0.0	7.55	15.62	0.0	17.17	0.0	81.92	0.0	0.0
Mrpl49	0.0	0.0	0.0	552.48	20.65	82.12	124.61	0.0	50.4	5.47	150.92	0.29	50.16	69.66	0.0	129.98	81.49	182.01
Mrps26	0.0	0.0	0.0	109.2	0.0	0.0	15.73	0.0	0.0	0.0	0.0	0.27	24.16	0.0	0.0	0.0	0.0	36.57
Mtx3	0.0	0.0	61.15	102.54	0.0	0.1	7.5	0.91	11.55	29.82	53.63	7.84	35.0	0.45	8.92	18.12	70.66	42.63
Mus81	0.0	0.0	0.0	109.91	0.0	0.0	16.66	0.0	30.54	75.04	0.0	0.0	0.0	1.24	3.55	69.11	0.0	87.8
Nab2	0.0	0.0	0.0	32.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.17	0.0	12.19	0.0	0.09
Nfe2l1	0.0	0.0	0.0	80.66	3.22	15.13	19.28	11.74	15.75	2.66	9.95	57.25	38.8	17.67	31.48	38.88	38.77	3.76
Nop58	0.0	0.0	0.0	215.36	0.0	26.13	135.27	75.47	73.88	8.56	123.11	115.68	43.1	8.75	45.68	64.8	119.25	43.25
Npcd	0.0	0.0	0.0	38.93	0.27	1.16	0.0	0.0	14.04	0.0	5.78	2.34	0.0	0.0	1.83	20.87	1.59	0.0
Nudt9	0.0	0.0	0.0	111.27	23.29	1.4	35.37	69.24	0.0	0.29	48.5	46.86	42.4	0.0	0.0	42.55	88.12	94.93
Nxf1	0.0	0.0	0.0	243.28	0.0	106.96	62.85	0.56	92.21	47.77	5.8	0.43	72.19	48.49	21.82	0.0	106.71	137.05
Pcyt2	145.24	0.0	0.0	485.11	0.0	69.18	132.88	344.52	82.24	13.96	112.25	163.27	99.01	239.12	68.9	133.08	173.91	181.03
Peg3	0.0	0.0	0.08	95.03	15.28	27.17	26.37	11.32	31.0	7.54	6.31	55.99	27.73	7.36	24.47	75.17	90.77	32.64
Peli1	0.0	0.0	0.0	53.9	0.0	0.0	0.0	0.0	0.0	2.34	0.0	10.37	0.0	23.57	3.7	0.0	0.0	0.72
Phb2	0.0	0.0	0.0	38.24	50.15	53.16	0.76	0.0	39.53	0.0	0.69	20.47	20.67	2.15	10.54	0.0	0.0	5.84
Pkd1l2	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pldn	1.25	0.0	0.0	74.54	97.59	9.07	5.42	41.78	24.19	20.12	42.94	17.41	24.86	1.67	3.07	19.03	51.39	0.71
Ppargc1a	0.0	0.0	16.33	171.37	31.82	47.82	74.47	74.86	50.11	30.35	60.66	45.19	59.66	100.86	101.58	107.47	123.74	22.34
Ppm1b	0.0	0.0	36.41	108.34	19.43	18.63	24.72	52.03	45.7	14.21	61.35	12.21	56.86	0.12	17.18	99.44	8.46	64.77
Prdm11	0.0	0.0	0.0	3.56	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ptms	8.45	0.0	0.0	42.81	2.22	0.0	18.54	0.0	3.47	0.0	0.0	5.14	3.22	1.09	0.96	14.32	33.81	28.81
Pusl1	0.0	0.0	0.0	116.33	0.0	72.03	0.0	0.0	0.54	0.0	0.0	6.12	0.5	0.0	0.0	0.68	102.47	0.0
Pvalb	0.0	0.0	0.0	2914.72	1319.97	1148.76	1414.35	862.9	1316.24	1740.57	1769.21	841.9	1408.27	1731.8	1295.74	760.46	2567.22	3516.69
Rasgef1c	0.0	0.0	0.0	90.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.76	0.0	0.0	0.0	0.0
Rc3h2	0.0	0.0	0.0	86.82	0.38	0.4	5.63	11.89	46.89	6.1	32.02	3.34	6.11	24.96	19.09	38.39	32.86	7.18
Rnf32	0.0	0.0	0.0	91.71	0.0	0.0	0.0	0.0	0.0	1.04	8.59	0.0	0.0	0.0	0.0	0.0	0.0	0.91
Scarb1	0.0	0.0	0.0	94.15	0.0	0.0	1.63	0.29	0.0	0.0	0.0	1.13	58.13	0.0	4.45	3.15	26.88	25.2
Slc39a14	25.55	0.0	0.0	46.93	9.48	22.42	0.91	0.77	13.36	80.56	8.32	12.88	11.11	3.4	0.57	14.51	18.26	0.08
Slit2	0.0	0.0	0.0	63.52	0.68	7.98	8.2	21.89	28.87	26.09	28.61	12.14	46.22	6.91	1.66	21.73	24.22	49.23
Strn4	0.0	0.0	0.0	74.61	4.9	0.0	0.0	1.09	13.06	0.0	0.0	12.02	12.98	1.27	0.15	39.73	11.84	0.66
Supv3l1	0.0	0.0	0.0	122.92	0.0	0.0	0.0	0.0	0.0	0.16	20.35	0.0	0.0	0.51	0.68	0.0	0.0	0.16
Syf2	0.0	0.0	0.0	218.24	37.21	35.27	46.02	54.01	0.0	76.07	59.69	35.09	44.65	16.73	31.62	48.63	65.93	66.81
Tor2a	0.0	0.0	0.0	71.11	0.0	0.0	0.0	0.0	0.0	0.0	1.08	0.0	0.0	38.46	0.0	63.51	0.0	0.0
Trim33	0.0	0.0	0.0	34.28	0.0	0.0	0.4	1.29	13.35	0.29	8.37	13.07	0.03	3.5	17.91	19.46	34.66	23.05
Uba5	0.0	0.0	0.0	141.74	46.2	61.86	5.93	0.0	0.0	8.56	66.02	0.0	2.56	44.55	1.58	32.54	72.49	19.26
Zfand3	0.0	0.0	0.0	37.95	0.0	1.63	0.0	50.94	1.74	0.0	1.76	0.0	1.48	0.0	10.31	18.94	1.35	0.0
Zfp275	0.0	0.0	0.0	62.57	13.96	0.0	0.0	0.0	12.87	0.0	14.57	0.54	9.87	0.0	3.48	0.0	0.0	31.15
Zfp872	0.49	0.18	0.0	2.34	0.84	0.65	0.38	0.05	0.22	0.86	0.0	0.09	0.17	0.54	0.08	0.59	0.36	0.24
c2_tRNA-Ala-GCA	0.0	0.0	0.0	53.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.59	14.83
