	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_155	Rbp4_tdTnegative_cell_4	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Emilin2	0.0	0.0	0.31	0.0	1.94	1.96	2.02
Exph5	0.0	1.67	50.57	0.0	8.2	6.68	8.5
Fam107b	0.0	0.0	5.24	0.0	8.13	7.55	7.11
Fastk	0.0	0.0	57.16	0.0	89.23	98.2	94.35
Fyco1	0.17	1.61	48.0	0.2	23.38	18.49	24.79
Gkn1	0.0	0.0	49.23	0.0	0.0	0.08	0.08
Gm16516	0.0	0.0	65.9	0.0	1.42	0.67	1.23
Gm6531	0.0	0.0	0.3	0.0	0.27	0.16	0.29
Gm6904	0.0	0.0	0.71	0.0	0.0	0.0	0.0
Golim4	0.0	0.0	45.5	0.0	15.84	14.23	15.17
Hic2	0.0	0.0	16.7	0.0	4.56	4.67	4.6
Hyal2	0.0	0.0	81.63	0.0	8.97	10.88	8.82
Ifi203	0.0	1.07	2.38	0.76	1.82	1.57	2.08
Ipo9	0.0	20.71	50.79	0.0	81.59	77.26	80.76
Kalrn	0.63	46.99	97.05	1.05	250.25	239.88	249.16
Khdc1a	0.0	0.0	1.73	0.0	0.0	0.05	0.13
Klhl34	0.0	0.0	57.8	0.0	51.95	44.86	59.06
Lrrc10b	0.37	0.0	14.21	0.0	48.67	53.01	45.61
Ltk	0.0	0.0	77.25	0.0	29.14	26.59	29.49
Mafb	0.11	0.0	5.05	0.0	14.72	16.99	15.98
Mamdc2	0.0	0.0	3.47	0.0	0.94	1.06	1.46
Mau2	0.22	0.76	152.94	4.24	45.8	46.33	48.17
Med17	0.0	0.01	27.87	1.16	18.96	18.46	16.41
Mir297b	0.0	0.0	5.34	0.0	0.0	0.0	0.0
Mkrn1	0.0	0.0	57.79	3.75	102.18	106.45	102.49
Mysm1	0.1	25.88	113.89	4.73	14.4	12.03	15.94
Naprt1	0.2	0.0	1.14	0.0	4.62	4.74	6.45
Nipal2	0.0	0.0	45.43	0.0	4.66	4.86	5.02
Nlrp1b	0.0	0.0	0.5	0.0	0.69	0.49	0.69
Nxnl1	0.0	0.0	0.45	0.14	0.24	0.16	0.04
Phf8	0.0	0.0	71.78	0.1	12.95	12.9	13.57
Plekha4	0.0	0.0	18.2	0.0	1.97	1.99	1.86
Plekhg5	0.0	0.0	74.58	0.0	54.79	56.74	54.57
Plekhm1	0.0	0.0	29.02	0.0	16.0	15.96	15.1
Plxna4	0.0	0.43	36.48	0.0	28.71	25.59	30.42
Plxnb1	0.0	0.0	10.35	0.0	34.3	33.77	34.95
Pnpla8	0.0	0.0	0.0	0.0	68.69	61.52	66.05
Ppap2b	0.24	0.0	7.43	0.0	183.07	186.52	198.55
Ppargc1b	0.0	0.0	16.96	0.0	7.48	8.01	8.58
Ppm1a	0.0	70.6	116.97	0.0	150.18	150.39	144.09
Ppp2r3d	0.0	1.05	61.2	2.7	7.18	8.59	9.21
Prss27	0.0	0.0	38.43	0.0	0.18	0.0	0.0
Ptrf	0.0	0.0	0.02	0.0	12.06	14.09	11.56
Rims1	0.0	0.0	37.79	0.0	204.32	173.43	223.79
Rrs1	0.0	0.0	37.49	0.0	25.56	29.4	26.53
Sag	0.0	0.0	29.06	0.0	1.91	2.29	2.03
Slfnl1	0.0	0.0	0.18	0.0	0.06	0.0	0.06
Spint3	0.0	0.0	1.21	0.0	0.19	0.34	0.39
Sstr1	0.0	0.08	68.33	0.0	23.67	22.95	25.2
St3gal1	0.0	0.0	25.3	0.0	18.78	16.94	18.15
Supt7l	4.23	0.0	144.28	0.79	12.94	13.44	13.8
Tec	0.0	0.0	28.04	0.0	2.29	2.01	2.41
Timm50	0.0	0.0	56.91	0.0	41.0	41.99	46.28
Tmed2	0.0	0.0	178.95	0.0	126.13	130.28	124.98
Tmie	0.0	0.0	0.13	0.0	3.27	4.0	4.19
Tnfrsf11a	3.07	0.21	45.2	0.15	4.06	2.73	4.13
Traf3	0.0	0.0	33.29	0.0	26.87	25.46	26.86
Treh	0.0	0.0	0.6	0.0	0.1	0.05	0.05
Trim23	0.0	13.28	105.68	0.0	31.89	30.34	30.7
Vmn2r53	0.0	0.0	0.33	0.0	0.0	0.0	0.0
Vmn2r54	0.0	0.0	4.19	0.0	0.04	0.0	0.0
Zbtb39	0.0	0.0	0.45	0.0	5.26	5.59	5.13
Zbtb7a	39.61	0.0	5.64	0.35	55.37	53.85	57.0
Zdhhc18	0.0	0.0	5.59	0.0	22.2	21.34	22.92
Zfp322a	0.12	0.0	48.88	1.18	19.27	17.0	18.51
Zfp605	1.59	1.27	149.57	17.42	10.33	7.53	10.36
c10_5S	0.0	0.0	47.63	0.0	5.15	6.35	5.7
c1_tRNA-Met	0.0	0.0	13.26	0.0	0.0	0.0	0.0
mt_AK131586	0.0	1.37	0.01	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	0.0	9032.87	8417.95	8583.15
