	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Htr3a_tdTpositive_cell_85	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_77	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_16
Ddx1	555.61	0.0	0.0	727.77	0.0	1.49	279.95	259.58	265.06	147.52	306.12	152.76	297.28	332.81	396.64	229.57	141.12	433.85	171.4	305.66	180.93	247.9	232.28	89.99	157.73	217.78	291.97	0.0
Ddx17	220.99	0.0	0.0	178.11	0.0	0.15	10.94	14.58	38.74	5.72	45.05	11.94	52.26	2.65	2.92	0.48	11.87	4.73	7.94	6.82	29.7	31.51	24.88	1.58	7.72	89.08	8.21	0.15
Dync1i1	0.18	0.0	0.0	491.91	0.0	0.0	228.07	66.02	125.32	80.99	64.97	37.33	122.03	58.08	28.35	192.33	109.63	81.47	263.81	65.18	118.93	78.56	159.49	184.52	185.32	145.75	261.02	0.0
Gm14431	0.26	0.78	0.0	19.34	2.27	0.24	0.74	0.0	7.8	0.8	0.18	3.35	3.96	2.26	2.76	5.1	0.76	1.79	1.31	1.04	2.52	4.65	1.48	1.58	0.36	4.83	1.92	0.0
Gm8898	0.26	0.78	0.0	19.34	2.27	0.24	0.74	0.0	7.8	0.8	0.18	3.35	3.96	2.26	2.76	5.1	0.76	1.79	1.31	1.04	2.52	4.65	1.48	1.58	0.36	4.83	1.92	0.0
Gnal	0.52	0.12	99.69	186.53	0.16	28.52	7.04	53.9	61.4	64.21	42.48	136.56	93.96	157.58	114.14	84.15	35.2	47.2	70.0	59.28	110.89	18.18	68.46	85.99	1.71	50.13	124.03	0.0
Gpr22	0.0	0.0	0.0	192.75	0.0	0.26	36.52	109.9	88.69	77.36	12.04	63.04	80.41	89.22	30.48	131.21	42.32	78.88	48.35	67.37	195.93	93.68	43.03	119.38	40.62	52.92	60.33	0.0
Gpr83	0.0	0.0	0.0	401.75	0.0	0.27	37.76	58.84	0.15	0.0	0.0	108.89	77.19	42.12	87.17	48.95	0.0	89.46	62.84	228.07	43.38	45.83	35.7	8.18	0.0	0.0	4.34	0.0
Grina	26.5	0.0	0.0	869.66	0.26	430.3	35.76	58.88	405.67	344.38	144.79	235.27	353.9	125.39	126.84	277.84	507.54	120.04	483.21	437.88	319.13	618.27	427.59	174.3	373.75	355.96	481.65	0.0
Igfbp4	0.0	0.0	0.0	71.32	0.0	0.0	0.0	0.0	18.83	0.0	0.0	0.0	9.63	0.0	0.0	4.75	0.0	0.0	0.0	50.89	0.0	0.0	2.55	0.0	0.0	24.25	0.0	0.0
Igsf3	0.0	0.06	0.13	84.49	0.0	47.31	0.47	21.87	11.67	18.19	33.91	27.88	14.67	18.69	30.57	29.46	4.01	56.55	19.79	2.79	43.9	38.38	22.57	42.7	25.12	34.06	43.82	0.0
Kcna2	0.04	0.0	0.0	127.03	0.22	5.22	6.75	73.62	35.57	68.09	52.37	67.76	64.74	85.48	43.75	51.03	51.01	122.82	83.1	80.42	70.45	46.36	27.8	16.77	7.87	71.86	72.29	0.0
Kcnab2	0.0	0.0	0.0	96.91	0.0	0.0	47.5	45.26	22.24	102.87	58.06	23.79	116.01	58.4	56.58	89.61	4.56	34.78	88.78	53.29	113.61	33.32	85.61	64.08	35.72	47.5	98.54	0.0
Kcnc2	0.0	0.0	0.0	779.48	0.0	0.1	108.44	98.32	187.94	143.84	191.17	250.91	120.3	139.96	251.86	338.28	394.46	294.91	272.44	502.64	281.25	308.89	241.94	330.31	78.46	294.66	396.33	0.0
Ldhb	7486.96	3517.81	5274.92	8550.52	4948.76	6399.01	10118.08	10894.4	8525.9	8217.62	8583.06	8517.89	9220.91	9343.6	8574.79	10165.1	9602.81	11261.44	10004.69	9074.03	13571.31	12546.17	8390.99	11010.48	10182.84	8351.44	11746.38	2070.08
Mbnl1	68.53	25.4	0.0	333.18	0.0	68.32	65.45	23.13	208.05	151.59	131.04	125.0	226.53	141.04	175.85	255.38	77.8	147.43	211.61	194.2	107.04	132.21	125.44	120.26	68.99	230.21	114.13	44.37
Nudt4	0.0	0.0	0.0	189.56	0.0	0.18	37.02	83.66	25.05	39.16	125.93	14.12	106.26	63.59	44.43	45.27	124.16	50.15	106.7	53.6	69.59	0.0	21.62	133.11	107.87	21.87	134.02	0.0
Pet112l	0.21	0.0	0.0	122.02	0.0	0.0	16.9	0.0	82.14	67.34	0.0	0.0	34.73	81.94	0.0	0.28	0.2	96.2	86.42	26.45	55.37	0.18	1.73	0.0	29.1	0.33	86.49	0.0
Pi4ka	69.29	0.0	0.0	125.01	0.0	0.18	37.17	45.35	26.27	37.24	4.21	45.48	35.18	51.32	26.16	31.38	54.28	107.81	27.86	18.78	20.95	37.96	41.65	22.21	21.3	69.74	29.44	0.0
Prkaca	0.0	37.8	0.0	227.54	0.0	61.54	76.43	9.42	70.7	102.59	113.59	54.28	103.11	48.71	87.93	117.4	107.84	19.92	120.02	84.55	89.79	83.0	73.23	50.46	76.96	60.58	104.21	0.0
Pvalb	0.0	0.0	0.0	2914.72	0.0	0.0	1319.97	2144.98	1365.09	1185.42	1292.73	1298.9	1590.34	1199.86	1383.0	1316.24	1724.33	1740.57	1769.21	1815.89	1408.27	1731.8	1344.6	1295.74	1914.29	1830.01	3516.69	0.0
Rbms1	0.0	0.0	0.0	75.06	0.0	0.0	0.0	17.59	0.0	18.29	0.0	0.0	0.0	11.98	4.94	24.25	50.3	0.15	0.0	0.0	0.0	0.0	0.0	46.49	0.0	83.17	25.62	0.0
Rims2	2.89	0.0	0.0	46.81	0.0	0.49	0.0	0.0	11.98	2.03	0.0	15.41	9.25	15.02	20.65	6.76	0.18	14.17	16.64	27.75	18.57	8.81	0.0	2.73	32.19	46.1	19.06	0.0
Rnf157	0.0	0.0	0.0	165.88	0.0	0.0	63.24	71.64	33.71	19.14	59.31	99.45	46.59	49.61	11.07	40.65	42.0	43.71	31.99	83.73	34.43	50.02	18.74	31.0	58.78	29.44	62.98	0.0
Slit2	0.0	0.0	0.0	63.52	0.0	0.0	0.68	0.0	12.05	12.98	10.06	15.06	1.07	31.87	16.3	28.87	6.63	26.09	28.61	16.94	46.22	6.91	0.0	1.66	22.03	10.94	49.23	0.0
Snord116	0.0	0.0	0.0	5.72	0.0	0.0	0.0	8.69	9.26	0.0	7.55	0.0	0.0	10.13	5.44	0.0	8.33	3.39	5.67	13.15	7.64	3.68	3.61	9.68	0.0	17.03	1.69	0.0
Snord116l1	0.0	0.0	0.0	5.72	0.0	0.0	0.0	8.69	9.26	0.0	7.55	0.0	0.0	10.13	5.44	0.0	8.33	3.39	5.67	13.15	7.64	3.68	3.61	9.68	0.0	17.03	1.69	0.0
Snord116l2	0.0	0.0	0.0	5.72	0.0	0.0	0.0	8.69	9.26	0.0	7.55	0.0	0.0	10.13	5.44	0.0	8.33	3.39	5.67	13.15	7.64	3.68	3.61	9.68	0.0	17.03	1.69	0.0
St3gal5	0.0	0.62	2.8	97.81	0.24	0.54	0.22	41.86	13.08	45.31	38.12	24.83	14.91	16.83	0.27	12.6	0.41	1.21	0.97	21.53	57.15	10.46	1.64	1.82	0.0	0.34	6.29	0.71
Syngr3	0.0	0.0	0.0	842.57	0.0	0.62	290.49	165.57	224.9	287.51	55.64	151.25	300.04	55.32	104.91	182.16	104.12	173.68	277.8	246.29	250.17	188.41	270.8	122.72	194.46	481.52	174.35	0.0
Syt7	0.0	0.07	0.0	37.05	0.0	0.34	0.43	20.55	13.43	26.76	6.64	1.66	4.68	33.71	21.13	25.19	3.65	11.04	15.55	19.06	26.82	6.19	20.0	10.92	9.63	70.56	11.07	0.0
Tasp1	0.0	0.0	0.0	168.75	0.0	0.0	10.13	102.34	71.26	52.1	0.0	22.86	0.0	45.95	0.0	38.18	7.59	0.0	0.0	44.62	54.74	47.34	18.08	26.02	107.42	109.33	57.48	0.0
Tmem63c	0.0	0.0	0.0	52.27	0.0	0.0	0.0	0.29	15.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.09	4.92	0.0	11.11	0.0	8.38	0.0	9.69	10.23	0.0
Trex1	0.0	0.0	0.0	207.78	0.0	0.0	0.0	75.02	13.66	0.0	0.0	69.22	0.0	55.95	0.0	37.51	0.0	0.0	0.0	15.37	45.04	0.0	0.0	7.37	62.66	76.6	0.0	0.0
Trim35	0.0	0.0	0.0	93.41	0.0	0.16	0.0	45.15	29.21	16.77	40.17	0.0	0.0	9.37	20.33	0.0	42.71	173.28	18.81	29.53	5.1	14.11	2.9	59.12	29.15	29.11	8.82	0.0
Utrn	0.0	0.0	0.0	64.62	0.0	0.19	2.25	16.78	8.18	3.03	0.52	22.86	3.45	0.6	4.08	25.79	13.08	22.0	7.14	19.36	22.55	27.54	5.09	70.91	14.46	22.62	41.49	0.0
Ywhag	0.0	0.12	0.0	213.29	0.0	0.84	68.48	144.38	138.98	92.65	111.15	125.03	132.05	104.25	150.54	115.48	78.52	181.19	101.79	169.54	189.28	101.6	162.74	145.88	99.5	206.04	164.19	0.0
Zc3hc1	0.0	0.0	0.0	217.83	0.0	0.65	0.0	91.24	123.41	0.0	60.95	0.0	0.0	71.55	1.96	28.06	53.69	149.88	13.27	20.73	0.0	31.48	0.0	37.47	45.23	54.03	46.9	0.0
