	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_43	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_81	Rbp4_tdTpositive_cell_51	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Ldhb	7486.96	2593.67	9309.63	8550.52	10894.4	10165.1	11261.44	8285.69	10004.69	13571.31	12546.17	9755.78	7659.83	11010.48	7750.55	7194.73	9082.37	7199.93	7844.79	7830.1	11746.38	2283.51	2284.99
Lphn1	6.71	0.0	15.35	38.98	9.32	0.08	38.38	0.0	30.23	6.59	36.32	9.96	0.0	19.21	39.95	94.92	38.37	19.94	10.28	66.49	15.31	46.45	43.94
Lrba	0.0	0.0	0.0	0.03	0.55	4.0	2.02	0.0	1.76	0.93	0.18	0.0	0.0	6.66	0.05	9.56	0.03	5.39	3.22	0.07	0.11	1.12	1.2
Lrch3	0.0	0.0	0.0	13.98	0.0	10.47	34.19	7.47	0.0	0.0	2.93	1.45	0.0	1.53	1.0	27.88	0.0	31.54	2.38	25.37	0.0	2.17	2.68
Med18	0.0	0.0	0.39	0.19	2.78	29.86	0.0	28.09	5.93	0.0	0.76	0.79	0.59	0.63	1.66	96.33	5.89	2.9	0.0	0.44	2.16	4.72	11.55
Mfsd2b	0.17	0.11	1.02	1.17	12.03	7.07	2.83	0.75	3.35	2.17	1.63	1.42	2.9	1.89	3.09	5.11	1.11	2.96	2.37	3.66	1.55	5.02	4.28
Mrto4	0.0	0.0	0.0	17.97	61.66	75.4	30.53	157.61	66.14	100.7	52.69	0.0	0.51	114.31	0.0	210.29	0.0	96.31	47.92	42.59	149.1	50.97	45.98
Plscr3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.0	39.46	0.0	0.0	34.29	0.0	0.0	0.0	0.0	0.0	5.51	2.37
Rngtt	0.0	0.0	0.0	0.0	11.54	34.15	0.0	0.0	36.16	0.07	2.34	7.08	0.0	12.25	17.09	58.75	4.3	23.47	16.12	44.7	0.56	21.63	14.44
Rtkn2	0.01	0.09	1.42	1.35	0.22	0.17	0.86	6.59	2.22	2.69	0.12	0.66	1.17	1.42	0.72	4.07	0.28	1.72	0.61	1.97	1.1	2.44	2.26
Scrt2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.96	0.0	0.68	3.96	0.13	10.51	0.05	2.21	0.61	0.53	0.46	0.0	0.33
Sept8	0.0	0.0	0.0	0.0	5.98	0.0	8.66	8.1	0.0	0.0	0.0	13.79	16.08	2.65	5.54	84.04	3.18	8.08	1.54	23.15	0.0	19.05	15.97
Shroom3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.35	0.0	0.0	0.08	0.0	6.98	0.0	0.0	0.0	0.0	0.0	0.1	0.91
Sorbs2	0.0	0.0	6.02	40.18	8.99	23.94	3.11	15.01	4.38	47.21	19.32	18.45	47.45	11.83	6.53	123.75	21.75	15.85	4.59	24.68	50.42	30.26	32.68
Srrt	0.0	0.0	0.0	0.0	13.72	0.43	0.0	4.86	0.0	0.0	7.28	12.5	11.44	39.34	4.13	63.6	4.04	48.01	0.95	21.41	0.0	8.18	14.95
Tfpt	0.0	0.0	0.0	0.0	41.19	23.36	71.68	0.0	30.54	0.0	0.0	47.43	0.0	22.47	0.0	61.29	31.73	0.0	25.04	49.06	21.01	21.51	12.83
Tmem126a	53.66	0.0	54.04	102.02	454.91	226.87	97.34	59.26	98.47	163.55	126.93	172.65	39.69	305.32	116.07	482.64	42.13	92.79	81.34	63.73	26.94	101.76	119.03
Tmem14c	0.0	0.0	93.64	115.14	219.13	79.57	161.95	38.0	112.59	192.62	226.13	224.43	113.79	51.91	0.0	259.42	71.39	208.32	53.03	250.49	96.69	144.25	116.69
Ube2ql1	0.0	0.0	12.53	19.56	0.0	26.4	27.67	16.47	0.0	12.33	53.94	54.41	8.0	31.39	75.07	63.89	32.54	76.53	48.09	86.64	12.48	55.32	54.4
Usp27x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.1	19.28	0.0	11.87	0.0	0.0	0.0	2.22	0.85
Wdr60	0.0	0.0	4.23	0.0	0.0	34.14	0.0	0.98	5.82	6.97	6.69	2.44	3.17	9.5	1.1	14.32	0.2	22.17	1.3	8.22	1.61	5.42	7.32
Xylt1	0.0	0.0	0.0	0.0	0.0	2.74	0.0	0.0	0.0	6.86	0.0	7.77	0.0	0.0	0.0	6.75	0.0	0.0	0.0	0.0	0.0	1.43	1.35
Ybey	3.6	0.1	3.7	4.68	29.49	5.55	4.01	17.77	2.57	1.58	22.94	8.15	3.24	10.63	3.92	33.65	3.98	7.25	2.68	5.61	2.56	6.86	3.81
Zdhhc2	0.0	0.0	1.53	0.0	3.83	0.0	0.0	0.0	4.8	0.0	19.33	8.91	0.0	0.0	0.0	77.32	0.0	0.0	0.0	20.35	0.0	8.83	7.38
Zfp184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.63	0.0	0.0	0.0	0.0	0.0	0.25	4.5
Zfp599	0.0	0.0	0.0	0.0	0.13	0.18	4.84	0.15	0.07	0.0	0.09	0.0	0.0	56.16	0.38	70.17	0.06	0.32	0.23	0.19	0.0	12.55	10.15
Zfyve28	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	3.06	13.59	2.24	0.0	0.0	1.75	0.0	27.52	1.31	14.48	0.0	15.83	11.12	7.99	6.15
