	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_75	Ndnf_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_26	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_34	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_44	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_2	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_6	PvalbF.Gad2_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_57	PvalbF.Gad2_tdTpositive_cell_79	PvalbF.Gad2_tdTpositive_cell_88	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_16	Rorb_tdTpositive_cell_54	Tac2_tdTpositive_cell_8
Gm14434	0.0	0.0	0.0	21.67	20.12	0.0	0.0	14.72	31.75	1.87	6.05	13.5	6.81	30.51	15.56	5.35	13.46	29.72	3.22	28.02	3.07	20.8	24.87	11.03	10.87	18.55	13.57	1.28	8.49	4.08	18.47	19.12	11.25	0.0	0.32	19.5	0.54	8.34	13.98	16.82	0.44	6.94	2.38	0.12	0.0	8.24
Gm2506	0.0	0.54	0.0	9.27	9.65	0.0	0.0	6.15	2.68	8.29	0.0	1.08	4.51	0.0	0.46	1.16	0.0	11.35	0.0	0.0	3.31	2.97	2.97	0.76	0.0	0.0	0.0	11.61	0.0	2.62	0.0	0.0	1.92	0.0	4.77	8.43	8.14	0.0	0.0	1.44	0.0	0.85	9.34	0.0	0.11	0.21
Gm4724	0.0	0.0	0.0	21.67	20.12	0.0	0.0	14.72	31.75	1.87	6.05	13.5	6.81	30.51	15.56	5.35	13.46	29.72	3.22	28.02	3.07	20.8	24.87	11.03	10.87	18.55	13.57	1.28	8.49	4.08	18.47	19.12	11.25	0.0	0.32	19.5	0.54	8.34	13.98	16.82	0.44	6.94	2.38	0.12	0.0	8.24
Ldhb	7486.96	8970.97	5274.92	7692.96	6604.57	5876.73	2725.21	10894.4	8525.9	8892.3	9220.91	9343.6	6807.49	8620.64	5567.75	8223.21	10165.1	5594.14	9166.61	7343.35	11261.44	7829.53	6969.49	10004.69	8757.21	9074.03	13571.31	7093.74	6113.3	12546.17	7218.63	7758.33	9106.97	8513.41	9755.78	8390.99	11010.48	10182.84	7750.55	6379.79	6259.84	5354.38	11746.38	2798.49	3599.45	7324.1
Lrrc4c	0.0	0.0	0.0	484.26	403.35	0.0	0.0	34.91	139.42	214.28	125.15	246.31	273.44	120.13	312.51	288.88	200.5	691.68	74.25	214.63	290.13	114.9	209.59	162.11	133.28	134.56	197.23	182.08	53.07	150.95	53.47	92.83	73.17	108.57	153.31	82.35	111.69	108.71	152.33	134.38	133.47	28.17	82.19	0.2	1.27	64.77
Pdxk	0.0	62.1	0.0	91.58	117.2	0.39	0.47	28.26	48.53	12.45	38.99	16.39	56.85	0.67	72.85	7.54	7.2	124.25	84.02	22.62	17.69	57.87	162.27	9.26	39.47	40.61	20.61	57.45	52.7	40.97	11.09	115.25	79.92	29.23	37.86	79.33	46.83	26.72	62.42	28.26	39.65	10.0	0.93	2.55	0.37	126.76
Phf20	0.0	0.04	0.0	46.34	24.9	0.05	0.21	68.08	56.95	50.63	12.81	34.99	42.17	58.75	17.86	59.39	56.15	35.37	44.2	7.64	15.24	93.55	125.21	61.67	25.7	48.59	16.63	65.75	9.29	17.62	38.32	56.91	71.13	4.83	33.65	82.97	21.21	18.78	17.32	47.03	7.01	0.04	23.93	0.12	0.15	32.5
Rab27b	0.31	0.09	0.0	57.45	102.85	0.9	0.65	21.09	45.0	38.44	46.5	28.12	18.78	0.59	101.45	51.61	0.0	144.62	0.0	29.4	39.05	78.69	87.67	40.59	0.16	32.54	7.82	78.7	20.05	14.37	23.09	13.07	22.28	9.48	4.71	46.25	0.0	7.72	37.03	53.43	30.11	0.13	15.17	0.11	0.31	67.37
Rbmx	0.0	0.0	0.0	93.48	313.9	170.78	0.0	97.1	41.13	41.12	45.23	316.41	174.97	62.04	201.84	180.94	65.81	325.64	58.63	178.21	0.47	62.65	155.23	257.24	1.28	150.65	104.34	191.38	0.0	134.83	105.52	121.06	55.33	29.72	144.42	172.24	237.75	78.9	28.45	2.72	0.37	1.05	99.01	0.29	0.22	85.26
Slc25a23	7.29	0.0	0.14	45.93	61.62	0.0	0.18	12.03	97.47	18.94	29.02	24.43	18.35	19.85	81.61	2.62	0.96	79.14	0.91	20.96	3.87	33.56	47.43	14.18	33.33	12.29	39.26	102.86	22.32	12.22	31.26	32.21	47.05	23.55	31.22	138.83	29.48	13.25	13.46	32.04	1.32	23.52	70.57	0.0	0.21	50.92
Slc39a10	0.0	41.75	0.0	12.26	73.78	0.0	0.0	27.67	49.81	8.31	12.16	32.27	26.08	7.03	22.59	11.25	12.83	109.43	3.11	77.0	0.0	28.94	29.44	35.47	0.0	13.7	52.19	91.12	0.88	8.89	21.64	46.73	2.77	3.25	18.52	58.91	0.0	22.82	7.78	23.45	5.35	2.95	35.58	0.07	0.21	8.11
Tsr2	10.29	0.0	0.0	127.8	159.14	0.0	0.0	26.41	44.24	90.42	54.69	40.91	75.14	54.52	19.04	74.38	26.49	109.87	0.0	58.01	22.81	140.08	50.27	33.93	22.11	43.83	33.77	49.19	0.0	49.03	32.89	38.15	46.34	28.67	29.76	77.37	40.74	116.28	7.08	28.22	14.49	0.24	98.62	0.0	0.19	103.03
Uba3	0.0	126.79	0.0	367.1	516.72	0.0	0.25	170.1	352.65	306.62	240.7	469.22	335.32	356.95	340.31	308.79	319.51	314.72	231.24	472.87	495.3	286.17	685.08	387.16	251.08	270.0	433.52	345.77	47.23	329.49	267.65	328.59	315.96	231.37	194.51	222.37	201.68	356.63	333.77	213.66	253.66	118.05	153.69	0.15	0.82	110.95
Ube2h	0.0	19.11	0.0	142.4	156.89	0.0	43.11	42.98	57.06	121.96	124.87	197.76	130.86	302.39	187.8	277.67	99.67	193.22	158.75	269.0	88.69	192.88	324.55	76.48	143.48	98.95	32.98	154.57	84.94	142.76	120.17	116.27	152.27	88.15	177.22	210.02	71.8	155.17	98.29	129.37	31.04	25.11	128.03	0.25	0.26	66.01
Wdr12	0.0	44.54	0.16	253.44	85.54	0.0	0.0	58.22	56.84	72.51	55.34	116.19	107.46	60.05	30.73	122.89	81.26	81.29	1.9	109.19	102.76	73.8	185.99	95.33	0.0	47.69	23.08	95.2	36.62	122.45	0.0	132.81	41.01	43.48	85.25	147.47	2.03	100.05	36.74	69.84	9.89	0.16	67.53	0.0	0.13	132.64
