	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_123	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Dab2ip	0.0	11.5	12.66	63.93	64.06	67.56
Dact1	0.0	0.0	0.0	6.64	6.34	5.2
Dazl	0.0	0.0	0.0	3.69	3.12	3.15
Dbr1	0.0	0.0	0.0	13.85	14.25	13.47
Dhx33	0.0	0.0	0.0	23.89	25.22	23.18
Dpf1	0.0	7.61	4.13	47.74	50.08	44.62
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Dusp12	0.0	0.0	0.0	21.84	20.09	20.13
Fam122b	0.0	0.0	0.0	4.93	4.94	4.97
Fam132a	0.0	0.0	0.0	19.02	20.52	16.2
Fam53b	6.68	0.0	0.0	15.85	17.32	18.24
Fhod1	0.0	0.18	0.0	3.89	4.06	3.96
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Fuk	0.0	1.82	0.0	12.3	14.05	13.61
Gbe1	0.0	0.0	0.0	9.43	10.54	10.46
Gimap3	0.0	0.45	0.0	0.28	0.23	0.31
Gm15760	0.12	0.09	0.22	1.95	1.86	1.8
Gm20571	0.0	0.0	0.0	5.06	4.94	0.94
Gm7334	0.0	0.0	0.0	29.25	29.71	21.97
Gm9376	0.0	0.0	0.0	0.0	0.6	0.0
Gm98	34.25	0.0	0.0	20.98	20.99	26.13
Gpatch1	0.0	0.0	0.0	20.95	21.95	20.94
Gpr115	0.0	0.0	0.0	1.8	1.46	1.66
Gpr151	0.0	0.0	0.0	1.34	0.98	1.07
Gpr37l1	0.49	0.0	0.0	166.73	179.09	183.06
Grap	0.0	0.21	0.0	7.02	6.97	6.9
Gsg1	0.0	0.0	0.0	0.92	0.62	1.1
Gtf2h4	0.0	0.0	0.0	17.84	20.94	17.53
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h2bc	0.0	0.0	0.0	76.94	87.89	81.18
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hist2h2aa1	0.0	7.52	0.0	49.46	45.6	54.85
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Il17rd	0.28	0.09	0.41	2.68	2.44	2.51
Inha	0.0	0.0	0.0	38.56	39.48	40.02
Iqcc	0.0	3.45	0.17	15.23	13.67	14.89
Itgb5	0.0	0.0	0.0	29.46	28.45	30.72
Kctd16	0.0	15.31	0.0	36.64	26.1	42.37
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kpna4	0.0	11.59	2.6	58.6	57.09	56.33
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lrp10	0.0	0.0	0.0	18.03	22.06	21.75
Lrrc49	0.0	56.91	17.46	59.53	58.01	57.18
Ltbp3	0.0	0.0	0.0	15.75	17.07	19.52
Mapkbp1	0.07	8.76	0.67	28.61	27.57	30.3
Mark2	0.0	3.84	0.0	61.73	61.24	61.66
Mef2d	0.0	0.0	0.0	110.76	106.58	106.74
Mical1	0.0	0.0	0.0	6.65	7.71	8.3
Mtap1s	0.0	0.0	0.0	36.51	42.07	41.64
Myrip	0.0	3.57	0.0	42.5	41.89	43.13
Narg2	0.0	0.0	0.0	6.23	5.11	6.32
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nr6a1	0.0	0.0	0.0	5.22	5.02	5.35
Nt5dc3	0.16	2.24	4.56	67.85	65.67	69.07
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Oxgr1	0.0	0.09	0.0	0.24	0.15	0.24
Pcdha11	0.0	0.0	0.0	4.23	4.84	2.9
Pcnxl2	0.0	8.22	0.21	45.59	44.85	48.1
Pdcd7	0.0	0.0	0.0	22.38	23.06	22.47
Phtf1	0.0	0.0	0.0	39.72	36.2	36.1
Plxnd1	0.0	0.0	0.0	45.32	48.04	46.87
Pnpla3	0.0	0.98	0.44	9.57	9.56	10.58
Pon2	0.0	0.0	0.0	45.75	47.84	54.54
Ppapdc3	0.0	0.0	0.0	26.75	28.17	27.89
Ppfibp2	0.0	0.0	0.0	6.87	6.28	6.68
Ppp2r5b	0.0	0.0	0.0	116.6	126.11	122.75
Prosapip1	0.08	15.76	51.09	163.03	169.8	159.81
Pycrl	0.0	0.0	0.0	22.04	23.77	24.51
Rab33a	0.0	0.0	0.4	41.08	43.4	41.44
Rdh5	0.0	0.0	0.0	2.87	2.47	3.29
Rhobtb2	0.0	4.23	0.0	60.65	60.9	53.86
Rnf165	0.03	0.17	0.4	24.71	25.79	25.0
Rnf26	21.82	0.0	0.0	29.58	32.83	33.78
Rtel1	0.0	11.56	0.0	13.05	11.71	12.29
Rtn4r	0.0	39.09	0.0	85.39	99.78	92.33
Scarb2	0.0	38.71	0.0	84.94	85.35	89.91
Sh2b1	0.11	40.73	0.11	51.42	51.96	51.66
Sh2d5	0.0	11.84	0.13	82.4	82.0	81.33
Slc35c2	0.0	0.0	0.0	49.75	54.02	49.06
Slmo1	0.0	21.3	0.51	33.1	32.1	34.86
Snord42b	0.0	0.0	0.0	21.63	5.09	5.58
Sox9	0.0	0.0	0.09	14.41	13.95	17.45
Spef2	0.0	0.0	0.0	0.66	0.43	0.34
Spr	0.0	0.0	0.0	43.14	49.12	46.56
Sptlc2	0.0	0.0	0.0	16.83	15.71	16.18
Srrt	0.0	25.06	0.0	78.48	84.51	85.7
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tbc1d2	0.0	0.0	0.0	2.74	2.56	2.35
Tfpi	0.0	0.0	0.0	5.66	4.41	5.19
Tmem63c	0.0	5.35	0.0	40.93	37.28	44.54
Trmt11	0.16	0.41	1.75	6.79	6.32	6.58
Trnp1	0.0	1.18	0.0	145.67	166.53	149.43
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Vapb	0.0	0.0	5.68	53.38	58.23	58.6
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wdr19	0.0	0.43	0.0	15.07	14.51	14.8
Wdr77	0.11	2.42	0.0	39.84	39.65	38.12
Zfp326	0.0	0.0	0.0	26.86	26.61	26.66
Zfp598	0.12	0.1	0.0	29.85	31.91	30.48
Zfp777	0.0	0.0	0.0	21.37	25.05	23.75
Zfp91	0.0	2.14	0.0	72.51	70.41	73.83
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
Zranb3	0.0	0.0	0.0	5.96	5.3	5.59
Zscan12	0.0	0.0	0.06	4.43	3.76	4.77
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK140300	0.0	0.0	0.0	1475.61	1565.1	1568.58
mt_AK166684	0.0	5.86	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
