	Calb2_tdTpositive_cell_53	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_20	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_87	Pvalb_tdTpositive_cell_89	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Tac2_tdTpositive_cell_8	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Nup133	0.28	1.06	1.17	0.3	0.44	0.55	1.14	1.37	11.19	19.5	0.25	0.37	2.62	20.21	29.4	15.34	18.91	0.86	5.61	4.31	0.77	0.36	8.55	0.13	0.49	13.95	0.91	1.2	0.82	5.24	5.86	6.32	32.16	0.09	0.43	0.42	17.65	17.21	17.38
Olfr56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.05	0.05
Pcdhga3	0.0	0.0	0.0	0.0	18.5	13.05	0.0	0.0	3.18	0.44	39.1	0.0	0.0	0.0	95.74	0.0	0.0	0.0	0.0	0.0	12.07	0.0	0.96	0.0	14.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.05	0.0	0.0	0.0	14.42	16.32	18.38
Pcdhga4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.66	42.67	0.0	0.17	0.0	0.0	0.0	1.37	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.78	13.38	12.64
Pcsk2	0.0	0.2	0.0	0.16	0.0	0.14	0.0	0.31	0.0	0.0	0.0	0.0	0.83	0.0	62.59	7.57	0.0	14.01	0.3	0.96	0.2	3.44	5.11	0.76	9.18	10.09	0.0	0.0	13.77	17.92	40.01	6.39	15.27	0.47	11.62	0.0	244.72	241.91	241.58
Pole2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.39	0.91
Prrg2	0.75	0.0	0.0	0.0	0.0	0.81	0.0	0.0	0.0	0.0	0.0	31.1	0.0	0.0	103.09	0.0	0.0	4.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.13	29.52	0.0	0.0	0.0	0.0	0.0	17.17	0.0	0.0	0.0	8.24	6.67	8.82
Psmb4	0.0	112.97	168.02	0.0	88.4	61.45	0.7	0.0	72.07	143.11	60.01	118.55	100.85	87.27	273.64	124.47	172.02	53.21	5.8	0.0	98.92	76.97	0.92	152.48	65.02	13.57	161.07	35.86	58.7	56.4	69.85	133.57	149.1	162.79	116.19	92.8	224.55	245.79	231.7
Ptprf	0.0	0.63	0.7	0.0	0.0	0.0	0.0	0.0	0.0	5.6	0.0	0.0	0.0	0.0	20.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.64	0.0	34.48	33.3	36.66
Pvt1	0.0	6.66	10.07	4.61	18.46	32.67	26.4	0.0	6.41	16.02	21.17	0.0	24.93	1.16	103.52	0.0	1.95	0.36	18.18	2.23	10.28	13.46	0.0	0.0	3.09	6.98	0.32	4.95	1.61	0.0	15.58	2.03	7.97	2.64	30.24	1.37	6.02	5.8	7.58
Rasal2	0.0	0.04	0.0	11.42	0.0	12.51	1.56	0.0	13.16	10.63	1.14	9.89	10.87	4.22	22.92	4.85	2.38	0.18	1.83	7.65	0.0	6.52	8.04	20.01	8.08	16.02	4.41	15.67	0.35	10.87	0.21	14.13	25.24	12.44	1.63	1.14	34.89	33.03	35.51
Rasal3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.52	2.15
Rexo2	0.0	14.42	0.81	0.0	6.9	11.16	9.79	66.37	0.0	41.79	0.77	0.0	13.71	0.0	161.59	0.0	22.86	13.27	7.03	1.1	20.83	23.4	18.18	26.58	32.22	28.82	34.64	5.89	52.27	49.41	47.72	66.61	52.47	19.13	0.0	41.28	69.59	77.82	70.24
