	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Ctgf_tdTpositive_cell_3	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Pvalb_tdTpositive_cell_50	Pvalb_tdTpositive_cell_52	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_10	Sst_tdTpositive_cell_2	Sst_tdTpositive_cell_5	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_30	Sst_tdTpositive_cell_36	Sst_tdTpositive_cell_51	Sst_tdTpositive_cell_92
C330006A16Rik	29.71	278.5	181.99	36.8	0.07	14.55	0.0	151.98	88.1	185.42	0.0	29.4	79.06	112.33	130.84	135.97	92.84	113.35	22.31	34.98	172.85	94.31	6.33	60.78	35.72	96.11	0.13	88.48	41.28	106.7	133.96	360.23	61.59	0.0	14.78	0.0	0.0	135.92	145.96	246.17	336.36	281.01	253.4	138.73
Ccdc6	95.05	75.27	84.4	58.25	29.24	41.91	0.0	115.71	162.49	151.28	0.0	37.06	97.91	63.37	147.25	54.75	46.32	53.98	61.11	97.57	98.72	128.36	58.2	87.59	104.83	100.3	4.59	97.1	103.93	40.75	21.31	86.18	137.45	0.22	0.03	0.0	0.0	219.17	156.26	14.34	77.83	127.01	103.73	81.51
Churc1	411.14	452.74	350.06	300.1	472.7	461.66	476.71	385.08	433.58	508.5	176.98	382.42	336.67	456.61	351.36	517.13	531.54	377.26	616.38	516.88	367.04	225.27	719.5	356.19	451.83	547.27	267.14	338.22	334.11	522.42	481.81	664.54	915.6	346.75	201.35	419.91	290.4	499.63	634.49	157.25	758.05	669.16	470.79	284.95
Cycs	476.31	750.92	532.42	462.18	803.56	1390.2	981.24	732.41	692.22	879.09	2.45	543.13	683.82	527.08	622.03	548.27	439.14	440.58	465.76	466.36	561.05	394.04	454.21	479.62	649.71	598.92	101.08	608.49	399.93	640.48	494.73	1801.32	929.04	4.55	467.54	8.15	146.43	1373.0	1149.12	1034.99	1156.03	678.25	674.43	1147.18
Ephx4	43.85	10.9	0.0	68.05	45.79	15.3	0.0	0.34	117.28	28.86	0.0	0.1	37.56	27.41	103.36	9.11	43.66	53.94	0.0	0.0	2.94	0.0	0.0	1.04	42.36	27.0	0.0	11.97	10.79	42.48	142.81	452.78	247.66	0.0	0.0	0.0	0.0	823.42	427.47	2.91	663.6	82.33	335.78	0.0
Exosc7	62.05	93.47	0.0	57.47	60.32	164.91	0.0	91.23	521.46	273.1	0.0	156.12	148.74	102.98	122.22	73.04	15.52	152.69	71.61	0.0	253.15	92.47	0.0	79.48	55.05	31.17	0.16	0.16	110.23	36.12	47.31	555.98	174.81	0.0	0.18	0.0	0.0	443.69	247.71	45.24	167.35	139.08	394.32	206.61
Fgf12	213.29	183.06	335.44	259.35	172.37	77.86	0.0	381.46	189.66	155.84	0.0	68.55	139.29	218.66	202.83	103.79	215.2	62.17	115.63	139.02	68.98	185.53	130.95	33.44	210.5	241.24	0.31	116.35	108.72	95.68	161.6	353.44	327.22	0.0	0.12	0.0	0.0	89.39	379.18	700.59	467.73	63.4	220.48	521.79
Glod4	83.63	5.88	14.99	83.14	161.62	34.21	1.22	194.09	186.0	3.98	0.0	1.37	95.47	46.78	15.01	82.36	86.73	154.57	35.1	55.5	121.0	6.23	152.18	1.85	73.69	72.82	5.57	65.55	110.21	50.18	137.11	260.88	154.79	0.97	3.11	24.34	2.94	211.66	146.07	80.7	122.27	12.95	13.2	33.56
Gria1	144.38	158.85	240.79	168.71	22.08	35.53	0.16	343.75	134.67	20.16	0.0	53.34	212.53	162.64	156.26	149.91	142.19	138.39	172.42	111.29	70.1	148.62	233.59	101.4	204.59	122.58	3.61	138.84	117.6	191.78	296.24	304.96	239.8	0.41	0.1	0.43	0.0	249.79	319.77	228.18	427.07	310.66	677.84	145.19
Idh3a	395.31	551.48	436.06	372.05	377.11	514.85	0.0	769.8	465.66	702.61	0.0	404.48	754.81	387.33	540.67	244.86	468.13	522.45	259.68	264.54	766.9	206.08	340.81	463.46	332.88	526.56	0.07	461.07	610.98	714.1	438.6	1317.35	730.65	0.0	0.46	0.0	298.91	705.51	879.21	963.63	1267.29	861.09	1077.79	619.38
Limch1	17.8	0.56	27.09	23.13	0.0	0.0	0.0	0.0	11.35	0.04	0.0	7.58	5.94	0.0	1.17	11.37	13.15	46.21	0.87	7.67	11.84	0.0	0.0	0.0	0.03	0.31	0.0	1.0	28.31	0.0	14.58	77.97	53.63	0.2	0.03	0.0	0.0	36.31	81.43	23.58	13.71	40.36	46.85	10.05
Mrps11	78.84	128.14	220.58	46.87	165.81	5.92	0.0	46.78	98.72	49.95	0.0	0.24	75.71	101.26	56.31	148.18	75.23	61.24	10.1	40.75	81.24	77.9	88.82	42.29	49.74	36.15	0.0	97.45	66.64	52.98	40.18	175.28	154.85	0.0	0.0	0.0	0.0	149.57	156.86	279.99	150.84	48.11	140.41	142.31
Nceh1	61.0	54.07	156.58	109.73	71.18	0.0	0.0	100.15	171.75	194.52	0.0	52.36	149.1	70.17	56.05	53.5	82.99	150.63	47.24	100.57	51.36	54.53	29.66	2.07	61.2	114.95	0.04	43.44	10.95	73.74	214.14	253.21	159.96	0.0	0.04	0.0	0.0	195.1	138.97	120.34	136.22	62.69	175.89	184.75
Ociad2	140.82	54.36	134.67	23.41	271.71	116.54	33.95	137.32	206.47	202.94	0.0	132.1	189.02	150.99	181.33	5.62	115.79	40.86	98.05	139.28	148.42	46.68	14.99	102.35	22.69	315.09	6.8	44.26	145.5	9.6	172.88	580.51	314.71	4.09	3.59	12.23	11.38	479.85	440.89	480.96	345.93	436.57	459.57	165.48
Oxr1	158.12	199.75	104.21	226.95	119.22	71.28	0.0	546.17	285.96	225.39	0.0	162.49	70.05	224.57	147.15	76.34	187.7	95.54	19.82	23.69	371.68	170.4	62.06	209.47	170.14	177.29	40.12	95.97	62.12	152.15	373.4	350.83	428.03	0.0	0.07	0.0	53.0	494.05	226.33	433.93	305.06	198.88	829.31	368.33
Pdcd10	163.55	169.38	101.3	35.11	149.08	116.71	0.22	97.35	214.39	90.11	0.0	94.77	229.89	258.8	141.52	213.55	44.48	115.66	75.06	87.02	218.04	154.3	30.92	124.3	63.99	164.82	32.78	84.78	152.74	80.13	155.0	498.64	318.58	16.93	25.69	0.0	0.0	195.93	147.74	386.52	453.19	160.36	135.28	210.09
Polr2m	0.0	44.59	33.46	6.65	161.02	66.21	0.0	52.18	87.67	18.34	0.0	4.81	32.6	36.47	71.14	53.51	34.6	3.26	126.02	46.92	78.28	3.16	19.34	5.31	3.86	83.48	0.0	100.77	162.62	87.06	142.18	48.55	134.44	0.0	0.0	0.0	0.0	110.64	285.55	32.76	130.06	18.42	106.71	14.25
Por	19.07	0.0	78.63	0.56	10.6	0.0	0.0	0.17	107.43	107.85	0.0	3.21	30.2	52.5	51.55	90.24	1.68	1.38	0.5	0.0	0.0	0.0	14.88	54.17	0.0	0.0	0.0	30.66	0.0	70.58	147.44	33.68	200.41	0.0	0.0	0.0	0.0	131.3	17.63	0.0	72.5	4.37	207.52	0.0
Psmd12	262.65	349.35	105.97	215.57	188.66	204.25	0.0	42.95	162.92	138.42	0.0	133.67	211.77	213.47	293.26	218.04	151.55	76.08	52.9	124.65	69.94	33.75	33.45	120.29	196.66	219.52	0.09	251.71	61.0	247.22	243.29	644.23	345.51	0.0	0.0	0.0	0.0	648.31	349.24	250.33	377.77	137.62	405.88	323.23
Rbbp7	85.19	91.1	107.9	93.57	158.96	23.49	0.0	0.0	52.82	176.22	0.0	0.21	34.82	70.65	51.19	110.33	51.51	20.9	3.63	120.11	1.48	0.1	7.59	58.81	73.48	10.52	0.0	44.62	24.73	12.76	151.47	368.86	354.47	0.0	0.08	0.0	431.34	598.63	106.35	156.28	58.5	85.78	360.44	49.48
Rcan2	109.3	435.28	669.22	96.9	308.4	78.9	0.0	1354.95	1094.26	494.76	0.0	93.89	84.99	38.11	134.33	75.53	305.55	98.01	123.74	34.11	83.59	130.98	131.79	53.25	74.62	107.64	0.1	175.49	153.34	90.29	695.79	1017.85	977.77	0.0	0.12	0.19	0.16	676.54	1255.44	1164.03	2110.21	836.96	910.1	1228.7
Scn2b	597.12	643.88	668.61	404.61	319.88	168.79	3.35	1117.1	349.88	847.17	0.0	395.67	445.31	762.72	548.15	613.57	643.53	734.12	497.87	507.09	922.54	489.16	186.96	450.16	578.91	574.58	0.35	691.4	523.62	470.57	904.08	1300.49	820.49	1.09	1.05	0.43	0.15	791.29	1118.5	674.64	544.91	942.39	1283.77	927.47
Sema3a	37.0	57.14	64.67	0.72	51.25	0.15	0.0	159.64	107.46	7.68	0.0	7.08	0.65	118.56	23.86	113.93	411.93	23.85	60.73	15.14	18.75	31.2	0.0	47.97	3.89	57.29	0.07	16.75	100.94	0.26	67.24	194.35	69.23	2.04	0.21	1.31	0.09	42.2	65.41	50.5	320.39	146.74	188.51	297.7
Sf3b4	6.5	37.92	19.14	0.0	1.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.87	6.09	28.53	14.42	18.72	11.59	0.0	0.0	0.14	0.0	0.0	36.22	0.12	19.28	0.0	24.97	0.0	0.0	85.55	46.29	12.76	0.0	0.0	0.0	0.0	106.12	156.36	2.31	8.22	24.98	54.02	18.66
Slc37a3	6.57	0.0	0.0	20.57	17.31	0.0	0.0	30.56	61.52	0.0	0.0	106.85	0.06	12.19	3.17	25.21	20.89	28.32	11.05	0.0	74.87	0.1	3.67	0.0	0.0	49.87	0.04	25.54	0.0	9.4	0.11	77.85	9.92	0.0	0.0	0.0	0.0	15.84	110.98	136.01	14.33	0.37	67.04	12.65
Sst	36227.54	54779.79	110572.87	52293.57	92299.24	48476.57	0.0	72114.03	79456.04	80147.45	0.0	53894.31	56866.87	57147.69	53884.47	50199.22	40467.48	51551.12	68952.67	63593.53	54941.04	65451.11	55479.93	53524.63	52986.0	59257.22	113.36	56460.73	63808.17	57846.93	50608.74	98.15	18136.14	2.17	0.0	0.0	0.0	18766.19	17172.22	78404.02	13180.88	12906.45	15680.56	60686.4
Strbp	56.49	32.94	19.79	42.39	23.08	13.95	0.32	159.92	135.58	142.54	0.0	45.24	29.52	67.87	76.77	88.4	104.11	46.42	42.23	28.34	37.57	19.54	30.12	90.93	44.91	110.31	0.45	64.97	25.57	70.52	114.18	186.54	152.54	0.99	0.61	2.99	0.0	94.3	50.95	45.65	147.68	134.05	158.7	186.84
Tgoln2	12.48	0.0	5.1	29.7	0.0	86.18	0.0	0.0	0.0	53.98	0.0	1.15	127.56	0.0	7.39	37.5	9.27	0.0	0.0	0.0	75.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.87	8.09	33.06	17.67	0.0	0.0	0.0	0.0	100.29	173.42	93.47	108.05	98.29	28.73	0.0
Tspyl4	244.73	224.24	252.82	234.06	221.1	173.85	0.0	405.9	346.65	338.76	0.0	82.85	249.75	332.5	410.02	394.1	514.95	407.13	142.71	192.88	232.54	451.17	98.6	255.94	143.23	175.16	0.16	342.16	304.97	295.36	373.99	531.82	501.62	0.0	0.0	0.0	0.0	517.5	346.86	359.98	359.94	402.02	568.46	476.46
Wdr48	28.64	25.31	81.59	16.56	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	23.15	2.12	0.0	13.68	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.18	0.06	0.0	52.74	6.73	0.0	0.0	0.0	0.0	34.25	58.09	0.0	0.28	14.6	34.7	49.24
