	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_19	Scnn1a.Tg2_tdTpositive_cell_14	Scnn1a.Tg3_tdTnegative_cell_11	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Bcas3	0.0	0.0	0.0	0.0	0.0	57.07	0.13	13.7	5.97	13.67	0.0	0.0	25.96	0.0	0.18	0.41	0.44	0.0	0.18	0.0	0.0	35.09	47.23	0.0	34.11	38.44	34.0
Bdh1	0.61	0.0	0.1	0.0	6.32	0.83	1.21	34.95	8.73	4.22	4.44	0.89	1.38	0.15	0.21	654.46	3.68	0.0	0.0	6.66	0.84	0.33	31.27	0.19	40.08	42.35	39.62
Brca2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19	0.0	0.0	24.33	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.44	0.0	1.93	1.6	2.21
Brd9	0.0	54.22	39.72	0.23	6.13	123.79	16.47	63.55	125.91	39.59	33.03	82.74	82.09	24.95	0.0	37.12	0.0	107.5	0.0	0.0	0.19	94.97	119.03	0.0	76.85	77.62	74.96
Brp44	0.0	0.0	0.0	0.0	178.25	237.05	261.12	98.8	41.59	215.6	115.5	273.71	165.79	127.47	0.0	607.95	0.0	427.48	0.0	0.0	0.0	243.61	147.66	0.0	125.55	139.95	126.55
C630020P19Rik	0.0	0.0	0.08	0.0	0.0	0.0	26.37	0.0	0.33	14.6	0.0	5.52	34.19	0.08	0.0	0.17	0.54	1.0	0.0	0.0	0.0	25.68	83.42	0.0	1.88	1.76	1.78
C730036E19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.11	0.0	0.07
Cacnb4	0.0	0.0	0.0	0.0	101.28	65.38	74.61	33.61	62.48	68.38	96.89	13.72	29.04	63.46	0.16	0.46	107.82	0.0	0.24	0.0	0.12	115.26	352.75	0.0	106.94	89.5	107.65
Camkv	0.0	0.0	0.0	0.0	0.43	9.67	84.45	54.9	37.65	39.45	16.29	26.19	33.56	10.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.65	116.62	0.0	455.8	497.46	456.14
Cask	233.15	0.0	0.0	0.0	128.84	62.93	63.99	25.74	28.23	28.21	22.31	9.4	0.07	0.61	400.17	361.66	249.39	0.0	0.23	413.05	0.0	79.98	147.2	0.12	28.19	26.16	27.53
Ccdc30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.53	0.0	5.11	5.77	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.91	0.0	11.14	10.16	10.29
Ccl27b	0.0	0.0	0.0	0.0	10.7	54.72	30.68	0.23	21.3	40.26	114.35	145.03	118.2	75.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.8	237.48	0.0	30.63	28.29	22.96
Cdc20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.47	0.0	0.95	1.52	1.21
Cds2	0.0	0.0	0.0	0.35	10.05	38.66	6.61	22.48	11.77	21.73	32.54	29.71	40.46	4.05	0.44	0.65	1.01	0.18	0.75	0.29	0.59	17.48	191.9	0.33	203.83	204.49	205.55
Clasp2	41.02	0.0	0.0	0.0	128.54	86.76	101.33	145.29	210.82	182.74	229.33	278.15	279.45	172.81	25.04	63.88	214.76	96.31	82.35	80.52	148.66	123.62	247.76	79.36	146.85	137.13	148.79
Cthrc1	1423.38	0.29	0.28	0.0	0.0	0.0	91.94	0.0	0.0	17.17	0.0	0.0	66.72	0.0	0.28	1083.21	0.0	5.04	0.0	0.0	0.0	44.01	257.14	0.0	11.75	10.9	9.09
D330023K18Rik	0.0	0.0	0.0	0.0	0.0	0.0	84.89	75.34	47.38	15.03	94.12	0.0	0.0	0.0	0.0	0.0	830.83	0.0	0.0	0.0	0.0	0.0	213.01	0.0	5.33	9.65	7.19
Dhrs1	0.0	0.23	0.0	0.0	284.37	183.73	51.81	196.26	210.72	137.32	0.0	98.4	163.41	243.59	0.0	0.0	1.07	0.0	0.45	0.0	0.0	69.88	436.65	0.0	70.64	78.14	72.52
Dido1	0.0	0.0	0.0	0.0	0.55	23.77	5.5	66.12	0.9	6.32	0.0	0.0	33.24	10.31	0.0	0.0	68.4	0.58	0.0	152.02	0.0	37.34	83.87	0.12	34.31	33.36	36.3
E130306D19Rik	0.0	0.0	0.0	0.0	0.0	4.86	0.0	0.0	9.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.68	0.0	0.86	1.27	1.33
Efcab5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.79	0.0	2.45	1.59	2.41
Eif3m	1517.46	0.55	0.0	0.0	245.68	121.44	432.25	150.6	281.47	275.08	113.79	201.62	345.43	223.78	0.0	2.44	1126.36	604.31	0.54	0.0	0.0	172.38	476.03	0.0	93.15	90.14	94.81
Elof1	0.0	0.0	642.17	0.0	5.09	121.63	92.0	85.88	49.52	113.46	57.38	54.77	194.29	129.98	0.0	1.43	0.0	657.92	0.0	0.0	0.45	68.68	367.56	0.0	49.05	51.26	50.54
Endog	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.59	0.0	12.16	20.48	0.0	0.0	0.0	179.56	0.0	0.0	0.0	0.0	0.0	87.77	0.0	20.22	24.57	20.01
Eri2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.12	0.0	70.55	33.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	70.2	0.0	9.13	8.11	9.06
Esco1	0.0	0.0	0.0	0.0	27.45	29.0	8.22	44.23	101.95	15.49	0.0	33.33	54.91	11.68	0.0	0.0	0.0	124.58	0.0	0.0	0.0	20.75	85.88	0.0	13.22	9.67	11.63
Exosc8	0.0	5.58	0.0	0.0	2.09	58.54	51.23	45.89	48.73	74.81	70.68	140.54	3.21	19.66	0.26	0.0	0.0	8.05	5.2	0.0	0.0	142.18	125.64	0.0	17.12	17.08	15.83
Fam189a1	0.0	0.0	0.0	0.0	4.32	32.94	38.18	75.95	24.35	13.5	7.95	3.92	9.58	19.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.52	2.53	0.0	47.7	48.05	48.23
Fam81a	0.0	0.0	0.0	0.0	736.67	545.38	428.78	617.35	414.39	532.18	596.72	724.52	415.36	562.89	0.12	0.87	0.0	0.0	0.67	0.41	0.34	842.14	1081.37	0.0	152.09	141.34	148.58
Fbxl5	0.0	0.0	0.0	0.0	218.52	77.4	158.76	2.3	87.68	27.37	85.99	31.63	106.83	22.02	0.0	0.0	0.64	0.0	0.27	0.0	0.0	68.73	350.15	0.0	86.23	81.05	82.24
Fktn	0.29	1.3	0.84	0.7	1.57	5.67	10.08	14.39	1.97	2.23	5.47	11.18	1.67	74.64	3.31	2.23	4.64	1.38	5.09	4.25	2.62	52.37	127.49	9.1	25.4	20.54	27.02
Fstl1	0.0	0.09	0.0	0.0	2.5	62.38	23.22	16.06	42.81	20.56	34.66	29.97	0.16	5.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.78	113.55	0.0	24.3	25.42	26.36
Gcsh	0.0	0.0	0.0	0.0	0.99	0.0	71.86	16.37	140.67	152.92	100.47	117.08	87.64	178.68	0.0	0.0	0.0	0.0	0.0	320.99	0.0	5.22	292.94	0.0	58.94	64.61	56.71
Gga3	0.0	0.0	0.0	0.0	0.37	0.0	9.52	37.45	0.0	20.23	25.3	2.62	28.34	43.58	0.09	0.42	0.45	0.0	724.38	0.0	0.0	0.0	217.85	0.0	56.8	56.2	56.57
Ggcx	2.02	0.0	5.88	4.04	0.0	0.23	35.21	68.85	2.7	11.05	3.65	10.6	53.74	12.14	0.95	0.76	0.64	0.0	2.01	459.99	0.78	1.14	66.13	60.77	14.59	13.45	15.96
Ggps1	0.0	0.14	0.0	0.65	246.56	141.42	81.15	86.42	66.15	56.0	6.58	4.98	33.69	65.19	0.29	1.61	6.53	0.0	33.97	0.39	137.15	237.71	202.64	3.51	41.22	34.42	33.55
Gm10549	0.79	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.1	0.3	0.32	0.19	0.38	0.0	1.68	0.0	0.0	0.0	0.0	0.0	0.06	1.34	0.0	0.32	0.04	0.04
Gm13306	0.0	0.0	0.0	0.0	10.7	54.72	30.68	0.23	21.3	40.26	114.35	145.03	118.2	75.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.8	237.48	0.0	30.63	28.29	22.96
Gm14322	0.0	16.72	0.09	4.24	0.0	6.79	6.35	9.75	10.33	25.64	22.97	8.62	10.62	1.92	1.89	3.58	7.23	4.41	10.36	7.01	15.7	2.82	114.94	1.33	12.74	10.1	14.55
Gm14435	332.93	0.0	176.94	192.08	85.16	138.11	253.54	141.84	185.63	290.4	174.18	268.01	462.34	237.04	0.3	661.49	342.35	534.3	0.59	0.0	0.0	203.94	350.45	197.84	39.58	35.96	41.98
Gm2506	0.0	0.0	0.0	0.0	10.7	54.72	30.68	0.23	21.3	40.26	114.35	145.03	118.2	75.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.8	237.48	0.0	30.63	28.29	22.96
Gm5643	119.48	0.0	0.0	0.0	49.04	79.61	0.19	1.01	245.05	38.04	242.13	0.73	316.67	99.66	0.0	1.93	0.45	0.0	1.13	28.65	47.87	54.29	508.29	0.0	0.48	0.04	0.0
Gm5662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0
Gm6213	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.0	0.0	0.0	1.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	1.02	0.0	0.0	0.0	0.0
Golph3	0.0	0.0	0.0	0.0	0.5	0.0	0.0	15.83	36.87	44.13	14.94	0.0	178.16	0.39	0.0	21.09	0.0	0.0	0.0	0.0	0.0	0.0	173.55	131.81	82.61	83.83	80.39
Gopc	0.0	0.0	0.0	0.0	0.0	58.35	0.0	41.51	0.0	15.08	22.67	21.91	42.11	7.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	71.53	0.0	36.67	36.73	38.77
Gpr123	0.0	0.0	0.0	0.0	0.82	63.34	83.14	77.52	21.86	46.69	73.78	53.83	49.3	64.63	0.0	0.15	0.0	0.0	0.32	0.0	0.1	138.12	300.89	176.41	36.08	38.01	37.63
Gpr137b	0.0	0.0	0.0	0.0	0.0	30.14	0.0	0.0	34.3	10.97	19.94	0.0	52.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.39	0.0	11.6	11.93	17.24
Gtpbp5	0.0	0.0	0.0	0.0	0.9	0.0	1.96	1.1	6.39	0.16	0.0	14.54	1.44	5.88	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	16.94	17.24	14.88
Gtpbp8	0.0	0.0	0.0	0.0	30.52	0.0	47.28	0.0	36.45	20.35	0.0	0.0	39.82	0.0	0.0	214.83	0.0	0.0	0.0	0.0	0.0	22.93	164.76	0.0	19.93	20.59	23.03
Hdac1	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0	5.41	22.12	0.0	0.0	3.19	5.88	0.33	1316.26	0.0	0.0	0.0	1370.97	0.0	0.0	247.11	0.0	32.01	35.32	30.19
Hiatl1	418.02	0.0	0.0	0.0	0.38	0.0	0.0	0.0	5.5	66.25	54.57	42.77	11.39	99.38	0.1	0.0	389.81	0.0	0.0	0.0	0.0	60.08	81.11	0.0	40.29	38.15	37.94
Irgm1	0.93	0.54	4.4	0.37	1.77	56.59	0.88	3.15	1.08	10.09	0.98	8.58	211.48	18.76	1.02	0.36	8.29	0.67	612.89	26.14	7.04	0.3	285.36	2.97	11.38	9.5	9.22
Itpkc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.52	0.0	3.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.19	0.0	0.0	48.49	0.0	8.41	8.79	7.99
Lmo7	0.0	0.0	0.0	0.0	35.7	23.99	23.25	41.14	17.98	17.11	0.0	0.0	39.7	22.2	0.05	0.12	0.0	0.0	0.0	0.0	0.0	0.0	63.27	0.0	50.59	47.25	46.44
Lrrc28	0.0	0.0	0.0	0.0	0.93	79.21	0.0	41.08	35.3	25.59	0.0	0.0	0.0	0.0	0.0	0.0	375.54	0.0	0.23	0.0	0.0	0.0	0.0	0.0	17.01	17.96	18.41
Lyar	0.0	0.0	0.0	0.0	0.0	25.39	0.0	0.23	0.0	4.58	0.0	0.0	0.0	13.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.35	68.81	0.0	13.31	14.35	12.21
Mak16	0.0	0.0	0.0	0.0	0.0	53.46	76.25	47.69	52.51	77.69	0.0	1.37	19.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.11	401.51	0.0	29.98	31.85	28.38
Mcoln1	0.0	0.0	0.0	0.0	10.43	0.0	0.0	0.0	0.0	4.43	3.27	5.26	1.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34	240.66	0.0	73.08	72.26	71.39
Med24	0.0	0.0	0.0	0.0	4.16	27.71	89.75	38.77	40.54	17.47	1.18	6.92	0.17	40.12	0.0	24.93	0.0	0.0	0.19	0.0	0.0	0.0	185.87	0.0	78.92	82.09	85.89
Mier1	381.02	0.07	0.0	335.18	69.67	6.49	16.15	24.04	32.23	41.34	12.19	27.07	75.35	58.64	0.06	0.0	0.0	0.0	0.14	270.95	6.48	45.63	135.07	0.0	22.87	21.42	21.91
Mir297a-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.64	0.0	0.0	0.0	0.0
Mir690	26828.41	14983.6	19376.41	15562.4	30464.78	30528.33	39867.27	42000.18	28695.45	11744.41	37370.15	37614.4	23271.48	32522.04	27509.93	44948.68	42282.55	27759.51	24726.6	35532.88	23237.11	48007.3	6261.17	26521.64	1.35	1.29	0.95
Mir706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.12	0.0	0.0	0.0	0.0
Mpped1	0.0	0.0	0.0	0.0	2.38	34.43	47.41	112.68	27.47	41.7	41.61	4.05	96.44	7.36	0.2	0.22	0.0	0.0	0.0	0.0	0.0	7.42	150.2	0.0	162.63	168.42	172.83
Mrps21	0.0	0.0	0.0	0.0	195.69	583.92	656.41	674.94	242.85	596.84	1293.08	741.01	627.33	530.77	0.0	0.0	0.0	1127.52	0.0	0.0	0.0	298.51	1047.07	0.0	90.76	95.41	92.6
Mrps22	0.0	0.0	0.0	0.0	0.0	3.42	54.93	0.29	0.0	43.74	0.0	12.36	106.37	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	161.0	0.0	29.72	27.38	28.55
Msh6	0.0	0.0	0.0	0.0	0.0	0.0	20.6	0.0	0.0	0.06	0.0	0.0	27.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.13	0.0	11.31	11.89	10.75
Mterfd3	0.0	0.0	0.21	2401.02	0.0	85.99	52.17	91.49	70.58	9.9	0.0	0.0	162.29	161.85	0.0	0.47	0.0	984.88	0.0	0.0	0.0	8.43	257.97	0.0	21.38	17.08	18.39
Myl4	0.0	0.0	0.0	0.0	3.07	0.4	0.0	0.0	523.36	45.71	0.0	0.0	0.67	8.0	0.38	1.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.22	37.61	42.4
Naa15	0.13	0.0	0.26	0.0	69.06	5.05	13.45	16.27	22.71	15.89	4.76	0.23	28.87	0.0	0.05	0.24	0.0	0.0	0.0	0.0	0.02	26.38	74.82	0.0	26.29	21.24	26.15
Ndufb5	0.0	189.75	0.0	0.0	211.41	817.08	885.07	766.64	1207.65	717.24	706.07	941.01	934.91	878.02	1.67	3.79	0.0	0.0	1.34	0.0	0.0	831.54	632.21	0.0	165.51	177.48	170.52
Nefl	0.0	0.0	0.0	0.0	10.44	107.47	104.28	195.06	151.35	52.42	0.0	39.3	76.3	146.23	0.16	0.37	0.0	0.0	0.0	0.0	0.0	105.7	352.41	0.0	385.15	425.16	402.43
Nr1h5	0.15	0.17	0.0	0.51	0.38	1.27	0.47	1.99	0.54	1.15	0.0	1.02	5.54	2.6	0.0	6.31	0.3	0.0	0.21	1.35	0.54	1.3	3.95	0.0	0.22	0.38	0.56
Nsun6	0.0	0.0	0.0	0.0	0.0	0.0	38.83	57.16	44.73	8.51	3.36	8.95	0.44	57.75	0.0	0.0	40.58	36.01	0.0	0.0	0.0	2.6	79.54	0.0	6.57	4.93	8.07
Nup107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.59	0.82	15.37	0.0	0.0	60.41	0.0	0.1	0.0	0.0	10.64	0.0	0.0	0.0	0.0	130.93	0.0	14.5	13.57	13.68
Nupl2	9.37	0.0	0.0	0.56	0.44	0.84	1.13	2.08	0.58	3.86	0.57	24.66	13.71	0.93	2.07	1.19	1.8	0.0	0.0	40.63	0.0	0.25	74.95	8.01	6.76	7.43	8.53
P2rx3	0.0	0.0	0.0	0.0	0.0	0.16	0.11	0.66	0.0	0.12	0.0	0.0	1.08	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	2.88	0.0	2.06	2.26	2.14
Pcbp3	0.0	0.0	0.0	0.0	82.05	27.31	31.11	0.0	0.0	20.11	0.75	0.0	0.0	0.0	0.0	0.0	0.0	328.8	0.0	0.0	0.0	0.0	194.97	0.0	45.53	56.86	52.97
Pcdhga12	95.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	211.06	0.0	17.38	18.09	18.21
Phrf1	0.0	0.0	0.0	0.0	0.0	2.05	37.02	0.0	1.56	3.2	46.61	2.95	0.24	0.0	0.12	0.0	0.0	0.0	0.0	436.54	0.0	52.85	53.41	0.0	23.3	24.41	24.98
Pigyl	0.0	0.0	0.0	0.0	86.03	195.53	248.22	124.21	111.4	115.99	63.82	173.89	60.41	51.68	0.0	0.0	2.38	0.0	0.0	0.0	0.0	135.56	328.17	0.0	38.7	48.92	48.24
Ppil3	0.0	0.0	0.0	0.0	0.0	122.06	0.0	0.0	92.57	85.5	0.64	0.0	80.37	133.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	339.12	1.21	27.84	26.99	30.09
Ppp2ca	0.0	0.0	0.0	0.0	58.92	54.53	85.93	74.66	26.55	88.65	77.92	48.8	184.49	79.22	0.0	0.38	0.0	2.35	0.0	0.0	0.0	51.88	348.32	0.0	412.48	418.25	392.13
Prickle1	0.0	3.12	242.05	460.69	5.04	1.31	1.6	7.16	98.04	28.7	7.89	7.11	42.12	5.03	0.0	0.0	0.19	0.0	0.16	0.0	0.0	1.49	207.23	0.0	60.79	60.05	57.48
Psg17	0.0	0.0	0.0	0.62	0.0	0.16	0.22	0.73	0.0	0.0	0.39	0.33	1.37	0.6	0.75	0.0	0.0	0.0	0.0	0.0	0.23	0.24	0.87	0.0	0.05	0.09	0.2
Ptdss1	0.0	0.1	0.0	0.0	130.35	0.1	25.11	6.86	5.69	16.2	0.24	40.37	0.99	26.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.86	0.0	51.72	54.95	54.5
Ptk2b	0.0	0.0	0.0	0.0	56.99	65.95	131.41	80.21	114.62	114.0	53.65	10.04	56.63	50.87	0.08	0.38	0.0	0.0	0.0	0.0	0.0	11.23	217.34	0.0	310.21	322.91	308.74
Rab11fip3	0.0	0.0	0.0	0.0	23.4	29.63	23.8	0.0	0.0	13.26	60.54	0.0	48.07	2.58	0.0	20.25	0.0	0.0	0.2	0.0	0.28	8.04	189.11	0.0	71.82	76.68	77.65
Rabl2	0.25	0.0	0.0	0.0	3.19	305.51	221.2	0.0	99.87	140.05	225.35	20.58	0.0	205.94	0.2	3.15	0.0	0.0	0.0	0.0	0.0	229.98	228.58	0.0	33.51	33.71	32.35
Rangap1	0.11	0.0	0.44	0.45	29.76	91.21	75.33	63.71	86.39	68.12	59.67	27.99	50.14	18.84	1.05	4.18	2.75	0.56	1.85	2.36	0.73	117.99	438.27	3.16	179.52	193.72	182.24
Rbm12	0.0	0.0	0.0	0.0	0.69	0.0	0.0	4.4	11.09	8.51	0.0	15.27	107.63	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.34	93.91	0.0	14.81	14.72	15.48
Rbx1	864.13	378.0	517.87	0.0	371.38	554.8	554.69	304.3	434.99	415.65	471.51	475.05	500.85	236.81	2.3	272.1	0.87	0.0	39.04	386.13	1.41	483.86	538.2	212.61	111.64	113.21	106.19
Rce1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.41	34.67	0.0	6.95	79.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.96	181.82	0.0	24.72	23.88	24.17
Rhot1	0.0	0.0	0.0	0.0	0.0	60.1	30.05	40.98	7.82	28.52	17.71	2.01	19.28	6.78	0.15	0.18	26.24	0.0	0.0	0.0	0.0	0.0	152.39	0.0	52.15	49.18	47.93
Rpl36a	0.0	0.74	2105.55	0.0	179.1	208.65	279.59	152.42	391.78	318.93	456.3	375.2	321.01	48.26	1946.66	1.65	675.13	0.0	0.0	1892.78	0.0	246.62	503.79	679.93	203.25	204.94	198.12
