	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_56	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_174	Sst_tdTpositive_cell_106	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Efhd2	0.0	0.0	0.0	0.24	0.07	79.91	1.33	12.65	40.22	22.84	21.77	113.48	152.63	30.24	118.25	252.09	258.98	262.64
Eid2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.23	0.0	0.0	0.41	0.0	29.1	48.88	57.94	50.92
Ep400	0.0	0.0	0.08	2.07	0.03	4.27	1.35	0.18	0.62	9.2	8.22	0.74	1.5	0.44	31.72	26.54	25.34	29.25
Epn2	0.0	0.0	0.0	0.9	0.0	7.94	0.0	0.11	28.37	0.0	0.0	15.36	1.24	16.02	76.82	84.72	82.38	86.14
Exoc7	0.0	0.12	0.0	58.37	0.0	14.46	1.3	34.65	0.0	21.85	0.34	0.23	0.2	54.28	127.12	52.77	51.21	48.96
Extl2	0.0	0.0	0.0	0.0	0.0	0.61	3.66	90.93	116.45	266.06	60.02	125.67	161.59	1.27	577.51	82.52	82.81	82.16
Fam40a	0.16	0.0	0.14	0.0	0.0	0.53	0.0	0.0	2.94	0.0	3.3	10.07	34.07	0.0	54.95	57.82	60.7	56.9
Fn3krp	0.0	0.0	0.0	0.29	0.0	0.0	41.77	0.0	0.18	1.41	0.11	0.0	0.25	0.59	25.28	38.77	36.29	25.96
Frmd3	3.98	0.0	0.49	32.65	0.45	2.46	2.1	0.26	1.04	0.48	0.78	0.62	115.42	175.64	56.84	5.51	4.81	5.18
Fzr1	0.0	0.35	0.0	0.51	0.0	0.0	0.0	29.1	0.0	0.0	3.04	8.25	0.08	15.94	94.93	65.81	73.66	66.13
Gm13306	0.0	0.0	0.0	9.17	0.0	20.98	0.81	11.75	11.59	0.69	0.85	0.0	0.0	389.64	0.6	30.63	28.29	22.96
Gm2506	0.0	0.0	0.0	9.17	0.0	20.98	0.81	11.75	11.59	0.69	0.85	0.0	0.0	389.64	0.6	30.63	28.29	22.96
Gm5567	0.33	0.0	0.0	0.25	0.05	0.0	5.19	0.15	0.22	0.0	0.3	0.0	0.27	5.6	10.74	44.49	38.34	51.32
Gm5820	0.0	0.0	0.0	0.26	0.0	0.1	0.0	0.0	44.61	1.47	0.0	0.0	15.14	0.99	122.23	0.88	0.94	1.26
Gnmt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.39	1.27	0.83	0.81
Gpam	0.0	0.0	0.0	0.15	0.0	0.0	1.09	0.0	0.0	0.0	0.0	0.0	0.0	0.31	47.7	36.95	35.26	40.28
Gpm6b	0.0	0.0	0.0	406.93	71.64	580.83	364.34	205.47	168.27	92.66	77.59	81.68	95.39	30.49	109.35	675.52	645.26	695.87
Gprasp1	0.0	0.0	0.0	23.26	1.07	2.15	3.11	45.04	48.65	49.11	76.75	101.95	50.54	1081.8	314.03	277.04	273.48	269.09
Gps1	0.0	0.0	0.0	0.0	0.0	0.47	2.28	228.79	107.28	289.25	280.09	303.02	100.73	7.62	728.78	147.12	159.12	149.87
Hdgf	0.0	0.0	6.6	22.43	0.0	8.7	0.0	12.16	14.68	13.02	16.3	29.1	0.61	0.53	122.0	137.59	142.1	139.08
Hlf	0.0	0.0	0.08	0.0	0.0	53.67	1.28	22.31	39.93	2.6	33.89	2.56	7.36	4.99	60.2	109.73	107.52	97.85
Hspbp1	0.0	0.0	0.0	0.0	0.0	14.1	2.16	10.43	16.9	49.95	1.71	0.35	45.96	50.58	226.41	92.56	102.81	97.85
Ids	0.1	0.07	0.0	72.87	0.03	25.96	2.04	37.15	6.06	8.05	19.96	20.64	1.75	80.18	56.22	309.23	297.91	298.29
Klhl20	0.0	0.29	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.21	0.06	15.87	11.09	237.31	81.55	16.69	14.67	15.55
Larp1	0.0	0.0	0.0	0.46	0.0	0.13	0.16	2.35	0.16	1.53	8.53	0.12	3.3	0.18	61.39	53.52	50.27	54.8
Ldoc1l	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.08	0.09	28.11	0.11	0.53	28.2	41.83	45.1	45.4
Leo1	0.0	0.0	0.0	0.0	0.0	0.89	0.0	0.0	0.0	5.85	0.73	0.83	21.95	49.2	123.39	24.8	22.89	26.02
Lrch1	0.0	0.0	0.0	70.76	0.03	0.0	0.0	3.47	0.08	0.53	0.05	0.0	0.26	26.56	52.96	9.59	8.87	9.4
Lzts1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	42.24	48.57	42.52
Metap1	0.0	0.0	0.0	0.0	0.0	3.12	0.41	1.31	0.14	44.69	1.88	31.1	57.03	0.0	241.02	42.45	39.31	39.08
Mlh1	2.54	0.0	0.0	0.0	0.0	0.0	0.0	1.29	8.29	0.0	0.0	31.01	0.07	0.0	70.49	11.01	10.6	11.61
Mterf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	138.0	0.26	132.64	0.19	0.16	0.9	132.19	3.37	4.71	6.61
Mum1	0.15	17.92	0.56	0.0	0.12	0.21	0.05	7.03	0.09	3.73	2.74	21.82	53.66	9.76	61.11	25.0	27.75	26.37
Napb	0.0	0.0	0.0	1.24	0.17	3.0	2.94	281.39	57.19	202.17	4.12	23.54	88.27	34.31	422.75	335.54	308.69	328.06
Nbn	0.0	0.0	0.0	0.49	0.0	8.32	0.0	52.35	5.96	64.44	74.71	0.1	26.75	11.3	85.07	16.51	14.65	16.25
Nbr1	0.0	0.0	291.33	56.47	0.07	0.0	0.69	3.02	29.76	22.7	9.99	52.8	17.92	313.02	123.64	103.26	103.33	101.44
Nono	0.0	0.0	0.0	95.0	0.06	1.92	166.66	112.66	59.17	197.58	4.16	17.39	4.59	0.97	459.68	127.79	133.73	126.92
Nr1d1	0.0	0.15	0.0	2.85	0.0	0.39	5.21	20.16	0.0	55.89	3.73	2.45	1.17	17.26	62.01	179.63	206.02	174.77
Nsmce1	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	90.87	0.44	135.88	83.59	1.16	112.23	21.0	22.01	19.33
Nudt6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	10.94	0.0	0.0	0.0	0.0	84.35	6.77	6.2	5.63
Numb	0.0	0.0	0.0	0.0	0.0	9.77	0.59	6.1	4.91	8.29	2.79	0.14	0.19	88.19	73.56	32.4	29.55	34.1
Pgd	0.0	7.18	4.37	0.0	0.0	10.78	0.47	30.8	0.82	0.48	0.31	0.0	0.54	3.77	222.97	28.22	31.99	28.99
Pms1	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.19	3.22	2.55	3.19
Prmt3	0.0	0.0	0.0	0.0	0.0	9.92	0.0	0.0	0.0	0.28	79.98	0.0	0.82	0.0	47.59	21.73	23.39	24.22
Prmt7	0.0	0.0	0.0	0.0	0.14	2.59	1.87	40.78	0.16	124.76	5.68	1.83	0.69	1.06	436.8	37.54	40.65	37.71
Rab3gap2	0.0	0.0	0.0	0.0	2.54	34.58	18.55	1.08	0.22	7.81	17.14	12.05	44.3	10.75	56.91	45.55	43.56	45.23
Rac1	0.22	181.72	15.91	104.82	51.99	68.62	510.83	86.5	11.09	57.83	32.42	7.61	0.2	6.86	162.24	298.7	301.14	284.92
Rad1	2.76	16.26	6.43	4.33	9.34	3.22	39.81	1.35	3.62	1.47	2.06	5.49	4.01	18.84	88.76	16.04	15.19	15.56
Rb1cc1	0.0	0.0	0.0	30.29	0.02	9.98	0.74	12.49	37.02	21.44	1.24	58.41	15.25	105.33	84.7	36.59	28.31	35.43
Rnf181	0.0	0.29	0.0	75.71	0.0	122.22	3.11	81.98	0.0	90.68	67.57	110.14	86.08	590.75	332.93	91.55	91.68	85.55
Rnf185	0.0	0.0	50.57	0.0	0.05	0.0	0.0	0.0	0.0	7.53	1.51	0.0	0.06	0.0	247.85	26.96	27.54	24.64
Rnf25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.12	0.0	163.43	47.16	51.39	46.62
Rpe	0.0	0.0	0.0	71.47	0.18	0.0	0.0	0.17	0.27	63.01	14.96	0.49	0.46	8.16	250.95	22.76	19.09	18.43
Scd2	15.07	0.0	0.16	85.48	0.06	124.38	807.99	76.59	1.65	37.88	0.87	20.34	0.03	0.43	64.29	716.19	715.89	753.91
Sec62	132.15	0.1	1.73	54.13	0.0	63.32	2.63	73.92	65.31	36.12	110.05	229.35	113.39	117.63	263.88	93.05	84.71	91.58
Sipa1	0.0	0.0	0.0	0.16	12.16	0.12	0.0	0.0	0.0	0.0	43.6	0.0	0.0	0.0	42.17	8.12	9.9	11.06
Slc35a4	0.0	0.15	0.0	0.0	0.17	1.33	0.38	32.42	0.0	40.47	1.08	2.17	1.44	1.31	144.34	40.6	44.85	39.4
Slc6a1	0.0	0.0	0.11	294.2	0.07	23.57	564.45	615.5	351.22	2015.06	250.24	687.23	284.74	0.0	3213.71	251.1	268.35	278.03
Snd1	0.14	0.0	10.4	5.77	3.74	1.41	0.0	2.73	0.0	14.38	4.95	0.51	56.94	22.15	78.72	55.35	57.33	55.23
Snrpa	0.0	0.0	0.0	0.0	0.12	0.0	0.84	0.0	0.0	101.0	86.77	0.2	79.79	0.0	115.2	67.5	75.46	65.94
Stxbp1	0.21	0.1	0.0	52.2	0.12	125.37	4.32	193.46	94.47	101.71	197.04	175.74	133.77	356.8	457.8	685.86	704.66	673.08
Tbc1d7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.43	0.0	55.05	160.3	0.0	103.08	0.0	298.03	23.39	26.16	23.72
Tlr3	0.0	0.0	0.11	2.25	0.04	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	7.99	7.52	9.55
Tpst1	0.0	0.0	0.0	56.33	0.09	0.46	0.81	0.0	54.39	0.0	0.25	0.0	0.05	0.0	126.37	40.03	40.95	40.09
Tsen2	0.0	0.0	0.0	101.51	0.0	0.0	0.0	33.97	0.0	0.2	0.0	0.0	0.0	0.0	150.44	15.47	16.05	17.76
Ube2b	0.0	0.0	0.0	154.11	8.63	35.48	189.72	97.26	236.55	144.97	160.09	246.62	235.85	1581.16	718.43	176.02	166.29	168.17
Uhrf1bp1	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.16	0.0	0.0	8.54	0.0	46.37	10.52	9.84	10.13
Ulk3	3.23	5.34	3.44	7.15	5.11	11.6	21.91	3.29	6.19	2.08	3.99	14.56	2.34	11.54	95.25	22.58	23.52	24.84
Utp14a	0.0	0.0	0.0	4.33	0.0	0.71	0.0	1.38	6.69	32.79	0.0	0.24	54.4	0.49	123.08	11.84	11.86	11.84
Wdr45	0.0	0.0	0.0	0.0	0.1	0.14	0.68	0.0	0.0	156.86	52.36	0.0	0.0	574.8	155.58	45.84	50.2	45.14
Wdr73	0.0	0.0	0.0	15.1	0.0	0.0	0.0	0.45	3.72	0.0	129.59	0.23	0.37	1.41	106.44	23.18	26.98	26.93
Zc3h10	0.0	0.0	0.0	0.0	0.0	0.52	0.0	26.64	0.0	0.0	0.0	0.0	3.54	0.0	133.84	14.47	16.33	14.45
Zc3h4	0.0	0.07	1.5	0.85	0.0	0.04	0.0	0.23	0.0	3.24	0.07	7.73	0.0	0.0	22.95	25.06	27.79	28.3
Zfp563	0.0	0.09	0.0	29.17	0.02	0.03	0.16	2.44	0.0	0.22	0.0	0.0	0.0	0.0	99.84	8.35	7.2	7.74
Zfp868	0.0	0.0	0.0	0.0	0.0	0.0	0.43	4.88	0.0	4.36	0.19	12.12	19.54	0.49	200.68	14.23	13.91	13.6
mt_AK131579	29199.23	30179.68	55662.18	73067.83	55281.42	94403.3	50469.69	60705.47	56120.42	45312.1	59803.41	51796.42	44271.34	50260.41	18771.35	21203.35	20196.08	21406.08
mt_BC128309	79.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.91	89.37	574.0	521.54	621.05
mt_GU332589	15332.83	21230.38	9115.7	22738.66	26493.16	28909.02	12431.83	31086.28	21460.06	22390.28	18187.79	19369.81	14964.47	19212.31	4546.9	3308.99	2963.73	3155.88
