	Calb2_tdTpositive_cell_31	Calb2_tdTpositive_cell_32	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_17	Cux2_tdTpositive_cell_103	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_6	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_43	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_26	Rorb_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_11	Scnn1a.Tg3_tdTpositive_cell_13	Scnn1a.Tg3_tdTpositive_cell_16	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_26	Scnn1a.Tg3_tdTpositive_cell_27	Scnn1a.Tg3_tdTpositive_cell_29	Scnn1a.Tg3_tdTpositive_cell_33	Scnn1a.Tg3_tdTpositive_cell_36	Slc17a6_tdTpositive_cell_18	Vip_tdTpositive_cell_16
Cthrc1	228.02	246.55	0.0	0.0	124.87	65.31	368.43	83.49	0.0	0.0	130.9	0.0	115.21	0.31	0.0	0.0	0.0	41.83	0.0	0.0	36.48	266.44	368.93	164.19	0.0	0.0	0.0	121.05	0.0	0.0	0.0	0.0	173.9	0.0
Erp44	0.65	186.22	0.0	0.0	13.67	0.15	182.77	25.15	44.35	0.0	10.82	0.0	9.91	0.45	69.94	0.05	0.04	0.1	0.04	73.3	0.08	0.0	0.0	0.0	0.0	151.74	0.0	79.08	63.0	0.25	0.0	0.0	0.0	0.0
Fkbp6	0.0	1.01	0.19	0.0	0.14	0.07	1.06	0.21	0.0	0.61	0.16	0.0	0.0	0.31	0.33	0.0	0.0	0.13	0.0	0.38	0.0	0.0	0.0	0.0	0.27	0.81	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0
Foxl2os	0.75	3.74	0.0	0.13	1.21	1.76	0.92	0.08	2.51	2.96	2.63	3.66	2.5	0.88	1.82	0.65	1.17	1.79	0.91	4.25	2.67	2.14	2.35	0.35	1.78	0.9	0.0	2.89	0.6	0.8	0.0	0.31	0.6	0.0
Gigyf2	57.46	88.66	0.0	0.0	0.0	3.26	81.88	0.0	8.47	1.46	0.03	0.63	2.54	28.16	16.86	3.61	2.9	0.43	2.19	1.67	11.61	3.23	9.09	0.0	8.93	1.85	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.0
Gipc1	0.52	148.98	0.0	1.23	2.81	98.46	135.0	0.0	0.33	3.02	4.31	114.33	34.04	1.22	113.51	0.46	119.17	3.86	2.23	12.07	0.91	5.43	0.97	1.03	22.91	1.74	0.1	4.96	0.97	1.63	1.01	0.0	1.26	0.0
Gm12185	0.61	1.32	0.22	0.0	0.35	1.74	0.72	0.05	0.39	1.35	0.78	0.17	0.15	0.55	0.56	0.39	0.43	0.93	0.4	0.86	0.43	0.14	0.22	0.55	0.55	0.66	0.0	1.34	0.38	0.0	0.11	0.13	1.2	0.0
Il2ra	0.24	1.24	0.0	0.11	1.52	1.96	1.78	0.14	0.92	1.68	1.29	1.16	1.24	0.74	0.95	0.0	0.89	2.23	1.06	1.44	2.81	0.79	1.21	0.49	0.99	1.28	0.0	1.02	1.37	0.9	0.0	0.23	1.77	0.0
Il5ra	46.83	16.39	0.11	0.32	16.45	34.8	46.57	3.47	18.79	23.98	35.76	37.22	19.95	19.65	9.28	3.89	15.53	23.14	9.73	22.3	35.44	7.68	13.05	5.22	18.11	19.13	0.0	21.91	11.07	2.84	2.22	1.8	10.67	0.0
Lmna	39.02	97.83	0.13	693.58	50.0	77.03	89.96	69.09	5.51	126.39	29.4	114.39	33.03	35.78	58.4	1.01	71.1	56.97	24.17	24.61	54.89	7.54	28.51	34.06	72.98	46.01	0.0	89.6	25.74	17.81	0.0	0.0	29.93	0.0
Lrtm1	0.85	3.81	0.0	0.0	0.4	1.68	9.95	0.61	0.77	23.34	0.79	2.07	0.35	6.93	4.31	0.0	0.0	0.72	0.36	4.03	1.74	2.4	2.17	0.8	2.98	0.89	0.0	1.74	1.42	0.54	0.0	0.0	0.0	0.0
Mrp63	65.57	138.98	0.19	0.0	0.25	52.02	180.91	0.12	9.88	37.84	16.19	0.44	0.29	27.04	8.3	6.87	0.1	45.1	0.1	98.24	11.28	0.0	18.58	18.56	4.22	7.58	34.51	22.06	16.98	0.0	0.0	17.98	21.63	0.0
Ms4a6c	9.2	28.83	0.0	0.0	36.92	43.82	42.82	12.45	13.47	41.45	15.58	19.39	30.82	2.43	18.24	0.56	33.67	25.91	4.08	27.04	14.58	32.57	33.04	3.54	23.47	49.93	0.0	27.11	22.9	3.62	0.0	0.0	4.0	0.0
Mtmr12	0.0	102.71	0.0	0.41	12.12	0.13	157.18	0.0	21.43	0.08	2.11	0.04	9.75	0.95	139.5	83.11	16.69	48.18	81.07	79.6	0.04	18.98	94.5	99.94	42.34	0.29	0.0	108.65	0.26	0.0	0.0	0.78	0.0	0.0
Neurl3	8.27	10.22	4.61	5.07	7.26	8.11	8.59	0.19	4.6	7.33	10.82	8.22	12.28	5.44	5.78	0.51	8.11	9.26	5.15	12.18	10.04	7.61	10.6	3.95	14.58	5.9	3.54	12.61	5.68	6.32	0.22	2.13	7.05	1.08
Pax3	0.0	0.31	0.0	0.14	0.13	0.06	0.33	0.0	0.0	0.06	0.06	0.2	0.0	0.0	0.0	0.0	0.0	0.05	0.03	0.04	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0
Pkd1	9.52	35.58	0.0	0.03	7.02	0.01	53.49	0.0	0.0	0.0	23.82	1.48	3.41	0.0	0.0	3.86	13.49	5.93	48.55	0.0	6.72	0.04	0.43	8.35	0.0	26.44	1.24	0.0	0.0	8.03	0.0	2.17	0.0	0.0
Plcb4	0.0	100.32	0.0	0.0	17.17	71.17	113.02	0.0	0.0	0.0	44.04	12.28	95.58	44.2	7.55	0.0	0.09	48.86	0.03	84.35	0.56	0.0	0.0	0.0	0.0	5.18	0.0	57.25	0.0	0.0	0.0	0.0	57.79	0.0
Ppp6r2	0.0	5.86	0.0	30.65	30.19	0.06	5.18	0.0	1.33	0.0	2.31	0.0	7.84	50.13	0.0	1.29	0.0	1.97	3.26	1.99	0.0	1.54	6.26	0.0	0.0	0.0	0.0	3.54	0.0	0.0	0.0	0.0	0.0	0.0
Ptcra	42.08	26.37	9.92	6.97	6.79	8.87	31.54	3.49	5.5	10.61	13.7	39.16	15.68	38.99	40.17	3.47	18.03	18.38	7.64	12.16	23.63	24.55	18.38	12.78	9.45	30.34	4.44	24.53	3.98	10.23	3.07	6.23	22.18	0.94
Rdh1	47.17	67.4	2.43	6.15	30.49	55.34	33.51	0.16	34.65	83.87	54.69	65.1	49.22	40.13	34.19	11.98	45.49	53.44	42.0	63.93	60.67	55.42	47.28	14.85	42.59	38.43	3.23	73.53	28.06	7.7	4.61	22.24	31.82	3.65
Rgs4	4969.56	2451.16	0.14	1925.78	3554.62	4793.66	5481.44	2297.98	4201.26	5873.8	4839.36	5539.67	4332.71	4053.59	5390.4	3832.69	5399.11	3467.12	5219.32	5187.94	4921.82	4470.78	4495.9	3593.95	4065.31	6274.8	5381.62	3292.99	2722.47	3036.8	3732.04	2898.03	6781.39	0.25
Rit1	0.0	174.62	0.0	0.0	0.0	0.0	266.32	6.23	32.75	156.07	0.0	0.0	0.0	0.16	80.55	0.0	0.04	0.0	0.0	58.77	52.83	0.0	49.37	0.0	73.24	0.0	0.0	0.0	0.0	5.51	0.0	0.0	0.0	0.0
Rpgr	0.0	157.34	0.0	0.0	26.21	0.07	181.2	0.0	55.61	0.1	0.0	65.47	68.07	0.0	0.0	41.25	0.15	133.43	40.44	88.47	7.81	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sf3a1	112.94	130.71	0.0	0.0	0.38	88.78	197.89	0.68	5.23	10.38	0.11	5.17	1.82	0.0	62.06	0.0	0.0	0.2	0.0	45.81	22.21	61.21	55.71	0.0	9.75	14.49	0.07	87.49	0.0	0.0	36.3	0.07	49.01	0.0
Siah1a	101.51	134.11	0.0	0.0	0.0	48.96	150.19	6.72	0.0	73.85	83.46	119.71	5.74	0.0	111.05	0.0	0.0	8.18	0.0	20.49	0.0	69.09	0.0	0.0	0.18	0.0	0.0	205.26	0.0	0.0	56.7	0.0	0.0	0.0
Slc17a8	15.95	14.58	1.44	4.2	9.75	9.16	16.9	0.25	9.35	11.72	15.83	14.47	17.3	10.75	15.93	4.34	5.75	18.17	4.58	14.49	20.17	9.35	8.05	5.13	12.05	10.53	1.88	19.77	4.83	1.8	0.0	5.97	11.73	0.08
Slc25a22	21.54	162.69	0.0	0.0	7.37	62.13	131.42	63.33	35.94	3.77	99.36	15.28	0.17	0.16	0.0	53.44	0.87	0.45	26.75	38.81	0.0	28.4	118.31	47.69	47.37	100.14	14.37	33.53	72.94	73.29	25.74	0.0	190.31	0.0
Slfn9	22.93	22.86	16.95	8.2	20.04	16.19	18.35	1.08	19.26	25.69	23.02	13.88	20.1	14.11	17.13	3.9	12.43	34.05	16.48	49.3	31.0	19.53	31.38	11.9	12.03	22.78	0.35	35.7	6.07	5.94	3.17	6.6	17.25	0.49
Ssbp1	223.42	289.06	0.0	0.0	191.98	0.21	290.09	0.0	4.36	274.95	65.29	19.26	168.52	168.65	243.5	0.0	106.96	43.64	48.73	196.91	215.48	13.98	37.49	104.46	10.47	0.0	21.03	63.32	50.19	8.83	10.55	0.0	11.18	0.0
Tmsb15b1	0.0	171.64	0.0	0.0	3.4	0.0	146.11	0.0	17.13	2.98	127.82	0.0	0.0	128.05	4.16	0.0	99.3	184.16	0.0	0.0	0.0	0.0	0.0	6.51	12.51	31.62	0.0	0.0	18.05	0.0	10.37	0.0	0.0	0.0
Uty	3.08	83.49	0.0	0.0	0.13	5.57	84.86	0.0	10.28	62.31	60.38	41.17	9.61	0.0	4.01	0.0	0.04	75.67	0.07	0.5	12.86	0.06	73.54	0.0	2.71	0.07	0.0	91.86	0.0	0.06	0.0	0.0	37.52	0.0
Xpo7	9.54	15.56	3.76	4.29	4.26	13.6	14.31	0.87	3.49	11.45	6.6	12.21	6.26	38.59	5.68	4.75	21.74	17.45	52.09	5.75	18.73	3.72	3.02	3.88	42.89	5.59	0.28	10.43	4.88	1.79	0.89	1.67	5.15	0.08
Yeats2	0.0	76.53	0.04	0.0	0.92	1.47	112.11	0.09	0.0	68.21	86.46	0.33	0.06	0.33	0.49	0.11	0.1	4.26	0.03	5.17	0.17	0.33	0.62	45.57	7.06	0.0	0.0	0.58	0.07	0.0	0.09	0.43	0.0	0.0
