	Calb2_tdTpositive_cell_7	Calb2_tdTpositive_cell_46	Calb2_tdTpositive_cell_50	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Cux2_tdTpositive_cell_6	Htr3a_tdTpositive_cell_17	Htr3a_tdTpositive_cell_25	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_35	PvalbD.Slc32a1_tdTpositive_cell_1	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_13	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_54	Scnn1a.Tg3_tdTnegative_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ankdd1b	0.0	0.44	0.0	0.0	5.07	0.0	30.79	0.03	0.0	0.0	0.0	0.0	0.0	33.43	0.81	0.0	5.12	0.0	0.0	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	214.1	0.0	0.0	0.0	0.05	0.0	4.56	5.51	4.72
Ap3m2	335.15	0.0	0.0	0.0	0.0	0.0	90.6	58.63	164.61	0.0	138.3	0.7	89.8	107.04	148.1	157.46	167.99	103.27	23.02	52.18	54.08	81.93	43.13	128.13	0.0	0.0	0.64	0.0	0.0	0.0	0.0	0.14	179.34	226.66	0.52	0.12	0.31	0.0	122.74	121.18	117.76
Armcx1	150.91	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	13.85	487.75	10.14	519.53	40.02	50.95	180.22	17.19	1.13	70.79	0.38	7.77	74.36	13.52	0.0	0.45	0.0	0.0	0.0	0.3	0.0	0.0	22.44	133.55	0.49	0.74	0.33	0.0	74.42	71.4	64.32
Armcx2	113.5	0.0	0.0	0.0	0.0	0.0	15.69	0.0	325.81	0.0	0.0	0.33	42.89	60.51	2.32	30.27	39.89	0.0	0.7	11.69	0.0	0.0	2.81	70.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	74.38	0.0	0.0	0.05	0.0	67.76	69.2	65.1
Atg4c	114.63	1.59	1.63	0.0	0.12	0.28	20.02	0.0	1.8	1.88	103.3	1.31	60.85	118.94	9.02	104.34	56.81	70.23	44.54	47.38	86.23	15.75	75.65	66.76	0.0	2.72	2.49	0.77	0.0	0.0	0.43	0.43	319.48	62.12	0.88	1.42	1.31	0.0	42.5	36.33	39.36
Atg9b	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.43	17.03	0.0	30.52	0.0	0.0	2.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.72	3.14	2.46
Atxn7l2	0.0	139.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	15.91	8.06	5.93	0.0	0.0	13.05	3.43	0.27	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.01	0.0	0.0	0.0	0.0	16.71	18.1	19.86
B230216N24Rik	115.68	0.0	0.0	0.0	0.0	0.0	2.64	0.0	44.31	0.0	0.0	0.0	0.0	228.82	0.0	0.0	3.94	293.98	180.7	124.13	157.2	314.51	227.89	177.27	0.0	0.0	0.0	0.67	699.13	0.0	0.0	0.0	0.0	0.0	344.42	0.0	0.0	0.0	13.24	10.45	11.54
Bap1	105.19	0.0	0.0	0.0	0.0	0.0	66.19	0.0	0.0	0.0	156.74	0.35	0.27	99.5	61.32	25.35	41.11	0.0	12.86	46.33	2.37	0.0	38.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.2	0.29	0.0	0.24	0.05	0.0	103.47	103.07	104.21
Bex1	223.36	0.0	0.0	0.0	0.0	0.0	251.56	176.09	2.45	0.0	28.97	2.17	24.04	508.12	126.53	68.08	148.67	188.17	105.52	195.06	30.76	354.26	39.48	105.18	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	212.07	41.59	0.96	1.21	0.93	0.0	94.6	108.85	90.44
C130071C03Rik	8.38	0.0	0.0	0.0	0.0	0.0	199.9	0.0	0.0	0.0	0.0	0.0	0.0	106.8	7.31	0.0	55.68	0.0	65.12	17.21	20.59	23.44	18.64	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.33	4.48	0.0	16.98	0.0	3.29	3.79	4.6
C630004H02Rik	44.95	0.0	0.0	0.0	0.0	0.0	164.78	0.07	0.38	0.0	0.8	0.0	0.0	89.04	2.18	13.04	47.61	0.0	0.78	21.85	2.19	99.77	11.36	96.61	0.0	0.1	0.22	11.43	0.0	0.0	0.0	0.0	137.03	34.31	0.0	0.13	0.11	0.0	83.05	88.74	84.8
Camk2b	137.84	0.0	0.17	0.0	0.0	0.0	164.05	11.22	5.23	0.0	30.88	0.45	107.22	121.26	95.06	91.36	186.06	45.44	53.37	71.21	57.05	93.98	74.85	45.88	0.0	0.4	0.0	0.19	0.35	0.32	0.0	0.0	275.06	68.0	0.27	0.52	0.18	0.0	532.26	557.69	545.35
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.0	113.94	0.0	0.47	0.0	10.7	0.68	9.94	0.03	54.72	30.68	0.23	50.62	21.3	40.26	114.35	145.03	118.2	75.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.11	150.8	0.0	0.46	0.11	0.0	30.63	28.29	22.96
Cd200	1.77	0.0	0.0	0.0	29.85	0.0	230.86	1077.75	359.59	0.0	420.8	1.28	457.18	744.3	422.55	209.68	470.38	386.83	293.66	316.61	114.77	209.97	521.79	176.25	0.29	0.51	0.63	0.33	15.93	0.28	0.0	0.0	136.06	234.53	0.75	2.13	1.12	0.0	116.29	117.03	108.25
Cdk9	7.68	26.59	25.11	13.54	1.69	0.46	15.81	6.41	13.22	19.9	88.58	10.58	65.14	91.42	5.81	6.68	6.72	12.82	53.25	25.93	32.09	17.21	21.56	40.03	15.46	31.95	272.04	20.62	262.28	2.63	29.96	12.91	206.12	8.63	12.93	23.76	5.23	4.27	58.69	62.51	59.82
Chd5	30.56	0.0	0.0	0.0	0.0	0.0	14.1	1.99	0.0	0.0	46.69	0.13	12.54	31.52	11.25	12.25	3.43	2.37	4.99	7.02	1.88	0.51	2.44	1.1	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	11.74	15.96	0.13	0.09	0.02	0.0	101.81	99.86	105.46
Clock	6.73	0.0	0.0	0.0	0.0	0.0	9.73	3.44	2.91	0.0	0.17	0.08	0.36	92.45	0.72	10.31	3.06	4.78	3.07	8.27	37.67	5.61	9.51	2.5	0.0	0.0	10.3	0.0	7.7	0.09	0.0	0.0	57.91	69.09	0.0	0.11	0.02	0.0	32.21	26.12	32.42
Ctps	126.82	0.0	0.0	0.0	0.0	0.0	250.5	25.63	0.0	0.0	0.96	0.22	78.5	108.22	1.5	0.0	0.0	48.47	110.17	15.03	5.7	3.61	0.0	13.89	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	62.69	0.0	0.31	0.07	0.0	37.82	40.1	38.79
Dbt	0.21	0.24	46.87	0.12	0.0	0.0	1.24	0.28	0.59	0.37	0.8	160.89	0.0	60.15	0.58	0.29	0.15	0.24	3.98	3.7	1.61	0.34	0.86	0.53	0.21	0.9	0.9	8.33	0.44	0.0	0.25	2.14	0.48	0.51	0.25	0.85	0.52	0.0	14.19	13.45	14.06
Ddx50	165.53	0.0	0.0	0.0	0.0	0.0	48.73	0.0	319.26	0.0	75.07	21.27	78.3	154.34	71.11	47.96	56.67	94.55	25.37	64.16	29.82	137.29	34.24	45.97	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.89	16.06	2.12	2.99	0.21	0.24	53.19	54.66	54.95
Dido1	47.13	0.0	28.74	0.0	0.0	0.0	0.0	13.8	0.0	321.97	0.55	0.25	4.13	95.41	23.77	5.5	66.12	31.2	0.9	6.32	0.0	0.0	33.24	10.31	0.14	0.0	0.0	68.4	0.58	0.0	152.02	0.0	0.0	37.34	0.0	92.62	0.39	0.0	34.31	33.36	36.3
Dlg3	10.78	0.0	0.0	0.0	0.0	0.0	149.56	44.13	0.28	0.0	13.56	0.36	12.53	34.15	15.45	12.66	50.48	9.42	15.44	22.68	16.73	33.96	25.96	3.64	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	9.8	8.52	0.0	0.0	0.8	0.0	115.59	116.54	115.46
Enho	0.0	0.0	240.19	0.0	0.0	0.0	0.0	22.21	3.07	632.42	0.0	5.91	0.0	47.26	0.0	32.9	0.0	0.0	4.53	7.03	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.48	0.0	1.9	0.0	55.83	66.53	64.27
Etv6	0.01	0.0	0.12	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.7	0.0	21.21	59.4	0.05	11.54	0.0	18.74	0.0	7.32	0.0	0.0	2.54	0.0	0.0	0.06	0.13	0.0	0.0	0.35	0.21	46.99	0.0	2.81	2.15	0.07	0.0	0.0	10.51	8.95	9.76
Fam134c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.88	25.7	0.0	0.0	0.0	1.09	0.17	0.0	0.0	1.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.74	0.0	0.0	52.08	55.09	51.34
Fam84b	0.0	0.0	0.0	0.0	183.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.45	22.66	41.01	7.27	0.14	0.0	13.72	0.29	105.95	2.93	3.22	0.0	0.0	49.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	6.47	6.76	5.21
Fen1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.27	0.0	95.39	98.49	0.43	25.01	0.0	5.76	1.76	1.47	0.0	0.0	6.91	0.0	0.0	0.0	0.0	804.09	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	11.8	13.05	14.26
Flrt3	19.47	0.0	0.0	0.0	0.0	0.0	75.84	460.05	0.0	0.0	103.69	0.0	12.27	406.97	13.39	7.04	46.68	57.52	19.31	58.47	94.65	25.26	33.8	108.22	0.0	0.24	17.67	0.19	3.56	0.0	0.15	0.0	104.11	219.24	0.0	0.41	0.35	0.0	17.7	19.56	20.02
Gde1	94.04	0.0	0.0	0.0	0.0	0.0	691.07	0.29	7.86	0.0	10.34	0.0	21.22	46.57	82.11	29.73	40.34	29.58	38.87	55.28	42.35	173.76	13.21	12.6	0.0	0.64	0.97	0.0	0.0	0.43	0.0	0.0	319.99	36.65	30.51	0.28	0.0	430.16	304.34	337.74	326.45
Gin1	36.34	0.0	0.0	0.0	0.0	0.0	153.57	0.0	0.0	0.0	0.0	0.0	20.24	103.75	8.33	9.52	0.0	15.54	11.28	23.38	150.88	14.86	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.57	429.66	0.0	0.09	0.0	7.29	6.73	7.02
Gm13306	0.0	0.0	0.0	0.0	0.0	0.0	113.94	0.0	0.47	0.0	10.7	0.68	9.94	0.03	54.72	30.68	0.23	50.62	21.3	40.26	114.35	145.03	118.2	75.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.11	150.8	0.0	0.46	0.11	0.0	30.63	28.29	22.96
Gm14431	0.0	70.24	0.22	0.34	0.76	31.22	40.75	0.0	0.0	0.0	0.0	0.24	0.0	3.65	8.71	14.04	1.15	1.73	4.51	1.74	0.35	0.77	7.13	17.97	0.0	0.09	0.44	0.0	0.0	3.0	21.86	0.0	15.44	0.04	0.12	0.0	0.19	0.0	8.87	7.17	8.34
Gm14634	32.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.79	0.0	0.0	32.42	0.0	0.0	0.0	0.24	0.0	0.32	88.05	0.0	0.0	0.0	86.1	2.78	0.0	0.0	0.0	0.76	1.07	3.78	101.52	0.0	0.0	0.34	0.11	0.0	1.2	0.62	2.25
Gm2506	0.0	0.0	0.0	0.0	0.0	0.0	113.94	0.0	0.47	0.0	10.7	0.68	9.94	0.03	54.72	30.68	0.23	50.62	21.3	40.26	114.35	145.03	118.2	75.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.11	150.8	0.0	0.46	0.11	0.0	30.63	28.29	22.96
Gm3264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27	0.0	344.14	24.44	0.0	0.0	0.0	41.85	7.76	0.0	0.0	18.81	0.0	576.45	0.0	0.0	1.63	0.0	1344.32	0.0	0.0	0.0	0.0	0.75	0.88	0.0	0.0	6.91	3.53	4.07
Gm6994	0.17	0.86	0.0	0.0	0.0	0.0	7.21	0.0	0.99	0.55	0.0	0.0	0.0	33.23	0.53	0.83	0.0	0.34	0.0	0.7	0.0	1.19	0.89	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.06	0.0	0.19
Gm8348	0.0	0.0	0.0	0.0	0.0	0.0	142.79	0.0	0.0	0.0	11.74	0.0	6.35	122.93	23.93	0.0	0.0	7.06	29.02	1.19	0.0	9.86	21.3	0.0	236.97	0.0	0.0	0.0	0.0	295.33	0.0	0.0	0.0	0.0	0.0	0.21	28.08	0.0	1.48	6.31	1.91
Gm8898	0.0	70.24	0.22	0.34	0.76	31.22	40.75	0.0	0.0	0.0	0.0	0.24	0.0	3.65	8.71	14.04	1.15	1.73	4.51	1.74	0.35	0.77	7.13	17.97	0.0	0.09	0.44	0.0	0.0	3.0	21.86	0.0	15.44	0.04	0.12	0.0	0.19	0.0	8.87	7.17	8.34
Gm9871	0.12	0.0	0.44	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.28	0.26	0.27	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.07	0.14
Gmfb	125.14	0.0	0.16	0.0	0.0	0.0	36.55	0.16	207.1	0.0	225.39	3.56	180.98	351.16	194.23	90.51	111.7	48.57	77.76	92.94	46.72	1.76	241.22	73.38	0.32	0.23	0.17	0.25	0.0	0.46	0.0	0.7	36.54	178.61	0.6	0.41	0.61	4.51	136.0	129.34	127.46
Gnl1	83.02	0.0	0.0	0.0	0.0	0.0	1.65	0.0	0.0	0.0	0.0	0.22	78.04	104.61	1.72	0.0	0.0	0.0	1.08	6.98	0.0	2.03	18.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.85	57.54	0.24	0.0	0.0	0.06	0.0	139.48	150.8	141.26
Gpr124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.61	0.33	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.61	8.33	8.32
Gpr137c	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.5	0.0	17.57	52.82	39.05	8.3	0.0	107.45	28.99	15.93	0.0	0.29	15.36	9.16	0.0	0.0	0.0	0.0	118.11	0.0	0.0	0.0	0.0	6.61	0.0	0.0	0.07	0.0	22.29	21.41	20.62
Hoxb4	0.07	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0
Hsf2	39.08	26.71	156.3	0.0	0.0	0.0	25.57	34.9	81.55	0.0	62.72	49.97	99.15	125.63	47.8	50.1	40.74	175.14	76.29	100.48	75.51	173.36	134.25	78.37	173.11	29.24	2.79	0.29	214.86	41.07	0.0	71.26	18.76	62.85	17.38	17.44	14.39	0.0	23.08	23.46	22.05
Icmt	0.0	20.61	0.0	0.0	0.0	0.0	22.23	0.0	0.06	0.0	0.26	0.24	0.0	54.49	0.0	0.28	8.0	0.0	0.0	0.98	0.0	0.0	3.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6	0.0	0.0	0.08	0.0	0.0	42.99	43.1	42.01
Jam3	46.85	183.11	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	1.99	0.0	62.97	48.55	0.0	0.0	3.02	0.2	51.34	30.61	0.0	138.0	8.42	6.61	136.69	1.48	1798.15	867.76	0.0	0.66	0.0	0.0	0.0	0.0	58.15	0.21	0.09	0.31	36.96	37.9	38.93
Kctd18	0.0	0.0	0.0	0.0	0.0	8.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.83	0.0	0.0	0.0	0.0	0.0	5.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	9.98	9.88	10.67
Kif5c	37.18	0.0	0.0	46.64	0.0	0.0	132.76	31.88	47.76	0.0	129.04	0.09	41.55	121.32	30.24	26.16	38.47	32.9	11.12	42.43	23.42	22.23	21.96	34.29	0.0	0.05	0.42	0.0	0.0	0.19	0.0	0.2	32.25	126.59	0.15	0.3	0.18	0.0	410.62	385.0	413.29
Kpna3	173.24	0.0	3.18	0.0	0.0	0.0	60.29	62.91	1.41	0.0	99.69	0.0	108.52	191.15	72.42	82.12	44.27	190.11	60.09	59.75	1.74	7.8	84.64	25.15	0.32	0.15	0.35	0.18	0.0	0.0	7.17	0.0	74.57	109.48	0.0	0.1	0.13	0.0	63.77	61.04	62.32
Magi1	47.55	0.0	31.46	0.0	0.0	0.0	44.1	24.55	77.44	52.85	0.0	0.16	15.02	85.46	29.09	54.2	59.34	89.1	49.89	72.32	54.86	79.05	69.99	67.7	0.09	74.59	0.0	20.81	0.0	0.0	0.0	0.0	11.5	48.58	21.83	0.06	21.68	0.0	52.61	50.18	51.81
Mcee	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.92	82.5	185.4	56.23	113.97	62.15	93.42	0.0	189.93	0.0	260.23	13.9	100.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.33	503.03	0.0	137.65	0.0	30.71	36.04	34.61
Mir690	18430.57	13972.45	13250.05	26828.41	14983.6	15929.17	25738.25	9242.52	16214.59	22720.97	30464.78	19318.5	17811.71	13481.47	30528.33	39867.27	42000.18	28765.87	28695.45	11744.41	37370.15	37614.4	23271.48	32522.04	17241.06	27509.93	44948.68	42282.55	27759.51	24726.6	35532.88	23237.11	21676.6	48007.3	17302.77	26597.61	17318.28	14247.57	1.35	1.29	0.95
Mkrn1	7.25	0.0	0.0	0.0	0.0	0.0	92.08	0.0	0.0	0.0	127.77	0.2	0.0	87.43	15.27	37.61	73.96	1.4	54.84	17.88	36.69	0.0	0.19	3.8	0.23	0.0	63.1	0.0	0.0	0.0	0.0	0.0	178.05	79.83	0.12	0.14	0.18	0.0	102.18	106.45	102.49
Mllt4	0.0	0.0	0.0	0.0	0.0	0.05	78.15	8.84	0.0	0.0	3.64	0.0	8.04	33.38	7.65	3.15	25.26	0.05	21.1	7.05	25.18	4.8	7.05	70.11	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	28.41	1.91	0.0	0.06	0.02	0.0	42.53	41.5	42.39
Mpped1	9.79	0.0	0.0	0.0	0.0	0.0	11.64	64.47	0.0	0.0	2.38	0.0	34.31	124.56	34.43	47.41	112.68	4.82	27.47	41.7	41.61	4.05	96.44	7.36	0.0	0.2	0.22	0.0	0.0	0.0	0.0	0.0	0.0	7.42	0.22	0.38	0.11	0.0	162.63	168.42	172.83
Mtap7d2	12.24	4.7	0.0	0.0	0.0	0.0	73.73	68.61	5.65	0.0	96.88	0.15	150.57	165.91	94.15	83.0	70.18	41.01	35.25	94.75	1.67	61.64	48.78	8.11	0.0	0.25	0.0	0.4	0.0	0.33	0.0	0.0	147.49	79.86	5.28	10.82	0.09	0.0	112.29	108.26	106.88
Mynn	113.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	43.33	96.65	25.27	30.93	13.84	0.0	5.26	8.16	9.5	69.28	23.71	2.91	0.0	0.0	0.0	0.0	284.2	0.0	0.0	0.0	0.0	50.97	0.08	0.1	0.04	0.14	10.17	8.84	8.08
Naa25	145.0	0.0	0.0	0.0	0.0	0.0	29.48	0.0	155.87	0.0	2.08	0.0	115.91	199.13	4.34	3.33	0.0	37.56	73.28	23.04	11.46	12.32	16.22	8.27	0.22	0.1	0.23	0.0	0.46	0.0	0.0	0.0	0.0	15.36	0.11	0.13	0.11	0.0	33.25	30.87	30.52
Naa38	0.26	0.0	0.0	0.0	0.0	0.0	191.35	222.34	0.0	0.0	3.66	1.69	172.76	99.39	102.77	168.68	188.57	98.38	174.05	116.64	2.29	298.1	213.87	168.11	0.0	0.0	0.0	2.18	0.0	0.0	0.0	0.0	287.27	0.0	1.0	0.59	0.0	0.0	44.5	42.31	39.18
Nbea	0.22	0.0	0.0	0.0	0.0	0.0	36.76	2.02	1.03	5.4	69.08	0.11	8.82	42.75	15.41	40.02	17.89	9.46	6.78	20.54	25.3	13.99	41.91	20.75	0.0	0.03	0.13	0.07	0.0	0.12	0.0	43.48	0.93	26.77	0.09	0.04	0.02	0.0	86.62	79.29	87.87
Nbr1	44.59	0.0	70.99	0.0	0.0	0.0	121.01	17.71	265.21	0.0	0.57	0.26	193.41	126.78	32.16	20.14	11.56	11.94	14.78	20.63	22.49	37.96	17.04	2.95	0.0	0.0	0.16	0.68	0.0	0.0	0.0	0.0	2.26	70.62	5.78	7.71	0.12	0.13	103.26	103.33	101.44
