	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_41	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Tnrc18	0.0	0.0	3.67	31.29	32.2	36.11
Tnxb	0.0	0.0	0.05	2.59	2.83	2.16
Treml4	0.0	0.0	0.0	0.12	0.16	0.18
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r9	0.0	0.0	0.0	0.0	0.04	0.04
Wdr95	0.0	0.0	0.0	0.4	0.45	0.45
Ydjc	0.0	0.0	9.11	25.72	30.3	28.23
Zdhhc15	0.0	0.0	0.0	6.32	5.7	6.17
Zfp521	0.0	0.0	0.0	4.01	4.2	4.03
Zfp575	0.67	0.86	1.46	8.73	10.02	10.98
Zscan2	0.0	0.0	0.0	6.66	7.3	5.92
c11_tRNA-Val-GTG	0.0	0.0	0.0	0.54	0.0	0.0
c13_tRNA-Val-GTG	0.0	0.0	0.0	1.08	0.0	0.0
c3_tRNA-Val-GTG	0.0	0.0	0.0	0.54	0.0	0.0
c6_tRNA-Val-GTG	0.0	0.0	0.0	0.54	0.0	0.0
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
