	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_65	Nkx2.1_tdTpositive_cell_9	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4
Bend5	0.0	0.0	0.0	0.0	33.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.94	4.3	0.0	0.0	33.93	13.0	41.57	5.15	0.0	24.42	0.0	0.0	34.95	0.0	2.09	22.76	0.0	0.0
Birc6	15.29	0.67	0.0	9.01	44.86	19.23	17.43	17.03	9.61	15.38	39.42	30.7	21.16	26.73	36.81	20.98	48.94	19.27	19.99	23.35	16.31	27.01	19.34	20.69	25.78	22.56	21.51	24.69	32.59	3.78
Brip1	2.4	3.8	1.47	1.77	10.47	2.33	3.64	6.33	2.36	5.0	4.74	5.99	5.57	7.31	5.5	3.61	7.9	6.73	6.52	7.93	4.37	4.18	5.58	4.38	5.65	7.09	4.66	4.28	5.89	3.45
C430048L16Rik	0.0	5.2	0.0	98.02	134.79	10.3	23.48	9.99	1.01	13.33	29.13	15.54	18.76	2.08	15.28	0.0	127.16	5.53	2.5	0.21	0.0	16.42	8.2	4.07	4.18	6.03	25.71	0.0	6.1	0.0
Cpsf6	101.25	0.04	0.0	0.0	185.03	29.6	50.27	28.31	31.48	7.37	65.88	39.68	52.94	34.42	48.58	36.72	128.47	26.71	25.98	15.56	25.89	36.43	22.59	56.06	25.74	51.08	64.04	37.35	89.75	0.0
Cst6	0.0	0.0	0.0	0.0	5.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.08	0.0	0.0	0.23	6.62	0.28	0.08	0.0	0.0	6.78	5.09	0.15	0.11	0.0	0.14	0.0	0.13	0.23
Ctdspl2	0.0	0.0	0.0	0.0	67.72	19.68	3.48	14.22	4.45	9.07	13.07	3.31	33.17	18.64	27.2	5.5	64.4	0.24	35.82	0.0	0.55	3.65	8.58	1.2	0.0	16.28	6.47	0.0	36.88	0.0
Ctr9	0.0	38.16	0.0	0.0	161.5	0.0	0.0	23.66	0.0	33.1	49.91	25.91	36.46	32.67	33.11	32.36	140.7	46.83	20.32	20.68	61.53	56.93	67.24	12.81	0.1	94.7	32.17	27.78	1.09	0.0
Dlst	0.0	53.03	0.0	0.0	481.98	11.73	75.48	59.96	50.84	88.58	29.13	64.3	164.45	53.98	56.3	102.24	107.5	0.27	66.42	54.77	114.66	180.42	57.51	48.06	158.75	81.95	54.76	77.7	94.23	0.0
Dopey2	0.0	0.0	0.0	0.0	69.45	0.13	0.06	6.48	0.07	0.57	6.17	4.97	10.19	5.0	19.67	14.04	50.51	0.0	0.0	1.54	0.0	9.42	2.32	9.17	0.0	0.45	0.07	10.11	6.35	0.0
Elavl2	0.0	0.07	0.0	0.0	300.74	64.01	53.52	123.99	117.01	78.41	114.51	96.69	135.99	74.32	72.6	68.27	163.45	72.29	126.85	227.52	139.49	136.31	160.18	51.63	97.06	90.93	55.08	124.76	148.59	0.0
Gnl2	0.0	121.03	0.0	0.0	285.75	60.23	96.18	9.87	99.08	113.67	70.49	74.61	82.68	37.77	26.06	1.76	257.69	84.94	20.84	8.24	119.58	0.52	0.0	29.25	0.0	49.05	126.05	125.21	44.59	0.0
Gpd1l	0.0	5.15	0.0	0.0	126.06	0.0	14.3	0.0	37.78	0.0	18.83	0.0	2.52	0.13	1.06	37.8	86.37	0.0	0.0	9.53	0.0	18.91	22.67	0.0	0.0	0.0	2.56	14.02	3.87	0.0
Gyk	8.27	0.0	0.0	0.0	219.71	11.41	45.95	31.33	14.22	9.42	55.54	41.68	39.86	51.68	26.04	26.32	76.68	91.78	30.25	52.73	17.36	17.64	42.21	28.68	4.38	36.97	0.0	24.7	56.62	0.0
Hnrpll	0.0	0.08	0.0	0.0	188.27	0.0	0.0	0.0	15.22	0.31	0.52	41.33	0.0	19.51	0.0	0.0	78.71	3.82	45.32	15.79	1.07	0.0	44.24	4.16	38.47	50.83	0.0	2.6	41.84	0.0
Itga4	3.92	6.63	0.0	1.44	8.12	2.04	4.28	3.86	0.28	2.83	6.45	4.18	3.61	3.58	5.17	4.32	7.4	5.11	3.45	3.0	2.18	4.22	3.96	3.13	4.71	6.79	2.45	3.45	4.47	0.28
Kcnh7	0.0	0.0	0.0	0.0	125.09	5.67	28.54	64.84	1.3	73.67	39.07	1.85	33.83	22.21	5.61	4.56	41.81	44.49	5.46	21.71	8.72	9.41	10.0	28.4	12.99	60.12	65.08	88.8	7.03	0.0
Kif5b	1.04	0.15	0.0	2.07	117.95	11.59	40.19	31.47	13.43	23.83	16.94	36.6	83.25	30.09	40.41	83.89	79.21	38.38	21.1	11.59	31.6	22.15	18.44	16.61	28.96	92.32	34.26	26.28	65.48	0.96
Lactb2	2.24	1.81	0.0	0.61	146.24	2.03	23.34	2.4	1.06	10.5	6.04	24.99	80.63	4.13	37.06	33.23	80.73	4.87	66.64	21.55	60.56	10.11	46.32	21.48	3.36	34.11	4.28	25.88	46.42	4.07
Ldhb	7486.96	8970.97	2593.67	5274.92	3800.36	6455.58	8752.31	8798.32	10118.08	10894.4	8217.62	9343.6	8808.99	8574.79	10165.1	9602.81	7167.6	11261.44	10004.69	9074.03	13571.31	12546.17	9106.97	8513.41	9755.78	8904.1	11010.48	10182.84	11746.38	3251.53
Magi3	50.35	0.0	0.0	0.0	54.2	0.0	6.61	11.24	1.16	3.01	0.0	15.67	0.23	0.9	10.42	0.0	51.04	0.0	6.14	0.11	7.24	0.55	0.06	0.0	17.29	11.27	33.61	4.75	4.71	0.0
Mybpc1	0.0	0.0	0.0	0.0	177.04	0.0	22.9	92.95	24.97	140.57	60.75	41.18	28.48	77.81	130.7	55.54	94.22	55.41	24.65	55.35	47.84	23.46	18.88	82.35	36.9	0.0	4.76	84.31	103.15	0.0
Napg	0.0	29.84	0.0	0.0	415.48	145.4	130.4	252.03	95.48	105.57	163.49	114.24	282.5	263.86	199.27	184.15	372.64	127.18	184.75	164.69	78.76	189.82	289.44	132.61	211.44	165.31	127.32	250.87	205.35	0.0
Nckap1	38.83	4.04	0.0	0.14	167.85	9.55	12.08	64.66	0.15	71.8	77.49	71.78	117.29	55.35	66.25	53.67	338.2	81.04	79.05	27.96	90.1	48.33	53.85	55.13	36.49	98.87	96.58	46.89	138.67	0.0
Nfx1	133.28	0.05	0.0	0.1	144.76	32.7	2.65	30.96	5.37	38.17	39.6	24.56	29.48	10.31	49.74	48.81	114.35	43.23	60.49	10.58	18.34	35.15	91.14	33.52	49.85	32.94	31.34	18.55	66.47	0.12
Plekhh2	0.0	0.49	0.0	0.0	41.82	0.0	0.36	2.12	0.0	1.87	1.64	0.08	0.07	0.77	11.36	12.43	35.75	0.05	0.01	3.58	1.95	20.26	2.79	8.89	2.06	5.06	0.0	0.65	1.87	0.0
Psme4	0.0	0.04	0.0	0.0	40.97	0.45	0.13	1.09	0.0	15.1	6.68	1.16	21.76	0.55	7.07	25.59	109.91	15.78	8.09	18.42	7.07	1.82	0.11	0.31	0.6	1.4	6.95	23.48	40.12	0.0
Rapgef4	7.74	88.85	0.47	4.99	225.9	2.33	17.02	19.4	0.18	2.64	33.09	47.2	77.86	23.86	32.26	23.22	176.26	64.21	66.02	65.61	59.95	60.92	92.67	37.13	99.16	37.91	26.36	38.29	42.55	4.44
Rcan3	0.0	47.57	0.0	0.0	120.07	0.0	10.75	19.13	0.0	11.97	0.0	10.4	0.0	25.13	32.39	7.63	62.13	1.46	17.38	9.65	0.0	16.22	0.0	0.2	0.0	44.04	20.47	1.33	0.0	0.0
Rev3l	0.0	0.05	0.0	0.0	52.56	0.0	7.86	0.05	5.79	2.07	13.02	0.15	7.67	2.32	5.51	0.08	30.64	3.72	0.0	9.63	6.28	0.21	14.68	1.02	2.61	0.04	0.0	6.18	18.89	0.04
Rhox8	1.71	2.11	0.0	13.4	32.1	10.36	11.9	4.89	0.21	2.37	6.93	4.44	12.6	4.06	2.35	2.84	25.07	12.28	7.5	8.51	6.82	2.03	11.51	5.91	9.72	6.31	26.1	6.77	5.86	1.85
Rnf138	0.0	0.0	0.0	0.0	111.0	0.22	2.65	12.93	5.54	0.0	26.91	37.89	0.0	22.22	32.81	2.74	8.6	38.9	41.93	18.12	14.87	12.51	0.0	2.95	47.14	45.76	2.94	36.95	0.0	0.0
Rnf141	0.0	58.36	0.0	0.0	97.89	1.79	8.26	16.86	0.0	0.0	0.0	4.75	59.91	0.0	3.55	0.0	178.3	0.0	16.13	20.35	0.0	12.51	3.69	30.65	75.76	45.39	0.0	6.43	58.44	0.0
Sec24a	0.0	0.0	0.0	0.0	79.02	4.19	0.12	7.84	6.51	11.8	18.91	22.52	6.4	13.66	40.17	6.39	46.84	1.46	9.98	9.14	17.23	1.07	7.34	4.87	29.7	1.39	32.84	8.33	21.52	0.0
Setbp1	0.0	11.5	0.0	0.0	27.94	0.0	1.04	0.0	0.0	19.38	0.0	0.0	6.47	0.0	4.56	0.36	41.58	0.0	0.0	0.0	0.0	12.77	0.07	0.0	2.67	0.0	3.52	1.67	13.24	0.0
Slitrk4	0.0	0.37	0.0	0.0	200.72	5.3	0.0	4.94	48.65	26.06	74.97	22.74	19.07	77.7	55.24	39.25	73.58	84.7	54.47	6.5	18.66	97.57	35.27	64.76	15.38	28.27	30.64	61.48	15.81	0.0
Slx1b	7.94	2.43	0.5	3.58	46.61	1.85	1.63	27.3	0.09	2.3	4.48	2.97	28.48	3.12	13.9	2.53	49.11	5.94	14.14	4.71	15.01	20.42	5.17	4.6	23.64	3.73	3.73	40.78	7.87	10.48
Smad4	0.0	0.0	0.0	0.0	43.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.39	0.0	0.0	41.16	24.42	0.44	13.08	6.28	0.0	0.0	0.0	0.0	0.0	19.29	6.27	0.0	40.84	0.0
Srpk2	0.0	35.65	0.0	0.0	204.86	41.34	92.48	67.33	71.92	83.45	122.88	150.72	87.46	131.5	107.58	94.88	200.25	76.21	135.31	122.5	75.64	125.13	108.45	166.99	141.02	170.49	105.9	109.71	133.68	0.46
Tfpt	0.0	0.0	0.0	0.0	87.51	0.0	0.0	0.0	0.0	41.19	0.0	11.83	0.48	0.0	23.36	4.34	0.0	71.68	30.54	46.07	0.0	0.0	0.0	39.31	47.43	45.96	22.47	35.52	21.01	0.0
Ttc39b	0.11	0.62	0.0	0.04	98.19	5.81	5.35	11.69	20.78	9.06	24.16	52.58	41.58	28.45	127.2	39.07	70.7	17.16	9.47	51.74	43.62	22.44	12.41	9.72	59.16	24.35	5.23	19.09	105.42	0.0
Uhrf1bp1l	0.0	37.08	0.05	0.0	65.3	4.68	32.07	5.38	0.04	0.66	19.9	4.07	3.18	0.89	0.0	11.71	35.64	13.54	15.11	20.27	13.66	20.41	11.48	2.3	8.74	48.17	25.93	19.11	8.23	0.47
Vopp1	0.16	0.0	0.0	0.0	76.39	0.0	0.0	9.85	0.0	0.0	33.56	20.09	0.0	31.64	0.67	15.56	94.83	0.0	0.0	0.0	0.1	0.0	29.94	11.25	15.98	1.15	0.56	0.0	0.0	0.0
Vps39	0.0	0.9	0.0	0.0	104.69	42.3	0.48	44.24	4.32	31.29	11.69	1.36	3.35	35.73	1.33	0.0	186.89	0.0	2.52	15.01	21.24	0.28	18.46	34.46	0.0	12.49	77.8	3.81	12.3	0.0
Wdfy3	0.0	1.47	0.0	0.03	60.69	6.05	9.87	5.67	0.0	9.21	20.74	15.05	11.62	1.36	21.19	25.58	34.24	16.26	19.95	7.14	11.21	11.93	17.48	6.64	7.74	15.3	2.34	6.56	21.12	0.0
Wdr3	0.0	0.0	0.0	0.0	110.55	12.67	23.51	1.38	40.85	0.0	29.43	1.89	4.27	39.23	49.79	0.0	118.16	58.52	32.09	0.0	0.0	0.36	2.07	7.41	46.42	18.43	1.41	40.68	0.0	0.11
Ybx1	0.0	21.2	0.0	1.86	78.8	12.15	19.44	18.55	9.48	13.45	16.3	28.48	3.5	16.48	25.18	17.05	53.79	46.65	25.06	29.96	26.27	20.53	11.2	11.47	41.12	29.36	50.5	19.38	29.67	0.0
Ythdf3	0.0	0.0	0.0	0.0	104.83	0.0	1.62	9.84	0.0	1.75	12.83	0.94	6.45	0.0	25.93	0.0	111.07	26.97	0.0	9.38	0.0	0.0	3.11	16.69	0.0	0.0	0.21	1.22	10.7	0.0
Zfp365	0.0	0.0	0.0	0.0	111.18	10.25	46.05	23.9	0.99	18.5	30.48	44.01	48.68	6.86	113.22	3.96	95.71	54.51	52.11	41.33	60.76	53.99	55.36	19.93	56.75	115.22	44.84	104.05	52.74	0.0
Zfp788	0.12	41.39	0.0	0.79	206.64	0.09	13.27	1.08	28.89	0.5	43.25	37.58	18.28	48.21	7.58	0.24	215.33	11.01	1.59	1.08	31.07	1.59	0.54	0.82	0.11	40.04	26.03	19.46	30.57	0.27
