	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_35	Calb2_tdTpositive_cell_55	Calb2_tdTpositive_cell_56	Calb2_tdTpositive_cell_57	Gad2_tdTpositive_cell_1	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_59	Ntsr1_tdTnegative_cell_32	Sst_tdTpositive_cell_3	Sst_tdTpositive_cell_6	Sst_tdTpositive_cell_83	Sst_tdTpositive_cell_88	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_48	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_52	Vip_tdTpositive_cell_54	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
Pde1a	0.0	1.63	0.36	0.15	0.15	203.98	0.35	0.38	0.24	80.86	278.07	25.1	174.25	0.21	0.0	0.26	7.54	0.42	1.04	0.49	0.38	0.49	554.82	457.56	457.83	1395.31	1232.11	241.11	254.17	500.34	561.04	491.27	253.8
Pgk1	632.33	950.94	893.36	492.85	868.02	597.0	683.98	839.42	321.76	745.64	1042.15	945.35	365.89	1031.33	386.14	952.78	759.96	1170.3	207.19	670.75	1558.91	577.23	1159.6	1203.45	1212.78	860.73	1381.36	661.27	794.3	1064.12	943.95	451.3	1387.29
Ppp3ca	300.09	116.12	35.45	126.88	39.42	94.33	178.6	41.31	7.9	226.67	197.89	251.74	105.84	0.94	77.88	110.87	20.41	2.02	25.74	229.07	73.21	34.35	960.82	747.74	778.86	297.23	798.05	184.11	193.55	279.82	639.94	166.18	212.96
Prkcb	28.69	62.73	16.79	0.2	86.88	36.6	40.2	0.35	0.49	30.68	56.15	94.09	97.49	0.18	0.13	34.31	17.11	0.53	0.36	197.35	64.73	92.26	279.7	261.35	235.19	352.93	205.14	399.85	339.75	281.91	258.63	247.11	248.14
Prkcc	0.0	0.0	0.0	9.77	0.0	0.0	0.31	0.0	0.3	62.32	1.84	85.64	97.07	0.0	0.0	0.0	10.31	0.0	0.0	0.0	0.2	0.0	197.02	237.03	205.52	270.66	174.06	3.86	112.65	205.53	90.67	84.37	61.11
Rmnd5a	0.0	0.0	0.0	82.81	0.0	0.0	2.71	0.0	0.0	0.05	65.77	39.62	0.09	93.09	0.06	0.0	0.0	0.16	0.0	15.64	1.74	0.09	17.31	13.96	13.0	107.59	123.71	92.19	0.0	0.0	47.83	14.57	68.65
Ryr2	0.05	0.04	0.03	0.0	0.0	0.69	0.35	1.23	0.0	1.06	3.25	8.05	4.31	0.0	0.0	0.0	0.0	9.35	2.23	0.61	0.37	0.66	15.18	11.08	10.66	46.41	19.95	1.26	6.53	12.83	45.48	18.64	17.03
Scn8a	15.67	5.38	0.0	29.71	0.0	18.23	40.22	4.06	0.11	12.89	32.18	0.57	0.1	21.73	0.0	15.83	36.16	0.13	34.61	3.1	0.54	0.05	30.62	35.53	33.92	10.66	13.84	11.38	2.64	30.07	28.83	47.96	16.25
Sprr2a1	0.0	0.51	0.0	0.0	0.0	0.44	0.3	0.0	0.0	0.05	0.05	0.14	0.85	0.74	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.07	0.08	0.05	0.1	0.15	0.14	0.31	0.43	0.0	1.17	0.0	0.0
Sprr2a2	0.0	0.51	0.0	0.0	0.0	0.44	0.3	0.0	0.0	0.05	0.05	0.14	0.85	0.74	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.07	0.08	0.05	0.1	0.15	0.14	0.31	0.43	0.0	1.17	0.0	0.0
Tmem30a	87.39	101.92	80.26	0.0	0.0	5.22	0.0	0.25	25.05	222.0	68.54	0.09	224.64	0.0	0.0	40.07	0.0	0.13	0.26	129.2	3.0	23.42	89.12	73.97	74.16	20.01	106.96	4.92	14.81	52.88	214.33	85.92	10.25
Tuba4a	299.36	507.02	562.05	202.99	0.0	208.63	0.0	0.0	1.38	343.28	114.07	126.13	131.09	7.78	0.0	271.29	0.78	232.68	12.37	0.8	163.27	416.93	547.7	962.5	842.35	965.26	1091.65	560.9	672.03	909.56	514.92	733.06	452.89
Ubb	32253.84	31101.69	29483.88	32217.54	29335.03	29761.06	33033.08	31728.87	29549.68	31623.03	31415.92	30412.88	32576.6	32905.97	34072.44	35368.68	33803.89	31243.31	38561.98	34059.86	33756.05	29075.38	28133.08	27147.21	27451.26	27898.6	31907.29	31090.16	29072.44	29214.82	35026.92	33691.16	30646.34
Wasf1	32.9	6.6	28.14	52.87	54.68	25.96	13.27	34.51	0.47	108.71	29.22	289.75	59.55	34.94	13.09	5.63	35.78	1.92	25.68	17.72	151.32	100.54	238.93	216.94	214.4	109.86	273.47	65.41	70.19	118.7	195.99	94.7	126.27
mt_AK136262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.05	26.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.22	0.19	1.6	0.61	1.14	52.84	0.09	5.83	4.5	2.02	0.0
mt_AK142003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.05	26.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.22	0.19	1.6	0.61	1.14	52.84	0.09	5.83	4.5	2.02	0.0
mt_AK166798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.05	26.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.22	0.19	1.6	0.61	1.14	52.84	0.09	5.83	4.5	2.02	0.0
mt_AK166978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.05	26.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.22	0.19	1.6	0.61	1.14	52.84	0.09	5.83	4.5	2.02	0.0
