	Chrna2_tdTpositive_cell_31	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_18	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Barhl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.08	0.03
Bcam	0.0	1.66	1.88	0.0	0.0	0.0	0.0	0.41	0.0	12.85	14.28	10.6
Bhlhe23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.18	0.08
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Bsg	228.3	218.6	140.42	16.46	116.75	319.65	128.97	99.25	295.97	500.23	544.21	526.09
Bsnd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.03	0.04
C8b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Ccdc154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.08	0.04
Ccl27b	0.0	0.0	0.77	0.0	0.29	1.65	1.9	4.31	4.89	30.63	28.29	22.96
Cd209b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.41	0.11
Cd37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.99	4.47	4.99
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Chpf2	0.92	0.0	0.0	0.0	0.0	0.74	20.32	0.13	0.06	40.55	43.75	46.77
Cpa3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.06	0.07
D6Mm5e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Dapp1	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	4.44	4.03	3.57
Defb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.21	0.11
Dnajc16	15.99	0.25	2.05	0.0	0.0	0.0	0.82	0.0	0.0	44.57	46.18	45.21
Dpyd	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	2.94	3.4	3.27
Dspp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.1	0.11
Dyrk4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Epb4.1	0.0	0.0	2.02	0.0	0.0	0.49	0.0	0.24	2.38	19.44	16.96	18.44
F630028O10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.17	0.07
Fam83b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.18	0.06
Fam83g	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.08	0.02
Fam89a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.44	2.15	2.44
Fgfr4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.24	0.03
Foxi1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Frmd8	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.54	0.0	18.91	18.17	17.28
Gabrr3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.06	0.07
Gan	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.0	7.92	6.31	8.3
Gm10649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.37	0.47
Gm13306	0.0	0.0	0.77	0.0	0.29	1.65	1.9	4.31	4.89	30.63	28.29	22.96
Gm2506	0.0	0.0	0.77	0.0	0.29	1.65	1.9	4.31	4.89	30.63	28.29	22.96
Gm2762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.64	0.79
Gm8898	0.5	0.6	4.19	13.21	0.17	4.88	3.18	1.64	0.89	8.87	7.17	8.34
Gm9961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.18	0.2
Gpr44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.11	0.08
Gpr62	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	13.97	16.49	18.78
H2-DMb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.75	2.47	1.09
Herc6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	8.63	6.36	5.7
Hhla1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hoxc8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Il17c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.15	0.16
Il18rap	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.08	0.04
Il3ra	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.65	2.97	1.7
Ints6	0.55	0.97	2.28	0.17	0.07	0.4	0.79	1.11	1.27	11.18	9.78	11.42
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Krt26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.21	0.27
Krt80	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1	3.98	4.4
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lipm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.1	0.11
Loxl4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.12	0.17
Lrrc46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16	1.09	1.27
Lzts1	0.0	7.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.24	48.57	42.52
Macrod1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.09	16.62	13.55
Megf6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.31	2.27	2.52
Mep1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.06	0.03
Mfsd7c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.98	2.27	2.45
Musk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04	1.4	1.04
Myom2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.07	0.08
Nacc2	0.62	0.57	14.31	0.46	0.67	0.09	7.66	1.06	8.25	51.13	51.33	57.92
Nenf	44.55	28.82	75.9	26.85	0.0	44.86	59.65	68.47	131.03	84.33	98.19	102.4
Nktr	3.08	21.09	24.6	6.12	6.89	2.53	18.84	24.47	6.53	56.37	47.42	56.55
Nkx6-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Npr3	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	6.38	5.5	6.24
Npy	173305.25	173863.58	166048.87	191162.16	154857.31	153405.37	147732.76	151963.58	180453.32	214.21	196.57	200.76
Nr0b1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.1	0.06
ORF63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.62	0.93
Odf3b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13	2.1	2.19
Odz4	19.59	2.32	5.46	2.23	0.04	0.08	15.99	4.96	5.89	30.76	27.31	33.46
Olfr1344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99	1.18	1.3
Olfr1419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Otof	12.9	0.0	0.0	0.0	10.29	0.0	0.0	0.0	0.0	17.85	16.68	17.5
Otop3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.12	0.04
Pfn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.18	0.2
Phf1	0.0	0.1	0.0	0.18	0.0	4.49	0.0	0.0	0.0	39.84	41.18	38.9
Pkd1l2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.1	0.14
Plaur	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.65	1.15	1.46
Plcb2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.79	1.79	1.67
Plekha7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.03	14.56	13.04
Ppef1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.37	0.53
Prex1	0.0	0.04	1.27	0.0	0.0	0.0	0.0	0.19	0.31	62.45	62.93	72.01
Ptx3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.58	0.21
Rab44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.18	0.12
Rhpn1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.53	9.46	10.5
Rnf133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.14	0.08
Rtp1	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.16	0.33	0.16
Sec14l5	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	8.72	8.13	10.39
Shroom4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	2.7	1.71	2.7
Slc10a5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.07	0.08
Slc11a1	1.5	2.07	1.44	1.08	0.73	1.1	0.9	1.3	1.0	3.67	2.9	3.54
Slc14a2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.75	0.15
Slc25a18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.57	74.11	75.37
Slc26a10	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	5.83	6.27	5.97
Slc4a5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.13	0.04
Sstr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.88	26.29	20.77
Ston2	0.3	0.38	0.47	0.14	0.25	0.14	0.12	0.41	0.12	6.44	5.92	7.43
Strc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.35	0.32
Stx11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.09	0.14
Synpo2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.72	1.87	1.96
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tead1	0.19	0.04	0.0	0.0	0.0	0.05	0.08	0.15	0.11	5.49	5.49	6.28
Tesc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.56	94.33	96.13
Tgtp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.92	0.75
Tsx	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.12	0.13
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Tubb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.2	0.07
Twist1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.76	0.69
Txndc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.11	0.12
Vgll2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.26	0.07
Wbscr27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.03	6.44	6.61
Wdr16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.88	2.12	1.58
Zdhhc23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.06	18.25	16.68
Zfp498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.23	15.19	16.39
Zfp957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.1	0.07
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Zscan10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.03	0.04
