	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_41	Htr3a_tdTpositive_cell_85	Nr5a1_tdTpositive_cell_51	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_45	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_62	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_76	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_22	Tac2_tdTpositive_cell_4
Armcx2	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.71	36.5	0.0	4.9	41.53	27.68	68.4	29.8	23.01	18.19	65.04	2.62	72.73	58.49	7.43	0.0	29.96	12.21	16.51	43.04	30.76	59.63	2.8	16.26	14.07	42.84	75.56	0.0	12.76	27.13	40.38	86.1	0.0	0.0	80.22
Arpc3	392.32	0.0	0.0	0.0	500.2	0.0	0.39	0.0	147.35	0.0	39.25	77.07	108.74	120.05	135.52	60.07	69.3	128.43	53.19	104.95	155.65	223.53	119.1	61.88	89.56	98.25	99.13	108.64	194.31	0.0	14.92	132.2	0.0	103.77	137.46	176.92	89.68	40.17	170.92	0.0	0.0	79.87
Asb13	2.35	0.92	3.53	0.0	2.27	2.0	159.17	4.96	0.75	323.57	104.03	268.21	287.36	89.4	208.97	121.56	77.1	208.36	147.96	152.99	63.68	94.06	125.2	129.22	60.18	3.29	148.93	75.08	135.41	81.06	220.94	385.95	97.93	186.2	213.88	226.38	77.54	78.61	179.11	2.35	0.15	111.8
Atxn1	48.26	0.0	0.0	49.45	0.0	0.0	42.88	16.31	24.47	20.52	17.16	17.97	14.67	15.23	31.03	32.7	17.42	76.99	3.59	18.09	43.67	35.72	13.85	12.35	33.7	6.57	45.4	22.16	35.96	32.3	22.64	48.06	10.2	17.54	9.1	24.2	10.65	14.51	6.2	0.0	0.0	72.14
B230118H07Rik	0.0	65.27	323.82	0.0	0.0	0.0	0.0	0.1	0.21	43.23	98.5	64.89	23.37	33.6	0.0	0.0	32.91	58.71	24.41	37.12	25.57	47.22	102.07	54.48	0.28	19.23	32.14	28.99	94.37	27.51	17.55	63.01	30.31	25.21	40.79	83.94	39.78	2.5	84.18	0.0	0.0	44.19
B3gnt1	475.77	0.36	0.85	0.0	0.0	324.78	0.0	0.0	9.23	16.61	94.06	59.12	23.24	135.55	150.24	47.52	231.95	130.15	59.58	184.07	200.87	138.04	140.15	121.54	122.67	85.06	182.86	59.4	40.93	89.58	133.7	22.25	18.13	20.13	177.4	60.09	142.79	120.63	238.3	0.0	529.91	283.99
Blmh	0.0	85.05	0.0	0.0	0.0	0.0	36.86	0.0	22.6	152.81	102.01	143.2	69.13	89.62	115.72	159.27	172.29	60.18	50.0	87.51	193.2	0.0	225.06	136.28	86.55	53.75	234.42	148.8	82.89	99.92	211.39	102.14	0.0	113.85	146.06	79.67	53.58	125.47	156.42	0.0	0.0	226.43
Bpnt1	20.61	8.57	642.87	0.16	3.69	11.82	32.1	3.01	104.97	125.72	103.25	145.77	58.55	107.04	261.13	192.99	111.23	96.0	228.49	172.12	238.7	118.82	194.48	237.05	111.57	151.36	116.8	39.21	261.27	138.73	103.5	394.52	135.45	222.8	155.03	144.51	58.63	243.92	33.12	4.41	97.03	424.91
C630028M04Rik	0.24	0.0	0.0	0.14	2.71	2.94	0.59	0.0	0.51	0.0	0.33	0.0	0.0	0.44	0.22	0.4	2.28	0.44	0.23	0.0	0.87	0.28	0.22	0.27	0.0	0.49	0.65	0.15	0.0	0.42	0.74	0.4	0.81	0.79	0.0	0.25	0.38	0.19	0.52	0.2	0.0	0.99
Cdkn2aipnl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	49.57	0.78	7.08	100.63	94.51	35.95	4.48	36.68	1.44	83.19	45.47	0.25	60.76	41.82	90.74	13.97	69.87	1.22	37.34	217.07	0.0	130.12	0.0	69.65	58.81	25.94	5.3	51.41	31.71	0.0	0.0	227.8
Cep57l1	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.13	0.74	0.0	0.0	3.67	11.44	9.78	0.0	0.0	0.0	0.0	8.53	0.0	0.14	65.83	0.0	0.0	0.18	0.0	0.0	0.0	0.0	3.69	11.37	0.0	0.16	53.1	0.0	0.0	0.31
Clip4	0.0	0.0	0.0	0.0	0.0	0.0	9.23	0.16	49.27	27.3	17.6	58.31	31.5	23.85	29.67	31.97	37.63	12.34	46.09	54.45	42.75	25.79	44.96	10.87	56.83	31.44	11.88	18.53	54.84	25.95	47.96	56.74	12.64	66.23	67.98	63.18	24.76	4.49	5.86	0.0	0.0	82.14
Cndp2	61.84	0.0	0.0	0.0	31.9	792.11	0.0	0.0	25.81	0.0	22.01	100.4	133.7	40.56	47.54	0.0	47.99	54.56	70.81	132.06	99.96	0.0	19.76	127.23	69.23	0.41	69.5	55.36	68.97	0.0	6.11	122.74	88.29	72.1	126.7	70.16	82.03	0.0	112.53	0.0	0.0	0.0
Cntn6	0.0	0.0	0.0	0.0	0.0	0.0	23.83	0.06	47.3	16.27	51.27	39.55	34.75	15.5	13.51	27.89	30.38	11.64	4.42	0.0	31.22	8.65	30.32	23.39	47.81	1.56	86.1	66.23	122.74	26.19	15.77	62.09	5.69	56.64	43.04	90.13	32.64	45.49	89.44	0.0	0.0	68.95
Cplx1	0.0	536.26	0.0	0.0	0.0	0.0	838.45	203.35	958.97	632.95	1585.92	878.94	910.66	989.52	1322.39	767.51	1189.5	1286.96	1559.09	1334.26	1665.13	1410.17	1223.44	1356.67	1108.19	1042.36	1808.1	1760.34	1044.79	1314.2	920.94	1049.92	976.75	1158.12	990.22	1382.77	1068.01	881.86	1054.91	0.0	0.0	729.18
Cpsf4	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.24	0.0	0.09	0.0	0.34	0.0	0.0	0.0	17.68	46.12	3.77	0.0	0.0	0.0	0.0	24.51	0.0	0.0	0.0	18.68	31.31	0.0	0.0	0.0	0.0	0.0	0.0	2.83	0.0	0.0	35.3
Cry2	3.14	0.03	0.0	0.0	0.69	62.96	0.0	9.25	0.0	26.5	7.25	9.23	0.68	0.62	1.83	83.67	19.4	0.0	0.4	22.03	31.0	0.86	0.09	27.59	9.89	0.0	0.3	0.92	5.69	28.45	0.1	1.74	0.17	61.0	25.78	0.75	26.18	0.22	0.11	0.26	0.0	39.18
Ctps	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.87	31.1	0.28	51.52	12.69	0.0	0.0	0.0	0.2	50.19	120.79	0.0	14.09	60.69	0.0	0.0	63.13	0.0	0.1	114.93	76.63	55.04	0.0	9.34	76.84	4.6	0.9	0.0	0.14	24.66	27.12	0.0	0.0	0.0	191.22
Cul2	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.31	0.0	0.09	1.47	32.09	19.1	18.27	5.36	23.31	12.68	58.47	2.15	101.73	77.37	0.11	12.54	70.48	34.3	29.44	1.33	14.5	44.03	14.65	39.98	0.2	0.0	60.49	30.21	38.79	52.44	6.82	0.05	0.0	101.73	102.59
D11Wsu99e	48.64	0.0	0.0	0.0	0.0	0.0	1.37	0.58	0.18	1.28	72.33	57.2	92.71	15.49	34.24	22.76	13.85	85.17	36.53	16.84	26.32	3.15	10.69	15.55	76.65	0.0	0.0	16.08	13.99	7.93	19.4	78.92	0.0	62.01	37.47	7.32	93.12	0.4	62.9	0.0	0.0	0.0
D2Wsu81e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	114.64	0.39	0.0	14.3	21.62	40.94	0.24	48.96	22.15	0.0	129.5	0.0	57.51	100.3	46.57	0.69	0.41	0.0	0.77	0.0	78.34	61.27	0.92	63.56	68.6	0.2	69.77	0.0	0.0	0.0	54.29	0.11	0.0	0.0	87.24
D3Ertd751e	0.0	0.0	0.0	0.0	0.0	0.0	26.04	0.0	32.51	96.4	0.0	73.71	138.3	56.49	8.82	0.16	7.72	0.0	0.0	105.35	119.21	0.14	44.62	41.97	4.67	0.0	100.61	11.47	65.13	48.93	50.47	82.7	56.44	146.4	0.12	0.0	6.47	8.02	27.19	0.0	0.0	105.71
Dcun1d1	350.99	16.85	0.0	0.0	0.0	0.0	47.76	0.0	28.81	76.1	124.6	60.63	54.22	107.7	46.56	28.1	42.69	181.28	49.01	88.91	125.58	90.56	96.42	75.01	135.76	36.73	97.47	77.63	120.23	103.62	109.12	161.71	32.45	108.76	12.53	110.88	24.9	88.57	104.35	0.15	0.0	145.83
Ddx41	0.0	0.0	106.88	0.0	0.0	0.0	10.74	4.01	8.26	6.09	0.0	4.24	3.55	5.97	0.0	44.01	97.17	68.66	0.0	0.0	32.19	0.0	66.06	13.42	0.0	0.0	22.11	0.0	0.0	22.27	51.02	40.84	62.26	114.95	53.39	104.14	28.79	2.73	43.08	0.0	0.16	84.8
Dgkg	0.0	33.14	0.0	0.0	0.0	0.19	6.16	0.04	0.0	0.07	0.0	2.49	7.29	49.21	32.11	0.58	35.99	58.18	0.0	17.27	96.89	0.08	2.08	31.77	0.04	0.0	20.73	0.0	0.0	2.04	8.94	40.15	0.0	23.02	47.93	0.14	1.17	16.94	0.04	0.1	0.0	76.76
Dhx37	1.32	0.44	1.14	0.0	3.13	1.1	2.3	3.09	1.99	2.16	1.92	1.22	1.02	1.43	0.86	2.71	1.31	0.62	2.04	0.88	1.81	1.5	1.97	1.62	0.67	0.85	2.22	1.12	0.84	2.84	2.08	1.32	1.4	4.12	1.58	1.66	1.22	1.31	1.45	2.32	0.0	3.06
Dlgap2	0.0	1.24	0.0	0.0	0.0	0.0	18.22	18.84	5.45	23.56	167.8	47.12	11.62	20.59	42.08	10.19	85.52	49.21	58.66	10.19	84.64	11.73	56.88	16.94	8.6	46.78	32.08	27.83	11.56	0.35	62.4	73.7	89.69	60.59	90.36	58.42	18.35	34.76	35.26	0.0	0.0	58.43
Dpp9	0.0	0.03	0.33	0.0	0.0	0.0	0.0	0.87	15.59	15.97	63.6	24.54	0.47	0.42	7.06	14.38	42.42	22.75	16.99	1.44	51.1	0.0	15.21	0.0	1.18	0.0	5.04	2.91	0.54	0.0	0.0	54.07	0.0	0.0	46.11	35.5	44.3	8.5	0.0	0.0	0.0	0.0
E030024N20Rik	4.35	21.19	3.02	3.86	0.58	3.13	7.88	3.52	21.13	10.53	22.24	21.41	10.04	11.58	11.02	26.65	36.47	56.68	6.16	40.65	23.91	8.14	6.18	25.05	34.37	8.89	16.26	26.75	6.19	6.07	12.04	31.28	6.62	25.43	20.51	8.28	22.43	19.32	25.55	0.0	2.75	44.95
Eef1e1	0.0	19.16	0.0	0.0	0.0	0.0	233.36	3.64	131.07	338.69	345.12	238.27	297.19	407.99	304.66	306.48	308.25	174.07	126.39	342.7	23.33	319.13	263.35	319.46	195.88	416.68	579.52	90.99	415.89	309.82	298.86	557.71	136.22	144.42	470.57	569.08	266.41	248.3	560.24	0.0	0.0	371.09
Eya3	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.04	0.0	0.0	0.0	0.0	0.0	1.37	0.0	0.0	0.0	0.0	0.0	0.0	13.02	0.0	0.0	0.0	0.0	0.0	1.62	0.0	0.0	1.35	4.41	24.34	0.0	0.0	0.0	0.0	0.07	0.07	0.97	0.0	0.0	9.16
Gad2	1.54	306.46	1.51	0.62	0.76	1.01	125.21	0.74	271.4	59.05	128.2	163.16	110.84	352.28	57.62	73.66	341.92	176.24	130.36	162.38	232.85	110.52	26.72	129.54	153.34	78.71	145.38	105.92	112.67	88.8	173.88	191.97	93.16	173.17	126.33	213.1	180.92	28.65	84.86	0.0	0.0	506.08
Ganab	216.69	0.0	0.89	6.66	26.33	0.0	12.91	47.65	0.12	47.43	52.22	5.36	59.2	52.99	17.64	10.6	31.5	65.05	9.19	16.1	11.85	70.42	0.0	41.26	12.72	90.1	162.69	3.75	63.99	0.1	78.88	74.79	0.09	28.61	31.88	77.8	91.48	0.09	1.41	0.0	0.0	156.18
Gltpd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	101.02	62.07	163.67	163.73	130.0	111.47	0.0	13.4	157.87	35.27	170.3	82.71	195.49	0.0	181.25	0.0	51.1	158.88	108.34	131.36	0.0	0.44	169.9	0.0	72.77	176.25	109.25	54.76	119.82	50.95	0.0	0.0	0.0
Gm10012	15.57	10.81	24.21	18.92	17.37	6.21	30.3	10.16	11.11	27.44	41.04	59.76	18.34	36.05	19.05	6.4	31.1	32.47	18.16	35.81	33.11	51.27	21.17	20.84	41.69	18.99	33.85	22.34	21.62	32.87	17.96	54.88	24.55	29.91	39.05	45.64	33.98	32.04	46.78	0.0	8.46	26.09
Gm1604b	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.0	80.82	9.08	56.51	0.97	42.49	0.0	18.78	13.86	23.01	127.09	55.96	25.8	61.45	28.52	18.66	67.11	67.41	17.45	61.18	15.56	119.38	193.47	0.0	57.56	8.42	92.47	28.81	22.95	39.19	3.82	22.06	0.0	0.0	87.26
Gm16517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	0.0	1.92	0.0	31.67	56.57	0.0	0.0	41.73	0.0	0.0	0.0	1.21	0.0	30.24	20.17	30.01	20.89	5.83	0.0	0.0	0.41	1.92	0.71	0.34	0.0	0.0	0.0	0.0	0.0
Gtf2f1	0.0	5.38	0.0	37.61	8.95	0.0	1.29	3.16	23.36	0.0	225.9	18.95	27.32	48.6	199.27	0.0	0.0	197.37	51.82	119.96	89.64	0.0	170.67	107.34	95.39	76.26	0.0	91.85	177.78	76.63	0.0	0.48	29.97	123.58	80.31	100.56	72.97	5.81	120.19	0.0	0.0	0.0
Hnrnpr	0.0	1.05	0.0	0.0	2.58	0.0	4.93	58.46	105.1	4.18	109.99	17.12	15.89	39.77	0.0	64.53	24.9	90.85	44.11	71.12	49.72	23.8	49.18	0.0	45.56	40.57	123.39	17.67	1.85	19.29	0.29	23.71	4.79	28.44	44.73	1.97	53.67	47.48	63.57	0.51	0.0	63.54
Hsf5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.88	0.0	0.0	3.8	27.04	8.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.39
Ier3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.54	46.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.66	0.0	0.0	0.0	0.0	0.0	8.43	0.0	0.0	0.0	16.21	0.0	0.0	0.0	55.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Iqgap2	0.0	0.02	0.0	0.0	0.0	0.0	3.6	0.4	8.84	14.37	22.06	0.98	11.0	0.03	1.96	1.02	52.29	7.98	15.99	41.42	25.68	22.67	5.87	14.18	3.96	47.46	1.49	6.08	17.8	27.85	0.0	33.01	31.81	20.63	41.61	59.45	40.99	36.57	0.23	0.0	0.0	19.78
Kcnd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.49	0.0	0.0	0.0	0.0	38.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.5	0.0	62.29	0.0	29.74	23.92	1.82	0.0	0.0	0.0	31.33
Krit1	0.0	0.26	0.0	0.0	0.0	0.0	9.27	0.04	4.38	6.66	15.53	15.07	25.87	10.13	5.29	33.09	6.86	14.29	32.75	6.31	39.89	11.49	2.93	31.91	22.13	12.58	38.38	5.61	28.57	58.89	16.5	25.74	20.87	20.85	35.04	29.28	100.79	23.36	3.0	0.0	0.0	21.9
LOC330599	0.47	2.49	0.0	0.0	0.0	2.66	1.82	0.32	2.09	1.53	3.14	6.3	2.88	7.97	9.4	8.46	5.13	5.66	7.29	5.19	5.97	7.12	6.52	2.14	5.62	10.24	2.29	12.05	2.23	2.68	2.44	7.54	17.24	13.54	7.76	0.73	3.83	7.69	10.78	0.71	0.93	16.82
Ldhb	7486.96	6607.22	4317.46	2593.67	402.26	2388.93	8550.52	1143.5	10894.4	11261.44	10004.69	9074.03	13571.31	6655.09	12546.17	11010.48	5744.21	6851.78	7551.43	6831.71	7750.55	7070.46	7124.4	7739.08	7205.83	6728.17	7185.39	9082.37	7441.82	7928.56	7910.47	6628.6	7322.67	7844.79	6796.56	8351.44	7830.1	8111.86	11746.38	5577.5	0.0	3870.23
Lrrc8d	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	17.62	1.23	0.0	1.45	17.17	0.0	14.55	0.04	0.48	0.0	45.57	5.49	62.95	33.18	0.0	0.0	0.0	3.14	8.86	5.72	0.0	0.1	0.3	58.57	41.67	64.23	41.24	43.91	14.19	0.0	0.0	27.52	0.0	50.93
Narfl	0.0	30.97	5.38	0.0	0.98	0.0	3.22	0.34	4.99	0.0	17.77	11.75	21.86	44.54	63.27	128.36	69.73	9.38	7.67	56.08	71.68	2.36	55.53	9.59	28.13	56.79	120.14	10.31	5.83	39.91	3.37	15.0	11.97	76.86	179.85	60.5	11.1	24.25	94.76	0.0	0.0	10.99
Nhp2	0.0	0.75	0.0	0.0	0.0	0.0	16.89	0.0	147.29	96.38	94.32	57.7	0.29	27.26	50.68	45.16	0.0	41.69	108.03	0.0	91.08	0.0	97.52	0.0	72.47	120.03	210.03	68.76	36.63	63.09	18.49	0.0	56.81	39.13	69.9	62.77	64.05	63.46	165.45	0.0	0.0	98.77
Nif3l1	105.28	21.77	0.41	0.0	0.59	1.21	0.0	44.9	135.88	0.0	62.85	56.54	49.72	89.98	127.32	62.16	4.54	31.99	45.43	161.3	159.9	79.18	53.86	0.0	25.05	94.09	0.93	131.47	103.16	106.41	0.42	185.76	1.31	86.0	73.45	27.15	98.33	69.68	80.01	0.0	1.03	21.37
Pdgfa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.31	0.0	0.0	1.25	0.73	18.12	3.32	0.0	0.0	36.82	1.6	7.57	0.43	33.19	11.2	11.33	8.36	2.29	0.0	34.75	0.0	0.0	0.0	0.0	6.67	0.0	0.41	0.42	0.0	0.0	2.16	0.0	0.0	0.0	18.96
Polr3k	260.67	0.85	0.0	4.5	1.59	2.45	0.63	0.6	50.98	69.43	154.19	142.96	77.36	76.87	120.92	52.74	41.25	91.72	130.93	155.42	66.06	20.06	61.75	52.59	127.02	4.83	129.87	54.86	40.5	53.76	15.23	65.04	0.76	77.78	149.98	4.47	99.88	86.15	156.32	7.23	1.25	150.04
