	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_47	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_63	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_8
Frat1	0.0	1.59	0.0	0.0	0.0	70.19	31.32	0.0	0.46	90.33	114.06	45.47	52.15	71.75	79.64	52.24	71.35	34.38	172.08	141.59	71.05	72.98	101.77	44.5	82.71	0.0	110.45	92.75	331.56	0.0	25.96	22.35	2.94	37.79	38.69	16.42	12.67	85.03	52.08	61.2	0.16	120.15	76.0	7.55	78.21	93.42	25.54	0.0	0.0
Gm11127	54.48	35.0	20.29	31.89	0.0	149.22	80.82	0.0	4.13	91.06	121.01	12.13	77.61	107.88	82.48	66.46	95.21	117.04	127.12	91.7	131.46	99.16	99.55	62.71	99.18	47.49	215.26	80.66	122.17	81.36	79.58	29.28	79.03	74.51	71.03	45.01	112.17	109.37	61.53	131.18	71.62	87.57	79.5	28.65	62.15	127.46	57.96	0.27	0.0
Gm14430	0.0	0.0	0.0	0.07	0.0	38.82	3.32	8.44	0.0	31.03	36.04	0.0	14.72	31.75	1.87	12.3	26.14	10.3	14.72	6.05	13.5	14.04	5.35	13.46	3.22	12.83	28.02	12.31	21.73	3.07	20.8	2.82	11.03	18.55	13.57	19.8	4.08	11.25	0.0	0.32	9.13	19.5	0.54	6.88	14.82	8.34	2.38	0.12	0.0
Gm14434	0.0	0.0	0.0	0.07	0.0	38.82	3.32	8.44	0.0	31.03	36.04	0.0	14.72	31.75	1.87	12.3	26.14	10.3	14.72	6.05	13.5	14.04	5.35	13.46	3.22	12.83	28.02	12.31	21.73	3.07	20.8	2.82	11.03	18.55	13.57	19.8	4.08	11.25	0.0	0.32	9.13	19.5	0.54	6.88	14.82	8.34	2.38	0.12	0.0
Gm4724	0.0	0.0	0.0	0.07	0.0	38.82	3.32	8.44	0.0	31.03	36.04	0.0	14.72	31.75	1.87	12.3	26.14	10.3	14.72	6.05	13.5	14.04	5.35	13.46	3.22	12.83	28.02	12.31	21.73	3.07	20.8	2.82	11.03	18.55	13.57	19.8	4.08	11.25	0.0	0.32	9.13	19.5	0.54	6.88	14.82	8.34	2.38	0.12	0.0
Golt1b	282.54	100.11	5.96	0.0	0.17	590.51	105.55	0.0	254.17	281.96	422.92	283.55	122.49	204.49	179.82	149.56	284.74	323.25	334.45	517.99	208.11	263.64	318.56	233.03	324.31	316.74	259.33	226.16	447.77	149.91	202.9	121.44	362.38	171.26	170.72	166.53	239.77	34.41	129.77	176.22	67.89	295.07	199.55	102.6	202.19	258.73	118.75	0.88	0.73
Inpp1	0.0	13.13	0.0	0.0	0.0	75.87	47.35	0.0	0.34	0.0	0.0	1.14	0.0	37.76	39.53	50.17	30.76	62.59	63.82	71.66	0.31	3.18	50.41	65.17	192.73	117.17	92.2	23.97	97.87	80.79	58.82	58.79	108.54	6.12	46.74	0.0	47.05	0.0	44.49	90.4	0.0	51.55	0.0	0.0	53.81	49.21	0.0	0.0	0.0
Kif21a	33.69	2.81	0.0	0.0	0.0	125.13	20.15	0.0	0.0	63.08	47.76	18.52	101.7	23.83	7.47	9.69	65.39	26.3	62.24	40.5	62.93	69.78	62.13	56.57	71.25	17.03	0.0	17.96	33.34	12.06	12.97	10.61	34.72	74.37	76.31	7.81	42.0	65.61	23.41	49.1	20.54	22.37	22.26	4.18	44.0	33.32	82.17	0.0	0.0
Ldhb	7486.96	8970.97	4317.46	3517.81	5274.92	6819.53	8752.31	4948.76	6399.01	8798.32	8750.45	10118.08	10894.4	8525.9	8892.3	7735.26	8217.62	8583.06	8517.89	9220.91	9343.6	8808.99	8223.21	10165.1	9166.61	9602.81	7343.35	7785.08	4472.12	11261.44	7829.53	8285.69	10004.69	9074.03	13571.31	7287.29	12546.17	9106.97	8513.41	9755.78	8904.1	8390.99	11010.48	8275.76	7724.63	10182.84	11746.38	2798.49	1093.59
Mgat2	0.0	0.0	0.0	0.0	0.0	40.96	0.0	0.0	0.0	4.76	0.0	0.19	57.6	6.01	0.0	13.54	0.0	0.64	3.4	0.91	11.42	2.52	15.65	20.37	0.0	0.0	54.64	0.0	17.7	0.0	30.6	2.01	0.0	0.0	0.0	10.57	1.25	0.14	11.48	0.5	0.0	3.05	0.21	0.0	33.6	0.0	3.5	0.0	0.0
Mrrf	0.0	0.0	0.0	0.0	0.0	118.37	29.49	0.0	0.0	7.0	57.89	133.9	82.23	37.84	29.86	32.96	117.74	0.0	77.44	107.81	0.0	74.13	68.1	0.0	0.69	92.55	0.0	37.96	7.89	0.0	35.42	0.0	35.0	36.72	43.11	0.0	77.13	91.84	21.59	82.85	22.66	0.0	1.46	1.08	43.34	24.58	42.63	0.16	0.0
Ndfip1	0.0	0.0	0.0	0.0	0.0	148.94	35.95	0.0	0.0	39.57	81.92	47.95	94.15	67.23	52.27	60.33	33.36	132.33	50.99	62.5	36.27	36.11	90.98	98.26	380.53	107.7	264.07	116.54	162.81	110.36	62.38	76.71	34.52	37.42	61.24	50.98	25.22	53.78	31.74	48.46	48.47	102.81	40.8	74.86	17.0	13.58	18.59	0.0	0.0
Nrxn3	19.55	42.51	0.0	0.0	0.0	143.93	67.33	0.0	0.46	117.75	109.78	78.44	36.59	111.96	61.03	118.96	104.7	106.21	96.5	72.83	141.6	96.48	84.2	109.8	70.76	53.55	114.31	103.34	153.02	71.78	88.51	54.26	97.65	66.89	114.37	65.14	56.44	119.59	153.31	107.05	129.07	90.06	47.45	78.65	95.93	86.39	63.4	0.13	0.0
Pcm1	0.0	0.0	0.0	10.94	0.0	56.14	18.69	0.0	0.07	30.54	18.14	0.0	6.86	12.77	35.07	13.9	31.59	23.08	11.6	36.97	6.25	23.31	38.28	45.2	55.13	5.72	34.8	18.44	11.62	10.22	16.23	22.08	59.35	3.62	16.31	24.36	16.82	4.32	9.12	13.93	3.2	3.39	25.82	10.74	5.71	18.7	39.24	0.12	0.0
Pdhx	0.0	4.76	0.0	0.0	0.0	292.73	59.26	0.0	0.47	186.21	63.15	62.17	142.83	245.59	273.63	204.79	245.87	258.71	94.92	232.06	222.24	169.07	348.67	143.53	70.69	184.01	72.04	220.75	203.02	114.07	41.9	151.32	16.2	154.68	95.93	177.98	170.71	146.28	120.66	144.15	37.19	116.0	219.84	52.47	177.73	57.08	162.4	0.14	0.0
Ppp2r3c	0.83	0.0	0.0	0.0	0.0	135.23	99.19	0.0	0.0	110.87	58.32	4.01	85.52	89.55	10.33	138.01	70.87	119.84	77.05	124.86	27.06	97.49	115.01	87.3	247.76	0.72	145.82	62.64	90.61	0.16	50.36	49.14	4.14	40.09	52.01	23.87	69.97	77.69	164.87	61.9	87.37	56.62	4.23	97.2	77.64	75.21	49.3	0.0	0.0
Rbfox1	0.0	2.08	0.0	0.0	0.0	235.66	88.81	0.0	1.29	111.53	149.02	125.14	91.05	122.72	160.2	81.81	192.55	222.62	216.07	254.3	171.68	77.38	90.53	73.23	121.31	101.8	151.81	204.01	143.6	100.93	120.09	78.99	141.49	53.76	54.96	84.71	122.22	157.32	111.57	131.12	116.76	143.2	66.71	123.16	114.48	74.89	190.51	0.0	0.0
Rian	0.0	11.5	0.0	0.0	0.0	57.21	46.76	0.0	0.0	52.93	60.88	33.98	57.74	64.79	58.43	65.3	66.68	58.92	98.89	68.3	129.14	98.35	25.5	89.98	86.11	97.41	148.27	66.1	114.4	56.29	32.5	48.97	61.88	38.36	54.37	29.35	40.98	17.21	67.85	45.64	30.73	51.58	44.39	30.47	56.26	27.95	72.66	0.4	0.0
Rnf11	0.0	9.94	0.0	0.22	0.0	159.91	164.85	0.0	0.28	66.44	18.85	78.53	162.25	90.62	7.27	162.14	61.11	53.36	87.29	47.4	73.96	18.9	69.35	74.93	257.03	61.25	236.23	8.87	41.91	140.72	0.0	115.64	70.1	44.88	69.1	89.2	13.85	2.3	84.25	59.8	43.24	129.15	35.12	37.22	114.79	48.18	42.85	0.0	0.0
Strbp	63.78	28.58	0.67	0.39	0.09	432.32	96.86	0.35	74.91	125.4	158.06	43.8	72.63	114.89	257.77	234.9	180.8	205.27	221.93	264.65	254.63	144.0	242.92	232.74	264.02	158.91	194.16	213.05	268.49	280.47	126.36	163.78	224.49	104.84	104.21	110.83	103.23	193.37	175.87	175.9	166.7	199.36	235.54	99.66	158.77	160.8	192.03	0.74	0.55
Synj1	0.0	39.87	0.0	26.04	0.0	68.6	48.85	0.0	0.42	65.79	85.93	130.09	30.88	94.59	110.45	110.3	110.21	179.05	134.61	67.16	105.17	91.61	90.94	62.46	128.13	166.68	122.94	83.38	132.02	39.97	31.71	20.23	94.43	101.21	52.87	28.22	64.58	61.13	46.74	115.44	53.24	81.9	50.55	97.37	106.42	68.45	84.67	0.0	0.0
Tmem126a	53.66	365.05	13.51	0.0	40.72	211.62	154.25	47.78	0.0	135.06	192.74	0.0	454.91	158.4	259.49	164.74	72.22	35.61	95.85	237.86	181.19	102.95	302.12	226.87	388.21	122.91	190.66	183.71	563.8	97.34	90.35	59.26	98.47	159.14	163.55	41.19	126.93	272.2	101.57	172.65	159.86	201.9	305.32	147.49	115.59	407.73	26.94	0.48	5.64
Tmf1	8.06	31.39	18.32	1.0	195.33	96.1	72.66	0.14	63.26	87.0	73.06	34.89	30.28	53.39	156.04	87.18	60.11	102.41	65.87	81.66	96.67	70.26	118.52	116.23	61.1	48.41	173.66	101.89	100.43	33.08	62.42	47.11	58.18	59.8	69.77	52.8	48.91	62.5	69.09	69.99	15.7	78.79	64.43	46.06	81.0	89.01	152.98	24.55	52.79
Tnrc6c	0.0	3.05	0.0	6.79	6.92	38.56	6.6	0.0	0.2	20.88	10.45	0.17	4.91	21.12	21.57	13.53	20.3	13.33	8.47	7.4	6.92	0.0	13.1	9.3	26.04	11.44	35.48	8.55	24.96	7.24	6.1	15.91	23.73	10.98	7.43	22.73	15.31	18.69	7.68	18.22	2.53	19.59	16.81	4.67	31.22	12.75	10.33	0.04	0.0
mt_AK136262	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.1	0.2	0.2	17.46	0.04	0.05	0.0	0.08	0.17	0.19	7.2	0.21	0.09	39.31	64.83	35.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.15	7.33	0.0	8.08	0.19	0.04	0.18	0.2	0.06	0.0	0.0	0.0
mt_AK142003	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.1	0.2	0.2	17.46	0.04	0.05	0.0	0.08	0.17	0.19	7.2	0.21	0.09	39.31	64.83	35.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.15	7.33	0.0	8.08	0.19	0.04	0.18	0.2	0.06	0.0	0.0	0.0
mt_AK166798	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.1	0.2	0.2	17.46	0.04	0.05	0.0	0.08	0.17	0.19	7.2	0.21	0.09	39.31	64.83	35.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.15	7.33	0.0	8.08	0.19	0.04	0.18	0.2	0.06	0.0	0.0	0.0
mt_AK166978	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.1	0.2	0.2	17.46	0.04	0.05	0.0	0.08	0.17	0.19	7.2	0.21	0.09	39.31	64.83	35.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.15	7.33	0.0	8.08	0.19	0.04	0.18	0.2	0.06	0.0	0.0	0.0
