	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_69	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Grm1	2.26	0.7	12.33	22.26	22.04	21.67
Gucy1a3	54.07	34.75	12.31	67.15	65.02	68.15
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hmgn5	0.0	0.0	0.0	8.64	7.31	9.35
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Hpcal1	0.0	0.0	0.0	81.48	89.83	79.87
Hrh2	0.0	0.0	6.47	6.88	6.71	5.29
Hs3st4	0.0	0.0	0.0	55.2	59.87	55.44
Hspa1l	0.0	0.0	0.0	12.68	13.03	10.62
Htr2c	0.0	0.0	0.0	32.24	32.1	28.82
Il22ra1	0.37	0.11	0.08	0.51	0.47	0.53
Iqcj	0.0	0.0	0.0	0.22	0.07	0.07
Irak1	29.92	6.36	9.83	37.61	37.01	38.47
Isg15	0.0	0.0	1.38	6.27	6.47	7.46
Itga8	0.0	0.0	0.0	3.98	3.26	3.95
Kctd2	0.0	0.0	0.0	73.64	79.6	73.51
Kdm5c	3.42	8.4	0.24	34.89	26.41	27.1
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Klf15	0.0	0.0	0.0	18.98	23.44	19.68
Klhl1	0.0	0.0	0.0	3.13	2.88	2.48
L3mbtl1	0.0	0.0	0.0	14.17	12.31	13.53
LOC626049	0.0	0.0	0.95	1.35	0.54	0.59
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lmo2	32.36	0.0	0.0	27.11	28.71	29.03
Lypd1	0.0	0.0	0.0	88.97	94.74	96.71
Myh1	0.0	0.0	0.0	0.76	0.46	0.33
Myh2	0.0	0.0	0.0	0.64	0.39	0.57
Nlrc4	0.0	0.32	0.19	0.79	0.43	0.73
Nol7	11.17	20.57	4.16	37.67	35.96	34.8
Nppb	0.0	0.0	0.0	0.13	0.12	0.0
Nppc	0.0	0.0	0.0	6.68	8.21	8.5
Nrtn	0.0	0.0	0.0	4.01	6.04	4.59
Nt5c	0.0	0.0	0.0	56.34	54.14	49.66
Nt5c3	0.0	0.4	0.0	60.33	60.83	50.29
Ntng1	0.0	0.0	0.0	16.07	16.87	16.1
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Osgin2	0.0	0.0	0.0	16.86	15.88	17.44
Pafah2	0.0	0.0	0.0	5.92	6.88	6.5
Pbx3	0.0	0.0	0.0	12.89	15.68	14.71
Pcdhb19	0.0	0.0	0.08	5.24	4.81	5.56
Pcp2	0.0	0.0	0.0	0.55	0.0	0.9
Pdzd2	0.04	0.0	0.3	18.21	16.23	20.08
Plvap	0.0	0.0	0.0	8.56	9.31	7.36
Ppp1r14b	17.28	16.98	0.0	31.01	36.7	38.39
Pxdn	0.0	0.0	0.0	38.49	35.82	40.82
Rgs12	0.0	0.0	0.0	34.44	37.25	35.82
Rgs20	1.31	0.71	0.94	41.47	37.45	41.83
Rhoj	0.0	0.0	0.0	3.56	2.69	3.46
Ric8b	0.93	1.1	0.0	45.42	45.68	43.24
Rpusd3	0.0	0.0	0.0	9.4	10.72	10.56
Rsl1	0.53	0.0	0.0	4.61	3.72	3.61
Scn3b	0.0	0.0	0.0	86.72	84.57	77.54
Sdsl	0.0	0.0	0.0	3.41	3.88	2.74
Serinc5	3.23	0.56	0.0	47.51	47.26	50.14
Slc38a6	3.83	1.08	2.79	8.69	8.46	9.48
Slc44a1	0.0	8.26	0.0	53.42	53.04	59.96
Slfnl1	0.0	0.0	0.0	0.06	0.0	0.06
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tceal5	28.91	21.2	31.95	126.15	124.0	119.84
Tek	0.0	0.0	0.0	9.28	8.12	9.12
Tmem104	2.71	0.0	0.0	10.19	9.7	9.58
Tnfrsf9	0.0	0.0	0.0	0.57	0.68	0.99
Tnnt2	0.0	0.0	0.0	10.36	7.11	8.46
Tra2a	30.91	26.38	0.22	83.97	67.88	73.86
Trim33	1.33	14.74	0.29	25.38	22.69	24.34
Tspan11	0.0	0.0	0.0	3.66	3.36	3.3
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ttll13	0.0	0.0	0.0	0.65	0.96	0.71
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Vmn2r42	0.0	0.0	0.0	0.11	0.1	0.35
Vmn2r43	0.0	0.0	0.0	0.35	0.0	0.21
Vps13a	1.34	0.26	0.0	19.01	13.64	19.0
Wbscr27	0.0	0.0	0.0	6.03	6.44	6.61
Wdsub1	0.0	0.0	0.0	11.8	12.36	12.9
Wfikkn2	0.16	0.0	0.08	1.98	1.38	1.39
Whrn	0.0	0.0	0.0	25.21	28.08	30.17
Xpnpep3	0.32	0.72	0.3	8.82	8.43	9.42
Zfp568	0.0	0.0	0.1	1.64	1.89	1.34
Zfp936	0.0	0.0	0.05	0.14	0.11	0.1
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	5.86	18796.57	17507.83	18655.33
mt_BC104337	0.0	22.08	0.0	9032.87	8417.95	8583.15
