	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_47	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_57	Cux2_tdTpositive_cell_98	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_10	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Arl5c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.85	0.0	0.0	0.0	0.0	1.01	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.85	2.05	2.24
Atg16l1	0.0	0.0	0.0	0.0	89.97	0.49	0.0	119.96	0.0	14.55	41.27	6.08	0.0	52.7	0.0	0.0	0.0	0.0	18.69	0.0	0.1	39.02	0.98	18.93	40.98	44.03	0.0	0.0	0.0	0.0	20.56	4.74	0.0	3.01	0.23	1.82	11.35	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.17	95.44	0.0	3.13	15.74	49.31	48.42	49.31
Baz2b	0.06	6.05	0.0	0.21	0.0	0.0	14.91	77.62	0.0	0.0	6.15	21.56	0.0	0.05	0.06	221.92	0.0	0.0	0.0	0.0	16.39	19.12	0.22	26.87	0.04	0.89	1.3	0.0	0.0	0.0	6.73	0.0	26.73	0.02	3.21	18.6	8.24	0.0	0.03	12.51	0.0	0.04	0.0	0.0	0.0	33.09	12.85	22.77	6.93	13.01	11.77	14.03
Bbs2	0.12	36.36	0.16	36.34	25.51	12.59	0.0	104.87	0.12	0.0	0.07	45.42	12.76	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.14	71.77	54.78	0.0	2.02	0.0	0.0	0.0	0.07	82.95	0.0	0.0	0.0	44.6	11.64	6.93	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.16	3.26	14.0	22.01	24.73	23.72
Camsap2	25.04	15.09	1.47	3.82	26.94	1.12	1.38	90.71	0.0	13.58	0.0	53.8	2.14	2.67	0.0	0.0	0.0	0.0	13.56	7.54	0.0	32.01	21.45	0.0	16.13	29.73	8.55	2.52	6.33	1.91	1.3	49.5	21.18	0.65	0.0	25.59	11.0	0.0	5.96	0.22	0.0	61.5	61.98	5.8	54.13	0.06	9.4	27.43	17.97	69.2	62.43	66.22
Ccl27b	0.14	3.68	0.0	0.0	1.57	22.17	28.87	0.83	0.0	11.67	11.32	0.0	21.49	31.22	0.0	0.0	0.0	0.0	0.0	7.16	0.58	5.37	0.27	1.98	0.0	0.0	2.47	0.77	0.0	0.0	1.65	1.9	0.13	2.24	8.48	29.61	40.26	0.0	1.3	0.0	46.94	0.08	0.0	0.0	0.0	4.36	3.13	4.62	71.98	30.63	28.29	22.96
Cd3e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.13	0.0
Celsr3	6.21	0.0	0.0	0.0	0.05	0.0	0.0	13.96	0.0	6.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.33	5.1	0.1	3.32	0.38	0.1	7.16	0.0	0.0	0.08	0.0	0.0	0.02	0.0	1.08	0.14	0.04	0.62	0.0	0.03	0.0	5.9	3.43	5.65	11.26	0.09	0.35	0.0	0.07	1.66	42.74	41.54	46.86
Chmp2b	4.81	0.0	22.42	34.3	9.08	22.58	4.42	183.7	0.0	0.0	0.12	0.0	0.0	14.31	0.0	0.0	218.52	0.0	8.18	34.73	3.38	27.83	20.58	64.18	1.7	0.0	23.5	43.3	0.0	31.58	0.15	6.75	26.48	26.19	46.08	17.92	44.12	0.0	71.83	0.38	0.0	0.71	104.18	0.0	0.0	0.0	34.88	0.0	16.04	68.57	73.19	69.24
Cxx1b	1.83	2.61	11.42	2.47	26.83	8.15	12.64	113.93	0.0	16.08	54.68	0.0	3.32	8.48	0.0	0.0	0.0	0.0	2.38	13.31	13.24	42.79	30.24	20.56	22.55	23.48	5.75	28.91	16.22	31.73	11.37	4.1	3.05	13.81	4.22	15.14	51.38	0.0	50.0	0.0	3.43	38.32	21.03	4.5	12.88	1.8	6.01	4.03	14.17	172.6	187.06	185.15
Cyb5b	0.0	0.0	64.38	27.06	32.4	0.0	0.0	196.15	0.0	43.77	75.32	20.27	90.12	5.61	0.0	0.0	0.0	1.19	41.53	60.18	32.07	39.31	48.66	18.47	68.64	44.56	71.75	41.3	55.62	6.36	42.85	110.52	0.1	22.92	60.56	29.55	27.4	0.0	8.35	0.0	33.39	27.01	0.03	86.86	38.06	0.21	22.5	0.1	34.02	103.68	103.32	101.13
D030016E14Rik	0.0	8.62	1.12	48.08	0.0	0.0	0.0	209.36	0.0	44.16	0.0	0.0	90.57	1.63	0.0	0.09	0.0	0.0	21.0	2.71	25.97	7.16	3.74	12.31	28.03	85.34	18.53	27.4	113.04	4.1	0.0	16.7	0.0	0.07	0.0	10.62	13.79	0.0	0.0	1.02	0.08	1.65	18.58	110.24	5.43	3.71	13.7	1.11	19.77	48.89	47.83	46.08
Daam2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.2	4.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.19	0.0	0.0	0.0	0.0	0.0	0.0	0.19	1.84	0.0	0.0	0.0	3.29	0.79	36.24	32.77	40.59
Dars2	0.0	0.14	52.13	0.87	0.0	0.15	0.57	116.17	0.0	0.0	0.0	0.3	0.27	0.0	0.19	0.0	1.74	0.26	21.95	0.26	46.96	35.22	0.32	0.18	0.53	0.07	0.57	0.36	20.58	0.0	0.04	0.09	0.32	0.06	0.43	0.64	6.81	0.2	0.22	28.62	57.9	0.07	0.08	0.6	0.0	10.83	0.0	46.59	23.44	15.36	14.16	13.53
Dirc2	0.65	0.06	0.45	1.3	0.92	0.23	0.94	29.72	0.0	24.88	7.55	0.68	3.1	0.82	0.29	0.08	0.0	0.2	1.31	1.06	30.51	1.85	0.64	2.95	44.89	24.68	35.1	8.15	4.71	0.78	0.25	14.46	0.58	4.84	14.8	10.96	5.23	0.29	0.9	1.11	1.41	21.02	29.58	2.24	2.16	0.84	13.91	0.59	8.35	38.97	41.16	39.36
Dnttip1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134.5	0.0	0.0	4.85	11.39	0.0	0.0	0.0	0.0	0.0	0.0	8.05	0.0	0.0	0.0	4.23	0.0	0.7	0.0	68.16	0.0	0.0	0.0	0.69	0.0	0.0	0.52	23.18	11.63	7.69	0.0	63.63	0.0	41.5	0.0	0.12	0.0	0.0	0.0	0.38	15.54	9.46	38.55	38.59	37.63
Dpf1	13.01	0.43	70.86	10.93	48.19	18.84	0.0	79.56	0.0	28.36	15.37	2.17	8.99	9.42	0.0	0.0	0.0	0.0	1.22	2.02	7.52	19.28	8.66	4.56	9.3	7.34	4.0	6.12	10.26	6.68	7.35	4.64	4.95	18.19	3.99	11.46	24.66	0.0	10.83	13.7	14.28	5.73	4.53	32.76	1.19	11.8	2.06	8.88	16.23	47.74	50.08	44.62
Eef1a2	1.79	0.62	4.3	20.19	46.09	0.07	0.18	111.91	0.0	11.81	20.37	3.88	3.73	7.78	0.0	0.0	0.0	0.0	12.51	9.62	0.15	10.77	18.57	1.27	9.7	3.67	0.72	9.37	35.19	0.32	42.16	1.15	43.37	31.04	11.82	37.94	24.47	0.0	2.74	31.44	28.43	27.44	17.02	0.0	3.44	0.45	17.22	0.0	32.48	919.63	958.3	943.69
Epdr1	40.88	0.0	32.89	0.18	0.0	34.08	0.0	92.88	0.0	1.74	11.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	8.41	53.15	82.37	38.81	64.7	41.74	0.21	0.12	82.45	0.0	21.44	0.0	41.14	7.1	1.78	49.56	49.78	47.11	0.0	0.28	221.15	6.67	29.09	56.87	0.9	0.0	0.0	39.0	6.62	43.95	132.1	135.64	127.67
Etv3	0.0	23.13	0.0	0.0	0.0	0.0	36.59	59.77	0.0	9.72	9.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.41	14.77	0.3	3.92	0.0	0.0	5.85	0.0	0.0	3.11	0.0	0.0	3.32	0.0	3.72	0.0	0.0	0.93	4.14	0.0	0.0	0.0	0.0	17.05	0.03	0.0	0.1	0.0	0.0	0.59	3.14	19.55	18.4	16.42
Eya4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.96	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.15	0.0	0.0	0.0	0.0	0.0	7.61	0.0	0.0	0.0	0.0	0.9	0.0	0.0	2.68	2.96	2.62
Fam110a	0.0	0.0	0.0	0.0	0.0	0.17	0.0	107.44	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.07	0.0	0.0	0.0	0.0	1.52	0.0	0.0	0.0	22.45	0.0	0.0	0.0	0.0	0.0	19.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.01	5.02	5.5	6.17
Fam196a	0.0	0.0	0.0	0.0	0.0	0.03	0.0	220.96	0.0	30.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	26.08	46.11	0.0	1.19	58.25	0.0	39.3	12.3	150.36	0.0	77.35	0.0	31.45	35.93	5.97	6.78	5.23
Gab3	16.35	0.0	0.0	0.2	0.22	0.0	0.0	161.67	0.0	0.14	0.2	0.0	0.12	0.0	0.9	0.0	0.0	0.0	40.52	0.0	1.46	0.0	10.7	0.41	0.0	0.0	0.14	0.0	0.23	0.1	20.23	0.14	0.0	0.55	0.0	20.31	0.12	0.0	0.13	0.17	0.0	0.12	0.0	0.93	0.0	0.2	0.0	0.0	5.09	1.15	1.01	1.44
Gamt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.24	19.0	0.0	20.83	12.64	0.0	0.0	0.0	0.0	0.0	0.0	20.85	0.0	0.0	2.92	10.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.07	22.92	29.52	26.92
Gm10466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm12253	0.66	1.46	1.56	2.03	0.0	0.94	0.57	16.91	0.0	1.21	3.07	4.7	4.0	2.43	0.0	0.24	0.0	0.94	2.54	0.71	0.96	2.17	1.3	2.01	0.48	1.44	1.02	1.65	1.04	0.94	0.36	1.2	1.45	0.77	1.6	2.46	7.26	0.0	1.18	3.76	1.96	1.07	1.93	4.3	3.67	1.91	2.35	9.94	1.61	1.2	0.17	1.08
Gm13306	0.14	3.68	0.0	0.0	1.57	22.17	28.87	0.83	0.0	11.67	11.32	0.0	21.49	31.22	0.0	0.0	0.0	0.0	0.0	7.16	0.58	5.37	0.27	1.98	0.0	0.0	2.47	0.77	0.0	0.0	1.65	1.9	0.13	2.24	8.48	29.61	40.26	0.0	1.3	0.0	46.94	0.08	0.0	0.0	0.0	4.36	3.13	4.62	71.98	30.63	28.29	22.96
Gm2506	0.14	3.68	0.0	0.0	1.57	22.17	28.87	0.83	0.0	11.67	11.32	0.0	21.49	31.22	0.0	0.0	0.0	0.0	0.0	7.16	0.58	5.37	0.27	1.98	0.0	0.0	2.47	0.77	0.0	0.0	1.65	1.9	0.13	2.24	8.48	29.61	40.26	0.0	1.3	0.0	46.94	0.08	0.0	0.0	0.0	4.36	3.13	4.62	71.98	30.63	28.29	22.96
Gm5901	0.0	0.0	0.0	0.0	43.1	0.0	0.0	61.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Grin1	16.32	37.46	1.26	8.61	1.28	8.38	0.0	16.29	0.0	14.05	38.3	1.03	0.2	21.09	0.0	0.0	0.0	0.0	3.89	6.43	16.62	12.81	11.06	1.06	8.49	1.39	0.27	5.46	0.25	0.0	2.24	15.36	10.11	2.6	1.03	9.23	25.24	0.0	15.37	7.2	0.1	17.42	14.8	3.8	0.0	10.02	32.23	6.61	9.85	389.58	403.6	404.44
Grk5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.5	0.0	0.0	0.0	0.0	0.0	9.39	0.0	1.22	0.0	0.0	0.0	32.56	0.0	0.0	0.0	2.36	0.24	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.55	12.87	12.3	11.46
Hdac5	0.0	0.2	72.77	0.0	0.0	0.0	0.48	79.43	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	13.77	0.0	0.03	1.14	13.23	3.61	0.0	0.0	0.0	0.07	0.0	0.08	0.0	0.06	0.44	0.0	0.14	10.42	0.0	0.58	4.34	0.0	0.0	25.67	0.09	11.14	0.66	0.0	0.0	0.0	1.47	0.0	1.27	101.76	107.17	98.05
Hmgn1	22.18	0.65	146.07	0.0	1.16	1.55	0.0	88.09	0.0	3.03	3.78	0.0	8.07	3.62	2.67	0.0	51.33	0.0	0.5	37.82	3.45	21.49	27.51	1.85	24.85	0.0	4.51	38.74	0.0	45.76	101.45	0.25	0.34	30.18	3.78	5.66	23.51	0.0	0.28	71.72	0.58	48.96	5.74	52.18	0.0	128.39	40.38	54.81	14.88	78.31	81.84	78.71
Katna1	0.0	0.0	0.0	0.0	0.0	3.53	5.2	195.64	0.0	5.55	1.44	0.0	0.0	42.87	0.0	0.0	0.0	0.0	91.65	0.0	0.18	0.0	0.0	0.0	0.0	0.0	24.34	0.0	10.39	0.0	15.05	0.17	0.16	130.65	0.0	32.63	10.77	0.0	0.0	66.18	0.0	1.21	17.75	0.0	1.23	0.0	0.0	0.0	23.16	13.55	10.57	13.35
Kcnq2	1.76	70.21	25.95	5.24	39.5	13.42	0.0	126.95	0.0	0.49	37.18	0.0	91.25	25.25	0.0	0.0	0.0	0.0	0.32	0.08	7.16	13.0	5.56	0.0	11.41	16.86	41.57	0.0	6.51	16.85	4.23	12.01	0.9	18.61	16.03	33.97	29.53	0.0	82.05	14.46	28.31	14.81	10.72	31.65	0.88	0.0	21.58	0.54	26.79	188.68	176.82	211.93
Kdm6b	2.0	0.0	17.62	5.53	0.91	1.26	0.0	23.15	0.0	7.32	6.21	0.88	3.07	1.56	0.0	0.0	0.0	0.07	3.76	2.44	5.81	3.62	1.31	1.48	2.63	4.39	2.87	0.58	2.46	2.7	0.0	1.7	2.11	10.56	1.31	8.05	18.78	14.0	2.18	5.13	10.23	3.74	0.0	14.07	3.53	14.61	1.32	3.58	10.44	17.07	15.97	13.26
Lancl3	0.0	0.0	0.0	0.0	0.0	0.04	0.0	125.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	12.39	0.0	0.0	0.0	85.76	38.28	0.0	15.75	64.78	0.0	0.0	0.0	0.0	0.0	4.26	3.78	4.68
Lifr	1.28	1.79	2.79	2.37	0.27	3.93	3.34	77.55	3.0	33.28	4.21	4.56	3.84	4.18	1.58	1.2	1.41	0.8	35.94	28.04	0.75	18.89	30.31	1.72	14.05	52.77	69.77	17.46	26.41	0.59	28.83	1.47	37.0	23.08	45.22	27.96	23.36	5.11	30.48	47.34	3.18	1.07	4.1	39.32	4.21	40.25	4.52	6.77	21.04	16.67	14.87	16.92
Lpar2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.66	0.62	0.44
Mad2l1	0.0	0.0	0.0	41.89	0.0	7.71	0.0	181.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	31.37	0.0	44.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.62	36.63	0.0	65.35	0.0	0.2	0.07	0.0	12.86	0.0	0.0	0.0	0.0	28.14	8.94	11.73	9.52
Mapk8	2.38	25.9	3.09	60.01	4.21	5.66	1.81	49.65	0.0	56.22	50.46	0.0	9.79	25.31	0.0	0.0	0.0	0.0	35.52	3.98	0.0	26.44	9.02	7.36	33.3	16.95	0.7	23.1	18.49	0.0	7.35	11.09	34.24	12.64	6.9	20.58	27.0	0.0	0.0	24.59	0.87	42.22	13.94	22.51	0.46	9.84	11.13	17.83	22.73	56.23	53.38	56.31
Mbd3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.67	0.0	46.4	6.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.56	0.15	1.19	0.0	2.7	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	2.31	0.15	2.25	1.16	0.0	0.0	26.42	0.0	0.83	13.52	0.0	4.12	0.0	0.0	0.0	4.88	113.1	126.54	122.32
Mib2	0.67	0.0	0.0	0.0	0.0	0.05	0.0	45.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.67	0.0	1.58	0.0	0.0	0.0	0.0	0.0	10.65	0.9	0.0	3.62	0.0	0.0	0.0	1.02	0.0	2.72	12.25	0.0	0.0	0.0	0.0	0.15	1.7	0.0	8.3	0.0	1.3	0.0	2.36	65.64	74.95	70.23
Mir491	0.0	21.35	0.0	12.22	0.0	0.0	0.0	50.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.74	0.0
Mta3	62.05	0.12	0.0	0.0	0.36	45.66	0.0	123.83	0.0	73.66	58.1	0.52	0.25	0.39	0.0	0.0	0.0	0.0	14.1	0.0	54.49	0.2	39.43	0.52	28.66	18.37	0.14	0.0	23.91	7.92	0.13	46.9	0.56	0.08	2.86	25.39	9.98	0.0	0.1	6.01	0.0	92.11	1.05	0.0	0.83	0.28	58.11	0.21	19.99	54.23	51.62	59.95
Net1	0.0	0.0	0.0	0.0	0.0	0.07	0.0	10.94	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	10.25	1.01	0.0	0.0	0.0	0.0	0.0	0.0	9.29	0.0	0.0	0.0	0.0	13.93	24.75	27.28	24.52
