	Ctgf_tdTpositive_cell_3	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_57	Gad2_tdTpositive_cell_75	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_72	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_42	Tac2_tdTpositive_cell_8	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Fndc3c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Foxp4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.34	21.45	18.34
Fzd2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.59	8.83	7.59
Gabrr3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.06	0.07
Galr3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.32	0.25
Glipr1l1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.23
Gm12633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Gm4598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.18	0.19
Gm4745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.08
Gpr44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.11	0.08
Gzma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Haao	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.31	0.25
Hal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Hrc	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.21	0.0	0.0	0.67	0.38	0.59
Iffo2	0.15	0.17	0.33	0.0	0.35	0.7	0.56	0.38	0.0	0.57	0.24	0.36	6.23	0.53	0.0	0.31	0.0	0.28	17.16	1.06	0.59	12.79	12.86	11.38
Igfbp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.12	0.07
Il17c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.15	0.16
Il18rap	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.08	0.04
Kctd19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Kel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Kndc1	0.0	0.0	0.31	0.0	12.86	0.0	0.0	8.81	0.0	0.0	3.71	0.0	13.05	0.0	0.0	11.07	6.38	0.0	21.66	0.24	0.09	47.74	47.05	52.63
Krba1	0.0	7.13	0.0	0.68	0.0	5.38	8.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	19.44	0.06	0.78	18.03	18.34	19.19
Lect2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Lpin2	0.0	0.0	38.15	6.17	1.53	23.44	30.45	5.5	2.4	20.53	20.01	28.06	0.0	34.09	3.38	15.85	45.33	22.01	84.15	5.62	0.0	43.15	40.85	39.03
Ltf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Mbd3	0.0	2.17	0.0	0.0	28.53	2.68	34.1	0.0	0.0	2.27	0.0	0.0	0.0	2.34	0.0	0.0	1.86	9.59	56.45	0.0	0.0	113.1	126.54	122.32
Mboat7	0.0	0.0	9.16	10.66	32.91	0.0	0.0	12.19	23.95	0.0	1.45	0.0	17.02	1.97	21.89	11.85	29.49	2.25	59.26	19.27	18.26	91.03	94.32	95.04
Mctp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73	0.65	0.73
Med12l	0.0	0.0	0.0	1.63	0.84	0.0	0.34	2.92	0.11	0.49	10.8	0.0	13.19	0.0	0.0	12.81	13.26	1.06	21.32	0.35	0.0	16.99	14.98	16.68
Mep1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.06	0.03
Muc4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Myog	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Myom2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.07	0.08
Nenf	0.0	0.0	60.08	0.0	62.96	29.41	11.59	0.0	0.0	0.0	11.69	26.91	0.0	0.0	31.4	53.01	0.0	0.0	109.59	2.95	19.61	84.33	98.19	102.4
Neurl3	2.15	3.33	6.03	1.3	5.03	3.14	3.64	3.95	5.81	4.52	3.44	2.5	6.59	3.44	3.05	2.81	4.1	5.02	12.97	2.38	3.19	5.84	3.81	6.78
Nr0b1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.1	0.06
Nr2c2	0.0	0.0	25.14	0.0	20.29	7.49	4.99	8.67	0.38	0.0	0.0	1.57	2.54	14.66	0.53	11.6	27.4	0.0	29.77	0.0	0.05	47.92	44.91	49.08
Otub2	0.0	55.8	0.0	0.0	0.0	0.0	14.74	0.85	0.0	8.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.19	0.0	0.0	30.0	26.94	27.61
Otx2os1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14
Oxgr1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.15	0.24
Plcg1	0.0	0.0	0.0	4.52	0.13	0.0	7.82	3.43	0.0	5.55	0.0	0.0	7.18	4.27	2.29	0.12	0.0	0.0	40.04	0.0	0.0	47.58	47.21	51.72
Ppp2r2d	0.0	0.0	84.55	0.0	0.0	71.81	42.74	38.51	0.0	59.64	0.29	0.67	50.19	51.79	51.38	54.93	2.85	0.0	306.49	0.0	111.27	66.87	66.28	62.18
Ppp3cb	0.0	56.79	32.64	52.29	95.48	18.9	69.51	44.11	57.29	86.56	77.88	56.48	90.71	89.9	17.57	19.77	32.56	102.67	141.02	69.29	36.19	247.23	241.42	227.54
Prps1l1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Ptx4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.18	0.07
Qrfp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.06	0.14
Rab44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.18	0.12
Raet1d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.16
Ranbp10	0.0	0.0	0.0	0.0	17.03	14.0	1.22	0.83	0.85	0.0	0.0	0.0	0.44	8.55	0.0	3.26	5.28	0.0	14.23	4.21	1.27	20.22	19.31	20.42
Rer1	824.17	1.66	0.39	35.0	0.0	1.69	47.67	38.66	39.65	3.06	0.0	102.05	77.34	18.51	0.0	73.0	49.7	27.15	174.15	42.7	55.33	71.44	77.51	72.93
Rgl2	0.0	0.31	2.54	0.14	0.1	0.43	8.05	18.08	17.06	8.78	0.0	15.73	0.09	22.47	2.66	0.75	21.72	0.0	25.58	0.0	0.44	37.58	38.67	42.65
Ring1	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	2.27	0.0	0.0	0.0	6.19	3.6	0.0	23.78	0.0	0.0	28.61	32.63	31.27
Rltpr	0.0	0.0	0.0	0.0	0.0	0.0	2.13	0.0	0.0	0.0	0.0	0.0	1.78	5.36	0.0	1.33	0.0	0.0	29.13	0.0	2.08	45.51	50.02	46.53
Rnf133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.14	0.08
Rps2	0.0	17.22	12.56	32.86	23.12	17.54	14.71	19.84	61.4	28.96	16.98	0.48	27.69	3.38	5.01	28.91	83.9	5.2	134.33	50.2	7.98	595.68	661.67	632.58
Rtp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.33	0.16
Sclt1	0.0	5.4	0.0	0.0	0.0	1.39	0.0	9.36	5.47	0.17	0.79	5.0	22.08	5.9	1.82	0.18	18.73	1.16	32.07	0.6	0.54	6.3	5.96	7.68
Sgsh	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	3.9	4.56	4.15
Slc4a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Slc4a5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.13	0.04
Slco6c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Slitrk5	0.0	18.14	19.41	0.0	22.68	18.45	1.1	11.68	2.58	8.25	1.6	8.6	15.97	2.93	0.0	23.69	15.88	1.13	38.96	0.09	6.35	41.42	38.83	41.03
Stab1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.06	0.0	0.0	6.36	7.19	7.05
Syk	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.06	2.33	2.35	2.39
Sytl4	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.12	0.0	0.82	0.42	0.33
Tac4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.08
Tas1r2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Tcstv1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Tecpr2	0.0	7.35	0.26	0.05	0.89	8.04	0.3	3.53	0.21	0.56	5.12	0.12	6.5	13.19	8.38	11.87	9.24	0.06	31.0	22.03	0.24	37.36	37.41	39.21
Tg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.04	0.08
Tktl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.11	0.08
Tom1l2	0.0	48.69	18.3	37.22	57.17	22.2	40.98	36.83	10.42	24.7	29.96	31.08	2.46	22.63	128.07	16.91	3.64	7.62	191.92	49.11	63.97	168.3	164.9	170.24
Trappc8	0.0	0.0	0.0	3.79	55.32	15.39	10.99	6.28	7.75	10.27	4.57	7.1	36.57	19.02	8.06	16.57	23.48	2.29	56.82	10.36	8.45	36.18	33.02	34.73
Tshr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.54	0.49	0.52
Tulp4	0.0	5.53	6.65	0.27	4.13	1.15	1.63	10.33	16.45	3.24	0.47	1.21	26.94	0.0	3.55	0.19	0.0	16.61	49.17	11.46	25.31	59.3	56.91	65.23
