	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_96	Gad2_tdTpositive_cell_66	Ndnf_tdTpositive_cell_7	Nr5a1_tdTpositive_cell_35	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Rbp4_tdTpositive_cell_183	Slc17a6_tdTpositive_cell_2	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36
Reep1	0.0	0.29	20.13	35.97	49.93	0.0	0.34	0.5	0.0	1.16	23.96	0.0	0.39	60.16	34.47	3.09	56.09	0.07	0.0	43.75	0.0	57.68	184.89	4.09	46.07
Rufy3	0.0	271.54	126.85	90.2	139.28	0.0	24.12	58.56	62.22	107.6	62.82	121.74	118.19	69.2	97.25	144.99	168.92	52.47	6.21	122.89	67.71	234.36	118.48	91.21	215.49
Syngr3	0.0	649.98	54.88	461.16	292.72	0.0	156.06	14.4	0.34	524.46	127.47	260.32	80.04	297.77	460.87	19.07	351.57	20.38	319.39	37.04	0.2	261.97	365.62	438.03	161.44
Tceb1	0.0	652.02	708.48	578.22	554.19	0.0	461.9	10.43	328.12	467.8	514.67	446.68	730.92	496.97	752.4	445.17	966.75	817.36	800.28	493.81	922.59	876.18	732.81	736.01	553.95
Tiprl	0.21	173.75	106.59	44.84	62.42	0.13	4.09	42.26	39.64	0.0	28.24	47.35	1.93	1.88	166.31	46.17	104.71	243.69	151.37	81.21	2.74	49.28	80.54	17.12	97.9
Ttc1	0.0	189.5	275.49	168.9	85.76	0.0	0.92	44.72	20.86	429.13	1.23	97.16	96.1	129.1	348.09	190.07	427.49	168.42	241.65	125.57	232.81	233.3	385.08	290.93	422.19
Ttc33	0.0	511.87	0.72	0.42	343.54	0.0	0.72	66.78	51.11	0.0	40.17	121.32	180.29	0.0	207.77	236.51	439.7	9.7	287.28	0.4	197.24	286.05	42.33	358.18	0.17
Ube2v2	2.3	144.44	194.14	112.67	194.04	1.68	81.63	253.77	40.23	150.69	33.3	34.39	180.33	130.75	190.7	303.69	252.21	222.99	392.8	232.82	177.44	246.13	199.17	189.75	170.08
Vamp2	0.0	176.03	51.82	55.44	294.02	0.0	2.41	87.09	39.74	61.25	129.08	90.85	55.64	93.42	203.67	260.04	216.08	85.29	153.04	339.18	162.36	126.65	259.64	208.23	241.68
Vdac1	0.0	601.58	484.23	509.31	282.75	0.0	38.6	419.72	393.23	464.01	241.39	522.8	319.61	414.24	908.16	461.71	797.38	478.86	47.43	179.33	236.98	414.35	878.01	633.88	268.05
Zfp202	0.34	4.67	5.61	4.63	6.44	1.66	4.33	5.18	0.29	4.07	4.95	7.88	6.16	3.77	6.1	10.33	9.75	4.68	8.89	1.69	4.67	7.46	7.48	10.59	11.94
