	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_4	Cux2_tdTpositive_cell_12	Cux2_tdTpositive_cell_13	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_18	Cux2_tdTpositive_cell_21	Cux2_tdTpositive_cell_22	Cux2_tdTpositive_cell_29	Cux2_tdTpositive_cell_32	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_30	Rorb_tdTpositive_cell_5	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_36	Scnn1a.Tg2_tdTpositive_cell_9	Scnn1a.Tg2_tdTpositive_cell_16	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_34	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Fam108b	0.0	0.0	0.0	2.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.47	0.0	0.09	32.84	60.56	20.0	1.62	38.13	32.38	33.01
Gba2	0.0	0.0	0.0	0.0	0.0	24.49	0.0	0.0	0.0	0.0	50.21	0.95	6.3	0.0	0.06	0.0	71.23	29.22	21.31	63.14	73.18	65.71
Gm14431	0.34	0.37	0.33	0.07	0.0	6.01	0.0	4.26	0.0	0.0	0.0	0.0	2.0	0.0	0.21	0.72	8.84	0.1	0.03	8.87	7.17	8.34
Gm8898	0.34	0.37	0.33	0.07	0.0	6.01	0.0	4.26	0.0	0.0	0.0	0.0	2.0	0.0	0.21	0.72	8.84	0.1	0.03	8.87	7.17	8.34
Gpr26	0.0	3.83	0.0	2.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	90.74	41.34	0.29	67.54	58.53	83.82
Grlf1	0.05	8.33	1.12	2.36	2.31	0.19	0.98	3.42	0.18	0.06	2.26	2.68	59.63	1.0	2.79	8.06	19.98	7.41	3.66	71.07	67.29	71.92
Helq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45	0.0	19.42	14.96	11.75	16.75	0.05	14.42	10.46	10.37	11.64
Hist2h2aa1	539.81	1.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22	0.0	0.0	43.74	86.4	3.7	0.0	49.46	45.6	54.85
Iqsec2	0.0	0.08	0.64	0.5	0.0	0.0	0.0	0.0	0.19	0.0	11.95	0.0	15.32	5.23	0.02	23.23	36.98	0.0	1.82	87.13	87.02	96.39
Kcna3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.06	22.8	0.0	0.0	12.14	9.97	13.68
Kcnmb4	0.0	166.78	0.0	0.0	0.0	0.0	17.68	21.11	0.0	17.63	0.0	0.0	32.89	0.0	0.55	94.08	61.24	0.0	0.0	110.51	120.71	110.01
Loh12cr1	0.0	0.0	0.0	9.73	0.0	0.0	4.71	0.0	0.0	0.0	94.21	0.0	2.45	0.0	0.0	50.2	83.92	0.0	0.0	36.13	42.18	38.35
Lypd6b	0.0	0.28	0.0	0.32	0.76	0.61	0.19	0.6	0.22	0.29	0.08	0.0	0.84	2.41	0.33	0.74	1.42	0.49	0.0	14.7	15.25	13.06
Map3k5	0.0	2.04	46.34	0.0	41.66	0.0	0.0	10.5	36.13	1.39	8.65	0.0	0.0	24.35	0.56	4.5	118.72	70.15	46.28	26.04	25.01	25.24
Megf9	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.01	0.22	0.0	0.0	0.0	18.44	0.0	120.01	0.11	0.0	69.98	62.26	73.19
Mgrn1	0.0	147.81	70.62	0.0	166.13	85.7	285.44	105.26	90.47	49.84	0.15	120.25	204.36	12.92	26.06	105.84	381.76	76.89	34.25	150.24	149.55	151.89
Mmachc	0.22	63.86	2.42	43.85	6.19	1.73	1.78	2.48	2.72	0.0	0.78	0.48	4.47	0.52	0.6	140.35	137.85	1.72	2.64	17.1	16.33	18.1
Mrps2	0.0	0.11	0.0	0.0	0.0	0.41	0.42	0.0	0.25	0.0	0.64	0.0	1.38	23.14	0.74	90.42	145.2	58.93	11.53	31.24	29.95	29.57
Nefm	0.0	0.07	0.0	0.0	85.63	0.38	9.79	0.0	32.95	0.0	64.34	63.44	165.27	0.0	0.46	197.13	220.43	191.31	19.56	170.79	173.01	185.04
Neo1	0.0	0.03	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.0	4.26	35.82	7.09	13.69	43.16	40.98	43.19
Pgap1	0.0	20.27	2.27	4.83	9.12	0.0	28.47	1.65	0.0	26.35	0.02	0.03	0.0	0.0	0.02	16.96	59.15	0.05	0.0	14.52	12.46	12.69
Pitpnc1	0.0	15.93	0.0	3.36	1.06	0.06	0.84	1.7	7.88	0.0	21.43	9.6	12.66	11.35	3.19	72.84	104.55	0.52	11.3	37.07	33.15	37.75
Ppargc1b	0.0	61.01	0.0	0.0	0.0	0.0	0.0	0.93	0.14	0.0	0.0	1.1	0.0	0.0	0.0	10.08	7.09	0.0	0.22	7.48	8.01	8.58
Ppp4r1l-ps	0.0	0.58	1.09	0.65	0.97	1.17	1.24	0.0	1.58	1.36	0.44	0.33	0.55	14.76	0.08	15.77	31.3	0.92	2.19	3.65	4.38	3.94
Rnf17	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	32.7	0.0	0.0	0.0	0.0	0.0	7.76	0.0	0.0	0.49	0.31	0.67
Rprml	0.0	2.67	0.0	0.37	0.0	0.0	0.81	0.0	2.47	1.37	9.52	3.89	4.45	0.0	0.1	14.48	38.72	55.88	0.0	80.97	113.45	95.72
Senp6	16.25	22.0	0.19	18.31	31.95	1.8	0.73	7.66	0.0	0.0	9.21	0.0	0.0	28.52	7.29	25.01	61.41	117.13	17.13	34.49	33.22	36.28
Sh3d19	0.51	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.22	3.5	0.0	0.0	0.0	0.0	15.43	21.0	0.0	0.0	8.76	8.5	8.98
Slc19a1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.76	53.13	0.16	135.77	14.88	17.91	16.34
Spnb4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.3	1.12	0.0	1.65	0.0	0.0	0.0	20.59	7.44	0.5	120.88	138.01	136.25
Srebf1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.23	0.09	0.0	0.0	16.06	13.42	0.0	0.0	24.46	27.8	28.11
Ston2	1.29	0.59	0.47	0.34	1.0	0.66	0.22	0.31	0.13	0.24	0.33	0.12	0.75	0.0	0.5	1.15	1.29	0.71	0.92	6.44	5.92	7.43
Tmem160	0.0	0.0	0.0	5.87	0.0	0.0	0.0	0.0	0.66	0.0	14.89	0.0	0.0	0.0	25.37	31.02	50.3	0.23	0.0	41.54	54.71	48.69
Zfp111	0.67	0.23	0.89	0.11	0.34	0.52	2.45	0.22	0.59	1.55	0.48	0.18	0.69	5.0	1.21	40.35	36.61	36.17	0.69	4.11	3.6	4.09
Zfp61	0.0	0.09	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.72	97.22	117.36	0.0	12.14	12.46	11.22
mt_AK131586	6370.03	16.96	0.0	0.23	133.69	0.0	0.45	0.0	0.23	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.01	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	0.0	0.0	15.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
