	Gad2_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_41	Pvalb_tdTpositive_cell_81	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_23	Sst_tdTpositive_cell_19	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
Fam126b	0.0	0.0	66.96	0.08	0.06	0.57	1.12	0.46	0.0	0.4	1.55	0.06	0.23	0.63	0.24	0.22	0.24	51.98	11.19	48.99	33.53	29.48	36.62	42.49	41.03	27.49	38.93	31.56
Fbxo18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.09	24.63	12.87	12.04	8.47	21.12	9.3	18.81	65.48	66.45
G630093K05Rik	0.04	0.0	0.0	0.36	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.14	0.0	0.0	0.15	0.91	0.0	0.32	0.71	0.1	0.65	0.46	0.56	0.3	0.18	0.19
Galnt2	0.0	0.0	57.12	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.93	0.0	0.0	0.0	0.0	0.0	0.0	257.42	4.03	1.54	5.19	0.0	4.37	0.62	2.21	4.9	45.57	47.56
Glud1	0.0	204.23	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	69.93	0.27	0.32	0.0	0.0	0.0	440.34	0.0	15.7	23.62	2.32	25.71	24.55	17.3	16.95	180.31	196.86
Gm12789	5.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.04	0.0	0.63	0.0	0.0	0.0	9.39	3.87	0.44	0.44	0.0	0.0	0.84	0.0	0.43	0.0	0.16
Gm13306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	164.03	114.56	132.22	177.66	103.08	62.2	76.52	30.63	28.29
Gm14326	3.19	0.0	1.68	0.84	0.0	0.0	0.21	2.71	2.38	0.15	4.34	1.3	0.0	1.49	0.46	2.47	0.21	40.71	0.37	15.98	22.51	42.17	17.55	22.33	14.21	20.06	18.46	11.31
Gm20063	0.0	0.0	0.02	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44	0.0	0.0	0.0	0.0	3.28	0.0	0.0	0.0	7.4	6.97
Gm2506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	164.03	114.56	132.22	177.66	103.08	62.2	76.52	30.63	28.29
Gpatch8	0.02	104.12	0.0	112.38	0.0	0.0	0.0	140.59	1.33	2.54	8.09	95.53	0.12	0.0	0.0	0.0	3.77	270.88	68.29	11.65	11.95	15.23	22.48	29.51	12.56	13.78	38.73	35.19
Grpr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.75
Hnrnpa1	0.0	578.64	363.01	0.0	0.0	0.0	0.0	450.75	4.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300.84	163.42	386.26	365.9	370.41	403.21	378.44	392.78	470.79	174.32	165.93
Impad1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	1.55	0.0	0.0	163.42	0.0	0.0	0.0	0.0	0.0	192.69	0.0	11.8	4.22	8.39	2.89	15.69	8.51	9.4	60.92	58.53
Ippk	49.3	0.0	154.81	0.0	0.0	0.0	0.0	0.0	0.72	0.0	9.45	0.0	0.0	0.0	0.0	0.0	0.0	69.55	0.0	10.99	34.16	35.79	10.56	9.19	5.51	10.66	15.03	15.57
Kdelc2	3.24	1.76	3.34	0.55	1.74	1.31	0.33	1.32	2.05	0.25	3.26	2.01	1.68	1.74	1.5	0.98	1.57	3.28	2.39	3.67	3.36	4.31	4.35	4.26	10.08	3.35	6.58	6.75
Kifap3	0.0	0.0	261.45	0.0	0.0	0.0	0.25	0.15	10.8	0.0	0.0	0.0	0.22	24.78	0.0	0.0	0.0	241.36	61.18	133.84	100.75	104.24	103.08	143.19	129.93	121.12	227.83	218.82
Klhl28	0.0	0.0	376.94	0.0	0.0	0.0	0.0	0.0	0.14	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	383.53	0.0	28.95	29.45	33.39	35.23	23.4	35.25	17.83	14.55	12.7
Lgals8	0.05	0.0	594.31	0.0	138.39	0.2	0.18	0.0	0.14	0.0	0.0	62.13	0.0	0.18	0.0	0.0	0.0	673.23	300.13	13.33	11.78	9.34	7.51	15.7	16.25	17.61	19.48	20.11
Lpin1	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	255.28	0.06	3.01	2.26	12.26	2.65	9.42	5.88	5.96	13.97	14.19
Mff	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.32	0.21	0.0	0.0	0.0	0.0	0.0	0.28	147.97	0.34	17.31	11.44	33.72	31.78	33.57	48.96	38.21	208.49	208.02
Ncln	1.16	0.0	0.0	1.33	0.0	0.0	0.0	0.0	0.14	2.01	0.27	0.0	0.0	0.0	0.0	1.04	0.0	299.92	1.97	2.96	0.12	12.42	0.3	1.69	2.14	3.58	47.27	49.88
Ndst3	0.06	0.0	0.0	0.0	0.0	0.0	0.05	0.12	0.0	0.0	0.0	0.04	0.0	0.0	0.12	0.0	0.0	0.42	0.05	12.56	9.74	24.47	14.44	6.44	5.04	6.09	16.74	14.36
Ndufs3	9.28	0.0	0.0	0.0	0.0	0.0	1.64	1.93	1.34	0.0	0.0	0.0	112.6	0.0	2.31	0.0	0.0	369.41	144.33	264.57	349.45	205.55	252.58	281.66	312.75	240.89	195.06	208.46
Nfya	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.1	0.27	0.0	0.0	0.0	0.0	0.0	1.1	0.0	2.92	0.2	2.48	2.76	2.15	1.02	2.93	16.66	14.68
Nhsl2	0.0	0.02	0.04	0.1	0.0	0.0	0.24	0.19	0.03	0.15	0.08	0.07	0.08	0.03	0.0	0.05	0.16	0.61	0.18	4.58	3.48	8.64	5.21	6.81	6.44	3.11	17.44	16.0
Nufip1	0.04	0.26	0.57	0.16	0.13	0.42	0.33	0.0	0.99	0.0	0.19	0.0	0.12	0.54	0.0	0.42	0.13	23.65	0.48	1.71	3.61	0.82	9.83	12.08	4.24	4.77	8.8	9.06
Opa1	3.68	0.0	0.0	0.0	0.0	0.09	1.08	23.95	1.33	0.05	0.0	0.04	0.21	0.0	0.0	0.2	0.09	102.99	0.0	25.48	34.26	32.3	32.53	18.02	49.06	17.9	91.34	81.74
Phrf1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.76	0.0	2.81	0.86	9.92	0.16	0.42	4.04	2.6	23.3	24.41
Pla2g4a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.86	0.0	0.0	304.8	0.45	0.0	0.0	0.0	35.56	331.45	100.83	0.0	3.52	0.0	0.0	3.22	0.0	0.6	3.05	3.1
Plp1	38762.16	20966.2	37183.63	39260.88	37184.31	36423.02	20586.09	39094.25	44134.5	30053.88	27253.74	33133.41	22827.52	22475.59	20541.07	25719.92	19773.88	20573.08	36841.4	2.95	1603.77	0.26	0.34	0.25	4.7	14.2	1007.22	894.47
Pnmal1	0.0	0.0	0.0	0.0	0.0	0.0	0.3	1.75	0.0	0.0	0.0	51.4	0.0	0.0	0.0	0.0	0.0	166.53	0.0	80.86	57.44	69.59	55.99	75.69	100.13	93.04	121.15	122.07
Pofut2	0.0	0.0	239.14	0.0	0.0	0.0	0.0	19.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	271.11	0.0	13.02	18.16	20.31	13.68	26.51	32.65	9.82	25.48	25.46
Ppp1r15a	59.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	182.47	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	979.11	0.41	14.97	20.18	12.96	9.03	5.31	7.33	13.77	17.38	18.89
Psd3	0.03	0.0	25.05	6.54	0.0	0.0	0.21	1.18	29.5	2.4	0.0	0.0	4.02	0.0	104.03	3.35	0.89	211.08	8.86	59.55	41.01	40.25	41.13	61.95	43.39	45.11	186.39	161.39
Psmd11	0.0	298.56	343.56	0.0	0.0	0.32	32.94	1.35	0.47	0.16	391.93	295.29	0.75	0.0	403.39	0.0	0.0	636.09	543.11	285.83	254.37	304.89	255.13	279.69	288.83	239.58	64.17	63.63
Psmd14	0.0	0.0	360.45	28.26	0.0	596.2	149.06	2.68	1.59	0.0	0.0	36.72	23.86	0.34	0.0	0.0	528.17	1157.67	1.04	834.35	835.94	656.66	673.5	805.14	600.98	665.98	100.38	108.03
Purb	0.0	0.0	101.19	0.0	3.55	88.67	0.06	0.34	0.0	0.0	101.09	0.0	0.05	0.0	0.0	0.0	0.0	117.64	29.8	75.92	67.9	73.22	50.89	71.21	58.35	56.89	202.04	181.97
Rab18	244.71	87.36	62.84	0.0	0.0	36.96	0.66	410.99	411.11	0.98	2.4	39.76	1.53	513.03	0.31	0.0	0.0	787.86	0.0	189.45	280.4	185.47	171.77	356.29	258.76	199.5	128.15	128.69
Rab9b	0.06	0.13	0.0	0.0	0.25	0.0	0.11	0.0	0.12	0.0	0.06	0.12	0.0	0.14	0.0	0.0	0.0	0.84	0.0	21.96	7.39	13.36	4.03	15.16	6.85	13.64	18.22	15.89
Rmnd1	5.9	0.0	0.0	0.0	135.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	455.33	15.32	40.83	26.81	47.01	59.07	79.19	60.58	56.51	32.75	21.79
Rnf34	0.0	0.0	157.3	1.98	210.74	0.0	0.0	3.9	0.0	0.0	0.0	0.38	0.67	0.0	0.0	0.0	0.0	481.43	169.89	82.11	69.5	118.54	61.91	63.69	64.36	111.92	62.03	66.39
Rogdi	0.67	0.0	237.4	4.28	0.0	0.41	2.53	7.25	291.3	0.2	0.0	360.79	0.63	0.0	3.06	0.44	294.49	478.86	258.82	674.54	549.95	546.81	563.91	558.02	542.8	549.07	167.77	183.68
Scaf8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	14.09	0.0	0.0	0.0	0.0	31.36	0.0	0.0	0.0	78.76	2.37	6.64	11.13	6.8	11.33	4.14	4.03	8.61	35.04	33.15
Sdhaf2	0.0	0.16	246.75	0.0	0.0	0.0	0.16	0.38	0.0	0.0	2.74	0.0	0.0	0.0	0.0	0.0	0.0	224.14	192.33	82.73	48.89	74.28	72.55	67.09	48.57	61.87	26.32	26.04
Sec63	0.02	0.0	0.19	0.0	0.0	0.09	0.0	0.2	0.07	0.0	0.04	0.04	0.05	0.0	0.0	0.0	0.0	0.88	0.15	5.47	8.33	14.47	14.0	23.33	14.1	9.04	40.39	35.34
Slc22a23	137.51	0.0	71.49	0.0	56.77	0.0	0.0	0.18	0.19	8.72	0.0	0.16	0.14	0.0	0.11	0.09	0.0	135.31	22.6	7.23	2.8	4.55	3.82	6.44	0.27	5.5	39.19	38.53
Smarcc1	0.24	0.0	1.6	0.0	0.09	0.0	0.43	4.35	1.33	0.0	0.0	0.0	0.0	0.09	0.48	0.0	20.87	26.41	0.55	6.99	8.49	13.12	14.88	8.95	5.94	8.28	34.43	31.44
Snx1	542.54	0.0	613.67	731.77	0.0	285.14	0.0	130.3	2.33	0.0	17.93	133.76	0.0	396.47	782.12	0.29	0.0	766.38	2.94	25.27	33.64	85.91	26.32	67.12	46.39	24.33	68.47	73.01
Stoml2	176.38	0.0	0.0	0.0	0.0	0.0	0.97	0.0	57.42	0.0	24.16	0.0	0.28	0.0	0.0	0.0	0.0	347.25	0.21	74.41	68.22	78.73	95.03	69.75	78.55	85.21	53.21	53.7
Tnfrsf21	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.23	0.12	0.0	0.0	0.0	0.0	0.22	0.26	9.93	41.63	18.6	45.74	16.21	14.83	23.22	63.85	66.15
Trpm2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	2.68	0.58	1.66	3.6	0.62	0.7	1.3	14.96	14.08
Tstd2	1.18	0.0	0.24	0.0	0.0	0.76	0.0	0.26	0.42	0.0	1.16	0.1	0.0	0.23	0.0	0.0	0.0	31.61	0.22	8.97	1.02	1.28	13.01	7.43	2.36	6.62	10.84	10.38
Unc13a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.03	0.72	0.0	0.0	0.0	0.0	0.0	0.0	2.09	0.0	7.78	8.82	15.37	8.33	11.55	14.04	13.86	173.28	162.24
Usp32	35.12	0.0	126.23	0.0	0.0	0.0	0.07	0.0	2.06	0.08	0.0	0.0	0.06	0.0	0.0	0.0	0.0	67.84	31.83	11.53	14.69	26.98	22.66	15.7	17.69	18.79	69.08	61.44
Yme1l1	38.84	130.59	146.54	9.3	127.83	1.93	44.08	11.47	79.09	221.28	16.99	3.44	249.04	0.0	0.0	0.39	0.33	334.83	108.19	212.36	137.87	198.46	133.55	150.55	139.23	160.65	49.32	44.22
Zdhhc3	0.18	0.0	3.14	0.23	0.19	0.09	0.1	0.81	0.2	0.49	0.28	0.48	1.06	0.08	0.3	0.0	0.0	22.71	1.06	7.13	6.02	0.76	10.44	5.84	4.32	5.0	24.69	26.51
Zfp619	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.12	0.58	0.0	0.0	0.0	0.0	3.06	0.0	0.94	0.12	1.72	3.33	0.0	0.0	0.46	2.66	2.41
Zfp708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	359.13	0.35	0.0	0.0	0.0	0.0	393.96	0.0	7.01	6.61	7.26	14.07	16.51	7.56	14.01	3.39	3.36
Zfp760	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	30.43	1.37	24.44	12.15	3.87	6.74	9.2	5.18	5.8	5.77	5.59
Zfp827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.58	0.04	0.55	1.53	3.46	2.72	0.93	0.54	2.91	19.14	18.31
Zrsr1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.13	0.0	16.28	12.51	7.6	9.42	5.54	6.85	17.73	3.27	9.14	41.78	40.88
mt_AK136262	0.0	0.0	0.0	0.0	0.03	0.2	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.16	100.77	9.86	4.83	261.93	12.15	50.19	0.19	0.0	0.0
mt_AK142003	0.0	0.0	0.0	0.0	0.03	0.2	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.16	100.77	9.86	4.83	261.93	12.15	50.19	0.19	0.0	0.0
mt_AK166798	0.0	0.0	0.0	0.0	0.03	0.2	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.16	100.77	9.86	4.83	261.93	12.15	50.19	0.19	0.0	0.0
mt_AK166978	0.0	0.0	0.0	0.0	0.03	0.2	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.16	100.77	9.86	4.83	261.93	12.15	50.19	0.19	0.0	0.0
