	Calb2_tdTpositive_cell_11	Chrna2_tdTpositive_cell_5	Chrna2_tdTpositive_cell_11	Chrna2_tdTpositive_cell_64	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_71	Nkx2.1_tdTpositive_cell_12	Pvalb_tdTpositive_cell_15	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_19	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_31	Pvalb_tdTpositive_cell_36	Pvalb_tdTpositive_cell_37	Pvalb_tdTpositive_cell_38	Pvalb_tdTpositive_cell_50	Pvalb_tdTpositive_cell_53	Pvalb_tdTpositive_cell_60	Pvalb_tdTpositive_cell_62	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_33	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_41	PvalbF.Gad2_tdTpositive_cell_94	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_24	Ntsr1_tdTpos_10cell_7	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Dohh	1.43	0.0	3.88	0.0	0.0	0.0	0.0	0.33	0.0	0.43	0.0	62.39	0.0	0.0	1.91	0.0	48.3	0.0	0.0	6.34	0.19	0.0	0.23	66.53	0.0	0.0	0.9	0.0	1.01	0.0	23.31	74.18	89.66	83.98
Fam113a	0.0	0.0	0.0	11.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.21	0.0	0.0	0.0	32.14	0.0	0.0	0.0	0.0	0.0	0.0	40.3	0.61	0.0	14.71	0.0	0.0	0.0	0.0	0.0	12.08	12.29	14.34
Hace1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.69	32.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.04	0.91	0.0	0.0	8.66	43.14	39.86	40.56
Ier3	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	65.63	0.0	128.7	0.0	0.0	54.46	79.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.62	0.0	0.0	0.0	0.0	22.6	14.7	14.45	12.21
Itsn1	1.97	61.61	11.95	14.14	271.5	10.9	0.73	4.6	3.28	1.31	3.33	26.2	1.24	1.59	2.63	19.9	4.84	4.96	13.46	1.1	12.93	14.07	12.62	4.39	13.67	9.27	2.57	0.3	0.61	3.86	5.58	51.09	47.68	51.8
Med14	31.66	0.0	0.0	7.59	0.0	0.0	0.0	0.0	0.28	0.0	4.53	47.17	0.48	0.0	0.13	15.78	0.0	6.29	0.0	0.0	4.42	3.86	16.73	3.73	0.8	0.71	33.45	0.0	0.0	0.0	25.25	40.32	39.32	40.84
Mgat2	0.0	0.0	0.0	18.22	0.0	0.0	0.0	0.0	52.61	0.0	37.9	46.79	0.0	14.4	0.0	33.81	0.28	25.42	0.0	0.0	0.0	0.0	51.36	0.0	0.0	0.0	4.46	0.53	0.0	0.0	8.34	30.08	32.67	29.91
Mif4gd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.92	4.81	0.0	0.0	49.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	1.88	11.83	14.51	16.26	15.98
Nfyc	20.24	267.35	2.14	41.92	0.0	0.0	79.31	47.9	3.1	81.61	0.0	213.09	18.46	103.93	1.05	66.42	180.73	24.04	75.67	234.34	18.75	173.96	10.66	52.4	93.19	24.37	21.47	0.0	0.0	0.0	35.14	41.6	46.45	41.73
Nisch	11.81	19.03	31.17	35.2	0.0	10.51	23.13	0.5	1.89	36.33	35.58	54.53	21.24	0.54	19.38	17.74	1.57	3.09	32.37	39.47	0.05	0.36	21.32	31.05	0.4	4.12	6.64	0.12	0.0	0.67	30.12	203.61	209.36	214.29
Nploc4	4.75	0.0	0.0	73.16	0.0	0.1	0.0	33.57	14.95	3.41	16.14	22.59	0.27	0.13	2.04	75.45	0.16	26.29	36.35	0.0	0.0	2.36	13.77	0.0	3.45	0.19	0.24	8.82	0.0	0.28	8.14	38.17	39.78	38.16
Npr2	0.14	0.0	15.47	0.0	0.0	0.0	0.0	0.13	0.0	0.0	14.79	39.19	5.05	0.0	0.0	0.0	72.45	0.0	0.0	0.0	0.0	0.0	12.98	1.65	6.09	0.0	0.0	0.0	0.0	0.0	12.88	35.79	37.33	37.73
Nudt2	0.0	0.0	0.0	102.67	0.0	0.0	344.43	1.75	101.91	73.7	121.27	126.07	61.21	0.0	94.58	76.66	70.48	25.69	0.57	57.88	0.0	0.0	121.78	0.0	0.0	0.0	1.04	0.0	0.0	0.0	43.4	25.32	29.51	27.01
Pex12	0.0	0.0	1.18	0.0	0.0	0.0	0.81	0.0	0.0	0.67	10.02	62.01	0.0	0.0	0.25	72.49	1.67	0.0	0.0	3.93	0.61	0.0	7.56	0.98	0.0	0.0	0.16	0.25	0.0	0.46	8.61	7.86	8.02	9.36
Plec	23.55	0.0	0.03	7.87	0.0	0.0	7.87	11.22	14.69	20.39	16.46	44.13	11.28	38.17	21.98	28.04	18.28	13.49	1.27	1.19	0.02	30.47	20.27	4.7	17.8	6.33	20.09	0.0	0.0	0.0	23.11	46.49	48.19	52.96
Pou2f1	0.0	0.0	2.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.61	0.0	0.05	0.0	8.06	7.46	0.0	0.02	0.0	0.0	0.0	2.53	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.09	9.06	7.29	8.6
Psd	14.82	6.26	1.75	19.88	0.0	0.0	9.97	12.34	8.39	10.05	11.67	11.91	8.82	7.89	0.0	15.24	25.02	5.53	8.96	4.6	5.67	20.03	17.82	10.5	7.56	6.23	16.41	0.0	0.0	0.0	22.51	244.15	283.01	270.01
Ptpmt1	0.0	3.57	71.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.03	0.0	0.0	44.5	83.01	46.67	0.0	0.0	53.09	0.0	0.0	0.0	0.0	0.0	4.87	0.33	0.0	0.0	0.0	40.93	39.42	39.68	37.64
Rap2a	16.85	0.0	0.0	10.78	0.0	0.0	0.0	0.0	24.41	0.0	11.58	63.68	2.65	0.0	0.0	46.7	2.11	22.93	6.0	0.74	21.87	0.0	0.15	0.04	0.0	0.0	86.39	0.0	0.17	0.0	20.34	83.2	84.29	80.44
Rapgef4	15.29	89.35	64.79	44.3	0.47	2.7	77.43	77.78	3.28	101.13	73.11	201.2	29.49	48.39	53.76	154.36	48.75	12.73	19.77	40.61	11.07	15.34	3.41	84.22	37.73	44.53	95.86	0.93	0.15	4.45	73.21	364.49	331.56	376.1
Rnaseh2a	8.82	0.97	37.47	68.62	0.0	0.43	8.39	0.0	2.14	44.77	35.67	157.74	2.13	0.62	62.58	88.11	0.65	19.67	0.56	45.35	0.15	25.85	70.27	77.23	1.0	0.0	1.98	0.0	5.76	0.53	25.71	17.04	16.93	15.64
Rpusd4	13.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.54	0.0	0.0	0.0	0.0	0.14	0.0	1.3	0.0	0.0	0.0	70.3	35.36	0.0	0.0	0.0	0.0	0.0	0.0	8.56	9.01	9.53	8.73
Scaf11	5.34	1.39	3.93	10.07	0.0	1.15	5.73	1.21	9.83	6.11	7.59	28.72	6.22	24.6	25.43	11.73	8.83	16.13	4.21	1.59	0.53	20.65	3.55	13.79	11.02	2.57	0.22	0.79	0.0	7.33	11.67	23.43	21.48	23.93
Sh3glb1	7.51	0.0	4.96	5.85	0.0	0.0	0.0	2.37	20.95	4.58	39.89	35.22	0.0	8.7	0.0	42.7	0.3	14.23	0.0	0.0	0.0	0.0	18.84	0.0	0.0	10.02	0.0	220.79	0.0	7.64	12.48	42.82	38.51	40.68
Sik1	0.67	0.17	0.6	0.5	0.0	0.0	0.48	0.93	14.27	1.47	1.26	0.99	0.54	1.47	0.89	4.44	1.21	0.22	0.92	3.83	0.06	0.3	0.07	3.85	0.87	0.0	0.47	0.0	0.0	0.0	0.38	15.4	13.82	5.32
Slc12a5	24.83	15.62	18.96	93.38	0.0	0.0	16.24	7.25	49.85	53.39	42.27	55.78	35.47	10.11	14.86	52.19	39.69	20.07	22.56	2.4	36.52	26.81	3.81	14.48	11.46	12.4	7.2	0.0	0.0	0.0	18.64	303.65	314.89	318.33
Slc45a1	3.36	0.0	0.0	62.32	0.0	0.0	0.0	0.18	12.48	0.24	0.0	80.06	12.08	0.24	118.0	113.9	82.88	54.11	81.2	34.91	0.0	38.6	17.6	10.89	56.36	0.0	0.66	0.0	0.0	0.0	16.25	45.34	47.22	46.98
Slc4a4	0.07	11.58	0.12	34.39	0.0	0.0	0.0	0.0	0.0	2.08	14.13	19.82	5.44	1.86	7.39	43.34	0.0	0.0	19.15	0.12	0.0	9.22	53.03	39.27	3.23	2.31	0.14	0.0	0.05	0.0	3.7	69.79	64.08	73.14
Slc7a13	0.18	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.26	0.26	0.0	0.0	0.32	0.33	0.0	0.0	0.0	0.0	0.26	0.32	0.0	0.0	0.0	0.21	0.1	0.0	0.0	0.0	0.27	0.05	0.04	0.07
Snf8	12.24	0.0	0.0	61.56	0.0	0.0	0.0	5.69	0.0	6.68	17.02	70.47	0.0	0.0	0.0	61.24	0.0	0.0	0.0	18.51	0.0	0.0	10.57	23.14	0.0	7.47	45.93	0.0	0.0	0.0	28.76	87.11	92.9	89.11
Socs7	1.71	43.43	0.0	0.85	0.0	0.0	3.28	2.18	14.17	23.83	0.97	70.99	0.52	0.43	0.1	8.52	12.83	42.38	6.12	46.3	8.12	3.8	6.34	21.2	2.95	5.6	0.06	0.0	0.0	0.0	31.28	56.67	54.53	51.79
Stk30	0.0	0.0	0.0	0.0	0.0	0.0	11.06	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.4	9.8	9.67	9.93
Tac1	4302.34	6532.88	7648.19	5471.23	0.0	0.0	6061.09	3159.38	6618.42	4203.43	5550.42	686.81	4137.98	5725.34	5716.55	8114.55	11032.51	6960.91	5289.34	7084.35	5303.3	5991.55	3739.41	6135.38	4992.1	4526.97	4074.67	0.0	0.0	0.0	0.0	97.93	105.12	85.26
Ttpal	35.3	0.0	0.0	0.0	0.0	7.49	0.0	37.86	5.73	0.93	8.41	58.29	30.65	0.0	27.71	46.25	1.95	10.39	0.0	0.96	0.0	21.82	40.65	30.55	0.0	0.0	6.55	0.0	0.0	0.0	18.25	48.18	48.03	44.14
Zfp281	33.06	0.0	3.19	0.0	0.0	0.0	11.23	0.0	0.0	63.72	0.0	107.57	26.93	0.11	34.5	96.55	0.0	42.61	44.28	3.16	11.28	20.41	4.36	20.94	28.53	1.95	0.04	0.0	0.0	0.0	14.0	24.17	24.02	22.82
Zfp871	1.34	0.07	22.15	27.93	0.0	0.0	24.74	1.71	18.99	15.46	0.57	58.96	52.97	16.83	9.08	41.22	15.48	23.53	29.19	11.7	0.0	1.95	34.23	0.06	0.08	12.78	7.6	0.0	0.03	0.25	27.91	39.08	32.97	39.89
