	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_56	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	Rbp4_tdTpositive_cell_174	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Acox1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	5.0	40.7	1.23	79.32	39.87	47.94	0.0	26.52	4.51	1.59	0.13	0.17	11.04	135.88	133.83	132.15
Adam22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.84	0.05	2.52	0.46	45.03	61.0	24.73	35.69	51.2	86.83	3.9	73.64	35.74	89.53	82.55	89.57
Aifm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.7	0.08	0.1	0.0	29.7	40.74	52.41	111.58	66.09	3.38	2.96	277.09	1.71	24.63	24.84	23.91
Ankdd1b	0.0	5.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	1.32	0.0	0.0	0.0	0.0	0.0	0.61	0.0	4.56	5.51	4.72
Ap1g1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.02	0.81	0.15	0.76	7.91	0.15	9.08	17.06	1.62	11.03	2.05	6.56	48.4	47.39	45.92
Ap1m1	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	1.54	0.54	134.59	91.81	10.51	27.29	0.63	165.95	182.36	0.17	0.61	71.08	69.66	72.53
Arl5a	0.0	55.09	0.0	0.16	0.0	0.0	1.43	0.44	0.03	0.04	1.0	60.49	100.98	0.0	149.27	31.65	17.25	71.72	50.54	0.23	52.34	51.26	51.17
Atad1	0.0	0.0	0.0	0.0	3.01	0.0	0.0	205.11	192.0	0.92	311.76	86.37	172.73	207.44	88.0	137.65	207.6	247.19	212.72	160.5	95.76	96.38	92.41
Atcay	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9	0.07	1.73	1.71	4.38	32.41	4.48	30.19	60.72	31.58	0.9	22.04	7.68	152.84	156.79	151.1
Atf2	0.0	0.08	0.09	0.0	0.0	0.11	0.0	17.7	0.04	4.73	2.96	15.71	74.29	2.1	75.18	21.84	2.97	37.71	83.13	2.94	71.15	66.15	68.63
Azin1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.84	0.0	0.13	3.64	69.96	94.77	16.08	61.51	66.16	24.35	146.39	28.14	163.14	97.28	97.19	96.42
Braf	154.48	0.03	190.85	0.02	0.0	0.0	0.0	1.56	91.35	1.64	25.25	35.39	71.11	9.61	43.66	78.13	36.86	18.07	7.45	3.5	42.46	36.53	42.95
Brd3	0.19	0.0	0.0	0.0	0.0	131.5	4.24	9.35	0.21	23.6	0.0	6.19	29.27	5.65	20.88	40.11	0.56	0.1	1.62	1.57	28.85	28.76	29.67
Bzw1	8.37	159.65	0.0	0.0	93.55	0.0	2.65	165.02	404.42	5.3	5.93	123.59	229.43	25.76	185.12	124.35	2.57	1.36	40.86	5.89	183.23	166.8	169.0
C330006A16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.19	0.13	255.85	3.19	144.06	134.07	93.63	170.38	51.98	18.85	0.22	0.22	6.7	59.3	68.18	64.18
Camk1d	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.45	0.15	3.5	10.58	4.16	7.23	5.19	1.04	9.15	0.23	3.51	73.79	63.25	73.79
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.17	0.0	20.98	0.81	11.75	29.61	11.59	0.69	1.74	0.85	0.0	0.0	389.64	30.63	28.29	22.96
Celsr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.22	0.03	4.4	0.1	4.34	18.79	3.13	9.61	15.41	2.18	6.18	8.13	6.32	73.45	73.3	82.99
Clcn4-2	547.07	0.0	0.0	0.0	0.0	0.0	450.5	34.94	0.0	127.04	12.06	59.58	112.93	0.0	39.98	111.33	86.12	5.14	55.88	1.81	116.96	115.42	116.42
Cox7a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.15	12.57	0.0	38.23	0.0	0.0	0.0	0.0	0.0	4.14	3.34	1.53
Cpa2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36	1.57	0.94
Ctnnbl1	0.0	0.0	0.0	0.0	329.29	0.0	0.0	0.21	237.95	26.94	5.04	1.4	25.82	74.67	31.15	29.85	0.58	4.16	0.06	0.0	23.3	22.17	22.59
Cul5	0.0	401.7	0.0	0.0	64.05	0.0	0.0	37.3	0.03	0.0	0.52	9.12	86.03	2.58	44.04	53.81	59.34	41.66	78.02	170.33	30.05	29.55	31.49
Cyfip2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.38	0.02	18.32	4.4	47.93	131.11	91.19	55.74	97.3	34.27	47.96	13.78	22.19	420.97	405.91	440.68
D3Bwg0562e	0.35	0.85	0.14	0.03	0.42	0.18	0.0	6.73	1.73	6.32	3.05	15.08	56.78	46.4	32.62	49.35	41.02	1.17	11.62	18.96	121.62	116.8	128.52
Eif4g2	166.7	23.31	0.66	0.88	7.95	35.44	116.32	159.75	132.26	73.38	42.81	67.61	77.92	81.79	40.84	123.43	9.47	29.29	13.27	20.11	229.74	219.02	219.29
Gm13306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.17	0.0	20.98	0.81	11.75	29.61	11.59	0.69	1.74	0.85	0.0	0.0	389.64	30.63	28.29	22.96
Gm14430	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.06	0.0	7.21	0.06	0.0	3.4	0.0	12.07	23.92	6.94	0.0	0.1	0.0	7.67	5.07	7.49
Gm14434	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.06	0.0	7.21	0.06	0.0	3.4	0.0	12.07	23.92	6.94	0.0	0.1	0.0	7.67	5.07	7.49
Gm2506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.17	0.0	20.98	0.81	11.75	29.61	11.59	0.69	1.74	0.85	0.0	0.0	389.64	30.63	28.29	22.96
Gm4724	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.06	0.0	7.21	0.06	0.0	3.4	0.0	12.07	23.92	6.94	0.0	0.1	0.0	7.67	5.07	7.49
Gm5468	0.0	0.0	0.14	0.87	0.16	0.39	0.0	0.44	0.0	0.23	0.53	0.0	12.55	0.0	0.0	0.31	0.17	0.46	0.12	46.6	3.45	3.46	3.39
Gpn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	584.72	0.0	0.0	39.54	30.14	0.0	48.76	59.75	0.0	0.0	0.0	0.0	20.32	24.79	22.82
Heatr5b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	2.97	0.6	0.0	3.97	0.17	6.59	0.0	0.18	25.73	24.21	25.56
Hsph1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.25	4.51	140.32	187.18	124.71	11.26	142.73	48.21	0.37	21.91	21.51	238.03	226.06	225.17
Iars2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.4	8.67	40.38	28.39	2.54	0.39	0.29	43.92	0.0	40.94	38.39	36.92
Jakmip3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.13	0.0	0.14	10.47	9.0	0.0	0.48	0.07	0.0	0.05	87.43	24.21	24.15	24.07
Lass6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.27	0.0	10.35	0.0	9.23	4.25	24.05	19.63	0.04	0.3	23.37	20.84	23.41
Lphn1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.72	0.0	6.43	0.38	7.35	26.4	3.81	32.85	35.59	8.25	25.69	0.92	11.19	185.96	190.77	203.82
Lrp1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.66	0.0	0.13	1.47	0.02	1.74	9.93	11.68	0.65	0.02	48.16	11.15	8.89	11.56
Med19	0.0	0.0	0.0	101.61	0.0	0.0	0.0	0.0	0.0	2.31	1.93	3.79	18.73	0.0	0.35	7.1	0.11	159.83	0.0	17.29	36.0	35.03	32.76
Mrpl44	0.0	0.0	0.0	354.94	0.0	0.34	5.37	0.0	0.11	0.0	0.75	0.0	64.99	90.23	37.57	58.79	67.5	6.63	1.45	0.85	27.44	31.07	28.18
Napb	0.0	0.0	0.0	0.0	0.21	0.0	0.0	1.24	0.17	3.0	2.94	281.39	203.77	57.19	202.17	129.0	4.12	23.54	7.68	34.31	335.54	308.69	328.06
Ncbp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.01	0.08	0.11	1.56	53.03	90.82	2.62	77.26	63.52	38.27	150.98	1.0	0.59	57.41	59.74	55.16
Nfyb	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.23	0.56	4.22	0.0	24.5	32.67	0.0	23.08	0.0	0.63	0.0	3.9	23.86	51.56	49.39	47.08
Nmt2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	2.54	0.57	1.79	17.76	2.28	3.43	33.78	0.98	0.14	1.36	15.39	63.98	59.74	62.22
Nolc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.68	130.83	54.42	0.58	14.61	19.54	12.84	25.53	25.08	0.37	0.07	0.05	9.59	47.1	50.02	44.73
Odz1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.34	0.0	0.84	0.0	3.32	2.18	0.0	0.08	0.82	61.09	0.21	0.0	13.87	13.1	10.62	12.45
Otud6b	0.0	0.0	0.0	0.0	702.81	0.0	0.0	0.0	0.0	4.73	0.32	41.98	79.45	26.54	116.8	58.61	1.74	41.26	5.12	6.94	50.06	49.83	48.87
Pcbp3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	1.79	0.0	0.0	1.22	0.0	0.66	0.0	100.8	0.12	0.94	3.86	45.53	56.86	52.97
Pigb	0.0	0.0	0.0	0.0	159.25	0.0	0.0	12.94	0.0	9.33	0.0	0.44	10.79	0.0	3.9	7.13	0.31	0.0	1.39	276.53	10.57	8.7	10.33
Poc5	0.0	0.0	0.0	0.05	0.0	0.0	0.0	39.24	0.0	0.0	0.69	3.14	7.68	0.0	13.41	35.78	0.07	46.86	0.11	0.0	28.43	27.96	26.23
Ppapdc1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.78	0.11	0.0	0.0	0.33	39.01	0.0	2.21	24.42	0.63	0.0	0.12	0.0	30.77	30.03	28.08
Ppp2r3c	0.0	0.0	0.0	0.0	37.01	0.0	0.0	14.6	0.0	0.0	0.45	46.42	41.8	47.73	0.21	46.04	6.32	210.48	0.0	1.67	26.91	26.37	27.55
Psmd8	0.0	0.0	0.0	0.0	489.74	0.0	0.0	11.23	550.37	0.14	0.71	171.12	159.95	179.82	79.6	164.14	1.68	7.26	140.7	0.8	124.23	129.52	118.79
Rala	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	18.64	0.0	5.02	30.62	0.22	51.28	71.73	0.09	0.1	18.0	0.0	61.85	58.6	59.24
Rbfox1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.07	0.05	54.3	1.28	64.17	62.84	39.11	138.62	74.47	24.76	183.17	7.89	7.7	198.25	185.0	193.44
Rhbdd2	0.0	0.0	0.39	0.0	0.37	0.0	0.0	4.44	3.89	0.12	1.71	0.0	23.03	0.59	1.96	15.09	8.25	1.51	19.52	359.28	41.7	42.13	41.64
Ripply2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.57	0.0	0.0	2.63	4.81	7.1	6.27
Ruvbl1	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.92	1.29	73.58	55.86	0.0	50.81	34.7	61.92	37.79	2.79	10.23	45.41	52.99	48.31
Sf1	0.0	0.09	0.0	0.0	71.97	0.0	0.0	0.62	0.04	0.29	1.43	20.63	26.1	4.99	0.38	32.34	53.0	12.29	0.54	4.46	79.57	85.84	79.68
Sgsm3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.06	0.0	1.18	2.45	3.18	37.99	2.23	51.22	18.86	3.94	2.83	0.06	13.89	47.24	51.95	51.43
Slc25a40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.3	0.0	0.0	0.38	39.94	10.93	0.0	0.0	36.89	0.0	77.35	14.43	0.0	11.21	11.3	10.48
Slc6a15	0.0	0.0	0.0	0.03	0.0	0.0	0.0	51.57	480.97	72.96	0.0	15.25	25.7	6.72	0.8	6.45	5.8	0.07	0.52	0.67	43.02	42.74	39.88
Spock1	0.0	0.1	0.0	0.0	0.0	0.0	17.55	27.06	0.0	3.37	0.89	66.12	20.92	48.33	38.17	68.27	52.06	56.63	26.3	46.32	143.7	145.55	144.61
Stambp	0.0	895.43	0.0	2.8	0.0	0.0	0.0	0.0	0.0	0.0	0.49	34.67	27.57	2.24	38.5	2.1	1.27	13.78	139.15	2.14	30.2	32.47	30.53
Tbc1d1	0.0	0.18	0.0	0.0	0.0	0.0	0.0	1.26	0.0	0.19	0.0	0.0	0.0	0.0	0.0	7.78	0.04	0.0	3.16	0.0	12.2	12.12	11.44
Tbc1d17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.74	0.0	10.25	1.62	26.79	20.17	25.39	23.46	12.0	0.35	0.0	0.13	142.68	37.23	41.98	39.97
Tbc1d7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.43	61.48	0.0	55.05	62.53	160.3	0.0	0.15	0.0	23.39	26.16	23.72
Tctex1d2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	221.86	0.0	0.0	0.0	41.4	95.46	99.25	71.98	0.0	243.05	0.0	0.0	0.0	19.5	22.23	19.07
Tmub2	0.0	0.0	0.0	0.0	0.0	0.0	619.59	5.88	0.0	108.47	38.83	7.57	59.01	0.34	30.07	39.84	1.67	0.0	58.54	1.14	68.11	72.05	68.61
Triap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.62	53.48	0.0	90.26	0.0	0.45	1.01	3.49	2.35	27.8	31.17	28.3
Trpm8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.1	0.1	0.05
Tyw3	1.07	0.2	0.09	0.0	0.0	0.12	0.0	68.82	0.08	0.19	1.43	27.38	5.07	0.45	0.16	4.68	0.49	0.43	0.65	1.61	7.37	7.5	6.98
Ufm1	0.0	0.0	0.0	0.06	0.0	76.07	0.0	0.0	0.0	4.9	0.43	25.73	52.08	40.43	57.34	88.4	26.87	8.43	5.84	0.0	32.37	31.35	30.73
Vps26a	0.0	0.0	0.0	3.31	0.0	0.0	0.0	1.71	0.05	0.0	145.31	0.0	88.44	0.12	0.0	56.08	0.75	4.91	8.11	0.39	47.26	47.45	48.49
Xab2	0.0	0.0	0.0	0.0	345.78	0.0	0.0	10.22	0.0	1.62	0.79	26.6	7.64	2.13	13.63	15.94	4.29	0.48	80.75	23.82	34.55	38.4	36.44
Zfp449	0.13	0.0	0.0	0.0	0.0	0.0	0.0	1.82	0.04	0.0	0.28	1.67	7.73	0.0	0.0	14.08	0.06	0.14	0.0	0.0	3.11	3.37	2.82
Zfp637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	140.16	0.0	0.2	2.96	96.24	102.24	4.64	17.65	53.98	17.75	150.73	0.32	2.24	40.94	44.89	43.03
Zfp667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.71	7.99	0.0	0.0	43.59	0.06	0.14	0.09	0.0	12.13	11.18	10.14
Zfp708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.07	0.0	3.39	3.36	3.23
Zfr	0.0	0.0	17.49	0.0	0.19	0.0	0.0	52.83	475.91	56.54	8.39	99.55	133.51	29.96	22.39	159.32	65.25	89.96	6.73	14.4	192.64	187.79	199.94
mt_GU332589	15332.83	28558.05	21230.38	10543.38	17715.55	10490.75	12014.73	22738.66	26493.16	28909.02	12431.83	31086.28	16090.8	21460.06	22390.28	20242.91	18187.79	19369.81	14379.47	19212.31	3308.99	2963.73	3155.88
