	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_43	Calb2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_75	Ctgf_tdTpositive_cell_17	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_72	Htr3a_tdTpositive_cell_106	Htr3a_tdTpositive_cell_116	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_26	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_2	Ntsr1_tdTpositive_cell_7	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_22	Ntsr1_tdTpositive_cell_23	Ntsr1_tdTpositive_cell_26	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_51	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_77	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_76	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_121	Rbp4_tdTpositive_cell_173	Rbp4_tdTpositive_cell_180	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_57	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_10	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32
Gm13306	0.0	0.0	0.0	0.0	83.17	0.59	5.27	19.91	0.11	0.0	1.74	0.0	0.58	0.0	0.29	0.0	1.9	4.31	83.54	159.27	52.23	152.11	131.07	0.0	25.12	44.71	37.14	5.88	147.36	54.51	310.16	79.41	318.99	272.53	188.03	85.18	111.71	178.93	211.15	183.85	79.46	62.7	3.75	118.89	49.81	200.54	4.35	118.2	106.59	144.42	16.51	30.14	150.83	156.7	108.35	4.89	1.61	0.0	0.0	0.0	0.0	75.81	138.81	91.35	100.7	80.83	235.31	83.58	176.84	97.07	149.77	258.72
Gm2002	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.3	21.12	0.06	0.17	0.16	0.0	0.28	0.09	1.36	0.2	0.15	0.0	0.43	0.29	4.1	0.11	5.79	0.0	3.08	21.65	9.77	19.08	0.46	0.0	0.08	0.0	0.0	0.0	0.0	0.24	0.31	0.34	0.0	0.0	0.27	0.24	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.96	2.41	0.06	0.0	27.58	0.0	0.0	0.0	0.36	0.28	0.2
Gm2506	0.0	0.0	0.0	0.0	83.17	0.59	5.27	19.91	0.11	0.0	1.74	0.0	0.58	0.0	0.29	0.0	1.9	4.31	83.54	159.27	52.23	152.11	131.07	0.0	25.12	44.71	37.14	5.88	147.36	54.51	310.16	79.41	318.99	272.53	188.03	85.18	111.71	178.93	211.15	183.85	79.46	62.7	3.75	118.89	49.81	200.54	4.35	118.2	106.59	144.42	16.51	30.14	150.83	156.7	108.35	4.89	1.61	0.0	0.0	0.0	0.0	75.81	138.81	91.35	100.7	80.83	235.31	83.58	176.84	97.07	149.77	258.72
Hs3st4	0.05	0.0	0.15	0.0	136.67	50.67	0.0	67.59	142.68	242.36	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	126.91	39.89	157.98	73.11	3.73	308.02	65.69	66.05	95.12	165.97	93.04	98.48	113.59	55.84	61.79	121.89	49.82	55.74	39.28	279.06	150.29	98.23	143.43	54.9	71.06	0.0	0.0	37.62	45.15	0.0	91.37	1.25	47.77	0.0	35.69	45.94	79.8	0.0	0.0	0.0	0.0	0.0	0.13	103.83	0.32	0.0	170.53	7.56	175.27	0.1	161.4	88.96	94.93	0.09
Il11ra2	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.3	21.12	0.06	0.17	0.16	0.0	0.28	0.09	1.36	0.2	0.15	0.0	0.43	0.29	4.1	0.11	5.79	0.0	3.08	21.65	9.77	19.08	0.46	0.0	0.08	0.0	0.0	0.0	0.0	0.24	0.31	0.34	0.0	0.0	0.27	0.24	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.96	2.41	0.06	0.0	27.58	0.0	0.0	0.0	0.36	0.28	0.2
Ipcef1	1.02	0.15	0.71	1.47	162.98	51.04	0.0	65.93	33.58	51.32	0.19	0.13	0.0	40.73	0.29	0.62	0.08	0.0	181.89	57.23	133.11	287.32	156.25	0.31	149.82	72.88	202.97	225.42	152.81	250.97	12.81	64.45	70.8	36.39	16.68	114.83	108.11	86.16	85.5	60.71	188.8	134.66	105.88	48.52	140.28	0.0	102.99	6.65	140.23	85.3	149.43	0.86	297.47	133.49	177.06	0.04	0.17	0.33	0.16	0.16	0.0	57.92	0.47	7.03	76.7	113.87	72.96	49.16	65.54	79.27	81.94	21.51
Kcna1	7.17	68.61	0.0	0.0	52.91	0.0	29.31	54.15	0.0	56.28	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	206.48	79.35	158.44	218.68	74.64	7.11	163.65	104.74	104.4	134.66	12.35	23.57	1.56	97.68	80.73	54.58	96.05	37.73	57.28	78.55	10.25	97.7	85.61	95.35	0.1	28.69	28.46	0.08	20.86	82.73	119.67	59.51	74.61	0.0	7.96	93.64	83.15	0.03	0.87	7.11	0.0	30.97	0.05	51.95	42.01	33.94	11.92	52.6	24.98	22.79	101.6	33.22	59.23	21.99
Mmp17	0.0	0.0	0.0	0.0	60.91	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.11	2.29	3.86	109.49	9.77	0.1	140.1	101.69	33.26	146.16	66.03	0.11	26.48	291.2	110.78	15.9	0.11	0.0	72.04	97.04	76.82	6.2	144.84	79.71	60.41	38.69	0.35	0.0	0.08	4.84	0.0	0.0	80.29	0.0	223.12	22.34	16.02	0.0	0.0	0.0	0.14	0.0	0.0	47.8	24.86	29.04	46.24	56.78	25.25	153.99	142.52	43.89	175.08	4.34
Nefm	11.18	0.0	0.0	13.04	67.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	0.0	469.71	51.15	311.63	63.26	88.66	0.22	4.6	21.56	116.78	410.6	28.69	103.19	39.15	212.5	72.89	30.57	70.32	98.08	216.71	4.56	67.39	61.82	338.51	113.3	82.1	93.44	117.46	0.0	52.55	36.06	45.13	0.0	254.7	0.0	323.7	179.74	144.87	0.0	0.0	0.0	0.0	0.14	0.0	62.57	29.08	12.9	37.91	104.6	12.91	0.0	0.14	60.98	36.37	2.0
Nfia	5.82	4.89	7.65	0.0	114.53	79.42	0.0	46.63	33.92	73.21	0.16	0.05	0.0	0.0	0.0	5.85	1.33	1.49	112.11	158.95	83.9	171.69	135.72	84.84	127.97	185.13	230.47	72.38	166.88	85.11	37.01	96.27	120.78	84.11	153.59	95.4	87.64	138.11	70.53	131.86	66.79	169.49	0.09	87.57	58.79	0.0	0.0	56.14	118.46	0.0	102.62	21.71	70.56	84.17	147.67	0.05	0.0	0.0	0.05	21.85	41.18	94.09	66.07	64.11	216.13	112.7	36.85	161.91	214.69	68.39	109.13	60.53
Ngef	0.06	0.0	0.0	4.89	168.33	0.0	54.18	47.21	33.39	17.05	0.0	0.04	1.01	2.52	0.0	0.0	11.36	0.36	128.11	158.46	35.99	14.33	82.76	0.13	221.84	0.36	21.78	160.72	124.83	164.58	0.1	58.66	62.91	40.4	17.23	10.51	176.16	65.15	57.46	55.43	42.61	98.21	54.7	36.51	62.72	0.0	28.18	13.61	129.68	36.26	67.21	0.0	143.65	7.35	69.13	0.0	5.65	24.66	0.0	0.83	0.0	46.61	19.47	7.53	81.87	107.08	24.04	97.06	12.6	50.28	34.98	15.68
Nos1ap	4.64	14.0	0.0	30.1	84.43	31.29	0.0	23.24	1.02	50.39	2.35	0.0	0.0	0.23	0.0	0.0	0.0	0.0	52.8	92.41	64.55	82.36	81.5	0.23	184.13	68.27	24.67	25.95	30.51	101.42	85.41	22.47	203.83	147.41	106.53	99.32	180.65	151.47	61.37	51.68	133.66	98.07	0.6	34.95	42.49	22.22	31.65	29.37	109.42	121.81	111.16	0.0	53.7	3.39	62.34	10.06	9.04	0.0	0.0	24.22	1.35	78.78	153.45	5.71	191.36	120.49	79.47	23.59	0.74	75.84	24.77	65.23
Nptx1	0.0	0.0	0.0	0.0	69.65	1.21	0.0	15.67	16.94	46.77	0.07	0.11	7.78	27.87	0.0	0.19	0.0	0.05	249.01	112.25	75.07	208.5	47.26	300.56	305.94	140.56	47.52	32.37	106.29	243.48	27.94	161.86	49.96	51.35	32.39	72.44	219.38	114.27	256.57	35.75	211.11	199.6	0.17	0.0	0.0	3.1	5.86	21.16	133.76	8.19	60.99	74.34	110.55	67.75	166.84	0.0	13.13	0.17	0.09	0.0	0.0	130.22	0.0	0.06	142.24	71.06	100.21	247.4	323.37	80.19	41.46	0.96
Nrp1	0.0	0.0	0.0	0.0	1.3	23.89	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	37.76	5.52	46.45	46.09	88.65	0.18	98.12	29.42	31.22	69.97	18.22	0.0	20.03	4.39	32.4	84.46	47.29	70.75	43.27	46.77	12.93	0.0	83.03	48.49	0.15	9.15	4.6	0.0	0.05	9.76	42.79	0.0	27.03	93.1	13.46	83.55	79.87	0.0	0.0	0.0	0.0	0.0	0.0	42.1	14.07	54.53	13.27	87.68	85.28	50.93	1.1	24.92	19.27	0.0
Pak7	0.28	0.0	0.0	0.0	97.75	0.0	0.0	2.92	1.61	0.0	0.1	0.28	0.06	14.69	0.0	0.0	0.0	0.0	68.98	73.23	3.88	8.75	124.52	0.51	62.43	15.08	56.79	3.48	57.52	90.12	30.76	25.58	57.2	33.88	65.49	55.55	93.1	22.14	65.21	51.65	162.87	81.75	15.94	24.87	2.4	31.86	2.37	2.24	3.05	18.07	1.68	60.22	32.01	10.67	90.49	0.0	0.0	0.0	0.31	2.96	0.0	44.95	56.14	0.73	39.13	3.64	15.63	41.07	20.1	21.14	24.27	16.4
Pcp4	4167.1	3854.24	2861.67	5117.81	5030.53	5350.95	3287.36	4787.42	3629.17	4106.46	4184.47	4733.38	4414.79	4425.79	5082.23	4231.51	3031.22	4518.09	3963.84	3754.32	4325.62	4339.69	4273.51	7467.74	3788.73	3966.76	4635.18	5853.47	5181.2	5178.03	6240.76	4858.15	5498.56	5326.1	6808.32	7407.1	5341.11	6583.41	4322.71	5620.14	5456.32	5251.38	5093.83	4770.47	4504.36	4149.68	3779.33	4470.96	5307.32	4710.66	4815.87	3923.3	7030.52	5084.45	4796.79	5005.09	3469.96	4368.46	2097.74	3218.25	5492.66	5219.57	7638.97	5202.71	5242.95	6941.16	7178.2	5557.87	6670.6	6291.11	8685.7	6217.49
Prkcb	178.39	55.0	16.79	13.39	363.8	18.72	44.17	21.36	4.44	45.69	6.89	9.02	34.75	258.5	32.65	30.8	0.37	7.3	250.2	458.48	383.22	415.43	401.05	207.21	536.83	318.43	287.96	317.53	218.73	200.66	488.0	357.69	143.75	251.77	310.81	283.48	463.55	246.85	568.26	353.97	517.46	304.59	164.81	277.44	418.38	60.66	142.88	110.83	287.67	0.15	423.38	0.92	535.43	530.85	235.48	0.11	0.52	2.75	62.29	68.86	37.33	281.09	93.29	172.14	289.23	399.85	339.75	281.91	258.63	247.11	248.14	147.65
Ptk2b	57.75	1.1	0.0	0.0	404.95	5.33	0.0	71.48	23.02	32.41	2.65	0.03	0.08	64.59	0.0	0.0	36.2	5.2	106.97	120.35	35.36	82.78	186.59	0.0	105.29	121.89	32.67	69.53	135.14	125.08	150.56	28.19	63.75	22.99	145.89	209.97	291.96	75.15	132.05	156.56	112.11	66.57	12.1	103.11	256.83	38.69	19.94	56.63	169.63	33.22	121.37	2.13	280.13	36.18	78.6	11.71	0.0	4.95	0.13	0.24	0.23	103.09	183.01	76.6	52.35	122.14	184.49	165.28	11.54	137.06	42.47	56.63
Slc8a1	0.04	0.0	0.0	0.37	160.98	36.0	11.56	69.26	35.27	67.94	0.01	0.55	3.05	67.49	0.88	0.01	0.03	2.62	159.36	1.42	36.3	41.42	64.5	0.04	137.39	39.49	53.05	19.61	47.92	37.91	6.88	4.43	18.79	12.62	85.66	28.91	42.44	15.97	76.68	40.86	49.16	97.82	13.67	63.76	76.81	0.52	6.9	25.2	55.4	19.57	74.19	11.65	145.18	44.75	43.43	4.8	7.98	1.09	22.48	0.0	0.02	22.68	31.49	64.58	57.45	28.82	20.64	23.88	24.39	40.39	76.32	34.19
Tmem178	9.91	0.0	0.0	0.0	60.71	0.77	0.52	28.75	9.26	0.0	0.0	0.0	0.0	82.03	0.0	0.0	0.0	0.0	70.16	56.88	32.72	124.8	78.75	0.0	126.0	0.0	41.63	166.29	26.8	126.24	227.29	61.52	0.89	49.98	14.96	0.21	217.13	12.94	193.97	87.55	115.1	112.97	129.68	0.27	0.0	0.0	91.43	37.96	61.18	114.19	18.23	0.0	108.18	150.41	40.7	0.0	0.0	0.0	0.0	0.0	0.0	32.95	2.12	2.09	13.83	0.0	20.43	0.0	3.95	87.62	59.12	15.97
