	Calb2_tdTpositive_cell_46	Chrna2_tdTpositive_cell_31	Nkx2.1_tdTpositive_cell_19	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_23	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_36	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55
Cx3cr1	1.4	0.53	1.34	1.89	0.39	0.49	0.36	0.61	0.77	0.08	0.12	2.39	0.23	0.47	0.55	0.21	0.55	1.25	0.38	0.31	0.59	4.77	5.22	1.41	0.52	0.14	0.28
Fam107a	1295.71	0.0	67.51	12.9	0.0	0.05	0.04	0.0	0.0	0.0	0.0	79.14	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.07	0.01	64.78	2.12	4.3	0.0	0.0	0.0
Gja1	6160.95	0.0	118.4	317.44	0.0	0.89	0.0	0.0	0.0	0.0	0.0	180.69	14.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	195.95	199.76	42.45	0.0	0.0	0.0
Gm10408	37.45	6.58	34.48	63.24	11.37	11.65	13.91	12.69	8.1	3.94	8.47	50.81	7.27	14.15	4.71	9.86	9.89	24.84	15.25	7.77	4.56	60.37	63.66	16.58	5.61	4.93	13.66
Gm17821	448.55	144.83	205.19	333.36	108.53	139.94	149.2	158.01	161.7	109.85	125.35	189.35	138.45	152.69	147.65	141.67	99.22	155.3	105.43	115.41	136.93	313.37	256.28	208.69	95.33	105.99	86.22
Gm5065	5.57	0.58	2.63	4.51	0.9	1.83	0.51	1.56	1.37	0.8	0.87	3.66	0.58	0.52	0.82	0.61	0.95	1.32	0.38	1.15	0.91	3.76	4.73	2.21	0.63	0.82	0.29
Gpc6	21.23	0.72	2.79	5.6	0.29	0.18	0.78	0.39	1.08	0.59	0.46	6.97	0.78	0.67	0.45	0.32	0.33	1.35	0.35	1.0	0.76	7.49	8.55	4.46	0.41	0.32	0.45
Grm3	1611.88	0.0	41.4	34.7	0.0	0.07	0.0	0.0	0.0	0.0	0.0	10.52	0.0	0.0	0.0	0.09	0.0	0.0	0.0	1.16	0.0	118.01	80.44	14.91	0.0	0.0	0.0
Klk14	3.24	1.89	5.88	22.87	0.51	2.53	1.35	1.94	1.62	0.94	0.48	11.12	1.55	0.44	0.8	1.0	1.3	2.42	0.89	0.88	0.0	8.9	14.62	2.03	0.54	1.32	0.78
Mbp	0.31	0.0	263.63	2297.1	2.91	19.71	0.23	3.81	29.57	0.68	0.0	229.87	13.09	1.67	0.36	4.61	30.96	0.05	2.91	1.35	19.67	976.36	990.75	586.43	0.77	0.12	58.38
Mylk4	4.38	2.33	4.56	4.53	0.68	1.87	1.29	1.02	1.26	1.68	0.55	6.31	1.14	0.51	1.09	0.75	1.14	1.11	0.38	1.85	0.98	6.29	8.01	2.53	0.21	0.42	0.49
Npy	0.0	173305.25	28029.72	6987.55	132042.44	149629.49	134232.96	120987.76	132052.33	122154.33	122963.43	36041.21	130527.91	173863.58	126989.03	166048.87	191162.16	154857.31	153405.37	141010.39	151963.58	99.91	155.8	51.85	145032.54	180453.32	137945.15
Palmd	241.17	0.0	40.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.33	0.53	16.85	0.0	0.0	0.0
Pigr	4.54	0.85	2.37	5.79	0.47	0.56	0.96	1.33	0.94	0.54	1.39	6.51	0.7	0.73	0.0	0.54	0.54	1.85	0.33	1.47	1.08	4.39	5.51	2.48	0.49	0.56	0.45
Pon2	6.11	0.0	2.29	105.11	0.0	0.06	0.0	0.0	6.31	0.0	0.21	0.28	0.0	0.14	0.0	0.0	0.14	0.0	0.0	0.0	0.0	100.05	11.51	0.45	0.16	0.0	0.0
Psg28	36.49	10.26	23.8	47.67	8.32	8.17	8.35	9.43	11.47	5.93	5.47	14.4	7.51	10.4	8.89	7.05	5.67	6.03	2.08	8.46	5.74	38.08	34.97	11.97	4.26	5.76	3.04
Rhox8	50.75	2.71	18.97	64.01	5.37	4.24	6.95	8.63	8.14	6.25	6.32	42.1	4.03	2.67	14.88	3.88	7.47	20.34	6.54	14.67	5.4	29.62	46.26	21.16	4.04	4.79	6.68
Runx2	0.51	0.0	0.99	0.7	0.0	0.15	0.19	0.15	0.05	0.1	0.29	1.47	0.0	0.0	0.13	0.0	0.12	0.52	0.0	0.19	0.05	0.79	1.51	10.73	0.0	0.04	0.04
Sdc4	3492.14	0.0	160.38	189.57	0.0	0.23	0.0	0.0	0.0	0.0	0.0	56.68	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.1	95.15	185.96	75.11	0.0	0.0	0.0
Slc1a3	5150.42	0.0	324.35	206.84	0.0	0.86	0.0	0.03	0.0	0.0	0.0	184.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	236.79	511.95	10.08	0.0	8.85	0.0
Slc25a18	660.68	0.0	95.89	0.0	0.0	0.0	0.0	0.0	0.0	22.66	0.0	94.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.13	1.6	41.41	0.0	0.0	0.0
Tfap2a	2.08	0.61	2.59	7.25	0.58	0.1	0.32	1.0	1.86	0.19	0.52	7.16	0.62	1.18	0.47	0.82	0.15	0.27	0.67	0.72	0.26	9.14	13.37	3.81	0.4	0.26	1.31
Trim12c	2.36	0.71	3.35	11.0	0.86	0.77	1.87	0.88	1.4	0.76	0.84	5.94	0.7	0.81	1.58	0.72	0.29	1.75	1.14	0.9	1.28	8.01	9.25	11.36	1.0	0.44	0.54
Vmn2r55	2.17	2.46	6.04	20.34	0.64	1.42	0.98	1.44	1.84	0.97	1.0	5.46	0.96	0.32	0.63	0.82	0.76	1.11	0.28	1.08	0.84	8.93	11.91	3.93	0.38	0.17	0.28
Zic1	3.67	1.04	2.65	3.74	0.39	0.21	0.25	0.37	0.45	0.39	0.21	2.44	0.41	1.02	0.68	0.31	0.07	0.1	0.08	0.16	0.84	2.1	5.31	0.73	0.17	0.19	0.47
mt_AK131577	2397.61	729.87	4750.49	11869.87	1434.28	1040.04	1263.81	1673.84	1051.38	1034.56	1454.66	2457.89	1060.94	1006.07	1113.29	594.69	1416.58	2085.68	1047.52	1060.54	1216.13	5183.26	12410.34	6412.84	1016.28	1141.51	885.59
mt_AK132015	2397.61	729.87	4750.49	11869.87	1434.28	1040.04	1263.81	1673.84	1051.38	1034.56	1454.66	2457.89	1060.94	1006.07	1113.29	594.69	1416.58	2085.68	1047.52	1060.54	1216.13	5183.26	12410.34	6412.84	1016.28	1141.51	885.59
mt_AK132098	2397.61	729.87	4750.49	11869.87	1434.28	1040.04	1263.81	1673.84	1051.38	1034.56	1454.66	2457.89	1060.94	1006.07	1113.29	594.69	1416.58	2085.68	1047.52	1060.54	1216.13	5183.26	12410.34	6412.84	1016.28	1141.51	885.59
mt_AK167037	2397.61	729.87	4750.49	11869.87	1434.28	1040.04	1263.81	1673.84	1051.38	1034.56	1454.66	2457.89	1060.94	1006.07	1113.29	594.69	1416.58	2085.68	1047.52	1060.54	1216.13	5183.26	12410.34	6412.84	1016.28	1141.51	885.59
mt_BC008260	2998.6	804.83	3284.54	6102.45	809.21	723.99	1340.0	1803.88	1119.37	1209.75	1378.73	3104.53	1237.41	1184.49	1161.09	558.74	1390.33	1849.86	1467.07	1200.77	1493.78	6772.85	17184.37	2832.91	243.02	76.08	703.26
mt_BC020072	2998.6	804.83	3284.54	6102.45	809.21	723.99	1340.0	1803.88	1119.37	1209.75	1378.73	3104.53	1237.41	1184.49	1161.09	558.74	1390.33	1849.86	1467.07	1200.77	1493.78	6772.85	17184.37	2832.91	243.02	76.08	703.26
mt_X57779	4560.25	1511.33	4746.57	9293.52	842.4	709.44	781.36	1119.01	1004.3	931.02	1134.36	2253.8	1492.87	937.04	1194.48	870.26	1437.61	1785.76	1139.09	693.78	1187.23	6605.62	13394.37	7051.59	1293.25	1209.47	1011.06
mt_X57780	4560.25	1511.33	4746.57	9293.52	842.4	709.44	781.36	1119.01	1004.3	931.02	1134.36	2253.8	1492.87	937.04	1194.48	870.26	1437.61	1785.76	1139.09	693.78	1187.23	6605.62	13394.37	7051.59	1293.25	1209.47	1011.06
