	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_33	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Abcc8	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	34.6	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	1.67	2.43	20.59	20.61	19.74
Adam21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.15	0.0	0.0	0.0	0.0	0.0	6.18	0.0	0.0	2.05	3.57	0.85	0.41	0.66
Adcy5	20.05	17.42	3.65	3.5	0.42	0.0	0.73	14.15	0.0	11.53	61.32	0.06	14.06	9.84	0.27	23.56	3.19	8.77	0.29	2.68	4.77	139.88	145.98	149.99
Agbl4	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	41.57	4.68	75.3	0.0	0.0	0.0	52.71	0.0	0.0	0.0	0.0	10.84	14.45	10.36	9.73	9.17
Akt2	0.66	3.04	1.14	0.57	0.06	0.42	0.0	0.0	0.0	0.0	145.05	0.0	0.09	0.0	0.0	0.0	15.18	0.0	0.0	20.4	23.62	92.36	87.56	96.59
Aloxe3	0.0	14.32	0.33	5.87	0.0	5.54	0.0	0.0	10.44	0.0	89.2	0.0	0.0	20.58	0.0	0.0	0.0	0.0	0.0	9.07	8.22	5.1	5.87	5.73
Arap2	0.0	0.0	0.0	0.08	0.11	0.0	0.04	0.0	0.0	0.66	40.85	0.0	0.0	0.03	0.0	0.08	0.0	0.0	0.0	48.88	41.01	43.79	37.01	43.26
Arfgap2	17.8	44.15	35.22	43.66	30.07	38.62	41.08	0.29	0.1	0.0	268.75	0.0	0.0	77.96	73.71	19.27	0.0	11.1	37.5	57.62	84.95	49.2	49.76	51.02
Arhgap40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	41.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.52	0.1	0.41	0.5
Asah2	0.0	0.0	0.0	0.0	9.51	0.03	0.0	0.0	0.0	0.0	27.19	0.0	0.0	0.04	0.0	0.2	0.0	0.0	3.55	1.29	0.57	7.45	7.4	7.23
Bet3l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.42	0.08	0.44
Bod1	0.0	37.36	36.74	0.0	24.82	30.78	23.47	34.76	39.49	1.4	51.63	0.0	39.71	4.71	0.0	24.47	10.78	5.84	4.48	48.47	53.61	99.54	112.2	100.92
C330006K01Rik	0.0	0.37	0.17	4.7	4.89	0.46	0.64	0.46	0.52	0.19	55.64	0.6	0.35	1.05	0.15	0.73	0.56	0.05	0.3	1.14	1.57	15.66	17.41	15.65
C85492	28.47	0.87	7.6	1.54	0.07	0.3	0.0	10.63	3.83	0.0	92.84	0.0	65.62	0.0	0.0	0.0	0.0	0.0	1.62	2.27	3.68	28.22	32.88	28.74
Car8	0.0	0.12	0.03	0.0	0.03	0.02	0.0	0.0	0.11	0.04	6.47	0.0	0.0	0.0	0.05	0.05	0.0	0.0	0.0	0.0	0.02	5.21	4.26	5.44
Ccdc84	4.56	0.0	0.0	0.0	44.6	0.0	0.0	24.75	0.29	0.0	58.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.56	3.2	4.35	10.79	10.75	9.18
Ccl27b	0.0	0.0	1.46	0.03	1.74	0.0	0.58	0.0	0.77	0.0	3.46	0.29	0.0	2.79	1.65	1.9	4.31	0.0	1.61	61.27	71.98	30.63	28.29	22.96
Cd28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.15	0.21
Cdc7	4.97	0.92	29.21	3.87	0.06	0.0	1.15	63.88	26.99	0.0	101.19	0.0	0.0	33.63	0.19	70.27	75.99	1.06	0.0	42.26	14.87	12.79	11.83	13.24
Cep250	0.0	3.07	4.75	0.0	3.75	0.0	0.0	0.0	0.0	16.34	34.05	0.0	5.24	0.0	9.04	11.65	0.03	0.04	0.11	2.12	0.26	16.61	14.77	16.8
Ckap2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.86	0.71
Cnn2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.76	9.25	6.05
Crocc	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	10.73	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.38	0.66	38.22	41.61	42.48
Crxos1	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	12.72	0.0	0.0	0.0	3.24	0.0	1.5	0.0	0.0	1.12	0.0	0.23	0.26	0.3
Crybg3	10.1	0.0	0.0	0.0	0.0	0.0	0.0	7.56	14.4	2.64	26.67	0.0	0.0	5.81	4.15	0.0	0.0	0.0	0.0	11.02	2.46	3.8	3.92	3.56
Cryl1	50.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0	221.94	0.0	0.0	53.45	0.2	63.46	0.0	0.0	1.69	15.99	14.33	21.63	21.57	20.64
Cul9	0.0	0.26	0.0	0.0	0.08	0.0	0.0	0.19	0.0	0.0	17.6	0.0	0.74	0.05	0.0	8.48	0.0	0.0	0.0	0.98	0.57	32.03	32.62	31.68
Cyp4f14	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.22	8.33	10.07
Cyp4f41-ps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.34	0.19
D1Bwg0212e	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.86	0.0	0.0	0.0	0.0	0.09	0.62	0.0	0.0	0.09	3.5	24.79	27.22	25.46
Dhx29	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	15.98	62.31	0.0	0.0	0.0	2.76	0.0	0.0	0.0	6.12	4.77	2.78	17.2	16.3	16.78
Dmbx1	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.18	0.03
Dnajc13	7.88	9.56	3.97	1.54	0.0	0.81	0.36	4.11	4.75	0.0	17.48	0.0	43.36	0.03	1.21	1.16	0.0	2.46	3.72	8.18	4.72	30.45	26.54	30.2
Dok7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	10.66	9.52	9.76
Dopey2	25.99	7.02	14.98	6.69	22.79	20.81	6.27	13.44	23.97	0.0	42.84	0.03	7.77	0.0	11.44	5.56	4.33	2.7	0.0	5.45	3.61	39.74	37.78	40.38
Dpy19l3	14.49	0.08	1.76	0.77	0.04	8.21	24.36	0.03	7.22	0.0	21.04	0.0	0.26	1.55	0.54	0.3	1.46	0.0	0.0	13.73	18.71	21.47	22.09	22.03
Dscaml1	0.09	0.39	0.02	0.0	0.0	0.0	1.87	0.0	0.23	0.0	12.2	0.0	1.21	0.0	0.0	0.88	0.28	0.0	2.79	4.49	4.38	24.76	23.23	26.75
Dtl	0.0	0.0	0.04	0.02	0.0	0.0	0.07	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	14.8	15.6	7.48	6.4	7.6
Epcam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.36	0.35
Fam135a	0.0	0.0	14.87	15.04	16.11	0.0	12.5	0.0	0.0	0.0	33.05	12.61	7.75	0.0	10.78	0.0	4.67	7.74	24.03	4.37	4.3	17.48	15.3	18.07
Fam38a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	2.59	3.38	3.03
Fhit	0.0	0.72	0.0	0.0	0.0	0.0	65.28	1.83	0.0	53.79	108.77	0.0	0.0	0.0	0.0	0.0	36.67	14.49	21.6	19.5	23.05	6.15	3.86	5.08
Gabpa	0.0	0.0	0.03	0.08	0.0	0.0	0.0	0.05	0.32	0.0	45.68	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	4.86	3.45	12.75	12.03	13.9
Gabra6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.08
Gcc1	0.0	0.0	0.0	0.02	0.0	22.78	0.0	0.0	0.0	0.0	41.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.01	2.92	16.28	15.96	15.34
Gdf6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Gkn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	5.92	5.7	4.65
Gm13031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	1.85	2.88	2.95
Gm13306	0.0	0.0	1.46	0.03	1.74	0.0	0.58	0.0	0.77	0.0	3.46	0.29	0.0	2.79	1.65	1.9	4.31	0.0	1.61	61.27	71.98	30.63	28.29	22.96
Gm16523	0.13	0.15	0.19	0.03	0.0	0.04	2.16	0.1	0.17	0.0	28.13	0.0	0.11	0.11	20.62	0.23	0.06	0.0	0.0	1.32	3.2	0.07	0.11	0.1
Gm2506	0.0	0.0	1.46	0.03	1.74	0.0	0.58	0.0	0.77	0.0	3.46	0.29	0.0	2.79	1.65	1.9	4.31	0.0	1.61	61.27	71.98	30.63	28.29	22.96
Gm4814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.28	0.28	0.9
Gm5089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.42	5.96	6.27
Gm514	0.0	0.0	0.0	0.18	0.0	0.0	1.83	0.0	3.1	0.0	19.3	0.0	2.64	0.0	0.0	0.0	0.55	0.0	0.0	0.22	0.0	3.69	3.89	3.81
Gm5415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.81	2.15	30.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.83	6.08	0.3	0.21	0.27
Gm8096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.06	0.16
Gm9047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.87	0.0	0.0	0.0	0.15	0.0
Gm9376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.32	0.0	0.0	0.0	2.22	0.0	7.73	0.0	0.0	0.0	0.0	0.0	0.6	0.0
Gpr116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.02	0.03	0.0	0.0	0.0	0.0	0.0	13.09	13.5	12.66
Grik5	0.83	2.3	0.26	0.0	1.77	0.77	0.0	0.0	0.0	0.0	12.12	0.0	0.0	1.35	0.0	0.08	2.62	0.0	1.6	2.7	2.16	151.06	170.74	170.43
Gsdmc4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.09	0.0
Gtf2h4	0.0	0.0	2.31	0.0	0.1	0.13	0.0	0.0	55.26	62.86	209.21	0.0	0.0	0.0	0.0	0.0	47.38	0.0	0.0	11.46	30.6	17.84	20.94	17.53
Gtf3c5	0.0	0.0	0.0	0.0	38.54	0.0	0.0	0.0	1.16	0.0	90.22	0.0	0.0	0.0	0.0	0.1	69.03	1.06	36.2	6.31	17.93	14.14	16.14	16.26
H1foo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Haus4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53	0.22	3.39	4.44	3.63
Hdac3	15.13	138.65	90.81	69.02	102.04	9.57	69.97	4.5	33.91	21.25	463.23	0.0	125.07	56.81	2.79	57.29	242.54	47.1	1.92	83.1	92.17	93.03	96.68	96.8
Hhex	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.76	2.49	3.65
Hist1h2bf	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	29.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hmgcll1	0.0	0.19	10.31	0.04	54.21	6.4	0.0	2.26	0.0	1.0	128.49	15.67	13.81	0.17	35.71	51.46	4.21	0.0	41.03	11.41	20.07	13.55	13.61	13.09
Hoxc4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Iars2	2.71	13.68	0.0	12.52	0.0	0.49	1.92	0.0	0.0	19.26	142.29	0.0	0.64	0.0	33.36	0.0	0.0	0.0	4.29	7.13	5.52	40.94	38.39	36.92
Ift140	0.0	0.0	0.0	8.32	0.03	0.0	0.05	0.13	0.0	0.0	63.09	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	2.64	1.36	14.92	14.63	14.55
Ikbkb	0.0	0.0	0.0	0.0	0.18	1.7	0.69	0.0	0.0	0.0	93.62	0.0	0.71	0.0	21.94	0.24	0.07	0.0	43.08	18.53	7.9	29.39	26.42	28.05
Ilvbl	0.0	82.88	0.0	0.0	52.04	0.0	0.0	0.0	0.0	0.0	119.17	0.0	40.97	1.98	0.0	0.0	0.0	0.12	0.0	2.19	2.1	22.13	21.52	23.18
Irf5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.35	4.26	4.01
Itga7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.31	2.92	8.62	8.66	9.49
Itpr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.05	5.63	7.73
Jakmip1	9.44	0.0	4.49	1.1	8.41	1.39	1.44	2.18	0.0	1.62	28.9	0.1	24.04	8.06	0.47	3.94	16.11	2.17	1.48	11.94	16.53	88.25	91.99	89.79
Krt19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.15
Ldoc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	333.02	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	1.87	1.62	1.24
Lefty2	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	31.19	0.0	0.31	0.0	1.46	0.12	0.0	0.0	0.24	1.34	0.38	1.64	1.76	1.1
Lig3	0.0	4.96	13.24	0.0	0.0	0.0	3.2	0.0	0.0	0.0	55.3	0.0	3.35	0.38	0.09	1.78	2.1	2.99	0.0	3.75	3.71	16.4	14.44	14.32
Lrrc33	0.0	0.21	0.21	0.13	0.0	0.09	0.0	0.22	0.09	0.07	58.22	0.46	0.21	0.06	0.2	0.17	0.08	0.0	0.07	0.18	1.46	4.27	5.47	4.64
Lrrc45	42.73	2.51	0.0	0.0	0.0	0.0	2.14	0.51	0.0	0.0	77.9	0.0	0.0	22.66	0.0	2.62	0.0	0.0	14.57	2.79	1.41	50.3	50.55	54.57
Lrrc48	4.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.66	13.41	15.12	14.95	14.4
Mamstr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38	1.12	1.82	1.63	1.82
Mir1904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mis12	0.0	48.74	0.0	0.03	61.45	0.0	0.0	55.79	0.0	0.0	111.63	0.0	0.0	0.0	86.08	27.46	0.0	0.72	0.0	26.1	19.71	18.73	17.44	16.02
Mmab	33.8	0.23	0.0	0.04	0.17	43.67	0.0	0.0	8.52	1.29	62.3	0.05	11.5	2.6	0.46	0.1	0.0	4.69	25.28	5.01	6.04	24.61	25.96	24.22
Msh4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Mttp	34.58	14.6	58.95	0.02	0.0	0.05	0.0	0.0	1.05	1.24	63.7	0.06	0.0	0.0	0.0	0.0	16.52	0.0	0.0	2.49	0.75	7.85	8.03	7.14
Myl6b	0.65	0.0	15.98	0.24	0.0	0.21	0.0	1.01	12.37	0.65	13.19	0.0	0.0	0.42	0.28	0.0	1.25	1.16	2.37	0.6	1.76	23.55	26.98	24.06
Myom3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	0.88	1.05
N4bp1	0.0	0.11	19.53	0.03	0.0	0.03	5.1	0.0	0.0	0.0	69.57	1.37	11.41	15.58	0.04	0.0	21.37	13.56	16.41	2.0	3.23	25.12	23.36	23.87
Nab2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	24.91	0.2	0.12	0.0	0.0	0.0	0.1	0.0	0.12	1.76	1.89	46.24	45.77	32.04
Neil1	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.0	91.62	0.0	0.0	0.0	0.0	0.26	27.37	0.0	0.0	2.36	3.97	10.82	14.47	11.97
Nek2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	1.31	1.24
Neurl1b	0.0	0.0	0.0	0.0	22.3	0.0	0.0	0.0	0.0	0.0	31.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.24	7.82	23.14	25.67	23.69
Nfatc4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.96	1.22	1.24
Npy	138375.8	173305.25	132042.44	149629.49	130357.56	116117.28	132052.33	173863.58	166048.87	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	151963.58	145032.54	128781.07	0.6	0.7	214.21	196.57	200.76
Nron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Nudt7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.84	2.97	6.34	6.9	4.98
Oip5	0.42	0.0	0.0	0.51	1.24	0.7	1.12	0.12	0.42	0.13	62.58	0.35	1.76	0.28	0.0	1.08	0.7	0.54	0.41	2.74	3.64	1.4	1.74	1.5
Oma1	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	103.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.83	14.05	9.77	8.67	6.53	6.26
Pacs1	0.0	0.47	12.6	0.47	1.9	0.05	40.58	12.44	0.0	11.99	115.33	4.57	0.12	10.39	0.0	0.0	0.0	0.07	0.07	7.29	5.95	53.18	53.52	54.5
Pan2	7.18	1.87	0.72	0.07	0.0	0.0	0.0	0.0	0.0	0.0	44.51	5.77	0.0	0.0	0.0	0.07	0.0	0.0	0.0	2.37	3.27	17.1	14.44	16.07
Papln	1.77	2.52	0.15	0.0	0.0	0.0	1.57	0.0	0.0	0.0	42.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.94	2.47	3.54
Pde4b	52.17	4.89	25.93	26.94	73.19	14.88	70.71	0.0	40.64	0.31	122.18	0.0	9.32	0.16	0.08	31.99	26.72	0.0	33.96	84.51	41.99	82.75	83.55	83.32
Pdk1	19.37	0.13	0.3	1.49	0.06	0.29	0.24	1.39	0.31	0.04	57.76	0.18	0.2	0.14	3.11	20.28	0.34	0.0	0.2	13.91	13.05	34.62	33.84	34.55
Plekhg1	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	2.44	0.0	45.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.22	6.86	7.87
Pltp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.39	0.0	0.14	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	66.55	71.32	70.09
Polr1a	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	13.2	0.0	38.21	0.0	22.43	20.45	0.13	15.64	0.0	0.0	0.0	2.36	1.69	16.33	16.64	16.75
Ppp1r14c	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	65.51	0.0	0.0	0.0	0.0	0.0	0.0	2.62	0.0	0.12	1.79	15.05	17.27	14.84
Ppwd1	0.0	11.32	44.2	5.37	4.51	0.43	0.0	0.0	2.33	5.53	53.27	0.0	12.75	1.41	5.89	0.0	2.41	0.85	0.75	8.73	16.47	6.44	6.14	6.69
Prelid2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.27	0.29
Prmt5	23.29	131.25	0.75	0.45	0.33	1.17	0.2	3.01	119.09	32.87	352.88	0.18	29.69	75.84	1.19	5.42	66.3	53.19	79.94	60.37	81.4	53.53	51.08	48.7
Prrt3	0.0	29.93	0.0	0.0	0.0	0.0	0.19	0.07	0.1	0.0	33.95	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.36	2.09	39.26	41.02	44.37
Pstpip1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.88	1.42	1.66
