	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_88	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Dld	0.0	0.0	138.85	0.07	3.17	253.2	337.73	5.25	128.84	118.43	121.67
Dync1i2	0.0	0.0	7.82	1.77	9.39	106.25	81.66	40.02	142.0	137.08	138.77
E330017L17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.51
Ecd	0.24	0.0	0.2	0.15	0.15	2.13	40.33	33.31	29.29	31.1	29.49
Eepd1	0.0	0.0	0.0	0.0	0.0	1.07	0.0	0.0	19.46	20.0	19.63
Eif2b4	0.0	0.19	0.0	0.0	7.65	39.79	12.66	0.83	36.76	38.85	37.76
Eya4	0.0	0.0	0.0	0.04	0.0	18.59	8.15	0.06	2.68	2.96	2.62
Flad1	0.0	0.0	0.0	0.07	0.0	0.0	13.76	0.52	32.54	32.99	30.55
G630093K05Rik	0.18	0.0	0.0	0.0	0.0	0.13	0.5	0.0	0.18	0.19	0.26
Gbf1	0.0	0.0	4.98	0.1	2.15	11.04	2.65	0.18	41.95	40.73	44.25
Gm10767	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	2.95	2.97	4.16
Gm12070	0.57	0.25	8.68	3.48	5.94	11.8	28.06	10.09	2.44	3.15	1.85
Gm13306	0.0	0.0	9.17	0.0	20.98	11.75	29.61	0.85	30.63	28.29	22.96
Gm2506	0.0	0.0	9.17	0.0	20.98	11.75	29.61	0.85	30.63	28.29	22.96
Gpr12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	21.23	22.13	24.39
Heg1	0.0	0.0	0.12	0.03	0.04	0.0	0.37	0.05	9.95	9.14	9.91
Higd1a	302.06	0.0	236.85	0.94	134.16	403.17	343.85	266.66	74.95	75.51	72.44
Hyls1	0.0	0.0	0.0	0.0	0.0	0.0	11.69	0.0	8.0	7.49	5.88
Ict1	0.0	0.0	5.83	0.0	79.45	28.01	110.88	0.66	62.67	72.89	68.35
Ier3ip1	260.06	0.0	0.42	0.12	6.76	134.67	181.61	22.5	61.32	59.96	60.32
Ino80	0.0	0.0	0.0	0.0	6.93	2.77	2.7	0.0	16.41	15.65	16.79
Jakmip1	0.0	0.0	0.0	0.0	4.79	0.4	2.97	0.1	88.25	91.99	89.79
Kdm5d	0.0	0.0	0.31	0.0	16.69	1.47	8.04	0.0	0.0	12.26	15.87
Lrrc27	0.0	0.0	0.0	0.0	0.0	0.0	28.04	0.14	8.26	7.98	7.87
Lrrc40	0.0	0.0	0.0	0.04	0.16	33.66	53.75	1.33	39.47	39.59	37.72
March3	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	1.79	1.92	1.85
Mcf2l	5.06	7.84	8.51	0.0	4.8	19.55	25.42	1.11	86.14	88.63	85.38
Mis12	0.0	0.0	0.0	0.0	0.0	0.0	12.58	0.06	18.73	17.44	16.02
Mypop	0.0	0.0	0.0	0.0	0.1	1.54	2.86	0.0	40.58	46.49	45.49
Naa25	0.0	0.0	0.19	0.05	1.03	23.74	30.13	0.37	33.25	30.87	30.52
Ncan	0.64	0.48	59.79	0.16	60.1	28.57	87.69	0.79	87.88	87.21	94.46
Ndufaf4	0.0	0.0	0.0	0.3	1.71	77.95	49.64	12.53	19.17	17.19	17.47
Negr1	0.0	0.0	0.55	0.09	14.46	18.85	43.61	4.26	132.03	133.65	130.93
Neto2	0.0	0.0	32.51	0.0	0.08	68.83	61.41	10.49	38.68	34.51	37.44
Pnp2	0.0	0.0	0.0	0.0	100.99	0.32	0.0	0.0	6.39	7.59	4.28
Polr2c	0.0	0.0	105.31	0.0	18.8	183.44	191.04	2.05	67.03	67.12	62.27
Polr2f	0.69	0.0	74.24	0.0	0.0	52.31	128.62	251.26	86.05	105.55	101.1
Ptpra	0.0	0.0	48.34	0.13	1.77	17.62	39.94	0.45	123.81	126.6	126.44
Qrsl1	0.0	0.0	0.0	0.0	115.17	0.0	10.14	0.12	17.56	16.08	15.8
Rab34	0.0	0.0	3.85	0.0	0.16	0.0	11.77	17.4	21.55	25.64	27.58
Rbfox1	0.0	0.0	11.07	0.05	54.3	64.17	62.84	24.76	198.25	185.0	193.44
Rfk	0.0	0.0	3.72	7.76	4.33	1.15	18.32	6.89	52.91	55.76	55.39
Rnf167	15.31	0.0	100.47	17.46	115.92	130.08	136.99	23.53	79.79	84.43	77.3
Sephs1	0.0	0.0	1.07	0.0	0.04	28.13	3.52	0.0	13.29	12.28	14.35
Sez6l	0.0	0.0	0.1	0.0	3.61	6.17	19.1	0.42	100.96	101.75	107.49
Snrnp70	0.0	0.0	32.8	11.84	41.69	2.95	24.53	8.17	247.69	260.7	259.94
Sprr2a1	0.0	0.0	0.0	0.02	0.09	0.07	0.06	0.06	0.08	0.25	0.13
Sprr2a2	0.0	0.0	0.0	0.02	0.09	0.07	0.06	0.06	0.08	0.25	0.13
Stac2	0.0	0.0	0.0	0.0	0.0	19.81	61.54	141.38	75.0	77.02	85.87
Stard10	0.0	0.0	0.49	0.0	1.29	0.41	0.0	0.0	84.76	84.9	82.82
Syp	0.0	0.0	13.49	0.13	111.76	133.45	191.78	109.27	1149.48	1186.08	1128.2
Tcte3	0.0	0.0	0.0	0.0	0.0	0.0	1.49	0.0	0.81	0.55	1.26
Ttc38	0.77	0.0	1.59	0.56	1.11	0.2	1.73	1.27	7.84	7.69	7.21
Ube2u	0.0	0.0	1.02	0.31	0.95	0.7	0.0	0.0	0.36	0.28	0.08
Ugcg	0.0	0.0	0.2	0.0	0.11	29.96	47.47	374.35	61.2	57.48	58.66
Usp13	0.0	0.0	0.12	0.0	2.45	0.0	8.76	0.05	16.56	14.56	16.81
Vezf1	0.0	0.0	0.0	0.0	0.0	5.33	14.39	0.15	21.39	20.9	21.47
Zfp383	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	11.61	11.75	9.84
Zfp712	0.0	0.0	0.0	0.0	0.11	0.12	13.55	0.0	4.5	3.36	3.99
Zfp777	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	21.37	25.05	23.75
Zmat3	4.45	2.13	6.86	2.24	6.53	21.3	18.3	2.01	42.46	39.38	38.1
mt_AK131586	0.0	0.01	0.03	0.0	0.31	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK162500	7270.47	6229.01	18017.62	16972.65	31266.91	18115.72	9254.81	9688.78	16158.33	15507.36	15898.39
mt_AK166684	0.0	0.0	0.0	0.0	19.39	0.0	0.0	3.78	18796.57	17507.83	18655.33
mt_AK167037	3754.58	2188.6	11869.87	6129.44	12410.34	9933.94	4157.77	9572.18	4857.0	4144.16	4779.18
mt_GU332589	28558.05	21230.38	22738.66	26493.16	28909.02	31086.28	16090.8	18187.79	3308.99	2963.73	3155.88
