	Nr5a1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_174	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Rbp4_tdTnegative_cell_2	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTnegative_cell_21	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Rbp1	0.0	0.0	0.05	0.22	0.0	0.1	0.0	0.0	0.0	0.95	16.12	7.11	6.8	8.15
Rin1	91.82	14.76	34.54	32.79	1.7	5.44	12.15	1.64	52.6	0.58	1.04	40.41	39.93	40.75
Snord116	0.0	0.0	11.84	13.39	0.0	0.0	0.0	0.0	1.81	4.68	3.11	1.22	1.15	1.9
Snord116l1	0.0	0.0	11.84	13.39	0.0	0.0	0.0	0.0	1.81	4.68	3.11	1.22	1.15	1.9
Snord116l2	0.0	0.0	11.84	13.39	0.0	0.0	0.0	0.0	1.81	4.68	3.11	1.22	1.15	1.9
Spnb2	253.43	158.43	432.19	686.21	0.0	137.65	278.82	0.0	149.63	194.66	109.18	332.15	319.08	338.11
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tfrc	11.24	5.29	53.44	98.69	0.0	26.68	17.45	0.0	23.68	41.97	60.92	78.28	75.58	84.9
Tgfb3	0.0	0.22	0.62	72.18	0.0	0.0	0.0	0.0	0.0	0.04	0.0	9.16	9.81	9.65
Tgtp1	0.0	0.41	0.05	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.83	0.92	0.75
Tmem199	12.95	9.99	46.24	307.33	0.0	2.27	0.0	0.0	120.71	62.63	30.32	43.3	44.65	44.24
Tpk1	0.0	0.0	0.0	0.47	0.26	0.0	0.0	0.0	0.01	0.0	0.0	2.47	1.96	2.42
Trpt1	0.0	1.27	0.78	67.16	0.0	0.0	0.0	0.0	64.19	2.06	0.0	16.8	14.99	14.89
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Ttll5	0.39	0.0	1.58	3.74	0.0	0.11	0.0	0.0	2.11	2.46	0.04	18.16	17.32	17.6
Uap1	23.28	2.1	11.7	140.32	0.0	3.34	0.0	0.0	1.63	0.24	0.0	57.2	62.39	53.68
Urb1	0.0	0.0	2.65	34.65	67.36	116.39	3.31	0.0	0.66	0.0	5.13	6.88	7.37	7.51
Wdpcp	4.27	0.0	109.72	95.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	7.97	7.58	7.64
Zcwpw1	0.0	0.0	10.25	66.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.45	5.5
Zfp397	4.63	1.09	0.42	41.28	0.13	1.73	5.16	0.0	14.72	24.07	24.65	18.58	16.83	18.15
Zfp735	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
c17_SSU-rRNA_Hsa	32310.68	9708.9	15042.54	9528.57	7487.55	62935.79	39573.42	4908.37	28697.02	28103.63	31264.04	987.3	970.01	1090.51
