	Calb2_tdTpositive_cell_27	Gad2_tdTpositive_cell_40	Ntsr1_tdTnegative_cell_13	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Fam71f2	0.0	0.0	0.0	1.03	1.61	0.79
Fgf16	0.0	0.0	0.0	0.36	0.34	0.33
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gabra6	0.0	0.0	0.0	0.04	0.04	0.08
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Glt1d1	0.0	0.0	0.0	27.44	23.8	23.35
Gm10658	0.0	0.0	0.0	0.55	0.9	1.36
Gm12824	0.0	0.0	0.0	2.37	2.16	2.05
Gm1337	0.0	0.0	0.0	27.73	28.82	26.18
Gm1647	0.0	0.0	0.0	0.14	0.0	0.14
Gm16515	0.0	0.0	0.0	8.97	8.39	8.58
Gm3317	0.0	0.0	0.0	2.38	2.75	2.9
Gm3494	0.0	0.0	0.0	2.38	2.75	2.9
Gm6682	0.0	0.0	0.0	1.29	0.54	0.22
Gm9961	0.0	0.0	0.0	0.19	0.18	0.2
Gpx8	0.0	0.0	0.0	8.75	9.37	7.07
Hhat	0.0	0.0	0.0	0.52	0.79	0.72
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Ighmbp2	0.18	0.72	0.25	6.15	6.87	6.15
Kdr	0.0	0.0	0.0	7.35	6.2	7.42
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Ltbp1	0.0	0.0	0.3	2.77	2.86	2.99
Maob	0.0	0.0	0.0	23.69	23.69	21.87
Metap1d	0.0	7.0	0.0	21.98	21.76	22.78
Mir134	0.0	0.0	0.0	0.0	0.0	0.0
Mir669m-2	0.0	0.0	0.0	0.0	0.0	0.0
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Ncaph	0.0	0.0	0.0	1.39	1.45	1.55
Nfrkb	0.0	0.0	0.0	17.74	18.32	19.21
Ngfr	0.0	0.32	0.22	2.13	2.73	1.77
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nphp1	0.0	0.0	0.0	13.62	14.5	13.88
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Oasl2	0.0	0.0	0.0	3.57	2.46	2.79
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Pde8a	0.0	0.0	0.0	14.86	13.92	16.65
Pdyn	0.0	0.0	0.0	32.35	40.03	43.16
Pfn3	0.0	0.0	0.0	0.19	0.18	0.2
Pgap3	0.0	0.0	0.0	9.46	9.46	9.18
Phf10	0.0	2.62	0.0	42.15	39.09	41.24
Plekhg4	0.0	0.0	0.0	2.03	1.42	2.09
Ppm1g	0.0	0.0	0.0	70.74	76.25	69.34
Prr7	0.0	0.0	0.0	58.93	79.63	74.96
Psmg3	0.0	0.0	0.0	17.72	21.61	19.29
Ptrh1	0.0	0.0	0.0	6.58	7.54	5.56
Rab1b	0.0	0.0	0.0	158.54	173.27	167.43
Rab27a	0.3	0.35	0.45	5.9	4.91	4.52
Rad51l1	0.0	0.0	0.0	0.06	0.2	0.28
Rad54b	0.42	0.0	0.0	1.01	1.05	1.48
Radil	0.0	0.0	0.0	12.09	12.82	13.94
Rbpms2	0.0	0.0	0.0	2.33	2.34	2.09
Ripply1	0.0	0.0	0.0	0.0	0.0	0.16
Rs1	0.22	0.12	0.11	0.38	0.44	0.32
Rtbdn	0.0	0.0	0.0	3.23	2.89	2.89
Scn10a	0.0	0.0	0.0	0.19	0.21	0.16
Sdk1	0.0	0.0	0.0	3.72	3.28	3.47
Sgpp1	0.0	0.0	0.0	34.14	35.26	32.71
Slc25a42	22.79	13.67	3.76	27.98	30.22	30.29
Slc38a4	0.0	0.0	0.0	0.65	0.66	0.72
Smc1b	0.0	0.0	0.0	0.12	0.09	0.1
Snord22	0.0	0.0	0.0	2.19	1.03	5.97
Snx31	0.19	0.0	0.0	0.21	0.04	0.3
Speg	0.0	0.07	0.0	75.82	81.03	83.08
Stab1	0.0	0.0	0.0	6.36	7.19	7.05
Stil	0.0	0.0	0.0	0.49	0.4	0.44
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tfap4	0.0	0.0	0.0	2.63	2.34	2.37
Tmppe	2.16	4.23	1.55	7.94	7.99	8.39
Tpd52l1	0.0	0.0	0.0	33.34	36.0	31.77
Tsc1	0.33	1.74	0.0	33.56	31.77	34.93
Tsr1	0.0	0.84	0.0	34.46	31.44	33.88
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ttn	0.0	0.0	0.0	0.14	0.05	0.08
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Zbtb46	0.0	0.0	0.0	7.15	8.78	7.45
Zfp128	0.0	0.0	0.0	4.85	5.36	4.42
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
c14_LSU-rRNA_Hsa	35.89	5.66	13.22	59.9	65.82	52.84
c15_tRNA-Ala-GCY_	0.0	0.0	0.0	43.97	40.89	51.24
c18_5S	0.0	0.0	0.0	0.0	0.0	2.14
c19_LSU-rRNA_Hsa	0.0	0.0	0.0	2.46	0.0	7.19
c1_LSU-rRNA_Hsa	149.17	150.22	91.03	245.3	236.37	241.93
c3_LSU-rRNA_Hsa	60.66	78.09	113.12	550.87	486.16	502.88
mt_AK131586	0.0	0.03	0.0	25813.35	24091.17	24561.45
mt_AK139402	0.0	0.0	0.0	35.78	50.34	47.54
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
