	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_20	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_68	Chrna2_tdTpositive_cell_72	Cux2_tdTpositive_cell_47	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Nos1_tdTpositive_cell_38	Nos1_tdTpositive_cell_46	Nr5a1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_24	Rbp4_tdTpositive_cell_53	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_73	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_157	Rbp4_tdTpositive_cell_161	Rbp4_tdTpositive_cell_163	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Rorb_tdTpositive_cell_25	Rorb_tdTpositive_cell_26	Rorb_tdTpositive_cell_29	Rorb_tdTpositive_cell_30	Rorb_tdTpositive_cell_31	Scnn1a.Tg3_tdTpositive_cell_71	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_19	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_39	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
Dimt1	226.16	0.0	23.05	2.74	0.58	16.1	0.0	0.63	0.0	148.36	0.0	37.86	73.12	63.63	1.54	291.61	0.0	0.0	0.0	89.99	0.0	0.0	212.44	68.59	53.22	0.65	48.79	74.87	204.64	0.0	0.0	0.0	137.82	25.97	58.13	0.0	218.11	2.71	144.69	106.66	0.0	99.73	0.0	0.0	197.28	138.1	94.58	0.0	3.31	0.12	75.03	3.12
Dtna	0.0	0.0	0.0	25.65	3.35	2.19	0.0	0.0	0.0	0.0	211.35	62.57	36.07	0.0	0.0	168.31	29.89	223.15	0.07	33.28	0.0	0.0	144.81	125.24	0.0	44.48	29.31	78.11	221.64	0.0	0.0	25.4	103.1	62.1	0.0	66.8	0.0	72.03	6.23	0.59	0.16	7.62	0.08	0.0	0.0	101.81	113.87	9.49	123.57	51.42	68.31	11.23
Efcab2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.23	0.0	0.0	32.65	66.98	42.03	0.0	0.0	0.0	0.0	0.0	230.34	0.0	0.0	125.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.59	0.0	0.0
Efemp2	0.0	0.0	0.0	2.2	7.2	0.0	96.25	145.09	2.6	0.0	42.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.93	75.06	0.0	0.0	0.0	0.22	0.0	0.0	44.57	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eml5	0.0	104.26	0.03	1.15	0.02	6.0	15.28	32.83	34.15	4.69	0.0	37.61	28.81	24.77	32.53	14.58	4.61	7.35	0.0	5.12	0.0	0.0	43.15	0.2	29.45	30.77	18.64	26.58	28.05	35.93	0.04	19.51	0.05	42.94	0.0	0.0	0.54	28.58	14.38	45.55	53.57	7.38	0.0	0.0	6.88	1.42	31.74	0.0	4.6	0.85	4.33	15.13
Entpd6	0.0	65.64	82.38	9.97	0.0	0.0	0.0	133.2	26.84	0.0	0.0	73.14	93.89	60.59	0.0	0.0	0.0	83.58	0.0	0.0	0.0	0.0	216.69	0.55	0.14	0.11	80.84	142.33	56.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.07	3.45	162.93	0.0	97.22	0.0	0.0	52.42	0.0	0.0	0.0	0.1	0.0	6.34	0.0
Esyt2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.46	50.0	151.39	0.0	2.16	0.06	0.07	0.0	0.0	53.53	0.0	0.0	33.14	0.05	0.0	38.07	10.26	15.72	0.0	23.04	0.0	43.77	0.0	0.0	0.0	0.0	0.57	0.0	0.0	48.64	0.06	3.4	0.0	0.0	0.0	0.0	0.0	4.96	0.0	6.29	0.0	0.04	0.0	0.05	0.0
Exd2	0.19	259.04	0.0	13.47	0.0	53.23	66.34	44.07	216.21	55.42	326.99	180.85	0.0	18.53	0.0	0.0	11.93	95.31	0.17	0.33	0.0	973.47	99.35	8.3	0.21	0.0	21.61	67.95	31.15	107.51	1.57	167.84	81.78	84.79	0.0	0.26	3.12	0.24	0.27	132.64	94.75	25.02	0.0	232.26	0.0	85.46	0.09	103.02	9.95	49.01	0.09	0.0
Fam198b	0.7	0.56	1.82	0.55	0.66	0.7	0.54	1.05	1.46	2.01	1.08	0.37	0.62	0.93	0.55	4.88	0.76	0.24	1.54	2.11	0.55	1.59	1.15	0.83	0.94	0.22	0.62	0.77	30.89	0.25	0.83	0.77	0.47	1.59	0.0	0.52	1.66	0.56	0.99	0.52	0.57	1.62	0.0	0.32	0.74	1.68	0.22	0.1	5.22	0.56	0.36	0.78
Fbxo38	0.0	0.0	0.0	0.0	0.22	11.54	1.0	73.03	189.4	4.05	0.0	0.0	2.05	0.0	0.35	0.0	0.0	0.0	0.0	130.15	0.0	462.38	34.44	0.0	26.79	15.88	0.0	23.75	67.77	7.63	1.18	3.06	22.46	87.99	23.83	0.0	52.96	4.88	0.13	2.0	41.73	0.0	0.0	0.0	0.17	10.36	38.99	0.0	0.22	0.07	0.14	0.0
Fcrl5	3.67	0.18	0.0	0.0	0.08	0.0	0.15	2.62	0.0	1.69	1.03	0.0	0.97	0.22	0.0	1.41	0.0	0.0	0.0	0.0	0.12	0.0	5.6	0.0	0.15	0.0	0.0	1.72	0.61	0.0	0.0	0.96	1.47	0.0	0.0	0.0	1.19	0.45	0.12	0.56	1.51	4.9	0.0	0.0	0.0	0.0	0.0	0.0	0.89	0.24	0.13	0.0
Gak	0.0	5.91	1.15	1.17	51.31	1.46	7.32	0.47	20.64	29.76	16.27	19.45	27.62	40.18	124.48	18.19	0.0	15.19	0.0	0.48	0.0	0.0	10.89	0.0	0.0	0.43	0.29	4.32	68.56	0.0	0.0	0.91	4.93	0.93	0.0	0.1	79.74	41.29	65.27	0.44	1.34	0.66	0.0	6.39	0.0	0.0	0.13	0.0	6.8	0.73	0.75	0.64
Gm14015	0.17	1.27	0.69	1.17	0.17	0.47	0.0	1.1	0.18	0.86	0.71	0.27	0.27	0.0	0.0	0.46	0.06	0.27	0.26	0.14	0.19	0.16	1.26	0.86	0.71	0.46	0.21	1.18	0.5	0.0	0.96	1.22	0.06	0.56	0.19	0.1	0.31	0.26	0.41	1.38	0.34	0.69	0.16	0.0	0.59	0.16	0.5	0.82	0.22	0.0	0.0	0.2
Gm14430	0.45	17.46	34.96	8.59	0.0	0.06	13.01	1.66	0.0	49.31	0.94	0.0	1.11	0.0	5.31	11.42	0.0	0.04	0.0	0.0	0.01	0.04	9.82	0.11	4.08	44.85	1.8	9.59	13.35	0.17	0.01	0.06	0.0	0.21	0.03	0.0	0.69	1.3	7.34	9.46	13.09	0.07	0.0	0.0	0.0	0.09	2.35	0.0	13.98	0.21	0.0	0.0
Gm14434	0.45	17.46	34.96	8.59	0.0	0.06	13.01	1.66	0.0	49.31	0.94	0.0	1.11	0.0	5.31	11.42	0.0	0.04	0.0	0.0	0.01	0.04	9.82	0.11	4.08	44.85	1.8	9.59	13.35	0.17	0.01	0.06	0.0	0.21	0.03	0.0	0.69	1.3	7.34	9.46	13.09	0.07	0.0	0.0	0.0	0.09	2.35	0.0	13.98	0.21	0.0	0.0
Gm4724	0.45	17.46	34.96	8.59	0.0	0.06	13.01	1.66	0.0	49.31	0.94	0.0	1.11	0.0	5.31	11.42	0.0	0.04	0.0	0.0	0.01	0.04	9.82	0.11	4.08	44.85	1.8	9.59	13.35	0.17	0.01	0.06	0.0	0.21	0.03	0.0	0.69	1.3	7.34	9.46	13.09	0.07	0.0	0.0	0.0	0.09	2.35	0.0	13.98	0.21	0.0	0.0
Gm5431	0.0	4.46	3.69	0.93	0.0	0.0	0.25	18.43	4.34	5.81	1.3	1.29	3.57	3.7	0.14	0.56	0.17	0.81	0.0	0.0	0.09	5.59	10.77	0.23	15.85	0.28	0.78	12.56	2.2	0.0	0.0	0.73	19.62	1.93	0.0	0.0	7.79	18.26	3.21	18.08	0.28	5.75	0.0	10.58	2.76	5.58	0.55	0.1	0.0	0.33	0.0	21.46
Gm6300	58.01	119.69	56.72	17.29	18.06	25.64	67.75	75.35	104.36	186.5	168.44	77.71	131.36	73.37	26.82	128.41	30.84	55.01	30.1	127.38	48.8	37.49	105.19	72.37	138.87	100.26	72.12	111.46	133.47	18.55	163.05	182.01	94.86	139.86	19.92	52.79	269.47	159.86	162.5	138.14	119.84	219.71	64.17	35.68	101.61	67.5	23.84	40.7	28.24	62.14	36.22	25.82
Gm6602	20.95	27.06	9.54	2.02	10.43	3.15	21.63	33.83	30.18	56.88	38.08	24.43	20.73	23.8	10.6	18.62	8.54	9.43	4.28	23.34	1.47	6.01	25.29	9.09	26.65	12.99	11.36	18.93	35.27	4.28	32.9	31.81	12.95	39.52	2.43	3.27	33.64	19.47	34.62	23.8	15.86	54.42	0.0	9.54	20.72	14.62	13.55	13.48	12.24	7.32	8.93	4.65
Gria3	0.0	0.0	0.0	39.02	0.05	59.85	184.75	149.18	0.03	145.78	310.18	183.07	46.44	83.63	32.71	87.27	154.34	169.28	0.0	2.49	0.06	0.0	284.1	326.26	52.69	51.51	134.91	150.27	495.21	204.58	213.09	163.92	59.22	75.92	0.05	0.09	93.36	0.03	7.54	70.56	6.02	0.0	0.0	0.0	0.14	31.87	151.66	115.07	144.65	154.59	159.85	229.91
Grik2	0.0	0.0	1.49	0.0	0.86	0.0	0.0	0.88	60.95	4.36	18.78	22.78	4.24	14.89	0.81	33.67	21.65	12.29	0.0	0.23	0.0	0.0	105.14	1.29	0.07	133.14	0.14	77.34	143.23	0.0	0.0	72.43	0.0	4.71	0.0	0.0	33.25	37.49	2.09	26.12	1.41	0.21	0.0	0.0	0.0	0.0	0.06	0.06	2.89	0.0	1.64	9.64
Hif1a	0.13	0.0	0.0	0.88	0.05	0.15	0.0	5.1	0.0	0.0	0.0	0.59	0.0	40.28	0.0	0.0	13.02	6.73	4.06	0.11	0.0	0.0	86.89	0.0	55.78	67.42	0.41	37.57	5.7	0.0	0.0	241.39	3.99	10.87	0.0	0.0	86.82	0.85	32.0	24.51	3.44	226.06	0.0	0.26	25.65	19.82	58.22	0.0	0.05	0.06	0.0	1.05
Ift80	0.0	148.47	0.0	0.0	0.06	0.0	0.0	15.15	222.91	0.0	0.0	0.0	4.49	61.33	1.14	124.52	48.51	10.07	0.0	581.58	0.0	0.09	134.93	1.01	0.25	0.0	5.14	56.93	1.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	99.41	0.0	225.98	0.0	0.0	0.0	2.55	0.0	0.0	0.0	0.0	0.0	16.67
Intu	10.85	16.28	10.28	5.21	1.4	8.41	4.59	17.06	8.66	23.44	18.42	11.17	14.23	13.26	3.32	10.64	7.7	5.21	2.48	13.84	2.03	5.92	77.34	8.56	15.05	6.86	5.2	26.09	21.21	9.55	9.62	18.27	14.8	19.83	2.4	1.62	20.47	15.06	22.85	35.35	22.6	33.1	7.94	11.07	9.92	3.57	4.25	8.5	11.18	18.2	10.09	2.93
Itga4	5.18	10.88	3.69	1.31	6.63	1.96	9.05	9.3	12.31	16.81	15.36	8.1	8.92	12.76	8.07	8.58	2.0	4.05	3.01	7.94	2.64	6.97	9.23	4.21	19.46	4.45	5.8	25.05	15.84	3.33	15.93	10.8	7.6	12.83	3.22	5.76	16.5	9.41	23.52	38.98	22.66	52.13	0.59	2.11	13.35	6.44	2.1	2.72	1.53	4.54	5.24	2.27
Itgav	0.0	31.05	0.0	1.92	0.0	0.0	42.42	4.1	59.76	30.03	0.0	5.31	0.0	0.0	12.77	0.0	2.73	3.05	0.0	16.33	0.0	0.0	1.19	3.29	27.91	10.2	35.41	36.11	71.22	32.75	6.55	65.69	0.0	6.96	0.97	0.0	40.66	25.74	37.04	48.12	11.38	72.72	13.03	0.0	0.0	0.0	25.94	0.47	1.11	7.75	7.87	14.08
Kcnj6	0.0	0.0	6.57	58.61	0.0	0.0	0.0	1.72	30.66	0.0	186.17	71.6	5.11	9.3	0.0	0.0	0.0	0.3	0.0	19.54	0.0	0.0	40.39	0.0	0.0	0.0	0.09	36.69	9.12	0.0	0.0	0.0	0.0	12.75	0.0	0.0	3.27	20.5	20.5	64.82	15.58	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0
