	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Cux2_tdTpositive_cell_123	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_10	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Nr5a1_tdTpositive_cell_39	Nr5a1_tdTpositive_cell_49	Rbp4_tdTnegative_cell_8	Scnn1a.Tg3_tdTpositive_cell_107	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ncbp1	47.96	0.0	0.0	0.0	29.06	13.13	0.0	0.0	0.04	11.65	25.93	0.0	0.0	77.24	134.31	103.31	2.74	44.1	0.82	0.0	0.0	0.05	0.09	3.12	1.57	0.46	0.4	1.68	0.0	0.52	11.99	0.81	0.0	53.64	5.28	34.67	0.07	0.0	0.0	51.23	0.0	0.89	41.59	0.09	6.2	4.27	21.2	128.21	0.11	255.45	28.47	33.6	1.3	1.13	2.98	0.1	0.0	0.0	48.19	49.97	45.62
Neurl3	3.86	6.24	0.0	2.23	2.26	17.58	0.0	1.34	13.09	2.66	8.56	8.95	4.34	9.8	21.94	8.52	3.59	3.69	2.41	3.63	5.33	2.38	4.51	3.25	2.87	5.34	3.52	4.84	2.71	3.02	1.59	1.84	2.95	3.84	4.51	2.32	2.04	3.19	3.75	3.4	3.27	3.04	7.81	3.41	1.87	5.0	7.66	20.83	12.79	31.73	3.85	2.88	3.92	3.89	2.53	1.24	1.25	1.08	5.84	3.81	6.78
Neurod2	0.0	0.0	0.0	0.12	0.0	31.4	0.0	0.0	0.04	0.0	0.0	0.33	0.0	0.58	0.23	0.0	0.16	0.0	0.0	0.05	0.04	0.0	0.04	0.03	0.0	0.0	0.1	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	3.19	30.41	6.56	78.67	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	61.43	70.53	58.22
Npy	138375.8	173305.25	1.6	1.46	115124.65	0.0	0.0	0.62	43922.94	96206.73	82245.2	42632.64	6792.77	65548.38	14635.6	77711.12	125016.83	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	130527.91	173863.58	126989.03	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	151963.58	0.0	0.0	0.0	0.0	145032.54	180453.32	92572.95	128781.07	137945.15	137580.94	120620.2	1.5	214.21	196.57	200.76
Pik3r5	2.33	2.11	0.45	0.36	1.53	10.49	0.0	0.5	5.14	2.39	7.82	1.19	1.63	9.74	10.1	1.68	3.23	0.51	0.48	0.75	0.69	0.62	1.67	2.18	2.72	1.73	5.37	2.15	1.39	2.45	1.05	3.76	2.22	4.78	2.82	2.14	0.84	2.18	1.44	3.98	0.64	1.81	2.21	2.61	0.77	2.87	4.47	59.15	8.1	25.65	1.89	0.71	1.75	2.23	0.99	2.41	2.33	0.0	3.75	3.38	3.72
Ppp1r12b	8.79	16.62	1.13	2.47	6.98	47.21	2.67	0.65	24.23	17.28	19.9	15.28	13.41	26.71	52.19	15.95	16.0	10.2	18.57	15.04	6.17	4.59	17.62	5.21	6.57	5.68	13.33	5.34	5.81	9.88	4.58	5.0	8.25	10.5	8.29	9.46	6.9	6.83	15.32	29.09	10.58	7.39	9.82	8.95	7.44	12.13	29.12	45.74	35.73	68.81	8.79	6.55	34.55	9.71	6.07	10.1	8.9	0.0	52.73	42.74	52.78
Rps2	83.5	72.12	207.74	45.37	15.76	354.11	0.0	1.92	112.51	7.16	107.02	200.94	48.07	144.59	147.06	0.0	29.0	39.17	14.88	11.19	3.57	2.59	0.14	7.77	35.45	1.51	9.33	6.74	21.97	7.58	6.22	0.59	28.97	3.96	14.13	26.45	38.64	35.94	3.66	3.64	0.22	6.58	0.0	50.4	42.98	11.55	62.42	416.52	58.6	231.47	65.2	36.44	100.8	6.09	98.57	23.86	16.17	0.39	595.68	661.67	632.58
Scamp5	39.01	0.21	53.93	25.11	0.91	288.47	0.0	0.1	0.0	39.39	128.82	99.4	59.19	250.03	261.65	67.02	75.33	11.35	15.25	2.69	54.75	1.09	87.87	1.7	3.68	27.12	30.99	78.78	10.91	43.64	55.99	35.68	11.03	11.06	4.54	2.77	13.0	75.3	1.18	2.23	14.79	68.09	14.15	25.47	44.15	9.33	38.62	188.08	61.86	58.6	79.3	2.86	53.9	52.17	0.0	8.07	9.17	10.06	323.92	334.22	327.86
Serpina1a	4.44	2.14	0.23	0.37	2.39	24.58	0.4	0.97	7.62	3.8	9.62	3.61	4.4	11.99	11.34	2.21	3.13	0.54	0.8	1.42	2.49	1.25	1.09	2.25	3.17	2.0	4.56	1.82	1.87	1.35	3.12	3.54	2.67	4.82	2.84	1.79	1.3	2.61	1.74	3.08	1.6	1.74	3.71	4.29	1.33	3.19	6.5	53.83	6.31	31.51	1.88	1.42	1.52	2.69	0.62	1.29	1.1	0.31	0.0	0.0	0.06
Syt1	875.24	654.41	500.78	364.96	399.55	1018.61	0.0	84.26	580.56	1020.63	871.19	1547.35	325.92	1764.47	1808.62	979.99	630.22	759.38	590.98	647.51	651.97	532.79	496.46	463.82	652.79	621.04	607.09	563.51	636.11	417.57	551.28	327.05	423.53	544.46	488.54	601.27	328.78	633.07	272.39	403.12	486.59	542.74	685.36	221.98	487.06	206.98	917.91	1318.87	1156.92	1671.78	284.6	434.79	91.71	699.53	689.79	574.5	743.79	160.88	931.59	920.94	916.63
Tnfrsf11a	1.77	2.83	0.0	0.0	1.22	8.15	0.0	0.14	4.16	2.36	9.66	1.52	0.88	9.69	7.0	1.85	4.83	1.84	2.2	0.58	1.3	0.74	2.19	1.43	2.41	3.21	3.18	1.34	2.39	2.69	0.52	3.81	2.4	3.41	3.33	2.52	0.47	1.69	0.23	2.97	0.59	1.76	1.25	0.68	0.47	4.12	6.26	61.01	7.79	30.8	0.61	1.07	2.16	1.37	1.66	3.45	1.47	0.0	4.06	2.73	4.13
Trim12c	0.69	0.71	0.22	1.86	1.18	4.68	0.0	0.0	1.39	0.41	1.62	2.51	1.72	4.49	3.06	1.44	0.71	0.86	0.91	0.77	1.87	0.94	0.93	0.37	0.88	0.59	1.4	0.76	0.84	1.31	1.11	0.7	0.81	1.58	0.72	0.5	0.29	1.16	1.75	0.55	1.11	1.14	1.16	0.9	0.7	1.28	3.69	3.73	1.07	5.87	1.0	0.44	0.71	0.34	0.54	0.8	0.38	0.0	2.29	2.33	3.58
Vps13b	15.16	0.0	14.27	0.0	12.17	20.74	0.0	0.0	0.0	1.11	2.11	9.01	10.08	78.61	45.36	17.27	8.37	12.39	0.03	0.6	8.13	0.0	0.08	19.95	0.42	0.0	0.98	1.18	0.0	5.87	0.09	0.95	7.8	0.21	12.21	0.26	7.59	9.99	1.68	17.24	0.0	0.02	0.0	0.56	0.09	0.63	22.85	26.83	20.32	2.32	0.0	7.81	0.1	0.0	0.34	3.44	0.85	0.0	18.49	16.74	18.73
