	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_4	Htr3a_tdTpositive_cell_27	Ndnf_tdTpositive_cell_1	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_5	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_1	Nos1_tdTpositive_cell_54	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_29	Ntsr1_tdTnegative_cell_56	PvalbF.Gad2_tdTpositive_cell_12	PvalbF.Gad2_tdTpositive_cell_27	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_37	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_92	PvalbF.Gad2_tdTpositive_cell_94	Rbp4_tdTpositive_cell_17	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_14	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Eif1ax	0.0	0.0	0.0	987.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	224.81	0.0	0.0	99.26	192.95	0.0	0.0	108.09	217.35	33.0	0.0	0.0	0.0	528.39	1.19	80.1	403.04	61.17	110.2	56.45	94.26	36.98	53.44	116.7	97.55	0.95	211.82	2.15	95.69	0.0	1.45	0.61	1.99	174.33	113.6	137.07	128.4	134.16
Fbxl16	0.0	0.78	0.0	0.08	0.0	0.0	0.0	0.0	0.0	40.84	0.0	0.18	0.0	0.0	0.2	0.0	0.0	52.93	0.0	0.0	0.11	65.0	150.41	315.38	12.52	0.0	0.0	0.0	1.39	25.8	0.96	33.43	35.05	37.95	62.44	46.32	95.24	17.75	27.78	0.43	38.35	7.12	69.46	14.95	0.18	319.42	347.22	69.48	64.66	727.21	765.65	765.77
Gas6	0.0	0.0	0.0	258.49	0.0	0.15	0.0	33.39	0.0	0.15	0.0	0.0	0.0	0.0	322.34	0.0	0.0	1.11	8.53	0.0	0.0	3.81	0.0	147.77	94.9	0.0	0.0	0.0	0.41	2.23	20.33	0.18	36.22	0.0	0.68	43.58	0.86	0.44	0.0	0.33	87.4	6.96	87.18	0.0	0.0	0.1	49.09	0.0	9.63	94.08	100.64	91.71
Gm13306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.17	0.0	0.0	0.0	17.08	177.13	344.85	20.98	0.0	0.0	0.0	0.81	11.55	2.27	11.75	29.61	11.59	0.69	1.74	7.82	0.85	0.0	0.0	0.0	0.45	41.42	389.64	0.0	14.7	274.48	17.69	2.83	30.63	28.29	22.96
Gm14430	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.15	0.0	5.63	0.73	37.15	7.21	0.0	0.0	0.0	0.06	28.93	43.61	0.0	3.4	0.0	12.07	23.92	11.45	6.94	0.0	0.1	13.98	20.75	5.79	0.0	0.28	11.54	6.11	8.34	6.2	7.67	5.07	7.49
Gm14434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.15	0.0	5.63	0.73	37.15	7.21	0.0	0.0	0.0	0.06	28.93	43.61	0.0	3.4	0.0	12.07	23.92	11.45	6.94	0.0	0.1	13.98	20.75	5.79	0.0	0.28	11.54	6.11	8.34	6.2	7.67	5.07	7.49
Gm2506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.17	0.0	0.0	0.0	17.08	177.13	344.85	20.98	0.0	0.0	0.0	0.81	11.55	2.27	11.75	29.61	11.59	0.69	1.74	7.82	0.85	0.0	0.0	0.0	0.45	41.42	389.64	0.0	14.7	274.48	17.69	2.83	30.63	28.29	22.96
Gm4724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.15	0.0	5.63	0.73	37.15	7.21	0.0	0.0	0.0	0.06	28.93	43.61	0.0	3.4	0.0	12.07	23.92	11.45	6.94	0.0	0.1	13.98	20.75	5.79	0.0	0.28	11.54	6.11	8.34	6.2	7.67	5.07	7.49
Gpr89	0.0	0.0	0.0	978.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	642.57	0.0	0.0	6.6	0.0	0.0	56.39	282.67	23.18	12.46	0.0	0.0	0.0	0.0	0.0	116.32	128.74	0.27	51.51	150.05	41.04	16.7	0.0	0.65	0.15	0.21	74.97	0.36	36.1	0.0	0.0	11.64	0.0	124.58	8.12	33.97	32.58	33.38
Kcnab2	0.0	0.0	0.0	16.81	0.0	0.0	0.0	0.0	0.0	7.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.04	0.0	0.0	0.0	36.99	12.6	34.32	20.63	0.0	0.0	0.0	0.29	76.76	62.86	12.5	18.72	23.37	38.44	44.12	76.12	38.15	6.0	3.86	4.73	1.24	45.02	0.33	0.0	142.27	50.3	271.85	70.11	267.74	284.22	279.19
Klf7	33.33	0.0	0.0	173.91	0.0	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	330.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	1.48	9.78	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	33.31	0.0	0.0	0.21	12.16	73.83	0.96	18.66	16.09	20.34
Lap3	0.67	0.0	90.32	516.16	0.0	0.0	0.19	0.0	671.85	36.04	0.0	0.07	0.0	0.03	392.91	0.0	0.0	179.88	188.68	0.0	0.53	0.76	0.14	0.84	4.95	839.76	3.2	0.0	0.52	1.79	0.0	33.42	63.61	0.0	55.26	42.18	6.14	0.0	0.0	7.02	0.12	0.0	52.87	1.35	2.0	21.49	18.32	122.53	58.44	43.18	47.86	51.71
Lhfpl2	0.0	0.0	0.0	191.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	295.46	0.0	0.0	0.0	2.68	0.0	0.0	0.0	0.0	16.61	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.22	4.42	0.0	19.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.31	50.36	10.23	11.27	10.89
Mapk1	0.0	0.0	0.0	0.62	386.84	0.15	0.0	0.0	0.0	1.49	0.18	0.03	0.0	0.0	388.52	0.07	0.0	101.84	0.0	0.0	0.03	23.13	56.24	211.15	0.46	0.0	0.32	0.0	1.1	26.27	19.62	74.63	78.19	0.0	1.87	38.26	53.52	25.59	31.92	12.31	31.17	18.47	241.18	19.3	0.0	157.84	52.52	105.9	29.42	371.72	366.39	352.91
Mapk8	0.0	0.07	0.0	229.94	0.0	0.07	0.0	0.0	0.0	0.0	0.0	17.59	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.03	0.17	1.98	11.51	0.48	0.0	0.0	0.23	0.18	38.65	5.54	15.16	20.58	0.06	0.3	44.01	30.89	12.17	0.09	28.43	22.21	14.05	44.61	12.7	0.0	117.16	5.46	2.15	44.06	56.23	53.38	56.31
Prr5l	0.83	2.82	0.44	150.95	1.51	3.05	0.35	0.0	0.0	0.57	3.48	0.93	1.19	12.09	136.51	0.1	0.0	1.28	1.26	2.5	0.57	2.4	0.51	2.8	0.31	1.81	2.01	173.74	1.76	0.58	1.72	0.0	1.5	1.83	1.01	2.36	0.79	1.45	0.44	1.14	0.94	0.95	1.26	11.52	1.33	4.92	3.95	43.87	44.4	8.45	8.22	8.82
Rap1gds1	0.0	0.0	0.0	4.2	0.0	0.0	0.0	0.0	0.0	123.24	0.0	0.05	0.0	0.0	12.42	0.0	0.0	20.23	0.13	0.11	0.09	1.96	65.41	168.84	5.84	0.0	0.0	0.38	1.19	102.61	35.59	36.16	78.93	22.82	141.7	77.57	0.89	4.83	60.03	0.05	34.75	89.33	210.75	15.34	82.35	164.74	23.5	103.47	90.95	284.57	290.45	264.54
Rbfox1	0.0	0.0	0.0	3.71	0.0	0.0	0.0	0.14	0.0	0.0	0.23	0.0	0.0	0.11	0.0	0.0	0.0	11.07	0.11	0.3	0.05	45.37	102.3	202.36	54.3	0.0	0.0	0.16	1.28	164.53	106.27	64.17	62.84	39.11	138.62	74.47	119.62	24.76	183.17	7.89	45.7	22.19	58.43	7.7	0.16	9.18	93.62	131.45	109.38	198.25	185.0	193.44
Rfc2	0.0	0.28	0.0	745.74	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.31	577.25	5.12	0.0	15.56	311.01	0.0	582.56	30.47	4.59	4.43	15.25	0.0	0.0	544.96	0.0	45.33	0.0	42.79	23.91	14.66	21.38	52.8	83.65	1.68	2.24	0.56	39.07	79.79	102.38	0.0	0.0	62.48	0.0	63.34	0.18	41.54	43.09	41.18
Sepx1	0.0	0.0	0.0	161.23	0.0	0.0	0.0	126.21	0.0	0.0	0.0	0.0	0.0	0.0	245.49	0.0	0.0	0.0	85.02	0.0	0.0	0.0	15.8	31.25	5.58	0.0	0.0	0.0	3.73	25.94	20.93	5.62	24.46	37.08	2.51	1.45	0.0	5.91	0.0	29.53	41.82	0.25	9.87	0.0	0.0	130.84	27.08	9.58	26.43	26.14	27.44	30.65
Sh2d3c	0.39	0.0	0.0	192.69	0.13	0.0	40.66	0.0	0.0	0.0	0.0	0.0	0.17	0.0	315.91	0.0	0.0	0.0	4.67	14.44	0.0	0.0	0.12	132.55	3.69	0.0	0.0	0.0	0.0	25.41	0.0	0.0	0.0	4.72	0.0	2.35	28.3	0.0	0.0	0.0	0.91	0.0	14.89	0.0	0.0	0.0	11.47	85.81	4.37	19.37	19.95	20.61
Slc7a1	0.05	0.0	0.0	528.3	1.18	0.4	27.25	0.06	0.0	0.0	0.07	0.02	103.12	28.68	129.42	0.0	0.0	0.16	3.9	1.65	0.06	0.27	0.0	46.21	0.03	0.0	0.05	0.0	0.0	8.59	13.81	0.46	0.07	0.0	3.22	10.51	2.03	19.86	0.07	0.05	6.48	10.95	0.05	5.95	0.0	0.13	25.33	0.02	0.2	21.29	20.23	23.14
Spire1	0.0	0.0	0.0	2.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.58	0.39	0.08	0.0	1.34	1.04	407.42	5.76	0.0	0.52	0.0	0.66	29.61	92.39	24.95	44.35	3.68	37.76	52.8	0.09	2.65	10.76	63.57	35.15	1.36	42.47	0.0	0.13	69.62	54.8	1.54	43.42	93.54	91.17	91.85
Tlk1	0.0	0.0	0.0	156.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.86	0.0	0.0	247.15	0.0	0.0	2.27	0.46	0.0	0.0	20.44	71.04	0.0	7.09	0.0	0.41	0.0	0.0	0.14	9.27	11.51	30.38	0.26	0.79	42.07	0.0	0.11	15.96	0.17	18.1	0.1	26.57	8.49	0.0	137.7	49.18	0.0	45.02	73.53	68.48	65.5
Tmem188	0.0	0.0	0.0	965.07	0.0	0.22	1.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	421.49	0.0	0.0	84.85	0.0	28.61	0.09	0.0	53.02	0.0	0.0	0.0	0.0	0.0	0.58	31.57	197.08	46.27	71.43	0.0	0.39	38.27	0.0	0.0	0.0	28.65	18.01	0.0	0.19	4.58	0.0	246.71	0.0	0.0	0.0	35.3	35.33	34.43
Trim8	0.0	0.0	0.39	14.19	1.42	3.18	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	58.54	0.0	0.0	0.35	15.7	8.53	1.73	2.57	4.4	21.8	11.69	0.0	0.0	7.1	37.48	11.35	23.96	4.84	2.3	18.01	16.24	17.29	12.79	1.33	30.12	0.05	9.49	0.52	23.32	0.37	0.0	76.39	77.69	24.88	12.52	48.16	53.92	51.73
Ybx1	0.0	0.0	13.12	297.77	16.9	0.28	4.47	64.2	0.0	52.95	0.23	57.03	105.88	75.75	307.79	1.72	31.07	57.12	0.0	0.21	0.38	25.76	19.1	249.76	20.23	4.08	0.44	31.75	2.97	75.81	57.24	16.77	21.76	2.37	35.92	17.72	8.16	36.94	63.57	89.41	44.91	9.74	100.71	58.67	21.03	80.69	103.6	26.0	25.79	108.32	112.35	110.68
Zfp422	1.51	2.25	2.24	568.53	0.69	2.61	11.05	432.46	0.0	1.04	1.53	3.23	1.8	356.85	768.14	0.58	0.0	0.16	8.03	0.86	1.18	112.77	2.48	2.14	1.25	0.19	5.82	29.8	8.06	41.08	4.85	6.01	30.07	0.0	0.66	1.95	0.71	2.16	17.08	16.65	1.94	0.49	16.54	1.4	8.3	159.55	0.67	52.24	3.11	22.59	22.57	23.03
l7Rn6	0.0	0.82	0.0	849.51	402.88	0.0	0.0	0.0	1235.61	0.0	0.0	588.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.7	0.0	57.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	91.56	48.15	129.22	132.42	0.0	158.18	29.64	1.8	178.74	103.08	1.86	0.42	40.35	0.0	0.0	0.0	1.75	0.15	32.54	54.94	50.67	50.54
mt_GU332589	15332.83	9003.49	8558.76	11899.79	28558.05	21230.38	14764.74	7183.93	5603.49	13911.05	6747.97	10543.38	17715.55	12861.37	10623.15	10490.52	12014.73	22738.66	9723.85	7327.56	26493.16	13741.48	13267.12	5485.71	28909.02	4153.49	5907.67	7813.81	12431.83	3945.52	8314.26	31086.28	16090.8	21460.06	22390.28	20242.91	10556.01	18187.79	19369.81	14379.47	14964.47	12118.79	8379.29	19212.31	12718.04	4488.08	7171.64	7119.49	6781.78	3308.99	2963.73	3155.88
