	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_9	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_56	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_88	Rbp4_tdTpositive_cell_51	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_7
Csnk2a1	0.0	0.12	0.0	0.0	0.54	23.78	0.0	6.29	0.0	56.62	4.44	10.69	18.12	0.0	0.0	19.57	14.89	25.98	33.17	10.4	24.36	2.06	55.16	48.91	22.38	19.85	19.84	13.05	21.5	9.52	7.2	48.38	44.72	23.66	24.1	41.45	10.53	46.3	7.18	9.49	10.79	15.82	38.67	2.53	29.61	14.76	14.83	9.1	33.74	11.85	12.35	26.4	29.87	29.08	44.14	20.32	39.31	13.66	0.86	4.18	5.59	32.57	0.0	0.0	29.63
Dmxl2	0.0	30.56	0.0	0.0	0.0	0.0	0.0	14.58	0.0	0.0	13.46	0.12	19.56	0.0	0.0	29.4	23.46	6.05	34.75	11.55	10.72	23.85	24.75	12.37	11.06	17.47	3.62	28.11	30.92	0.56	16.63	51.6	5.95	12.0	14.43	15.9	17.36	43.11	0.95	5.93	12.66	10.64	20.42	23.14	8.36	45.16	10.22	10.19	29.32	1.02	34.02	22.31	38.16	11.29	17.07	34.26	25.02	30.38	17.16	7.31	0.23	0.38	0.0	0.0	28.95
Dnajc27	0.0	36.04	0.0	0.0	0.0	0.0	0.0	28.8	0.0	0.0	0.17	0.69	68.35	0.0	0.13	98.09	52.17	26.5	3.86	20.12	18.63	16.14	30.94	16.17	35.38	44.94	29.95	37.4	20.65	21.5	33.43	13.24	63.26	18.38	107.63	111.07	44.12	83.83	97.75	60.57	21.05	93.65	40.37	41.9	144.68	10.2	10.12	32.7	46.81	71.0	29.26	72.49	23.56	36.77	50.28	21.51	14.4	46.94	0.57	22.5	0.0	0.08	0.0	0.0	38.5
Dnajc6	0.0	12.2	0.0	0.0	0.0	0.0	0.0	89.07	0.05	0.0	62.87	0.13	49.08	0.0	0.12	72.47	84.57	48.8	51.87	51.48	98.57	44.38	44.09	53.6	31.7	53.05	21.92	48.9	28.15	32.3	40.3	44.01	23.03	70.49	106.54	62.44	53.83	91.72	5.68	46.97	54.9	25.59	34.17	13.07	52.43	61.17	26.02	16.9	23.56	74.1	30.19	60.46	36.68	51.8	41.14	14.68	68.57	76.76	2.45	29.94	0.16	1.0	0.0	0.0	59.89
Eif4ebp3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	2.05	0.0	0.0	0.0	17.51	9.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.86	0.0	6.35	1.19	2.13	0.0	3.74	0.0	0.0	0.0	33.99	0.0	0.0	3.85	0.0	8.67	0.0	0.0	0.0	62.85	0.0	17.46	0.0	24.13	17.47	0.0	26.06	0.0	3.64	0.0	0.0	0.0	0.0	0.0	0.2	0.17	0.0	0.0	0.0	0.0	23.73
Erlec1	0.0	93.27	0.0	0.0	0.0	0.0	0.0	60.57	0.08	514.53	9.53	2.52	15.38	0.55	48.11	84.76	38.22	140.49	34.37	39.78	17.96	29.43	9.22	53.3	0.67	82.67	58.39	45.83	45.3	0.16	101.08	46.52	0.0	57.35	150.17	9.43	17.34	21.29	8.16	6.19	14.23	4.53	0.81	18.6	0.11	26.87	37.51	116.23	6.91	28.54	88.02	44.8	132.55	52.01	44.89	29.32	32.12	41.25	21.29	41.41	31.9	459.66	0.0	0.0	8.84
Faim2	0.0	77.31	0.0	0.0	0.0	0.0	0.0	7.71	0.0	0.18	62.89	3.05	9.37	0.0	0.53	44.05	34.75	60.09	16.29	70.77	74.89	85.86	30.71	58.29	13.28	60.01	70.19	32.61	30.92	44.17	38.68	33.64	74.54	18.93	119.51	16.7	80.91	46.62	50.19	29.64	63.21	61.26	3.61	75.87	37.12	31.48	28.47	39.76	41.06	41.69	3.83	82.06	80.07	31.34	102.96	2.73	67.02	23.59	2.52	36.66	0.09	0.77	0.58	0.16	38.35
Fgf9	0.9	0.36	1.2	0.0	0.11	0.95	0.58	80.45	1.92	0.24	74.12	1.97	98.23	0.46	2.13	82.88	26.73	33.44	31.18	50.67	74.08	112.26	63.21	116.6	77.43	84.64	92.64	96.03	18.8	25.79	87.86	98.43	80.84	59.84	45.03	86.98	49.6	63.82	2.71	80.96	192.67	40.85	135.02	135.91	134.87	148.24	76.05	102.62	83.16	99.15	54.34	56.78	153.02	109.14	96.12	103.4	21.88	94.06	26.72	29.65	1.73	2.83	0.0	0.0	116.14
G3bp1	0.0	1.0	0.0	0.0	0.0	4.95	71.28	12.28	0.0	63.03	0.0	2.08	10.63	0.72	0.0	8.83	69.72	24.86	0.89	11.06	21.53	8.99	8.05	34.34	32.38	21.43	5.29	7.94	28.62	0.0	29.61	4.11	52.68	24.7	81.43	10.73	19.79	0.23	0.0	28.86	7.19	9.63	9.59	25.55	19.96	26.45	10.55	29.2	45.03	2.89	15.48	15.24	19.69	31.39	43.03	16.6	5.4	25.48	7.97	77.46	0.15	1.1	21.64	12.47	0.86
Gm13306	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.4	0.77	1.67	0.0	0.68	0.0	0.92	0.0	6.15	2.68	8.29	0.77	0.0	0.0	0.0	1.08	0.0	4.51	7.64	1.16	0.0	0.0	0.0	0.0	0.0	3.31	0.0	0.76	0.0	0.31	0.0	0.0	2.62	0.0	1.92	0.0	4.77	9.42	8.43	2.09	8.14	1.56	0.0	2.04	0.26	0.3	2.37	2.94	0.85	9.34	0.46	0.0	0.0	0.0	0.79
Gm14430	0.0	0.0	0.0	0.0	0.07	35.49	0.0	17.66	0.0	0.0	14.66	3.6	3.32	0.0	0.0	31.03	36.04	0.0	14.72	31.75	1.87	26.14	10.3	14.72	6.05	13.5	14.04	6.81	9.4	5.35	16.5	13.46	12.83	12.31	12.44	3.07	2.82	11.03	10.87	5.42	18.55	13.57	4.08	19.12	11.25	0.0	0.32	9.13	19.5	14.36	0.54	14.82	8.34	26.82	8.31	7.54	13.81	40.89	6.94	2.38	0.24	0.0	0.0	0.0	12.2
Gm14431	0.26	0.0	0.0	0.0	0.78	0.1	0.0	1.03	3.78	0.0	0.25	1.57	0.76	0.58	0.24	1.71	0.62	0.74	0.0	7.8	6.64	0.8	0.18	3.35	3.96	2.26	5.03	4.95	2.91	0.0	2.76	5.1	0.76	2.49	0.37	1.79	2.4	1.31	19.53	1.45	1.04	2.52	4.65	0.2	0.0	5.83	1.51	0.0	1.48	1.3	1.58	1.56	0.36	2.08	0.0	4.7	1.93	0.47	0.37	1.92	0.0	0.0	0.0	0.0	0.93
Gm14434	0.0	0.0	0.0	0.0	0.07	35.49	0.0	17.66	0.0	0.0	14.66	3.6	3.32	0.0	0.0	31.03	36.04	0.0	14.72	31.75	1.87	26.14	10.3	14.72	6.05	13.5	14.04	6.81	9.4	5.35	16.5	13.46	12.83	12.31	12.44	3.07	2.82	11.03	10.87	5.42	18.55	13.57	4.08	19.12	11.25	0.0	0.32	9.13	19.5	14.36	0.54	14.82	8.34	26.82	8.31	7.54	13.81	40.89	6.94	2.38	0.24	0.0	0.0	0.0	12.2
Gm2506	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.4	0.77	1.67	0.0	0.68	0.0	0.92	0.0	6.15	2.68	8.29	0.77	0.0	0.0	0.0	1.08	0.0	4.51	7.64	1.16	0.0	0.0	0.0	0.0	0.0	3.31	0.0	0.76	0.0	0.31	0.0	0.0	2.62	0.0	1.92	0.0	4.77	9.42	8.43	2.09	8.14	1.56	0.0	2.04	0.26	0.3	2.37	2.94	0.85	9.34	0.46	0.0	0.0	0.0	0.79
Gm4724	0.0	0.0	0.0	0.0	0.07	35.49	0.0	17.66	0.0	0.0	14.66	3.6	3.32	0.0	0.0	31.03	36.04	0.0	14.72	31.75	1.87	26.14	10.3	14.72	6.05	13.5	14.04	6.81	9.4	5.35	16.5	13.46	12.83	12.31	12.44	3.07	2.82	11.03	10.87	5.42	18.55	13.57	4.08	19.12	11.25	0.0	0.32	9.13	19.5	14.36	0.54	14.82	8.34	26.82	8.31	7.54	13.81	40.89	6.94	2.38	0.24	0.0	0.0	0.0	12.2
Gm8898	0.26	0.0	0.0	0.0	0.78	0.1	0.0	1.03	3.78	0.0	0.25	1.57	0.76	0.58	0.24	1.71	0.62	0.74	0.0	7.8	6.64	0.8	0.18	3.35	3.96	2.26	5.03	4.95	2.91	0.0	2.76	5.1	0.76	2.49	0.37	1.79	2.4	1.31	19.53	1.45	1.04	2.52	4.65	0.2	0.0	5.83	1.51	0.0	1.48	1.3	1.58	1.56	0.36	2.08	0.0	4.7	1.93	0.47	0.37	1.92	0.0	0.0	0.0	0.0	0.93
Gnai1	12.23	61.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.36	0.0	93.1	0.0	0.93	0.0	0.0	0.0	5.37	43.05	40.4	33.51	97.6	41.05	17.76	14.23	50.64	25.79	15.82	0.0	0.93	43.18	28.64	46.77	58.18	57.82	11.64	60.75	0.53	71.01	32.59	63.67	0.0	36.79	82.79	56.98	26.38	13.72	18.65	12.54	0.0	167.74	0.0	17.72	12.21	59.68	98.03	0.12	1.14	0.06	0.26	0.12	0.0	0.0	5.51
Hook1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	19.35	0.0	0.0	0.14	11.24	0.0	0.0	0.0	0.0	2.71	12.12	0.0	0.3	0.0	0.0	0.0	14.04	0.74	7.12	6.58	0.91	3.76	0.0	31.3	10.21	0.0	0.0	0.0	3.29	8.7	0.0	0.48	26.46	0.26	0.0	18.15	36.11	6.15	0.0	1.26	0.0	8.67	0.0	10.2	0.0	15.15	0.0	0.0	24.96	0.0	5.44	0.0	0.0	10.42
Ints8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.86	0.0	0.0	42.3	4.93	0.0	0.0	0.17	6.36	3.45	0.0	0.0	0.0	0.0	33.96	11.5	24.88	0.23	16.24	0.0	0.0	24.1	35.25	0.0	0.0	25.61	5.42	73.3	0.0	0.0	0.0	0.0	0.0	12.23	6.5	9.12	1.71	8.25	4.07	8.2	11.66	34.42	0.0	0.0	3.39	0.38	6.77	13.61	0.08	0.0	0.45	21.9	1.48	0.0	0.32	0.0	0.0	10.17
Kat2a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.94	1.34	0.0	0.0	0.0	0.42	0.0	13.87	8.97	23.79	0.0	0.72	12.92	0.0	0.0	0.0	1.51	45.88	0.0	1.01	0.0	0.63	0.0	6.01	6.96	0.0	0.0	0.33	0.0	37.77	1.17	0.0	0.0	3.75	45.14	27.6	0.0	0.0	0.0	27.15	0.0	0.0	0.0	0.0	0.0	0.0	31.83
Kcnc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.56	0.02	7.36	0.0	0.0	10.1	6.18	1.96	7.5	3.21	15.58	5.98	12.39	12.47	9.13	2.87	7.84	9.91	0.16	1.74	11.58	8.77	0.0	6.09	7.4	6.75	1.34	15.04	1.07	4.84	5.05	18.42	9.2	0.11	19.58	5.08	7.27	0.89	1.88	1.87	19.57	13.46	2.21	6.02	0.07	8.31	1.07	0.46	0.18	8.74	0.0	0.0	0.0	0.0	0.45
Kcnq2	0.0	0.51	0.0	0.0	0.0	0.0	0.0	38.83	0.0	0.19	5.46	4.58	36.84	0.0	0.49	21.2	34.28	10.25	43.61	22.59	61.43	45.91	37.94	8.1	67.2	51.87	27.5	30.4	16.63	5.88	15.48	14.8	26.73	2.36	21.04	0.15	20.97	43.64	30.91	33.63	27.74	63.5	28.84	6.17	16.05	19.93	0.72	1.36	32.73	29.07	46.76	22.42	66.22	52.13	0.15	29.5	0.93	79.3	20.6	15.99	0.0	1.04	0.0	0.0	20.03
Kctd17	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	24.02	23.71	106.14	0.0	2.7	55.86	146.46	2.41	26.53	106.19	169.03	5.63	142.76	77.57	187.75	23.12	4.25	59.35	106.32	52.06	8.49	28.08	142.39	7.92	132.56	9.61	89.97	53.29	82.61	10.32	23.68	67.26	3.43	151.49	52.46	46.8	15.81	40.15	24.68	5.59	10.79	127.8	8.46	26.25	75.28	45.26	22.76	86.79	0.29	0.0	0.0	0.0	0.0	0.0	19.83
Kif5a	0.0	35.39	0.0	0.0	0.0	0.0	0.0	114.7	0.0	0.0	79.43	45.93	75.86	0.0	0.31	79.53	75.83	38.98	95.69	74.35	86.72	99.87	101.65	97.06	52.82	142.82	62.67	81.45	47.39	37.88	65.02	87.32	79.05	68.28	72.5	97.46	72.84	149.08	89.34	81.78	70.34	83.79	152.8	81.25	103.14	69.74	132.44	60.43	108.96	108.36	203.28	88.57	67.01	62.77	153.15	153.04	88.2	94.41	7.48	74.58	0.26	0.29	0.0	0.0	82.79
Ldhb	7486.96	8970.97	4317.46	2593.67	3517.81	5404.32	5274.92	9309.63	5876.73	5600.23	7723.1	6455.58	8752.31	4568.2	6399.01	8798.32	8750.45	10118.08	10894.4	8525.9	8892.3	8217.62	8583.06	8517.89	9220.91	9343.6	8808.99	6807.49	7074.56	8223.21	8574.79	10165.1	9602.81	7785.08	6241.53	11261.44	8285.69	10004.69	8757.21	7112.99	9074.03	13571.31	12546.17	7758.33	9106.97	8513.41	9755.78	8904.1	8390.99	7659.83	11010.48	7724.63	10182.84	7070.46	7124.4	6728.17	9082.37	7928.56	5354.38	11746.38	5217.81	5873.38	0.0	5577.5	6577.4
Mapk8ip2	0.0	3.72	0.0	0.0	0.0	0.0	0.0	5.53	0.0	0.0	33.24	19.0	4.36	0.0	0.0	2.83	1.58	4.41	17.2	19.86	12.56	30.0	14.03	0.71	15.77	1.37	14.11	21.54	0.45	24.45	21.0	22.64	17.67	19.98	33.8	6.18	46.72	16.05	33.35	7.49	16.49	17.81	6.55	24.1	0.0	0.0	6.24	1.52	12.54	0.0	26.24	45.09	7.88	25.87	6.07	70.7	29.32	8.46	3.52	3.34	0.0	0.0	0.0	0.0	5.07
Mapk8ip3	0.0	0.04	0.0	0.0	0.0	0.1	0.0	0.46	0.0	143.56	10.06	9.23	41.34	179.38	0.11	52.34	43.24	0.0	12.11	40.27	59.11	26.93	25.72	40.36	11.77	46.23	49.16	17.24	27.34	6.6	22.43	29.25	47.95	12.13	29.26	4.2	19.2	21.84	34.12	24.44	29.52	50.47	8.13	30.0	92.05	77.62	19.3	18.16	31.77	12.22	4.2	3.55	47.33	45.34	20.35	26.47	17.1	54.02	5.79	16.65	24.59	39.46	0.0	0.0	34.23
Mettl10	531.96	0.0	0.0	0.0	0.0	0.0	0.45	150.95	0.0	0.0	46.7	110.81	65.65	99.99	0.0	64.87	72.69	224.27	19.73	69.47	0.0	35.05	83.02	13.44	66.81	0.52	52.56	5.76	90.47	76.37	98.69	0.0	172.19	18.8	372.33	112.61	102.03	178.66	1.97	0.0	88.59	89.38	143.91	0.0	45.67	182.45	90.73	92.38	112.78	165.1	84.38	12.57	108.9	120.51	131.33	131.09	122.16	103.18	0.44	82.1	0.8	0.71	0.0	0.0	218.39
Mff	0.0	0.13	0.0	0.0	0.0	0.0	0.0	281.1	0.15	664.41	34.32	15.81	25.9	0.0	0.65	3.21	123.37	8.63	74.25	75.02	85.52	19.48	109.87	64.39	42.8	62.9	55.45	50.87	35.6	20.05	4.53	46.41	87.68	18.8	204.67	2.44	54.12	69.66	23.14	43.52	62.75	91.83	57.3	29.89	98.38	13.01	64.86	193.82	102.65	0.0	37.15	53.17	168.6	88.03	41.16	86.91	110.88	78.74	13.56	36.43	0.0	0.2	0.0	0.0	95.05
Mtap1a	0.12	0.04	0.0	0.15	0.12	0.09	0.24	39.5	0.07	0.12	23.88	16.36	18.47	0.25	0.46	35.91	35.57	27.87	80.19	32.83	27.1	13.87	25.01	59.45	47.91	51.61	51.52	54.65	29.59	21.79	38.02	39.82	25.02	39.15	17.44	48.68	43.89	62.03	2.85	52.18	62.74	58.63	26.33	48.32	29.3	25.66	41.34	32.65	36.44	21.3	42.28	51.77	53.55	27.07	34.3	10.83	34.51	51.41	3.16	59.79	0.0	1.73	0.0	0.0	33.49
Myo5a	0.0	4.61	0.0	0.0	0.0	0.0	0.0	42.77	0.05	0.0	56.03	23.26	53.44	0.0	0.44	45.27	92.3	11.11	69.14	40.3	61.52	44.13	71.73	111.23	46.76	73.9	75.09	39.28	32.14	47.35	33.66	65.61	68.38	45.14	56.43	41.79	23.02	55.97	46.56	56.34	69.17	55.96	9.71	37.31	57.57	42.95	28.13	69.49	47.53	28.57	36.2	71.79	73.22	66.84	102.2	53.64	48.43	38.28	45.28	42.52	0.11	0.5	0.0	0.0	132.28
Nap1l4	12.49	207.84	0.0	0.0	0.0	0.0	0.0	13.39	4.03	0.0	66.36	23.81	29.15	0.0	0.79	32.33	95.57	61.83	61.36	58.55	112.49	97.54	36.94	118.84	80.84	55.37	115.74	88.79	41.8	130.58	68.34	66.26	103.35	32.03	75.64	101.69	22.9	3.81	73.22	84.98	98.45	27.94	231.79	28.51	164.1	102.28	196.34	104.15	130.31	128.04	37.01	187.61	131.76	57.2	104.87	50.92	222.49	8.94	4.2	30.36	0.55	0.65	0.0	0.0	132.07
