	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_16	Ndnf_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_23	Nr5a1_tdTpositive_cell_25	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_32	Nr5a1_tdTpositive_cell_33	Rorb_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_6	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_34	Scnn1a.Tg3_tdTpositive_cell_37	Scnn1a.Tg3_tdTpositive_cell_42	Scnn1a.Tg3_tdTpositive_cell_89	Slc17a6_tdTpositive_cell_15	Slc17a6_tdTpositive_cell_18	Vip_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gm14431	0.13	0.15	0.9	0.0	11.07	0.0	0.0	3.0	2.68	0.0	0.08	0.0	0.4	2.56	4.74	2.76	1.39	0.23	0.1	0.4	27.06	0.15	0.03	0.0	26.81	0.0	10.37	0.11	0.0	8.87	7.17	8.34
Gm8898	0.13	0.15	0.9	0.0	11.07	0.0	0.0	3.0	2.68	0.0	0.08	0.0	0.4	2.56	4.74	2.76	1.39	0.23	0.1	0.4	27.06	0.15	0.03	0.0	26.81	0.0	10.37	0.11	0.0	8.87	7.17	8.34
Haus1	0.1	160.94	53.7	0.0	0.0	0.0	0.19	0.45	115.09	43.72	0.0	0.0	0.0	134.32	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	157.67	0.0	17.63	0.0	0.0	13.37	13.28	12.37
Jmjd4	1.64	5.34	2.19	1.55	3.96	0.11	0.96	1.85	0.88	0.64	0.44	1.33	0.92	1.14	0.7	0.4	0.22	1.24	1.51	1.08	2.91	1.15	1.1	1.41	9.16	1.25	1.57	0.81	0.0	24.5	22.54	23.79
Lrp8	5.93	116.78	32.91	0.48	28.66	0.05	0.68	0.75	1.0	0.37	0.43	30.7	86.3	0.21	12.0	1.67	0.07	1.33	4.03	11.48	0.26	30.2	0.43	33.79	116.59	0.48	8.73	0.42	0.05	30.76	28.84	34.22
Map3k12	0.0	81.52	32.61	37.93	22.6	0.0	0.0	0.18	3.94	0.0	0.04	0.0	36.56	0.1	18.44	2.9	18.84	5.33	2.72	0.0	14.53	0.07	0.0	0.0	52.39	43.17	0.42	0.0	0.0	58.63	61.47	58.98
Mef2a	0.07	85.55	0.71	7.76	8.21	0.0	0.13	0.0	15.91	65.12	115.78	42.34	0.34	15.96	2.88	16.55	0.0	0.07	1.4	2.46	0.0	0.35	0.0	0.0	227.42	0.0	4.18	0.0	0.0	74.48	66.44	78.3
Myd88	0.0	115.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	143.75	0.0	0.0	0.0	0.0	6.36	5.94	6.19
Nenf	0.0	96.66	31.77	4.93	0.0	0.0	9.19	34.08	50.63	0.0	7.84	0.0	0.0	42.06	0.0	2.24	0.0	0.0	1.71	1.02	0.0	0.0	0.0	0.0	93.66	0.0	2.53	0.0	0.0	84.33	98.19	102.4
Nkiras2	0.0	200.23	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.66	0.0	0.0	0.0	0.0	9.97	10.93	12.11
Pdap1	40.25	3.75	47.0	61.83	2.66	0.0	28.14	23.73	83.35	17.86	64.9	2.08	66.19	36.75	31.87	33.56	29.94	20.92	42.3	48.47	32.89	30.4	0.36	28.47	96.49	71.45	35.0	17.94	0.0	68.93	75.22	74.29
Rgs4	3554.62	4793.66	4051.91	5481.44	3740.02	0.0	5873.8	3187.17	4839.36	4315.87	5539.67	3090.96	3800.78	4595.67	5390.4	4377.15	3267.12	5399.11	5187.94	4921.82	4036.2	6274.8	4444.37	4094.9	1856.98	5101.58	4802.36	6781.39	0.25	495.03	470.64	483.11
Rif1	0.0	0.0	0.0	0.22	0.06	0.0	0.02	0.03	22.01	0.04	0.0	0.0	37.7	0.0	2.28	0.0	17.58	0.0	31.01	0.7	29.25	1.08	0.0	0.0	82.07	59.68	0.0	0.0	0.0	10.09	7.03	9.28
Rpe65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	2.65	2.18	1.91
Rspo1	11.96	0.62	2.13	81.85	0.0	0.0	0.33	0.12	0.0	1.47	23.62	0.0	0.27	2.89	0.0	0.0	7.05	4.2	0.78	0.0	7.61	0.0	16.27	2.52	315.29	0.0	0.0	0.0	0.0	10.29	8.47	9.06
Skiv2l	8.86	84.65	0.0	4.08	0.12	0.0	4.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.88	10.07	0.52	0.0	0.58	0.0	0.13	81.2	42.27	2.14	0.0	0.0	44.73	49.03	48.76
Tmem151a	0.63	48.26	0.38	50.69	25.29	0.0	27.29	0.61	29.9	2.1	0.22	0.94	11.94	2.99	1.22	27.55	0.0	1.76	89.8	16.86	10.43	0.72	36.19	0.57	127.32	36.66	6.47	34.93	0.0	140.06	152.76	151.94
Tmem91	0.0	16.38	0.0	24.88	0.0	0.0	0.0	0.0	2.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.54	0.0	19.24	0.0	0.0	0.0	0.0	20.74	27.21	23.23
Ttc39b	0.54	0.23	33.3	50.51	0.11	0.0	0.87	0.35	0.49	0.56	57.44	12.05	47.33	0.21	0.43	2.09	0.52	1.65	5.27	1.5	0.7	45.62	0.22	0.56	110.57	0.82	5.14	0.08	0.0	32.36	26.13	30.71
Ubr4	6.82	25.02	4.35	0.02	2.21	0.0	0.01	0.05	5.91	4.19	4.35	2.56	12.32	44.69	0.0	4.14	0.03	13.81	14.53	1.79	13.63	32.01	0.35	0.13	33.41	0.0	20.14	28.75	0.0	45.95	42.73	49.32
Uckl1	0.0	173.09	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	21.18	0.0	0.0	0.0	187.44	0.0	80.5	0.12	0.0	0.0	0.1	187.68	0.0	0.0	433.8	0.0	170.98	0.0	0.0	24.41	26.21	23.81
Xk	0.02	0.16	6.94	0.1	0.1	0.13	1.29	0.01	32.96	0.0	0.11	0.15	0.0	0.09	0.0	0.0	0.0	0.07	0.18	0.11	0.06	0.0	0.0	0.0	1.56	0.0	0.15	0.0	0.0	12.74	11.89	12.9
Zbtb6	9.53	0.8	0.92	0.26	1.49	0.47	0.47	0.88	1.82	0.9	0.76	0.54	45.89	1.22	8.1	20.03	0.09	2.16	46.79	14.16	73.0	0.56	28.12	0.19	159.06	1.32	0.96	0.69	0.0	11.68	11.56	11.06
Zfand5	0.2	55.8	44.09	3.76	56.62	0.0	51.67	0.0	0.03	22.39	0.51	0.0	39.78	1.23	0.0	44.21	0.06	67.4	50.19	7.86	31.42	60.52	36.79	0.0	57.84	0.0	7.87	0.0	0.0	63.85	62.28	60.25
Zfp597	0.0	78.7	24.04	0.0	37.08	0.0	0.0	0.0	0.0	0.03	19.45	0.0	67.0	0.55	0.0	0.0	0.07	3.04	0.0	0.0	0.04	0.0	0.0	0.0	108.83	0.0	0.0	0.0	0.0	11.17	11.44	11.33
