	Cux2_tdTpositive_cell_121	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_44	Rbp4_tdTpositive_cell_165	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_28
Pcdhgb1	0.01	0.0	0.0	3.53	0.0	0.0	0.0	0.0
Pcp4	0.0	7467.74	7407.1	2202.57	6941.16	7178.2	6670.6	8685.7
Pdpn	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pex10	0.02	0.0	0.0	8.45	0.0	0.0	0.0	0.0
Pim1	0.04	0.0	0.0	0.15	0.0	0.0	0.0	0.0
Pip5kl1	0.02	0.0	0.0	6.27	0.0	0.0	0.0	0.0
Plk5	0.02	0.0	0.0	3.21	0.0	0.0	0.0	0.0
Polr3d	0.02	0.18	0.0	19.92	0.0	0.0	0.0	0.0
Pom121	0.2	0.0	0.12	9.43	0.0	0.0	0.08	0.0
Prph	0.04	0.0	0.0	5.92	0.0	0.0	0.0	0.0
Prss53	0.02	0.0	0.0	2.21	0.0	0.0	16.84	0.0
Prtn3	0.14	0.0	0.0	1.67	0.0	0.0	0.0	0.0
Psmc3ip	0.04	0.0	0.0	8.59	0.0	0.0	0.0	0.0
Ptpdc1	0.01	0.0	0.0	3.16	0.0	0.0	0.0	0.0
Rai2	85.09	0.0	0.0	18.83	0.0	0.0	0.0	0.0
Rhbdl3	0.56	0.0	0.0	0.49	0.0	0.0	0.0	0.0
Rnase4	0.02	0.0	0.0	10.63	0.0	0.0	0.0	0.0
Rnf144b	0.01	0.0	0.0	2.02	0.0	0.0	0.0	0.0
Rpl22l1	604.87	1158.56	562.95	768.64	585.27	816.23	534.12	494.02
Rpph1	49.8	0.0	0.0	18.89	0.0	0.0	0.0	0.0
Rrad	0.02	0.0	0.0	11.69	0.0	0.0	0.0	0.0
Samd5	0.01	0.0	0.0	12.89	0.0	0.0	0.0	0.0
Scrt2	0.04	0.0	0.0	0.84	0.0	0.0	0.0	0.0
Sdr42e1	0.01	0.0	0.0	0.73	0.0	0.0	0.0	0.0
Setdb2	0.01	0.0	0.0	2.81	0.0	0.0	0.0	0.0
Sh3d19	0.01	22.02	0.0	3.87	0.0	0.0	0.0	0.0
Sspn	0.02	0.16	0.0	0.06	0.0	0.0	0.0	0.0
Tesk2	0.08	0.0	0.0	0.2	0.0	0.0	0.0	0.0
Thtpa	0.03	0.12	0.0	0.09	0.0	0.0	0.0	0.0
Tjap1	0.01	0.0	0.0	4.23	0.0	0.0	0.0	0.0
Tmprss7	0.01	0.0	0.0	9.23	0.0	0.0	0.0	0.0
Tmtc2	0.01	0.0	0.0	1.08	0.0	0.0	0.0	0.0
Tnfsf13b	0.02	0.0	0.0	4.78	0.0	0.0	0.0	0.0
Trip10	0.01	0.0	0.0	2.05	0.0	0.0	0.0	0.0
Tubal3	0.04	0.0	0.0	0.12	0.0	0.0	0.0	0.0
Ubiad1	72.09	0.0	0.0	3.13	0.0	0.0	0.0	0.0
Upf3a	0.07	0.0	49.45	3.96	0.0	0.0	0.0	0.0
Utp14b	0.01	0.0	0.0	2.71	0.0	0.0	0.0	0.0
Zbtb37	28.11	0.0	4.68	0.86	0.0	0.0	0.0	0.0
Zfp108	0.01	0.13	0.0	0.1	0.0	0.0	0.0	0.0
Zfp112	0.04	3.92	0.0	3.67	0.0	0.0	0.0	0.0
Zfp467	0.07	2.0	0.0	1.3	0.0	0.0	0.0	0.0
Zfp551	0.01	0.15	0.0	8.46	0.0	0.0	0.0	0.0
c13_tRNA-Pro-CCY	1.28	0.0	0.0	1.65	0.0	0.0	0.0	0.79
c14_tRNA-Pro-CCY	1.28	0.0	0.0	1.65	0.0	0.0	0.0	0.79
c1_tRNA-Pro-CCY	1.28	0.0	0.0	1.65	0.0	0.0	0.0	0.79
c3_tRNA-Pro-CCY	1.28	0.0	0.0	1.65	0.0	0.0	0.0	0.79
c6_tRNA-Pro-CCY	1.28	0.0	0.0	1.65	0.0	0.0	0.0	0.79
c7_tRNA-Pro-CCY	1.28	0.0	0.0	1.65	0.0	0.0	0.0	0.79
