	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_56	Htr3a_tdTpositive_cell_84	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Pvalb_tdTpositive_cell_49	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_25	Rbp4_tdTpositive_cell_116	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_38	Sst_tdTpositive_cell_24	Sst_tdTpositive_cell_27	Sst_tdTpositive_cell_46	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2
Coro1a	3.9	200.14	0.19	13.56	656.06	86.33	196.47	194.99	186.09	580.29	0.0	226.24	164.39	0.0	1283.29	771.71	168.89	2.5	32.14	77.44	103.07
Dusp3	265.15	342.1	520.91	404.06	606.9	139.67	524.97	1094.13	787.69	481.47	161.71	428.41	395.53	359.97	513.04	558.63	170.05	173.13	163.83	1299.55	980.92
Fxyd7	122.04	390.28	375.94	152.26	0.0	211.26	286.27	362.69	311.71	165.08	0.0	175.83	113.71	208.71	231.55	514.05	75.77	142.27	0.0	161.77	217.73
Gm13306	0.0	88.08	2.22	7.78	39.72	0.0	98.78	170.68	32.42	70.05	0.0	1.96	37.12	8.68	0.0	180.86	0.24	18.49	0.0	61.27	76.52
Gm2506	0.0	88.08	2.22	7.78	39.72	0.0	98.78	170.68	32.42	70.05	0.0	1.96	37.12	8.68	0.0	180.86	0.24	18.49	0.0	61.27	76.52
Grin2b	146.73	259.71	211.08	193.81	160.1	100.3	212.23	478.31	216.95	188.7	97.84	180.82	173.95	212.16	190.32	304.13	95.37	78.36	150.37	321.05	333.11
Grm3	13.8	0.16	179.59	21.84	30.2	0.0	58.15	26.07	0.22	94.87	0.0	117.66	47.45	19.0	64.01	116.09	0.0	26.87	0.0	63.88	47.07
Gsk3b	402.17	233.85	350.31	521.45	584.95	251.24	330.66	390.75	320.12	442.96	326.56	529.33	432.94	314.55	559.92	563.35	422.14	460.81	215.37	763.9	491.48
Ift88	0.0	82.74	0.03	0.0	74.14	0.0	0.06	12.15	51.09	120.02	0.0	0.0	0.0	28.39	232.13	9.82	0.0	0.0	0.0	35.67	31.55
Mrpl2	0.0	166.61	21.6	135.34	0.0	43.69	0.0	160.57	330.27	146.17	0.3	63.18	0.3	377.49	512.97	84.87	2.02	94.42	0.0	81.48	84.36
Mrps18b	212.43	348.43	229.72	0.0	601.12	106.22	182.38	0.0	210.85	197.62	0.0	165.41	30.33	86.33	295.3	0.11	0.28	89.35	0.0	111.6	139.43
Napa	654.26	1110.32	523.12	1134.98	880.92	437.71	945.95	1170.12	1806.82	784.55	514.05	617.29	578.85	453.04	894.86	882.41	336.42	690.24	124.78	953.28	961.04
Ncan	44.06	59.84	128.25	190.03	287.76	55.39	161.89	146.95	58.37	10.05	11.81	134.44	55.65	212.81	193.27	79.46	37.04	33.76	0.94	269.87	196.5
Nfix	65.69	174.96	244.5	95.17	281.04	0.0	319.9	161.29	118.11	310.33	0.0	107.47	121.33	90.1	352.83	138.84	0.0	0.0	0.0	94.58	126.91
Pfkp	19.53	184.49	293.11	188.38	506.15	146.06	442.63	448.79	411.45	198.38	0.16	230.43	233.75	380.67	824.96	444.26	312.52	64.18	408.48	457.58	516.63
Polr2e	212.23	504.35	174.76	140.58	184.48	0.0	256.16	441.34	0.81	348.06	0.0	221.0	89.66	242.29	221.46	232.0	44.88	236.27	0.0	171.35	327.51
Ppfia2	46.7	135.23	60.51	31.19	41.69	58.89	248.58	104.37	279.11	140.47	72.9	99.95	28.04	58.21	87.7	18.07	31.69	62.13	0.17	77.86	65.07
Ppp1ca	388.92	617.7	793.47	739.12	502.95	112.07	888.1	943.59	1142.43	598.07	125.43	213.33	354.68	486.1	470.99	188.61	269.25	268.55	0.0	594.26	586.24
Prmt8	0.0	172.63	6.7	0.18	47.1	0.0	0.16	3.19	0.16	0.0	0.0	0.0	0.0	0.0	48.05	140.02	0.0	0.0	0.0	46.75	46.33
Rnf169	0.0	65.91	41.5	37.49	99.72	10.8	108.36	75.43	0.0	0.12	0.0	0.0	0.0	0.39	79.33	13.25	4.7	23.76	0.0	6.58	11.63
Slc18a2	0.0	0.15	0.05	171.58	170.86	43.33	329.39	98.77	79.3	0.0	0.0	75.62	48.74	45.0	110.48	0.03	7.8	0.0	0.0	125.83	56.94
Snap25	26182.83	19986.44	24880.43	23752.44	25194.29	16603.89	24000.2	22188.29	24648.02	22891.51	15838.05	22470.57	21046.1	22845.02	25542.47	22725.47	19121.69	21043.71	11540.98	20846.74	19146.26
Spsb3	632.87	339.7	196.64	2.29	764.81	97.72	287.75	0.46	43.7	82.39	0.0	113.63	0.36	0.0	0.0	133.32	0.0	0.0	0.34	89.34	109.54
Tubb4b	447.17	483.6	407.11	399.11	557.08	191.63	528.94	234.2	378.28	465.49	186.82	806.1	779.18	11.43	638.82	401.02	192.86	396.25	172.68	410.05	528.87
Wdr43	0.0	163.13	2.69	0.0	0.0	0.55	0.0	0.0	0.0	157.79	0.0	3.2	58.8	72.57	154.24	69.47	1.53	11.89	14.77	17.47	19.96
Zfp954	289.48	62.51	0.1	0.22	0.0	0.0	0.09	0.0	225.52	0.0	0.14	0.0	0.0	0.0	320.56	18.6	0.0	0.0	0.0	24.21	32.68
Zmat2	217.25	353.7	33.09	211.65	203.25	122.7	97.07	342.26	341.13	358.04	67.18	18.79	564.82	474.06	368.21	250.03	141.75	307.89	174.04	238.25	264.07
Zmat4	78.62	0.07	23.42	7.98	189.73	0.0	228.93	233.71	136.57	0.1	0.0	9.04	0.07	17.64	278.69	275.61	0.0	58.14	0.0	35.85	27.38
