	Ctgf_tdTpositive_cell_8	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_6	Ndnf_tdTpositive_cell_5	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_56	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	Scnn1a.Tg3_tdTnegative_cell_15	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
Snord116	0.0	0.0	0.0	0.0	15.31	0.0	0.0	0.0	8.64	0.0	0.0	17.28	3.67	8.22	22.82	0.0	1.22	1.9
Snord116l1	0.0	0.0	0.0	0.0	15.31	0.0	0.0	0.0	8.64	0.0	0.0	17.28	3.67	8.22	22.82	0.0	1.22	1.9
Snord116l2	0.0	0.0	0.0	0.0	15.31	0.0	0.0	0.0	8.64	0.0	0.0	17.28	3.67	8.22	22.82	0.0	1.22	1.9
Socs5	0.0	0.0	0.0	0.0	42.51	0.04	0.0	53.44	0.47	15.06	31.12	73.78	73.56	82.17	0.58	0.0	78.77	70.24
Spnb3	0.0	0.0	0.0	0.0	8.97	0.23	28.07	64.52	0.25	7.88	0.08	27.32	8.08	0.16	8.74	0.0	367.45	387.16
St8sia5	0.0	0.0	0.0	0.0	31.44	0.0	11.48	0.11	1.06	0.0	0.0	28.11	18.66	0.46	0.0	0.0	60.82	62.73
Tbp	0.0	0.0	0.0	0.0	158.63	0.09	0.27	0.0	1.16	0.0	0.0	49.18	72.7	1.12	0.0	0.0	24.43	24.66
Wars	0.0	0.0	0.0	0.0	5.06	0.06	10.57	0.75	3.46	27.41	0.19	42.42	11.73	30.76	0.14	0.0	85.39	82.89
Zfp286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	25.32	0.0	0.12	0.14	1.21	0.0	0.0	12.14	12.5
mt_AK131579	29492.22	29741.06	55662.18	31931.59	73067.83	55281.42	56311.06	94403.3	50469.69	60705.47	56120.42	45312.1	46620.23	59803.41	51796.42	14830.22	21203.35	21406.08
