	Chrna2_tdTpositive_cell_22	Htr3a_tdTpositive_cell_121	Ntsr1_tdTpositive_cell_68	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_73	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Kcnc2	182.36	0.0	0.0	0.0	0.0	0.0	48.05	45.38	49.05
Klc2	39.2	1.29	0.0	0.13	3.11	0.29	196.16	207.95	205.42
Kntc1	29.39	0.0	0.0	0.0	0.0	0.0	0.28	0.36	0.35
Kpnb1	33.11	3.36	0.09	0.0	0.07	45.7	90.36	86.91	86.26
Lefty1	6.05	0.0	0.0	0.0	0.0	0.0	1.65	1.95	1.36
Llgl2	8.09	0.0	0.0	0.0	0.0	0.0	0.78	0.58	0.46
Ly6g6d	0.59	0.0	0.0	0.0	0.0	0.0	0.51	0.48	0.53
Lyve1	58.99	0.0	0.0	0.0	0.0	0.0	1.23	1.07	0.98
Masp2	91.03	0.0	0.0	0.0	0.0	0.0	1.38	1.57	1.47
Mcm4	68.77	0.0	0.0	0.0	0.06	0.0	7.95	7.59	7.78
Mis18bp1	14.24	0.0	0.0	0.0	0.0	0.0	0.32	0.51	0.63
Oxct1	214.13	98.77	165.1	0.0	108.36	138.09	237.85	234.89	230.25
Pax6	4.58	0.0	0.0	0.0	0.0	0.0	7.13	8.89	6.95
Pcnxl3	26.76	0.0	3.01	0.0	0.0	0.0	27.31	28.15	29.54
Pgam2	91.04	0.0	0.0	0.0	0.0	0.0	9.3	11.06	10.41
Pira1	0.19	0.0	0.0	0.0	0.0	0.0	0.02	0.03	0.04
Pmch	0.83	0.0	0.0	0.0	0.0	0.0	1.31	1.12	0.48
Ppp2r2a	100.24	53.01	34.5	0.14	0.11	46.81	64.94	65.65	61.43
Ptch1	5.32	0.0	0.0	0.0	0.0	0.0	22.74	21.68	22.39
Ptpn12	49.26	0.53	0.0	0.0	4.73	0.09	30.72	26.75	27.94
Ptpn9	73.49	0.0	0.0	0.0	0.0	7.5	27.41	27.19	26.18
Rab6b	339.12	170.32	146.78	0.0	217.23	132.66	557.19	534.18	552.91
Rfc1	85.4	12.53	0.24	0.0	69.68	6.18	19.97	19.96	23.17
Rin2	108.2	0.0	0.0	0.0	44.67	0.0	14.14	15.19	12.41
Rnf220	66.62	0.0	0.0	0.0	0.15	46.2	107.18	119.36	110.65
Sap30	23.86	0.0	0.0	0.0	0.0	0.0	6.29	9.36	6.34
Serinc4	0.37	0.0	0.0	0.0	0.0	0.0	2.34	1.84	2.33
Slc25a15	45.14	0.0	0.0	0.0	0.0	0.07	9.06	8.61	8.41
Slc25a18	3.5	0.0	0.0	0.0	0.0	0.0	68.57	74.11	75.37
Slc25a23	65.44	32.22	6.22	0.0	0.27	32.27	290.22	282.16	298.37
Slc2a9	0.61	0.0	0.0	0.0	0.0	0.0	0.67	1.21	0.84
Snora3	20.52	0.0	0.0	0.0	0.0	0.0	0.0	1.1	3.63
Snx22	19.63	0.0	17.93	0.34	0.0	0.0	12.79	12.52	14.18
Sox30	1.78	0.0	0.0	0.0	0.0	0.0	0.03	0.09	0.1
Spred1	55.85	1.21	16.07	0.0	91.17	0.59	100.2	87.62	88.74
Stag1	36.67	10.69	8.22	0.06	2.18	18.88	19.23	18.21	19.87
Synpo2	25.68	0.0	0.0	0.0	0.0	0.0	1.72	1.87	1.96
Szt2	12.81	0.0	0.0	0.0	0.0	0.0	18.73	19.33	23.53
Tfip11	109.08	0.0	0.0	0.0	0.27	25.09	35.65	37.75	36.35
Tmem143	22.34	0.0	0.0	0.0	0.42	0.0	18.4	19.05	18.99
Tmem64	77.98	0.0	0.0	0.0	0.14	2.06	37.43	37.22	33.63
Tmub1	105.06	0.0	1.32	0.0	12.86	172.21	29.44	27.17	25.37
Trem3	95.43	0.0	0.0	0.0	0.0	81.9	0.0	0.19	0.52
Trio	14.04	0.02	10.59	0.0	31.97	2.19	50.68	46.93	49.68
Usp1	26.24	0.0	0.0	0.0	0.0	1.72	21.59	20.18	20.61
Vax2	1.36	0.0	0.0	0.0	0.14	0.77	1.02	0.85	1.0
Wdr96	0.89	0.0	0.0	0.0	0.0	0.0	0.96	0.74	0.61
Zfp36l1	0.11	0.0	0.0	0.0	0.0	0.0	20.71	18.86	20.39
c18_tRNA-Gly-GGG	36.04	0.0	5.69	0.0	0.0	0.0	25.49	15.42	46.86
c3_tRNA-Lys-AAG	12.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK131586	0.0	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.38	23.86	0.0	0.0	7.49	18796.57	17507.83	18655.33
