	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_49	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_19	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_81	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_12
Bcat1	0.06	0.0	17.52	4.08	0.0	64.55	0.0	108.18	0.0	20.6	135.51	120.68	41.42	61.89	123.62	215.47	77.19	66.56	83.07	48.04	93.25	139.48	131.33	39.28	145.52	63.47	85.01	115.22	111.05	71.13	121.43	165.23	52.74	88.13	21.52	154.01	136.15	86.1	103.38	97.57	0.0	0.0
Btbd2	0.0	101.37	7.72	0.0	0.0	34.08	0.0	29.53	0.0	0.0	12.71	6.47	0.0	0.0	1.01	1.02	3.95	0.0	0.0	0.0	0.0	2.78	27.83	14.63	23.79	0.0	27.5	2.12	0.0	0.0	13.19	4.6	16.11	2.26	0.0	0.0	3.08	0.0	23.4	3.08	0.0	0.0
Btbd3	1.92	73.92	12.85	13.95	0.0	261.54	0.0	26.9	0.0	0.0	126.06	194.44	61.01	152.8	66.32	154.62	125.85	145.12	256.08	174.68	49.81	128.89	71.2	40.81	195.65	95.02	16.38	119.14	137.66	103.84	66.16	129.56	68.87	145.6	46.94	46.88	176.02	134.0	323.04	236.92	0.0	0.0
Cacng2	0.0	5.31	14.46	0.0	0.0	24.33	0.0	10.55	0.0	3.68	7.18	5.1	2.76	8.29	8.15	7.46	25.7	25.5	6.83	9.76	6.87	16.4	2.06	4.38	5.52	3.45	2.13	7.54	10.22	3.4	4.5	6.33	5.44	18.45	11.22	5.0	10.96	12.19	20.56	3.43	0.0	0.0
Cadps	0.0	48.12	12.08	14.92	0.0	100.73	0.0	65.74	76.42	9.46	100.45	91.66	67.77	70.19	121.24	171.29	90.33	160.28	80.32	141.54	60.1	180.24	65.4	77.18	144.15	119.89	103.59	195.13	318.16	84.3	106.17	82.36	90.24	51.41	100.87	88.82	65.24	117.29	167.55	129.52	0.0	0.0
Ccdc136	0.0	33.78	36.18	0.0	0.0	19.3	0.0	28.24	0.0	23.19	42.53	8.92	27.12	5.64	27.04	13.16	14.72	4.94	10.1	6.91	0.0	1.21	0.0	36.82	8.66	9.54	34.85	6.66	4.66	9.8	6.21	8.67	19.87	16.45	0.67	29.06	46.42	6.48	35.59	25.05	0.0	0.0
Cdr1	0.0	53.1	2.7	0.0	0.0	59.71	0.0	68.05	0.0	42.56	53.51	64.19	36.68	47.5	96.58	85.92	79.93	110.68	129.29	135.65	26.12	73.33	12.54	0.49	134.08	53.35	2.97	50.28	125.28	69.32	65.84	139.13	18.92	28.71	182.77	83.73	50.06	24.63	144.7	104.56	0.0	0.0
Cdt1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cend1	0.0	666.23	696.54	486.97	0.0	361.24	0.0	528.65	133.82	97.54	390.67	545.7	443.5	680.52	896.54	601.94	564.87	930.78	633.53	723.22	546.67	920.13	770.83	673.66	671.84	1169.15	801.01	878.53	682.7	902.93	775.77	530.35	541.33	447.08	466.54	435.81	914.56	932.4	544.36	793.53	0.0	0.14
Cs	698.89	39.31	284.4	121.55	37.69	125.24	196.39	206.85	1.04	140.62	249.89	299.66	176.46	306.29	308.19	192.44	209.95	242.33	231.71	170.43	247.63	455.17	114.08	533.85	193.9	81.58	328.49	278.68	310.01	395.63	299.28	153.1	370.86	268.26	218.02	246.47	481.75	200.37	162.21	278.43	0.0	385.94
Dfna5	0.0	0.0	0.0	4.27	0.0	147.43	0.0	0.0	70.61	0.12	22.9	195.71	97.94	54.56	58.44	45.41	58.33	0.0	28.7	188.63	0.0	97.69	21.85	1.23	13.17	102.89	27.25	94.1	13.1	87.47	0.0	0.0	2.78	4.52	137.11	1.49	96.36	55.65	62.21	114.82	0.0	0.0
Dimt1	0.0	0.0	0.0	0.58	0.0	17.57	0.0	2.67	1.16	0.0	30.5	37.24	11.07	9.4	7.52	41.23	31.27	101.06	58.15	44.63	21.92	49.31	20.99	25.09	74.65	31.92	45.46	79.36	22.12	26.52	15.55	34.28	46.96	43.27	22.71	31.41	62.18	25.28	49.49	50.67	0.0	0.0
Diras1	0.0	0.0	0.0	0.0	0.0	4.34	0.0	0.0	0.0	0.0	11.15	11.03	1.87	0.0	25.09	3.69	10.81	6.96	6.48	33.58	0.66	9.99	15.68	8.04	17.21	1.7	3.62	14.43	14.35	26.68	2.91	20.4	5.72	1.25	7.2	0.46	10.0	36.43	33.22	9.43	0.0	0.0
Dlat	0.0	33.68	0.0	0.0	0.0	24.97	327.46	0.0	47.28	5.72	1.46	13.8	44.48	1.29	20.08	10.43	3.62	27.37	43.94	25.31	34.04	27.49	58.92	33.95	95.77	25.21	22.63	56.14	62.56	4.83	28.8	45.24	13.79	31.67	27.22	45.59	51.18	64.24	50.76	22.31	2.15	0.0
Dld	0.0	202.17	531.59	107.42	0.0	496.38	0.0	78.45	304.79	254.04	311.42	594.97	324.56	324.53	450.94	408.01	293.1	536.72	512.15	333.71	442.82	610.14	610.53	423.14	307.0	370.87	267.37	388.81	381.04	435.09	349.18	423.67	325.81	281.8	616.99	283.94	475.45	292.06	287.13	519.76	0.0	0.0
Dync1li2	0.0	12.35	15.64	1.36	0.7	127.79	0.0	31.31	19.12	5.38	41.09	42.58	34.22	19.63	69.34	26.04	49.42	158.42	48.0	55.36	21.1	67.38	64.08	40.08	85.29	92.06	25.82	60.07	42.44	66.79	13.16	12.77	40.61	33.07	27.32	38.18	114.35	67.51	82.59	91.37	15.07	0.0
Elovl6	0.0	0.06	0.0	0.03	0.23	11.22	0.08	1.09	0.0	0.04	31.12	30.49	27.77	12.07	62.11	35.74	58.21	27.66	68.2	88.06	14.36	61.07	74.3	83.69	59.07	55.4	2.61	15.8	15.84	16.62	61.9	61.36	26.17	100.54	20.56	11.49	28.49	7.25	81.98	12.52	0.0	0.0
Entpd4	0.0	99.22	0.07	0.0	0.0	73.63	0.0	39.26	0.0	51.52	69.02	17.23	0.0	23.34	27.6	35.13	47.93	23.64	0.26	19.13	32.93	57.33	26.7	61.83	73.97	0.09	0.0	53.68	66.68	19.42	45.93	25.64	19.08	14.17	24.77	67.52	84.52	32.18	112.83	54.61	0.0	0.0
Entpd7	0.0	0.0	6.73	0.0	0.0	11.19	0.0	17.24	0.0	8.2	43.1	20.0	5.98	8.93	23.14	94.7	29.08	44.98	34.53	58.12	9.97	84.95	27.9	85.56	74.26	0.27	8.77	84.0	31.8	51.92	46.25	32.25	25.69	20.8	21.46	34.03	42.13	28.01	78.84	38.67	0.0	0.12
Epdr1	253.1	0.0	0.0	0.0	0.0	63.95	0.0	36.67	194.34	10.69	58.04	23.86	36.57	111.11	24.25	19.42	73.95	147.18	6.65	46.06	0.28	149.79	27.56	82.4	3.1	1.16	0.0	42.97	38.14	6.87	60.1	32.94	46.28	74.39	95.67	24.46	127.93	66.92	83.15	102.93	0.0	0.0
Erbb4	0.0	0.0	8.66	0.0	0.0	58.4	0.0	1.99	0.0	0.0	21.83	37.9	2.88	24.73	10.82	60.52	39.75	59.85	12.89	8.73	17.2	24.07	71.42	26.24	9.7	19.92	12.61	12.67	12.76	15.33	7.11	0.61	1.53	57.77	1.13	4.63	16.19	22.73	56.86	20.95	0.0	0.0
Fam164a	0.14	0.0	52.8	0.0	0.0	92.63	0.0	43.55	0.0	44.09	63.14	80.17	132.57	162.16	64.14	0.0	112.53	155.75	170.2	136.17	187.65	284.0	117.42	230.52	342.41	120.67	79.31	131.79	188.51	69.36	229.38	151.24	54.59	35.95	76.38	154.5	81.0	0.0	148.87	49.72	0.0	0.0
Fam19a2	0.0	34.08	0.0	60.72	0.0	57.37	0.0	97.03	0.0	0.0	55.39	88.64	102.8	87.26	24.99	98.91	105.15	77.19	63.65	131.66	187.84	193.41	93.31	55.62	25.46	44.15	59.74	11.28	38.71	119.63	64.07	54.66	45.3	129.27	46.96	24.24	44.51	210.21	108.66	121.22	0.0	0.0
Fam43a	0.0	0.0	30.59	0.0	0.0	8.02	0.0	10.44	0.09	0.0	11.35	3.64	0.0	0.0	0.11	2.0	11.67	6.39	7.18	0.0	0.0	5.69	0.0	11.49	1.29	18.34	9.54	5.8	0.0	0.0	8.43	5.93	4.79	6.96	0.0	0.0	22.4	0.0	1.53	3.44	0.0	0.0
Fam73b	0.0	0.0	0.51	0.0	0.0	72.88	0.0	29.78	0.0	0.0	30.92	22.1	0.0	0.0	39.33	55.4	39.29	26.79	21.65	44.45	38.87	35.21	22.17	15.27	19.63	0.0	52.89	12.43	0.33	33.76	0.0	60.97	31.3	0.0	34.02	11.19	39.02	22.77	21.9	0.34	0.0	0.0
Fbxo44	0.0	357.63	1.66	280.78	0.0	318.13	0.0	101.53	5.54	128.62	241.35	131.39	205.1	51.83	321.03	508.58	228.36	136.96	82.8	96.44	238.39	243.49	129.28	97.58	298.86	88.75	158.41	283.67	220.13	284.65	447.82	176.59	53.19	340.7	166.58	288.1	209.16	378.43	244.42	91.52	0.0	0.0
Fosl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.32	0.0	0.0	0.0	0.0	0.0	60.86	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	43.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gabrd	0.0	202.08	0.12	0.0	0.0	186.38	0.0	58.32	0.0	0.13	48.98	190.6	73.86	130.22	109.51	60.85	145.53	343.03	304.95	197.42	454.92	73.25	354.3	237.0	324.98	0.0	17.96	172.94	59.73	5.49	218.48	143.46	355.53	121.85	55.65	437.14	221.42	122.79	283.31	57.89	0.0	0.0
Galntl6	0.25	8.23	37.37	49.3	0.21	805.9	0.59	60.99	0.06	0.37	181.62	342.41	93.87	105.75	258.84	200.94	275.75	221.42	330.75	262.07	720.02	413.01	353.42	279.12	578.29	78.37	189.86	615.0	246.88	454.19	312.56	234.4	202.7	284.94	286.15	225.31	408.35	108.66	291.08	446.5	0.1	1.1
Gars	0.0	0.1	15.13	0.0	0.0	141.83	0.0	70.76	0.0	0.31	40.3	56.77	3.87	59.97	26.21	93.11	152.51	130.72	139.61	33.02	43.53	42.78	168.43	88.71	18.86	154.29	36.59	77.73	188.78	27.6	80.38	108.01	3.44	40.4	84.42	27.68	105.34	44.57	131.76	12.41	0.0	0.0
Glrb	0.0	69.01	393.02	125.81	0.0	266.87	0.0	97.31	0.0	120.25	111.48	289.15	106.94	192.42	169.66	232.89	279.89	203.4	452.11	352.29	226.3	480.21	424.05	221.29	296.39	104.03	211.68	234.08	226.46	171.25	110.75	185.75	104.9	318.73	113.13	175.79	150.19	183.43	153.63	259.04	0.0	0.0
Gm4262	24.02	2.63	8.81	10.82	0.0	35.7	0.0	12.65	8.21	18.23	35.13	37.66	8.13	42.47	25.52	27.79	24.66	37.04	23.33	46.07	13.18	22.59	45.62	35.45	31.86	19.97	13.09	19.75	20.93	47.96	25.07	54.88	23.34	20.74	35.55	49.3	25.63	19.43	24.02	27.3	3.54	46.5
Gm5177	23.5	42.15	55.67	57.22	0.25	32.64	20.96	57.02	29.83	45.47	48.12	59.35	62.73	48.29	51.25	36.81	52.24	48.04	46.51	45.2	37.21	34.44	53.58	50.13	43.39	44.55	50.23	34.89	48.7	48.87	50.97	60.72	57.54	51.36	37.19	49.61	36.24	32.77	28.27	50.76	0.21	0.18
Haghl	0.0	14.31	151.67	32.24	425.58	66.94	0.0	255.55	0.0	186.78	338.0	204.15	0.0	337.26	326.39	307.61	109.38	406.17	91.23	260.0	249.87	156.94	260.0	61.2	393.64	166.41	296.27	304.63	345.54	280.41	196.58	254.56	356.05	224.81	138.63	344.48	230.01	138.5	569.31	581.72	0.0	0.0
Hapln4	0.0	0.03	0.0	0.0	0.0	61.57	0.0	0.46	26.8	0.0	65.14	55.19	24.87	43.61	23.79	103.96	69.88	52.52	11.88	0.76	5.34	55.46	24.38	30.7	44.5	50.3	1.98	76.99	34.79	10.92	32.28	45.07	90.74	36.94	59.55	43.62	15.38	21.36	248.6	60.25	0.0	0.0
Hcn1	0.0	38.71	0.05	0.0	0.0	8.14	0.0	2.7	0.0	5.36	68.02	43.33	58.13	71.37	34.43	89.95	22.52	39.52	43.76	40.03	39.17	49.33	14.5	46.01	35.38	21.32	30.76	52.76	42.69	24.16	15.96	41.21	23.44	62.27	23.5	27.82	60.04	20.2	50.65	47.42	0.05	0.09
Hdhd2	0.0	43.48	0.56	208.0	0.0	217.42	491.33	197.82	88.54	173.27	228.52	210.08	204.7	203.33	178.93	202.23	91.01	153.97	359.72	299.27	203.97	184.16	353.42	239.52	159.47	125.04	242.19	168.4	251.16	204.7	142.84	297.37	150.26	215.87	184.76	187.44	148.24	177.95	229.08	71.55	0.16	1.48
Hs3st1	0.0	0.0	0.0	0.0	0.0	220.41	0.0	0.2	0.0	0.0	208.14	55.65	172.07	176.78	119.07	185.77	174.09	133.86	201.56	264.09	71.25	170.65	278.6	24.22	85.86	370.48	85.05	410.61	134.86	7.62	169.34	78.84	234.0	92.03	54.17	61.42	7.09	219.82	363.08	8.65	0.0	0.0
Hspa12a	0.0	7.08	81.77	0.0	0.0	95.57	0.0	0.0	6.71	61.9	2.35	26.97	38.65	22.26	3.71	59.54	13.34	45.81	50.68	26.1	0.0	103.38	0.16	45.01	40.33	40.29	29.04	39.09	34.4	21.1	40.71	26.89	21.94	58.4	64.2	40.13	67.88	23.85	103.88	12.33	0.0	0.0
Hspa9	0.0	0.08	5.21	3.62	0.0	99.62	0.15	38.52	7.92	0.08	89.63	48.03	135.57	67.4	130.77	63.42	100.98	56.53	118.17	110.51	59.86	89.24	99.43	82.78	83.45	273.61	61.44	122.66	92.4	39.53	71.02	112.84	4.62	0.15	45.11	11.26	94.98	148.38	54.38	31.45	0.0	0.0
Igsf11	15.23	0.06	0.63	0.0	0.28	5.0	127.75	2.74	0.0	0.11	34.77	13.39	0.73	2.09	25.83	12.25	9.72	6.31	16.61	2.88	0.26	7.84	14.19	1.54	16.99	2.47	0.19	4.18	2.92	13.01	10.83	3.55	1.58	8.93	12.59	0.13	5.32	21.49	15.13	4.64	0.41	0.7
Immt	0.19	41.06	83.42	6.83	0.0	178.55	764.63	102.86	38.94	75.12	137.32	201.81	87.57	84.28	289.6	281.87	131.75	191.42	287.64	178.19	231.48	246.73	311.83	229.06	210.26	126.69	262.85	254.19	332.69	497.2	127.76	318.35	171.67	115.82	221.75	125.86	297.35	281.88	326.32	250.92	6.64	25.19
Ina	0.0	103.14	0.0	0.54	0.0	13.53	0.0	0.0	21.12	22.2	68.79	96.62	72.73	16.54	55.55	160.3	7.72	42.68	152.84	101.28	113.6	87.48	46.51	98.9	65.21	116.57	11.12	60.73	100.19	56.31	73.24	116.18	4.08	93.32	84.18	65.9	87.96	95.11	91.36	144.97	0.0	0.0
Iqsec1	4.36	9.16	3.48	25.72	0.0	53.48	15.61	25.69	6.0	1.04	87.65	56.96	21.9	31.69	81.62	96.37	61.5	49.27	48.46	74.97	50.08	60.17	79.73	15.68	40.42	56.58	6.29	53.41	16.92	22.9	69.75	37.69	27.36	79.79	35.22	28.41	52.94	76.49	107.86	54.94	0.08	0.0
Itfg1	0.0	78.88	0.0	143.16	0.0	0.0	0.14	45.77	57.59	82.62	37.66	68.87	43.98	48.81	20.87	108.08	11.81	50.57	46.44	44.94	58.55	68.04	66.45	183.57	94.76	81.0	152.02	99.77	142.02	66.94	81.5	3.23	32.45	90.08	69.82	81.82	75.24	88.69	90.49	57.87	0.0	0.0
Kcna1	0.0	49.93	0.0	0.0	0.05	219.47	0.0	29.55	1.56	80.73	218.51	203.62	67.88	155.4	214.98	258.51	120.88	194.23	255.22	281.96	53.8	455.33	151.11	159.56	158.39	138.68	12.5	254.23	229.92	186.92	169.76	275.53	103.18	61.55	140.07	83.12	200.01	139.69	221.93	247.3	0.08	0.0
Kcna2	0.04	0.26	22.29	81.69	0.0	72.46	0.48	6.24	0.25	0.15	34.51	94.97	6.75	73.62	35.57	31.48	68.09	67.76	64.74	85.48	47.34	51.03	51.01	122.82	83.1	36.92	41.11	80.42	70.45	46.36	35.36	86.53	24.42	36.09	16.77	7.87	93.67	25.55	107.95	72.29	0.06	0.23
Kcnab2	0.0	0.82	36.7	0.2	0.0	56.32	0.0	7.53	0.15	20.92	61.03	19.58	47.5	45.26	22.24	87.19	102.87	23.79	116.01	58.4	5.19	89.61	4.56	34.78	88.78	15.08	45.03	53.29	113.61	33.32	118.17	49.89	14.09	17.21	64.08	35.72	50.84	57.48	126.13	98.54	0.0	0.0
Kcnab3	0.0	0.0	3.9	0.0	0.0	90.12	0.0	126.0	0.0	1.27	80.74	30.72	22.97	21.13	68.59	58.39	100.67	87.06	32.44	39.84	88.48	73.57	105.43	135.99	37.69	201.17	94.2	57.31	88.22	72.25	233.94	188.26	44.47	77.58	110.08	106.14	122.48	146.53	103.06	149.29	0.0	0.0
Ldhb	7486.96	6607.22	6291.4	8970.97	5274.92	9309.63	5600.23	6455.58	3077.72	4212.35	8798.32	8750.45	10118.08	10894.4	8525.9	8892.3	8217.62	8517.89	9220.91	9343.6	8620.64	10165.1	9602.81	11261.44	10004.69	7834.03	8757.21	9074.03	13571.31	12546.17	8513.41	9755.78	7095.61	7659.83	11010.48	10182.84	7057.76	9082.37	7830.1	11746.38	3251.53	5577.5
Lrrc8a	126.8	0.23	9.92	69.0	151.38	145.87	143.54	64.92	2.32	32.35	277.38	106.3	105.0	52.89	255.8	212.43	217.84	180.41	138.06	179.19	120.09	137.91	131.7	131.74	112.18	14.94	148.31	150.28	104.73	170.48	214.43	164.89	105.22	147.21	169.12	129.0	214.9	135.92	261.48	212.5	177.98	0.0
Luzp1	0.0	0.03	0.0	0.0	0.0	38.78	0.0	13.48	0.0	0.03	62.47	19.93	35.96	26.74	32.65	39.77	50.62	105.4	29.81	11.79	16.11	21.09	0.06	7.05	5.27	50.67	11.11	12.83	35.59	4.7	25.63	4.66	30.97	0.3	52.09	41.44	27.62	18.38	34.91	13.01	0.0	0.0
Lynx1	0.0	20.23	29.14	0.0	0.0	107.58	0.0	30.26	14.63	112.59	100.39	70.47	35.04	62.83	75.41	68.36	37.39	42.12	44.28	145.97	8.21	78.67	26.67	7.87	52.23	36.67	72.26	127.61	63.06	75.27	72.52	12.11	39.63	69.5	26.03	111.63	114.95	71.33	162.26	70.91	0.0	0.0
Mpi	0.0	82.45	0.0	0.0	0.0	99.69	862.95	78.03	0.0	23.47	242.05	176.03	140.69	37.44	186.96	120.23	107.96	120.49	153.87	203.5	0.37	105.08	183.59	161.89	189.19	117.04	103.96	59.32	59.53	177.38	46.08	203.42	188.26	0.0	0.31	248.29	263.91	128.44	114.37	61.81	0.0	234.59
Mtap7d2	14.26	33.64	48.66	45.31	0.0	122.62	0.0	51.01	0.14	3.38	109.89	84.22	68.33	102.4	159.22	61.79	193.59	118.15	115.72	70.64	60.26	136.45	129.61	42.87	58.56	99.47	40.54	114.12	149.62	49.93	82.38	96.35	92.38	165.71	59.11	25.63	166.52	222.72	165.88	164.5	0.0	0.0
Mtfp1	0.0	253.16	581.96	965.66	0.0	452.52	41.24	112.48	439.9	0.54	188.55	326.55	381.3	443.53	148.26	92.36	590.15	421.29	494.84	392.22	226.18	125.41	624.77	309.98	298.99	524.38	635.33	423.67	498.39	349.18	509.05	387.06	655.05	257.56	210.98	247.85	385.92	71.86	171.95	209.22	0.59	0.0
Nat8l	0.0	5.03	0.06	0.0	0.0	21.49	0.0	7.99	26.29	8.79	39.2	18.13	41.62	51.18	25.97	32.88	48.27	103.94	108.26	52.29	21.6	50.39	36.63	9.99	50.04	11.59	6.77	62.19	51.88	39.07	31.07	41.38	31.56	73.79	24.73	119.04	61.45	64.41	161.43	101.06	0.0	0.0
Nceh1	0.0	191.5	0.58	84.38	0.0	192.8	0.0	111.96	31.43	100.56	198.98	141.6	155.9	175.42	285.55	296.48	153.62	167.56	112.52	155.03	62.73	156.69	200.95	28.28	157.38	152.85	205.57	144.62	75.83	92.41	154.46	236.98	245.06	334.66	54.19	83.43	195.83	231.56	291.46	165.58	0.0	0.0
Ndst3	0.0	0.02	0.38	0.0	0.11	0.12	0.17	87.92	0.0	0.0	76.27	0.0	2.03	1.95	15.13	31.99	35.86	18.02	4.1	1.91	0.0	0.34	1.7	0.0	0.0	18.42	0.16	0.13	0.0	30.6	29.94	0.0	22.0	12.6	43.5	0.0	12.08	22.36	0.07	0.07	0.14	0.26
Ndufaf4	5.45	14.25	0.0	0.0	0.0	28.65	0.0	57.86	52.86	39.26	102.39	66.8	68.93	58.46	88.7	86.93	63.4	49.08	17.96	110.69	116.6	137.99	71.2	35.35	72.03	79.75	21.25	77.18	78.52	119.48	89.01	55.95	36.0	164.07	86.85	148.6	64.62	121.46	55.84	152.25	0.0	0.0
