	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_47	Chrna2_tdTpositive_cell_53	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_28	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_92
H2afz	1071.85	987.77	2621.48	1880.31	1817.32	614.13	579.52	887.47	652.39	732.95	884.3	676.09	810.38	762.41	602.51	1655.89	621.23	765.14	0.74	0.7	1.31	575.07	462.65	1345.44	1105.14
Mcat	0.0	2.91	0.0	146.53	0.0	0.0	0.0	0.0	72.28	0.0	1.32	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mcee	0.0	0.0	129.11	174.11	144.16	0.0	25.98	106.28	0.0	95.81	48.99	182.07	119.95	128.54	0.0	132.55	85.09	55.81	0.0	0.0	0.0	0.0	0.0	65.25	0.0
Mif	1451.78	1400.06	1676.61	1540.62	1702.3	0.0	485.11	467.33	1338.04	1004.07	933.27	1145.81	1797.72	1059.59	1165.66	1506.56	1136.55	1029.93	0.0	1.26	1203.98	0.0	438.68	1027.5	1677.25
Mrps11	128.14	220.58	320.44	279.31	165.81	0.46	46.78	98.72	49.95	75.71	101.26	10.1	40.75	77.9	132.69	36.15	66.64	52.98	0.0	0.0	0.0	0.0	0.0	279.99	142.31
Mrto4	53.14	45.73	103.05	16.46	74.28	0.0	46.35	0.0	0.0	42.49	51.09	52.48	0.0	0.0	29.84	42.98	67.74	34.91	0.0	0.0	0.0	0.0	0.0	84.85	37.7
Ndufa8	921.07	581.52	653.67	915.15	1020.35	0.0	331.84	360.29	616.16	391.54	506.89	349.7	331.97	450.6	109.61	375.71	150.1	344.91	0.98	0.46	0.0	0.0	0.0	502.33	594.82
Ndufb5	895.62	505.0	1360.45	848.58	654.79	185.19	314.25	194.41	308.15	465.96	368.44	562.37	644.51	283.96	311.52	308.38	369.82	554.74	0.0	1.67	789.73	0.0	7.85	638.61	319.77
Ndufs8	700.11	420.19	913.71	647.51	461.13	0.0	184.89	199.33	117.86	339.53	274.32	109.21	326.54	267.08	479.38	162.98	480.71	290.2	0.0	0.35	521.75	0.0	0.0	272.91	344.1
Pgk1	953.86	886.45	578.65	1573.41	487.46	239.28	1304.65	901.22	1046.27	823.83	1141.26	968.79	812.62	661.91	772.49	463.03	716.99	990.51	0.76	0.72	5.43	759.2	31.9	624.23	1273.56
Ppp2r3c	22.95	49.26	67.18	0.26	87.29	0.0	0.0	41.07	11.9	53.75	43.91	69.19	9.38	0.0	2.69	61.42	50.92	25.77	4.21	3.53	0.0	0.0	0.0	114.02	43.39
Psma6	716.6	497.76	1335.53	1045.74	751.05	0.0	404.6	277.95	495.47	457.18	558.64	312.63	687.63	155.2	346.6	629.12	480.72	576.25	188.09	0.0	0.0	0.0	0.0	629.77	467.82
Psmb2	589.47	409.61	557.58	1130.04	1237.87	691.79	534.64	217.6	819.78	616.29	421.17	229.88	266.04	485.53	118.9	562.14	283.04	222.28	0.84	0.0	0.0	20.66	0.0	478.32	476.14
Ptprn2	109.4	50.56	63.83	91.52	144.04	0.0	34.27	2.44	29.4	19.02	31.06	22.64	23.67	73.65	43.99	29.33	0.55	43.96	0.0	0.0	0.0	0.0	0.52	17.76	57.07
Rab3b	1610.56	1400.3	1767.73	1420.02	2193.28	0.0	969.82	784.41	1528.09	1722.37	1423.77	964.61	1075.94	751.22	620.57	1481.64	938.28	1027.99	0.0	0.0	0.0	0.0	0.0	1466.14	1198.74
Romo1	616.1	192.77	240.86	179.97	396.34	0.0	160.62	64.93	2.21	259.01	368.15	128.29	279.35	119.28	193.91	81.46	132.44	239.6	0.0	0.0	0.0	0.0	0.0	162.85	196.93
Rpl36al	430.01	236.84	277.03	289.69	420.62	0.0	98.69	71.99	260.65	289.98	352.06	325.92	449.82	252.81	473.1	365.21	386.28	295.44	0.0	1711.2	0.0	0.0	0.0	418.16	168.23
Rpp21	534.27	182.4	439.28	655.48	263.65	0.0	16.46	89.72	74.31	152.69	70.06	85.45	30.79	98.54	100.29	127.7	119.71	47.58	0.0	0.0	5.3	0.0	0.0	252.6	145.76
Scn8a	36.74	11.27	10.47	54.81	10.93	0.0	26.57	48.74	29.98	22.26	14.66	1.37	4.46	11.53	9.25	1.12	7.0	10.7	0.0	0.03	0.04	0.0	0.0	34.28	35.08
Sdhc	88.27	277.41	520.89	520.98	164.38	0.0	136.66	225.16	259.28	105.69	152.72	144.16	95.84	176.59	123.22	83.83	246.04	209.08	0.0	0.28	0.0	0.0	0.0	149.62	253.73
Shank1	3.79	8.14	4.91	0.32	12.68	0.0	1.5	1.02	5.52	4.13	2.68	2.39	3.69	8.25	1.75	7.89	4.22	4.23	0.0	0.0	0.0	0.0	0.0	2.54	7.02
Shisa4	27.3	54.19	3.05	97.58	3.78	0.0	0.0	0.0	0.0	25.44	15.96	16.77	9.77	0.0	0.25	51.08	7.63	7.04	0.0	0.28	0.0	0.0	0.0	0.0	8.07
Slc22a17	144.42	280.17	307.91	206.92	109.26	0.0	37.4	45.21	85.71	104.93	94.32	139.49	59.16	105.47	29.55	108.26	91.55	38.56	0.3	0.0	0.0	0.0	0.0	93.23	159.23
Slc24a3	0.09	15.36	115.77	19.55	36.04	0.0	20.66	0.0	130.29	17.12	27.53	2.02	9.01	29.0	18.28	1.6	16.28	22.18	0.0	0.0	0.0	0.0	0.0	77.31	195.09
Slc32a1	17.42	9.87	31.03	11.3	0.11	0.0	18.68	0.98	13.88	3.09	8.35	18.67	10.46	5.02	2.92	10.63	6.2	6.07	0.0	0.0	0.0	0.0	0.0	1.72	3.19
Sst	54779.79	110572.87	47293.26	34440.97	92299.24	0.0	72114.03	79456.04	80147.45	56866.87	57147.69	68952.67	63593.53	65451.11	54281.29	59257.22	63808.17	57846.93	0.0	0.0	2.17	0.0	0.0	78404.02	60686.4
Taf11	88.82	54.26	15.9	184.86	149.34	0.0	27.15	0.0	0.19	0.0	47.1	50.06	1.63	0.0	133.15	51.61	63.15	34.68	0.0	0.0	0.0	0.0	0.0	20.19	0.79
Thy1	286.87	99.47	260.45	12.85	71.37	0.0	43.72	59.39	22.08	58.55	99.0	92.73	98.6	64.8	55.77	109.42	66.66	60.78	0.0	0.0	0.0	0.0	0.0	117.24	83.78
Tmem218	0.0	0.0	0.0	172.21	0.0	0.0	94.53	0.0	184.89	30.94	0.0	0.0	0.0	0.0	0.0	1.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.16
Tmem91	129.62	375.29	390.35	669.93	269.05	0.0	81.51	168.57	230.45	221.33	185.51	155.35	183.95	65.44	78.31	159.36	150.8	121.23	0.0	0.0	0.0	0.0	0.0	165.16	158.74
Ttll1	83.76	148.97	3.93	272.78	33.17	1.4	94.84	100.94	1.55	114.34	127.23	251.2	197.93	0.62	132.12	203.39	228.89	131.12	2.49	8.49	12.46	3.91	9.26	128.6	252.7
Vamp2	255.92	196.4	302.53	296.81	272.19	0.0	164.41	188.29	208.22	119.52	258.31	188.18	152.42	168.82	87.45	90.41	167.43	91.21	17.97	0.0	0.0	0.0	0.0	244.21	71.09
Vash1	0.0	0.0	38.31	0.0	0.87	0.0	0.0	0.04	0.0	0.04	10.82	0.04	0.0	0.0	0.05	17.12	2.66	0.16	0.0	0.0	0.0	0.0	0.0	0.02	4.17
Wdr8	82.53	338.38	0.0	111.04	0.0	0.0	0.0	0.0	0.28	79.44	103.35	0.0	46.5	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0
Zcchc17	289.66	178.31	130.02	223.84	252.55	0.0	238.63	45.38	98.97	192.97	162.36	111.87	139.17	126.21	194.47	208.97	196.55	210.59	0.0	0.0	0.0	0.0	0.0	79.61	175.11
