	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_81	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_8
Amfr	1.15	18.58	0.0	242.03	0.0	30.35	0.0	0.08	0.0	40.16	39.27	33.66	10.04	1.35	30.96	21.04	20.83	54.51	24.05	42.79	38.02	29.34	13.02	37.35	67.42	1.25	55.3	37.9	45.47	0.37	32.48	13.82	43.96	59.95	42.32	3.41	78.09	4.48	4.74	22.46	33.15	6.21	16.37	9.52	86.63	5.31	0.0	2.99	0.0	78.63
Amph	0.0	0.08	0.0	0.0	0.0	66.67	0.09	0.09	0.0	85.19	0.19	28.29	65.22	53.44	62.18	66.14	161.28	144.83	95.2	17.45	77.9	87.35	63.42	42.07	62.43	230.88	61.96	3.26	126.31	70.72	38.6	45.07	91.51	127.52	91.01	37.91	62.3	76.98	86.59	105.46	72.6	7.17	61.46	30.26	88.32	21.0	0.0	1.15	0.0	249.29
Apc	0.0	0.02	0.0	0.0	0.0	24.3	0.0	0.61	0.0	43.37	0.05	17.56	44.52	10.36	25.93	24.19	46.26	47.48	25.75	25.99	36.44	51.89	36.96	19.82	62.53	41.57	31.44	0.44	12.7	13.61	13.61	30.81	30.37	39.88	26.39	16.34	45.66	24.7	43.65	37.85	55.95	28.31	19.94	33.68	61.57	46.87	0.0	0.96	0.0	44.28
Bcat1	0.06	4.08	0.0	0.0	0.0	64.55	0.0	0.0	0.0	133.52	0.08	135.51	120.68	41.42	61.89	123.62	215.47	77.19	83.61	66.56	83.07	48.04	98.75	40.01	139.48	24.38	131.33	39.28	145.52	85.01	115.22	111.05	71.13	161.5	121.43	165.23	82.49	46.58	66.81	21.52	64.83	32.77	154.01	86.1	103.38	97.57	0.0	0.19	0.0	210.53
Cacna2d2	0.0	0.0	0.0	0.0	0.0	3.19	0.0	0.05	0.0	7.6	0.0	0.75	6.92	0.09	0.34	5.35	0.0	6.06	6.03	9.01	16.43	10.03	2.27	7.24	0.7	0.0	2.39	7.42	8.0	3.93	5.88	2.19	8.82	3.9	4.04	4.37	6.06	5.43	8.29	0.77	0.0	3.34	0.41	8.07	6.81	2.37	0.0	0.0	0.0	22.75
Cadm3	0.0	0.0	0.0	0.0	0.34	18.46	0.0	0.0	0.0	0.0	0.0	12.31	17.25	0.0	17.68	6.52	1.1	12.09	1.39	5.16	0.19	0.13	14.88	12.23	0.46	18.04	23.65	0.18	0.73	0.08	11.09	11.55	5.75	0.54	9.07	9.87	24.43	0.4	12.26	0.38	0.0	0.6	3.99	1.37	8.91	6.25	0.0	0.0	0.0	22.95
Cadps	0.0	14.92	0.0	0.0	0.0	100.73	0.0	0.0	0.0	140.38	0.11	100.45	91.66	67.77	70.19	121.24	171.29	90.33	116.58	160.28	80.32	141.54	72.37	165.19	180.24	23.13	65.4	77.18	144.15	103.59	195.13	318.16	84.3	180.37	106.17	82.36	250.36	235.87	116.96	100.87	94.6	158.29	88.82	117.29	167.55	129.52	0.0	0.33	0.0	114.32
Ccdc149	0.0	0.0	0.0	0.0	0.0	31.61	0.0	0.0	0.0	57.94	0.18	1.96	0.0	0.0	0.0	0.0	0.0	3.44	8.24	0.0	0.0	0.0	31.66	0.0	15.6	76.92	0.0	0.0	7.93	0.0	0.0	2.84	0.0	32.85	3.0	0.13	5.81	31.13	7.77	0.16	19.78	1.12	31.48	0.0	0.0	0.7	0.0	0.0	0.0	65.28
Cdr1	0.0	0.0	0.0	0.0	0.0	59.71	0.0	0.0	0.0	96.17	0.52	53.51	64.19	36.68	47.5	96.58	85.92	79.93	140.74	110.68	129.29	135.65	37.4	7.67	73.33	85.72	12.54	0.49	134.08	2.97	50.28	125.28	69.32	89.39	65.84	139.13	294.54	15.12	102.48	182.77	60.93	147.03	83.73	24.63	144.7	104.56	0.0	0.0	0.0	164.16
Cds1	0.0	0.0	0.0	0.0	0.0	45.84	0.0	0.0	0.0	30.84	0.15	86.58	75.15	74.62	50.17	66.65	35.75	28.74	109.63	43.99	20.63	50.76	24.93	21.16	49.56	80.4	22.79	4.32	55.33	0.0	77.96	136.04	44.03	65.63	88.88	58.31	53.48	34.91	70.18	43.08	22.68	0.79	17.87	24.03	33.83	59.69	0.0	0.09	0.0	154.89
Clcn7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	3.94	0.0	0.0	17.85	5.27	19.97	0.0	0.0	0.39	0.13	0.37	70.63	0.79	0.0	1.68	55.21	3.38	0.0	11.18	1.9	6.29	19.68	0.12	0.0	24.86	0.0	3.11	27.82	0.0	0.76	0.33	20.53	8.33	0.0	0.0	0.36	0.0	59.32
Cnnm1	0.0	1.32	0.0	0.0	0.0	70.89	0.0	0.0	0.0	26.45	0.12	33.53	11.15	25.63	41.51	55.6	87.49	15.63	59.13	39.08	17.69	30.69	41.34	28.56	37.38	0.15	18.12	4.61	30.63	0.4	37.23	14.25	24.8	54.02	33.8	10.44	70.5	56.95	16.12	18.65	44.86	27.34	12.87	72.25	48.71	21.87	0.0	0.07	0.0	85.73
Commd1	789.4	0.0	0.0	0.0	0.0	114.21	0.0	0.0	0.0	45.9	0.0	61.02	198.51	112.18	210.98	145.38	134.76	55.41	0.0	70.45	137.45	189.47	122.01	68.24	165.42	0.0	0.0	13.91	38.74	77.87	118.78	87.64	126.14	61.71	128.74	142.35	43.38	66.2	93.85	61.05	201.14	47.16	0.58	175.98	54.53	73.95	0.0	0.47	0.0	157.76
Cry2	3.14	0.23	0.0	0.0	0.0	1.37	0.0	83.84	0.93	28.46	2.03	16.14	11.99	0.0	0.0	18.24	0.28	13.78	0.0	0.17	1.09	2.56	12.34	22.26	34.66	44.31	28.58	26.5	7.25	25.46	9.23	0.68	1.83	35.24	0.04	19.9	5.12	16.7	23.08	83.67	0.0	18.82	0.0	0.92	26.18	0.11	0.0	0.21	0.26	40.7
D6Wsu163e	0.0	3.94	0.0	0.0	0.0	0.0	0.0	542.9	0.0	0.19	0.0	14.9	45.63	0.22	0.0	3.83	51.53	75.83	41.43	90.47	42.22	97.2	31.63	5.71	18.97	0.69	0.0	20.08	0.14	0.0	41.09	14.59	0.0	1.85	0.0	130.6	53.23	0.0	54.34	0.0	39.5	0.0	0.0	24.58	52.71	143.09	0.0	0.33	0.0	165.58
Dctn2	0.0	0.0	4.23	520.07	0.0	65.05	0.0	0.0	0.25	115.71	463.25	23.1	250.44	67.07	89.26	90.07	37.88	25.21	179.65	86.36	171.59	51.23	44.26	247.47	9.22	70.41	132.53	5.88	148.13	2.16	102.39	58.25	94.73	125.94	95.73	6.64	138.56	151.37	114.44	44.69	117.57	95.77	53.32	89.48	122.77	97.48	0.0	0.19	0.36	453.12
Dennd5a	3.59	91.7	0.0	51.37	25.34	57.16	0.0	130.51	0.0	0.08	0.12	26.3	59.68	0.05	15.76	34.05	25.1	21.67	16.95	56.14	0.79	54.32	43.57	35.35	28.16	1.7	6.33	40.98	9.88	70.1	19.44	62.72	6.86	28.13	55.47	0.26	15.59	11.85	26.11	39.89	11.15	1.49	9.21	37.48	9.49	36.28	0.0	0.22	21.73	66.11
Dnm1	0.0	0.0	0.0	0.0	0.0	46.47	0.0	0.0	0.0	78.56	0.0	49.98	54.5	24.08	22.6	42.23	65.64	39.79	44.67	56.43	20.34	98.62	59.25	26.69	72.66	74.58	86.27	10.67	54.75	10.96	65.43	91.12	59.24	10.87	51.62	25.46	159.48	100.11	93.66	55.97	107.29	52.37	74.07	71.52	101.6	73.5	0.0	0.39	0.0	78.28
Dync1li2	0.0	1.36	0.0	0.0	0.7	127.79	0.0	3.62	0.0	69.18	0.54	41.09	42.58	34.22	19.63	69.34	26.04	49.42	27.75	158.42	48.0	55.36	73.63	95.18	67.38	39.12	64.08	40.08	85.29	25.82	60.07	42.44	66.79	89.35	13.16	12.77	72.29	84.23	35.37	27.32	75.09	3.39	38.18	67.51	82.59	91.37	15.07	0.87	0.0	69.93
Eif3b	0.0	0.0	0.0	0.0	0.0	0.0	87.6	0.0	0.0	0.0	0.0	49.68	5.66	17.51	46.97	0.0	0.26	22.37	7.0	13.9	34.31	22.28	31.9	2.23	12.68	0.0	28.71	0.0	0.0	0.0	5.78	2.99	0.0	0.0	8.92	1.61	0.0	0.0	32.43	14.52	29.76	0.0	6.84	8.12	25.49	0.0	0.0	0.5	0.0	84.32
Entpd7	0.0	0.0	0.0	0.0	0.0	11.19	0.0	0.05	0.0	15.48	0.1	43.1	20.0	5.98	8.93	23.14	94.7	29.08	87.71	44.98	34.53	58.12	36.89	45.14	84.95	19.31	27.9	85.56	74.26	8.77	84.0	31.8	51.92	87.82	46.25	32.25	51.75	9.16	42.48	21.46	8.77	38.34	34.03	28.01	78.84	38.67	0.0	0.24	0.12	19.7
Exoc6b	0.0	0.0	0.0	0.0	0.0	24.79	0.0	0.0	0.0	16.17	0.11	4.64	2.42	0.0	2.61	23.09	1.54	16.65	0.15	21.73	18.25	30.19	37.34	9.05	14.64	0.0	7.92	9.63	0.0	0.31	5.59	14.25	33.51	0.0	7.0	8.16	21.56	27.75	15.5	34.83	0.17	2.03	0.0	28.69	85.2	26.65	0.0	0.0	0.0	107.07
Fam134a	0.0	0.1	0.0	0.0	9.41	0.0	4.61	1.3	0.0	60.29	0.47	51.07	24.71	13.75	2.81	49.46	35.9	24.97	129.27	0.75	28.78	82.88	60.95	25.54	45.32	81.28	33.05	75.63	7.33	102.95	9.24	11.97	53.94	9.54	30.16	46.05	55.73	90.35	2.03	62.74	51.59	0.24	0.34	91.45	3.69	1.1	0.0	0.14	569.28	93.56
Fbxo22	0.69	0.5	3.22	2.58	49.71	62.25	8.62	1.9	0.34	82.23	0.59	26.84	148.31	134.47	36.53	62.18	0.48	58.38	4.78	57.41	83.29	109.36	44.32	150.5	65.1	0.0	0.44	33.32	0.84	0.89	26.95	0.97	128.55	90.8	113.05	103.83	51.38	60.36	147.91	128.08	81.25	153.98	6.76	75.75	48.23	49.19	3.61	2.67	1.97	101.62
Fkbp8	0.0	95.09	0.0	0.0	0.0	100.26	0.18	0.0	0.0	85.13	1.78	38.41	41.61	55.47	56.72	33.28	83.46	26.94	10.89	27.65	5.65	37.43	24.76	23.36	42.85	0.0	4.37	3.77	9.14	18.49	62.5	57.49	3.41	6.25	56.49	29.77	22.3	36.74	54.21	7.07	19.76	17.43	3.23	47.26	73.03	13.2	0.0	19.12	0.0	169.64
Gadd45gip1	0.0	0.0	0.0	0.0	0.0	0.95	0.0	0.0	0.0	4.67	0.0	0.35	10.92	0.16	1.72	7.29	16.51	8.51	5.99	0.0	0.46	24.37	0.0	5.75	2.32	0.0	0.0	0.0	0.0	0.0	0.0	3.41	12.36	0.0	0.0	0.0	11.66	0.0	0.0	0.0	0.0	2.05	0.0	8.51	0.0	0.0	0.0	0.0	0.0	34.89
Glyr1	0.0	90.28	67.43	3.64	0.0	26.33	0.0	0.08	0.0	33.46	0.18	71.14	20.52	26.41	63.65	26.2	53.79	28.45	70.55	88.88	25.82	33.22	121.71	20.85	105.18	11.52	78.1	54.22	107.19	84.51	65.86	61.34	49.52	109.51	95.17	29.28	58.17	30.97	60.91	103.34	29.16	0.0	25.51	77.87	67.76	85.93	0.11	0.55	0.0	197.04
Gnal	0.52	0.15	0.0	0.0	99.69	82.13	71.91	0.1	0.39	67.1	28.52	66.18	119.22	7.04	53.9	61.4	93.87	64.21	42.48	136.56	93.96	157.58	63.14	49.34	84.15	28.43	35.2	47.2	70.0	31.96	59.28	110.89	18.18	66.66	103.68	44.1	75.04	147.02	68.46	85.99	68.1	101.12	1.71	61.98	64.4	124.03	1.3	1.95	0.0	211.87
Gnb5	0.0	0.0	0.0	0.0	0.0	281.9	0.26	0.24	0.0	92.19	0.34	259.87	228.62	97.83	153.93	190.32	263.19	165.0	110.76	229.08	148.38	352.04	75.51	138.51	249.99	2.68	88.16	120.28	256.4	79.35	245.61	60.13	334.25	275.39	264.22	139.77	80.99	288.58	310.22	64.03	107.29	0.54	157.98	183.8	123.83	159.77	0.0	1.45	0.0	596.96
Golga7	0.0	0.0	0.0	0.0	767.45	3.88	0.0	0.0	0.0	90.72	0.33	181.92	53.39	362.73	47.57	163.33	186.3	345.05	95.7	53.73	190.28	54.01	88.5	155.76	159.57	266.85	0.0	145.51	209.25	69.75	91.1	98.57	114.47	125.83	107.88	131.72	138.46	131.44	296.91	127.74	65.23	171.64	126.63	212.97	12.09	137.82	0.0	1.23	0.0	451.92
Herc3	0.0	0.0	0.0	0.0	0.0	53.15	0.0	0.0	0.0	17.14	0.13	1.61	3.08	0.0	0.1	12.74	0.0	13.47	11.5	35.02	17.38	4.09	14.55	20.41	21.77	60.46	27.58	29.61	32.15	9.38	41.8	30.04	0.0	18.52	3.04	0.18	5.62	0.26	19.03	0.57	19.04	41.13	0.0	13.46	7.6	9.58	0.0	0.46	0.0	88.65
Hlf	0.0	0.0	0.0	139.23	0.0	7.08	0.0	0.0	0.08	20.57	8.39	19.6	21.78	4.61	23.36	26.46	34.7	21.59	3.78	26.51	78.18	36.08	52.74	67.92	15.3	30.57	99.12	27.07	35.89	0.06	8.61	4.36	1.43	26.16	31.69	56.26	13.84	45.68	2.99	0.0	14.94	76.89	70.43	21.74	31.89	6.22	0.0	0.19	0.0	35.76
Kcnab2	0.0	0.2	0.0	0.0	0.0	56.32	0.0	0.0	0.0	39.01	0.0	61.03	19.58	47.5	45.26	22.24	87.19	102.87	58.06	23.79	116.01	58.4	61.28	41.04	89.61	36.84	4.56	34.78	88.78	45.03	53.29	113.61	33.32	77.34	118.17	49.89	59.43	26.18	85.61	64.08	73.2	44.07	35.72	57.48	126.13	98.54	0.0	0.41	0.0	45.47
Kif5c	0.0	32.94	0.0	0.0	0.0	74.32	0.04	0.04	0.0	60.35	0.09	81.79	51.49	21.2	29.8	89.05	36.03	39.29	47.38	116.99	115.6	82.52	163.51	97.47	160.06	0.45	84.73	73.82	40.76	97.92	68.31	83.39	87.09	120.44	90.86	76.69	178.14	57.58	87.42	81.36	82.64	51.82	50.47	59.29	158.85	94.05	0.0	0.48	0.0	157.04
Klhl18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.88	0.0	0.0	0.0	25.55	0.0	19.65	21.75	13.74	21.47	4.87	0.0	18.17	0.0	4.17	0.28	0.0	2.21	1.71	0.6	0.0	0.0	5.66	20.21	17.13	19.15	0.1	1.23	0.82	15.6	5.31	40.41	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	76.02
Klhl7	1.0	14.69	2.74	3.44	0.0	63.73	2.82	3.02	4.74	51.98	1.84	27.53	63.91	42.3	39.74	41.96	54.4	23.99	67.89	57.95	103.26	161.53	81.29	43.84	104.68	2.58	37.75	117.91	105.39	24.51	76.33	41.04	55.49	52.57	125.06	158.68	73.77	46.76	68.08	34.25	9.78	44.29	80.69	28.98	84.43	76.98	2.39	5.94	4.17	171.64
Ldhb	7486.96	8970.97	4317.46	5404.32	5274.92	9309.63	4364.95	5876.73	5600.23	8752.31	6399.01	8798.32	8750.45	10118.08	10894.4	8525.9	8892.3	8217.62	8583.06	8517.89	9220.91	9343.6	8808.99	8223.21	10165.1	9166.61	9602.81	11261.44	10004.69	8757.21	9074.03	13571.31	12546.17	9106.97	8513.41	9755.78	8013.75	8904.1	8390.99	11010.48	8275.76	8671.45	10182.84	9082.37	7830.1	11746.38	3251.53	5873.38	5577.5	7324.1
Lmtk2	0.0	0.0	0.0	0.15	0.0	22.03	0.0	0.0	0.0	14.73	0.07	9.22	3.75	0.3	0.23	14.1	13.48	0.47	22.73	12.58	19.96	6.13	11.05	13.77	9.31	15.66	1.06	13.1	0.15	26.51	9.9	12.74	17.18	17.36	17.75	0.06	21.61	1.11	16.2	0.47	7.62	12.92	2.8	29.61	8.17	9.4	0.04	0.18	0.0	21.17
March6	0.0	8.82	5.37	0.0	0.0	35.57	0.05	108.45	0.0	23.87	0.0	34.37	17.66	85.72	1.59	27.42	10.3	38.41	70.21	47.93	27.66	23.72	52.6	0.0	54.53	27.74	32.48	0.24	26.75	23.62	13.59	1.41	16.15	33.06	16.24	48.65	14.24	34.75	13.94	5.13	63.83	40.45	42.88	45.5	78.22	2.28	0.0	0.29	0.0	160.05
Mpped1	0.0	0.08	0.0	0.0	0.0	12.42	0.0	0.0	0.0	75.65	0.0	3.99	34.33	51.37	34.24	32.5	27.12	73.56	54.47	92.43	1.69	135.87	3.07	3.89	1.99	69.2	59.98	6.39	33.36	0.94	0.22	22.03	5.0	111.2	26.94	91.73	118.07	77.06	77.78	17.17	69.62	10.65	58.51	117.79	69.24	1.67	0.0	1.47	0.0	168.42
Myo5a	0.0	4.61	0.0	0.0	0.0	42.77	0.02	0.05	0.0	53.44	0.44	45.27	92.3	11.11	69.14	40.3	61.52	44.13	71.73	111.23	46.76	73.9	75.09	47.35	65.61	24.09	68.38	41.79	55.97	46.56	69.17	55.96	9.71	57.57	42.95	28.13	91.78	69.49	47.53	36.2	38.36	50.63	73.22	48.43	70.29	42.52	0.0	0.5	0.0	66.05
Ncdn	0.0	23.57	0.0	0.0	0.0	56.9	0.0	0.07	0.0	46.67	0.32	41.09	34.65	3.88	15.61	43.05	18.63	16.98	6.03	35.69	13.8	18.95	13.7	31.4	12.39	0.41	15.15	5.71	15.72	13.78	25.55	11.45	34.9	23.86	7.39	9.59	50.3	6.57	21.72	23.48	14.72	8.84	5.34	22.77	78.6	2.77	0.0	0.2	0.0	26.41
Ndufaf4	5.45	0.0	0.0	0.0	0.0	28.65	1.4	0.0	0.0	71.65	7.53	102.39	66.8	68.93	58.46	88.7	86.93	63.4	68.08	49.08	17.96	110.69	53.34	26.15	137.99	49.64	71.2	35.35	72.03	21.25	77.18	78.52	119.48	58.67	89.01	55.95	93.66	23.78	59.11	86.85	98.56	33.85	148.6	121.46	55.84	152.25	0.0	0.1	0.0	70.45
Pes1	0.0	65.9	0.0	0.0	0.0	3.23	0.0	0.0	0.0	28.06	312.86	101.67	0.24	0.0	0.0	67.92	31.45	24.11	73.57	42.74	81.59	0.37	29.39	0.0	31.95	58.49	0.0	0.13	0.0	0.0	18.15	0.0	90.39	0.0	6.69	12.55	3.0	46.8	33.98	12.78	0.0	0.0	0.15	0.86	72.37	70.93	0.0	0.0	0.0	83.33
Pom121	0.0	0.0	0.0	0.0	0.0	24.05	0.0	0.0	0.0	5.43	0.0	1.22	0.0	0.07	0.0	15.04	0.0	1.06	2.51	1.12	16.8	8.46	15.25	11.59	5.72	19.55	2.11	17.67	19.8	0.0	2.03	0.2	33.37	0.22	9.44	0.0	0.67	5.88	1.06	0.0	1.19	6.27	0.0	0.29	25.64	0.48	0.0	0.0	0.0	0.0
Ppp2r2b	0.0	121.6	0.0	473.45	0.0	88.72	98.6	0.14	0.24	343.09	3.68	348.73	178.41	69.22	201.7	299.0	101.14	265.92	187.64	209.23	156.22	175.53	421.44	408.38	106.1	114.93	93.55	164.04	431.18	272.17	143.78	130.63	243.47	264.53	154.78	286.46	130.37	170.1	344.48	73.86	143.62	199.92	231.35	284.15	370.25	185.8	0.0	0.92	0.0	612.82
Prkce	0.0	0.89	0.0	0.1	0.0	21.84	0.24	0.04	0.0	38.63	0.38	57.2	29.01	2.92	36.24	26.9	55.14	54.91	45.32	44.87	28.08	26.82	66.56	72.86	24.63	0.24	36.28	37.4	69.04	15.93	31.97	12.17	15.45	29.69	25.61	28.57	54.03	35.1	53.63	34.59	27.33	12.85	27.51	39.5	58.8	31.32	0.0	0.21	0.39	122.82
