	Chrna2_tdTpositive_cell_31	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Aard	9.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.96	0.0	0.0	0.0	4.08	2.94	2.84
Abcc9	0.23	0.11	0.38	0.13	0.32	0.23	0.49	0.37	0.28	0.18	0.25	0.31	0.37	0.22	2.5	0.14	0.4	0.73	3.33	3.27	4.07
Acin1	50.13	6.96	19.75	1.5	36.49	13.13	2.79	4.08	0.88	24.19	4.59	5.6	0.0	29.63	74.89	6.91	10.68	9.79	81.9	86.64	75.72
Acta2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.13	0.0	0.0	9.56	12.04	11.19
Afg3l2	0.0	0.0	1.14	2.43	0.0	0.08	29.68	0.0	33.91	9.55	0.0	0.18	6.05	0.0	261.17	2.38	0.0	11.44	75.78	70.05	68.28
Aldh3a2	0.0	0.0	0.0	57.76	48.66	0.0	10.79	0.0	0.0	81.05	78.52	35.5	39.35	0.0	275.88	26.61	0.29	47.78	38.73	39.62	38.0
Amy2a2	0.17	0.13	0.1	0.12	0.07	0.17	0.05	0.0	0.08	0.17	0.22	0.02	0.0	0.09	0.62	0.08	0.12	0.21	0.26	0.19	0.21
Amy2a3	0.17	0.13	0.1	0.12	0.07	0.17	0.05	0.0	0.08	0.17	0.22	0.02	0.0	0.09	0.62	0.08	0.12	0.21	0.26	0.19	0.21
Amy2a4	0.17	0.13	0.1	0.12	0.07	0.17	0.05	0.0	0.08	0.17	0.22	0.02	0.0	0.09	0.62	0.08	0.12	0.21	0.26	0.19	0.21
Ap1ar	16.09	0.0	27.92	0.13	0.0	15.54	1.22	20.06	0.0	0.22	28.17	0.84	0.0	33.87	131.64	0.0	0.0	11.95	91.14	95.93	92.03
Arhgef10	0.25	0.0	0.0	0.0	0.0	0.0	0.0	3.47	0.0	0.0	0.09	0.0	0.0	0.0	33.6	0.0	0.0	0.71	21.91	22.22	25.99
Arid3a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.08	0.0	0.0	2.89	32.8	12.86	0.0	0.19	3.69	4.25	3.5
Arl13a	0.0	0.0	0.0	0.0	0.0	2.17	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	7.81	0.0	0.0	0.4	0.06	0.05	0.0
Atf6	7.51	0.01	6.18	12.29	0.74	0.0	10.32	0.0	0.0	2.24	11.48	0.0	7.89	0.0	60.62	6.84	0.08	29.61	35.65	31.51	36.94
B230209K01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	1.01	0.0	0.0	0.22	1.7	2.02	2.15
BC020402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.55	0.0	0.0	0.0	0.0	73.9	0.0	2.65	1.6	6.15	5.46	5.09
BC032203	7.3	0.0	0.0	16.19	11.36	0.0	17.72	17.46	14.64	0.0	3.78	0.0	0.03	0.0	69.32	10.19	0.05	4.43	28.79	28.27	28.83
Bckdhb	2.64	0.37	0.27	1.21	1.54	0.0	0.49	0.0	0.0	15.69	10.76	0.0	0.35	0.0	144.24	0.0	0.0	4.38	41.25	42.85	39.75
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Btnl9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.12	0.11	0.04
C4bp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.36	0.0	0.0	0.0	0.21	0.25	0.0
Carm1	0.0	0.14	5.2	0.0	40.78	0.63	13.99	0.0	0.0	0.21	0.0	0.0	0.0	0.0	103.65	0.0	0.0	3.49	50.34	52.75	51.56
Ccdc89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.55	0.0	0.0	0.15	0.59	0.36	0.82
Cdh22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	1.02	0.0	21.34	0.0	0.34	0.1	26.71	27.01	29.44
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Clgn	0.0	0.0	0.0	17.08	0.0	0.0	0.57	0.0	0.0	45.48	0.0	0.0	0.0	0.0	64.97	0.0	0.0	3.52	9.95	10.11	9.73
D030018L15Rik	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.02	0.05	0.03
D130017N08Rik	0.0	0.0	2.08	0.0	0.33	0.0	1.73	0.0	0.0	0.0	0.0	0.0	2.4	1.57	40.26	39.54	4.11	1.86	17.4	13.19	14.63
D17Ertd648e	0.0	0.32	0.34	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05	0.0	54.95	0.0	1.06	0.0	11.77	7.97	10.82
Dbc1	0.0	0.07	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	444.01	0.0	0.45	158.13	177.21	176.36	174.5
Ddx11	0.29	0.22	0.07	0.35	0.13	0.16	0.16	0.07	0.25	0.12	0.48	0.08	0.28	0.31	1.24	0.04	0.0	0.09	1.53	1.0	1.56
Disc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.14	0.0	0.0	0.0	1.06	0.93	1.02
Dnase2a	0.87	0.42	0.0	0.73	0.36	0.92	0.2	0.14	1.22	0.18	0.13	0.66	0.02	0.83	2.96	0.39	0.34	0.7	4.82	5.11	5.28
Elovl2	0.0	0.02	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.26	0.0	0.0	1.26	13.35	12.02	13.14
Enpp6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	1.24	4.79	5.81	6.57
Entpd5	0.0	0.02	0.0	0.0	16.6	0.0	5.26	0.0	2.8	0.0	0.05	0.58	0.0	0.47	120.63	0.0	0.0	5.71	18.49	18.83	19.07
Fam109a	5.88	0.0	0.0	0.0	0.0	0.11	0.0	22.48	0.0	0.0	0.0	0.0	0.0	0.0	27.52	0.0	0.0	0.6	11.56	10.73	9.53
Fjx1	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.45	0.0	0.0	0.57	73.38	79.2	83.24
Flywch1	3.01	28.45	0.27	0.37	2.92	1.09	1.29	0.77	0.33	4.92	12.91	1.14	1.01	7.5	159.54	13.33	0.0	7.63	187.51	205.15	199.13
Fut1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.08	0.14	0.08
Gabrb3	13.21	24.53	0.15	28.42	0.05	0.0	4.53	0.0	2.95	42.08	23.97	0.21	25.77	0.96	116.29	25.78	19.78	70.63	154.37	138.99	149.04
Gga1	1.35	3.54	0.22	7.95	0.28	1.39	1.06	0.63	4.2	0.0	0.32	0.0	1.28	0.19	43.7	0.8	0.0	0.91	52.2	55.13	54.96
Gm10052	0.0	1.85	0.0	0.51	0.0	0.0	0.0	0.0	0.0	1.26	0.0	0.0	1.25	0.0	61.7	0.0	0.0	0.0	123.8	132.68	117.96
Gm10485	0.0	0.0	0.12	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.78	0.0	0.0	0.0	0.23	0.07	0.08
Gm10548	0.0	0.17	0.19	0.12	0.0	0.67	0.13	0.1	0.21	0.03	0.29	0.0	0.1	0.46	179.04	0.0	0.0	1.45	2.22	1.5	2.22
Gm14378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.21	0.0	0.0	0.67	9.28	10.95	8.56
Gm410	0.0	0.14	0.0	0.08	0.0	0.35	0.04	0.37	0.32	0.16	0.5	0.17	0.0	0.17	4.3	0.38	0.0	0.0	2.31	2.27	1.99
Gm5627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81	0.0	0.0	0.0	0.0	0.0	0.0
Gm8994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.22	0.0	0.0	0.0
H2-M5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.82	0.0	0.0	0.61	1.45	1.3	0.98
Hectd3	22.81	24.42	0.0	0.0	0.0	0.0	27.68	0.0	0.06	0.0	0.0	0.0	25.02	0.0	92.58	21.57	19.78	2.8	35.01	33.61	33.43
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hist2h2be	0.0	0.03	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.09	0.0	0.11	0.0	0.0	64.27	0.53	0.0	1.73	7.8	6.84	7.85
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Hpse	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.21	0.0	0.0	0.0	0.8	1.17	1.48
Igf1r	11.87	0.5	6.55	0.56	14.37	0.02	0.48	2.79	0.02	0.9	5.61	4.19	0.66	0.0	27.4	5.63	0.0	8.86	15.7	15.06	17.48
Il4i1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.19	7.07	0.0	0.17	0.26	0.0	0.76
Inf2	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.56	0.0	0.0	7.11	111.53	108.63	119.77
Itga2b	0.0	0.0	0.0	2.24	3.67	2.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.06	103.01	0.0	0.0	0.2	1.24	1.29	1.3
Itgav	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.54	0.0	0.0	15.3	36.08	35.52	36.84
Kcnmb1	0.46	0.14	0.28	0.73	0.0	0.14	0.16	0.25	0.08	0.2	0.0	0.0	0.15	0.27	5.08	0.36	0.0	0.11	0.75	0.97	0.75
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Kif1c	0.0	0.0	0.02	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11	2.36	0.0	0.49	0.2	43.8	44.6	46.11
LOC545691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0
Lama4	0.0	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.91	0.0	0.0	0.0	5.31	4.82	5.0
Lancl1	23.19	8.97	1.71	19.36	0.13	0.0	0.23	5.55	20.08	58.87	0.0	0.0	0.46	7.0	305.15	20.54	2.34	22.21	104.52	106.74	103.17
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Maz	0.29	0.0	0.0	0.0	0.0	0.0	13.11	0.0	0.12	0.35	0.31	0.0	0.1	0.99	47.11	18.43	0.26	2.2	134.05	157.29	149.83
Mblac1	0.0	1.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.21	15.99	0.0	0.0	1.09	4.14	5.92	6.56
Mid1ip1	10.39	38.92	17.76	0.0	0.83	13.64	1.56	30.01	0.0	0.0	51.74	14.46	0.0	46.78	142.57	0.0	0.0	4.93	92.35	103.28	101.1
Mir668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.64	0.0	0.0	0.0	3.36	0.0	0.0
Mmgt2	0.0	0.04	0.0	0.0	0.0	0.0	13.85	0.0	0.0	0.0	2.12	0.0	0.0	0.0	58.24	17.07	0.0	8.01	14.5	14.7	16.22
Mmp13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.03	0.11
Muc15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.62	0.0	0.0	0.44	0.63	0.12	0.52
Mzf1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.58	0.0	0.0	0.59	7.24	6.89	7.69
Nbeal1	0.0	0.01	1.46	0.3	11.61	0.02	14.67	3.99	8.89	15.58	0.0	2.4	13.82	1.46	71.67	1.4	0.07	3.58	6.49	3.92	6.24
Nlrp1b	0.0	0.11	0.08	0.0	0.07	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.24	0.0	0.39	0.05	0.0	0.0	0.69	0.49	0.69
Nostrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	168.82	0.0	0.0	3.11	3.3	4.51	2.84
Npnt	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.65	0.0	0.0	0.47	16.04	17.87	16.6
Npy	173305.25	149629.49	130357.56	132052.33	130527.91	173863.58	166048.87	191162.16	153405.37	141010.39	151963.58	145032.54	180453.32	128781.07	8484.11	137945.15	137580.94	0.7	214.21	196.57	200.76
Oscar	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172.54	0.0	0.0	0.19	2.62	2.42	2.93
Phf13	0.0	24.13	0.0	16.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	10.72	0.0	145.62	15.22	0.1	1.22	16.69	14.68	12.71
Pi4kb	0.64	6.99	0.97	0.0	4.25	0.0	31.24	1.64	0.37	0.0	0.2	2.0	0.0	0.32	6.96	2.69	0.08	5.36	35.74	35.19	35.07
Pigt	35.38	7.0	3.0	0.36	15.43	4.96	12.51	23.07	0.44	1.18	0.0	16.27	0.0	13.79	61.1	0.0	0.71	2.18	72.19	79.62	79.03
Pigw	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.73	0.0	0.0	2.16	6.0	4.95	5.9
Plekha5	0.26	0.0	0.03	0.0	0.0	1.87	0.0	0.0	5.15	0.0	0.1	9.74	0.53	0.0	90.49	3.15	4.63	10.78	35.88	33.9	39.14
Prdm8	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.09	0.0	0.0	0.07	0.01	0.34	0.0	0.0	0.89	28.2	33.99	26.7
Prmt10	43.55	0.0	0.42	0.0	0.0	0.0	48.36	0.0	0.0	46.81	0.0	0.0	0.0	3.48	186.21	0.0	0.0	3.25	16.1	17.28	15.71
Qrfp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.14	0.06	0.14
Rapgef4	107.32	136.94	71.46	129.81	58.21	20.54	28.29	69.49	24.62	45.62	74.58	17.36	61.02	79.37	488.77	48.33	37.11	78.75	364.49	331.56	376.1
Rell1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	1.6	0.0	2.47	0.0	0.0	125.6	0.0	0.0	44.87	12.66	12.3	11.98
Rfpl4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0
Rhoj	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.04	0.0	0.0	0.0	3.56	2.69	3.46
Scn1b	4.14	2.9	0.0	0.0	0.0	0.0	0.87	0.0	0.0	2.02	0.0	0.38	0.31	0.0	72.23	8.02	1.63	5.6	508.98	541.93	555.14
Sema6b	0.0	3.56	0.0	3.71	0.0	0.0	0.0	0.0	0.0	5.46	0.0	3.28	0.31	6.72	9.12	0.76	1.21	1.57	89.62	103.34	93.97
Skp2	0.0	0.02	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	40.01	0.0	0.0	6.05	5.22	5.01	4.35
Slc25a44	21.19	3.16	23.66	61.32	22.15	0.07	12.37	19.02	33.9	57.57	48.21	0.58	38.74	30.16	126.19	52.61	0.26	71.84	77.24	77.71	71.35
Slc2a6	0.35	10.6	0.0	79.68	0.0	4.83	14.36	0.0	33.38	59.67	77.99	39.81	0.0	0.0	465.61	0.0	52.23	26.5	25.67	28.44	29.2
Smarcc2	1.92	28.8	2.94	28.71	12.69	19.69	10.24	8.33	9.84	28.23	32.46	20.25	19.4	0.0	108.7	51.27	14.42	9.74	153.2	155.7	159.08
Spdya	0.0	0.0	0.0	20.15	0.0	0.0	21.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.72	0.0	0.0	1.7	1.67	1.54	2.06
Spink7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.41	0.0	0.0	0.0	0.0	0.0	0.0
Sspn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.16	0.0	0.0	0.63	6.39	6.18	7.79
Stil	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.19	0.0	0.0	0.06	0.49	0.4	0.44
Stk10	0.1	0.1	0.0	0.0	0.06	0.15	0.0	0.03	0.0	0.17	0.04	0.0	0.0	0.0	1.47	0.0	0.0	0.34	3.99	3.73	4.29
Stk40	0.0	0.47	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.06	0.0	0.0	0.0	72.52	1.69	0.0	1.77	28.92	28.46	24.06
Syt12	2.73	1.01	0.22	9.34	1.44	1.04	0.81	1.06	1.52	0.72	0.63	0.48	0.47	0.87	127.09	0.86	0.78	36.44	27.22	27.84	28.06
Syt14	2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.08	0.0	0.0	0.0	15.14	0.0	202.9	0.0	0.0	0.0	7.99	7.69	9.84
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tbc1d14	0.0	12.54	0.04	0.0	37.56	29.37	10.73	0.0	8.32	0.91	31.98	0.0	1.81	9.62	82.39	1.19	0.0	23.92	62.41	61.71	60.68
Tbcel	6.96	0.76	16.13	0.19	0.0	2.13	0.0	11.79	0.0	0.71	9.0	0.0	7.48	0.0	41.74	27.99	0.0	5.12	31.15	30.41	28.8
Tmem184b	23.49	30.78	0.2	38.08	20.09	0.0	2.35	0.0	0.67	44.22	0.0	2.72	0.0	0.0	74.79	0.0	0.0	1.32	63.39	64.99	62.74
Trank1	4.04	5.08	0.06	16.21	14.33	15.04	9.35	2.55	9.08	3.87	0.17	1.29	7.81	1.24	72.16	0.04	0.09	15.69	140.49	127.25	159.33
Ttc26	0.72	0.81	0.62	1.67	5.52	1.32	1.39	0.84	1.13	1.14	1.11	0.5	5.3	0.46	48.93	0.75	0.99	9.24	8.87	7.78	7.86
Vav1	0.86	0.32	0.2	0.24	1.23	0.0	1.07	0.0	0.41	0.0	0.21	0.0	0.48	0.36	2.33	0.1	0.48	1.09	3.39	2.83	2.77
Vmac	0.0	0.04	0.0	0.0	0.0	1.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	177.55	0.0	0.0	0.53	8.64	10.91	11.02
Vsx2	0.0	0.03	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.67	0.14	0.0	0.33	0.49	0.2	0.46
Xpo6	4.27	33.77	0.0	0.0	0.0	17.94	0.67	0.1	0.25	0.37	46.11	0.26	0.1	0.13	146.82	0.94	1.22	4.95	55.21	53.89	58.35
c10_tRNA-Ala-GCA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.04	0.0	0.0	0.0	6.57	8.86	4.78
c19_5S	0.0	0.0	0.0	0.0	9.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.51	0.0	0.0	0.0	4.0	2.53	6.4
c5_tRNA-Ala-GCG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.81	0.0	0.0	0.0	3.14	8.1	3.24
c8_tRNA-Ala-GCG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.56	0.0	0.0	0.0	6.49	6.11	6.7
mt_AK131577	729.87	1040.04	1050.47	1051.38	1060.94	1006.07	594.69	1416.58	1047.52	1060.54	1216.13	1016.28	1141.51	883.44	2850.15	885.59	850.74	1570.81	4857.0	4144.16	4779.18
mt_AK132015	729.87	1040.04	1050.47	1051.38	1060.94	1006.07	594.69	1416.58	1047.52	1060.54	1216.13	1016.28	1141.51	883.44	2850.15	885.59	850.74	1570.81	4857.0	4144.16	4779.18
mt_AK132098	729.87	1040.04	1050.47	1051.38	1060.94	1006.07	594.69	1416.58	1047.52	1060.54	1216.13	1016.28	1141.51	883.44	2850.15	885.59	850.74	1570.81	4857.0	4144.16	4779.18
mt_AK167037	729.87	1040.04	1050.47	1051.38	1060.94	1006.07	594.69	1416.58	1047.52	1060.54	1216.13	1016.28	1141.51	883.44	2850.15	885.59	850.74	1570.81	4857.0	4144.16	4779.18
