	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_98	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_54	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_92	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Eml5	6.88	18.59	0.0	26.16	7.11	0.2	1.89	0.0	6.0	0.0	0.0	0.0	18.93	0.0	37.71	5.01	2.64	104.72	14.51	0.0	3.55	1.07	46.76	0.0	0.0	0.0	10.75	10.25	4.3	10.56	0.11	1.37	0.03	4.07	12.83	7.14	7.56	6.14	0.0	12.89	4.24	38.59	1.49	1.67	1.74	0.91	19.22	0.04	2.31	0.0	31.3	18.17	0.95	7.1	0.03	0.29	6.46	1.61	13.86	0.0	19.59	0.0	0.0	0.0	14.21	11.62	10.62	107.84	2.64	46.7	31.19	29.87	24.85	22.37	4.99	32.58	26.15	37.17
Ept1	27.64	17.33	0.0	38.26	2.74	78.5	0.0	23.62	3.52	0.0	0.0	0.0	38.57	0.0	36.94	41.88	28.65	140.74	0.0	0.0	1.9	47.93	37.4	0.0	0.0	0.0	38.94	75.64	53.35	65.12	69.63	0.25	0.4	19.46	11.63	0.14	19.52	19.39	21.56	31.46	65.03	52.16	29.87	6.02	28.73	21.28	28.37	0.19	37.31	30.97	0.79	53.23	44.38	9.73	0.34	17.44	17.45	23.64	12.96	0.0	47.06	0.0	0.0	0.0	32.17	0.0	35.57	63.1	0.08	83.3	6.05	53.43	26.47	1.45	33.05	34.08	31.17	32.37
Ext1	0.0	0.42	0.0	0.0	10.69	0.0	0.0	12.4	0.0	0.0	0.0	0.0	17.89	0.0	0.0	40.94	0.0	70.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.72	0.11	0.0	0.0	14.53	0.0	1.15	0.19	0.0	0.69	0.08	8.03	4.42	0.26	2.55	0.43	0.4	0.43	0.0	0.0	0.32	38.38	21.91	1.66	0.08	2.71	1.02	0.24	0.17	0.47	0.0	11.41	3.9	0.0	0.0	0.0	0.0	0.0	0.41	2.87	0.0	61.31	0.0	0.4	0.0	0.0	2.14	0.0	0.0	30.76	30.9	31.93
Gnaq	68.34	5.41	25.23	78.44	94.03	48.44	48.1	9.48	74.94	0.0	0.0	0.0	96.75	0.0	35.27	67.38	138.66	174.98	18.37	1.04	40.74	0.27	72.63	0.17	0.0	0.0	26.61	98.01	72.39	32.34	7.11	12.87	42.73	30.31	45.76	38.82	29.55	53.81	59.5	3.13	0.06	95.46	45.72	49.92	55.72	67.56	30.35	31.31	50.7	46.0	26.04	49.88	47.34	34.8	57.51	71.36	38.41	33.71	27.34	0.18	65.9	202.85	0.0	0.0	28.16	55.74	63.73	109.42	89.98	188.31	19.4	61.03	28.53	52.05	58.6	101.65	91.77	106.51
Gprasp1	169.37	57.8	203.37	431.03	219.3	285.72	116.37	79.41	162.1	0.0	0.0	0.0	290.67	0.0	13.21	34.92	217.67	466.44	149.97	83.89	366.36	355.67	279.19	0.0	0.0	0.0	216.89	166.31	248.77	91.14	153.09	206.07	141.44	130.49	162.43	324.35	257.7	248.21	214.39	105.16	191.23	68.66	359.57	179.49	79.76	213.26	26.0	104.23	190.52	241.49	81.52	280.02	248.78	186.01	259.44	314.44	258.05	159.53	168.35	0.0	299.65	0.0	0.0	0.0	152.21	106.97	166.24	520.64	125.96	264.73	168.45	144.26	104.16	97.4	124.6	277.04	273.48	269.09
Gria1	158.85	240.79	153.78	139.13	17.79	168.71	22.08	35.53	142.34	0.14	0.0	0.0	609.21	0.0	82.02	63.51	343.75	1168.33	8.29	1.39	10.24	134.67	20.16	0.1	0.06	0.0	173.09	155.78	130.04	53.34	72.53	195.32	143.34	123.63	212.53	165.25	162.64	80.76	156.26	149.91	142.19	220.73	138.39	172.42	80.39	251.27	48.14	111.29	70.1	148.62	88.79	101.4	204.59	141.6	36.38	122.58	138.84	117.6	191.78	0.26	296.24	0.0	0.07	0.0	110.88	313.18	228.18	710.79	875.63	623.27	173.15	228.23	60.23	77.67	145.19	200.7	196.7	204.6
Hdac4	12.43	5.87	16.57	6.85	0.0	42.06	0.0	52.74	33.21	0.0	0.0	101.96	18.82	0.0	15.71	22.88	26.71	104.68	0.0	0.0	0.0	1.84	0.0	0.0	0.0	0.0	7.42	24.4	14.01	22.93	0.08	55.32	17.65	0.03	23.56	11.3	20.68	12.6	0.0	0.38	42.26	36.27	0.99	3.31	0.39	13.92	1.11	25.27	5.76	9.23	0.0	30.67	10.66	0.91	14.73	5.51	6.7	18.38	7.95	0.0	12.46	0.0	0.0	0.0	0.14	14.74	4.22	75.22	1.22	29.45	0.0	37.08	20.58	17.36	5.17	22.25	20.83	23.35
Ikbkg	2.95	1.79	20.69	3.86	6.07	17.93	0.99	7.45	1.13	4.24	5.78	1.3	9.46	110.18	2.69	28.87	2.41	139.87	0.55	2.21	7.16	45.41	54.44	0.31	13.42	1.1	7.89	1.78	3.15	1.02	12.6	18.84	26.73	1.42	15.84	5.17	8.34	23.08	3.47	1.12	27.95	27.2	1.51	2.39	28.02	1.19	28.62	1.89	3.46	1.7	11.15	3.12	1.35	19.95	1.2	1.09	15.16	2.19	5.0	51.38	11.47	0.09	1.3	1.08	2.0	3.35	5.87	68.31	3.26	3.19	3.51	2.11	38.4	28.78	27.18	19.29	19.03	19.07
Il34	56.72	0.0	0.0	0.0	0.0	65.68	0.0	113.35	0.0	0.0	0.0	0.0	102.91	0.0	0.0	1.65	79.01	272.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.63	23.8	0.0	0.1	129.7	56.74	0.0	0.85	0.0	44.13	0.0	170.5	108.75	0.0	0.0	48.88	0.0	0.0	0.0	88.6	0.0	40.96	0.25	95.2	0.0	135.52	51.57	0.0	0.16	0.0	51.27	1.31	0.0	0.0	0.0	0.0	0.0	20.25	2.02	273.94	299.7	3.17	97.38	0.0	0.0	80.31	0.0	2.75	70.82	74.72	72.67
Itga4	1.98	4.29	1.93	3.8	2.08	5.3	1.44	1.64	1.96	2.64	0.72	2.2	7.09	0.0	4.12	4.97	6.92	13.73	3.02	5.07	10.86	4.65	3.06	0.46	1.37	0.0	1.94	5.5	4.86	4.09	3.79	1.75	1.52	3.93	3.33	5.48	3.93	5.13	4.53	2.75	3.4	3.24	3.3	2.42	4.73	3.21	3.53	4.0	3.91	2.04	4.12	6.0	4.21	4.05	3.84	3.45	3.54	2.75	3.25	1.2	2.85	0.59	2.11	0.0	2.7	4.73	2.34	11.85	10.43	4.67	4.59	3.09	4.52	4.0	6.37	11.38	8.49	11.06
Kcnma1	1.45	45.72	27.55	0.0	0.14	11.79	0.69	1.05	15.17	0.0	0.0	0.0	115.06	0.0	15.08	34.4	50.25	103.54	22.24	2.97	29.84	26.56	40.38	0.0	0.0	0.0	8.34	2.08	42.29	23.56	5.27	80.59	22.5	17.73	0.05	2.9	21.56	26.24	12.76	15.44	40.28	23.79	16.88	39.22	0.0	0.0	0.24	19.12	24.48	24.08	0.0	18.25	20.85	26.26	27.88	3.33	13.62	13.21	17.95	0.38	0.0	0.0	0.0	0.0	32.62	63.95	35.33	75.06	102.3	92.22	0.0	37.13	13.59	23.48	25.03	74.17	60.49	78.81
Lpgat1	33.28	32.12	53.3	30.9	6.93	42.29	38.01	6.39	32.92	0.0	0.0	0.0	258.91	0.0	59.43	39.23	106.75	106.18	21.05	57.37	67.83	148.39	59.27	0.0	0.0	0.0	7.18	54.93	51.66	36.68	45.99	0.93	12.84	51.36	40.61	26.01	43.01	13.7	117.0	27.51	3.15	12.31	68.96	46.75	3.91	21.59	27.6	32.53	21.7	25.53	34.28	101.32	17.3	49.87	24.27	39.98	27.09	49.73	18.8	0.09	23.25	0.0	0.0	1.45	18.06	50.44	91.17	86.36	56.24	203.5	0.07	23.01	14.74	21.47	136.37	138.31	127.47	133.8
Meg3	495.43	500.57	391.66	786.05	372.33	648.89	323.53	38.17	543.92	0.0	0.0	0.23	1270.84	0.0	330.16	477.79	740.97	3304.35	216.59	466.64	887.4	557.48	592.5	0.0	1.07	0.0	298.81	393.24	538.5	317.11	233.81	650.68	356.91	444.3	304.96	632.18	518.69	448.52	769.21	298.72	510.23	539.11	313.62	805.45	515.17	563.91	309.79	688.91	573.92	490.95	321.22	645.92	452.48	469.33	448.96	518.15	439.05	361.57	538.61	0.0	468.04	0.0	0.0	0.0	443.23	597.2	296.48	1514.79	1829.83	1122.24	425.86	565.07	500.59	243.71	734.88	1387.58	1233.84	1645.32
Mtf1	0.0	4.85	1.56	8.35	11.82	4.69	0.06	0.0	21.73	0.0	0.0	0.0	0.0	0.0	0.0	4.78	3.09	85.63	0.0	0.44	0.0	0.0	0.86	0.0	0.0	0.0	0.0	15.56	0.01	0.02	0.0	0.0	0.0	0.0	1.15	0.0	4.6	11.08	0.31	2.69	14.59	0.0	3.45	0.0	0.0	2.7	0.0	0.0	0.61	4.61	16.31	4.31	13.32	3.99	0.0	0.14	2.61	0.0	0.22	0.0	0.0	30.1	0.0	0.0	0.15	4.99	19.15	13.0	0.0	5.51	0.0	2.23	2.53	0.42	1.0	12.1	11.87	10.45
Myo5a	13.76	65.66	80.59	11.71	29.46	30.08	53.81	29.0	28.75	0.07	0.0	0.0	116.95	0.0	14.93	50.48	188.78	127.92	86.93	1.07	0.07	25.6	12.07	0.07	0.06	0.0	52.87	44.63	25.4	35.86	21.62	28.42	60.22	54.03	32.52	54.57	52.86	47.22	22.65	24.4	76.78	2.61	48.61	68.03	28.61	21.17	39.84	31.28	21.98	55.57	25.91	16.42	39.4	13.69	55.24	40.3	55.19	75.41	25.49	0.06	80.31	0.06	0.0	0.87	28.84	34.55	76.86	116.8	255.63	77.43	28.98	25.8	86.46	58.96	83.45	147.23	132.38	154.8
Nbr1	17.32	4.29	4.88	14.63	28.36	4.93	19.93	16.66	10.84	0.0	0.0	15.22	49.23	0.0	7.1	14.2	115.77	175.74	64.69	0.0	0.06	1.12	70.01	0.0	0.0	0.0	0.51	2.32	19.35	2.27	18.77	27.67	29.59	15.75	7.94	34.6	28.51	1.1	37.74	48.72	8.09	47.18	17.07	0.11	71.85	10.39	20.38	0.0	51.98	53.84	0.06	32.73	5.87	30.59	34.39	2.81	15.47	1.72	81.48	0.13	19.72	0.0	335.67	0.0	0.0	0.0	12.33	113.77	2.47	101.34	0.0	0.92	0.0	7.05	3.05	103.26	103.33	101.44
Negr1	20.25	51.02	31.09	71.25	0.0	8.02	11.5	0.38	8.13	0.0	0.0	0.0	85.72	2.97	0.09	54.45	37.89	412.18	7.83	0.0	84.63	0.0	7.87	0.0	0.0	0.0	13.23	37.71	81.49	66.38	97.24	4.12	0.27	18.87	5.8	42.98	0.05	15.83	39.75	11.03	72.06	22.11	25.48	46.56	79.56	3.23	3.89	23.46	73.3	18.87	60.5	43.04	0.0	13.86	1.1	37.67	45.17	40.78	18.26	0.0	7.95	0.0	0.0	0.0	12.01	114.58	60.6	251.46	85.63	120.79	2.68	0.0	2.1	3.56	0.0	132.03	133.65	130.93
Nrd1	18.89	20.79	0.0	22.74	73.3	18.15	0.18	9.84	69.22	0.0	0.0	0.0	10.1	0.0	76.38	13.53	34.21	195.45	83.85	2.54	16.84	0.0	20.52	0.0	0.0	1.79	1.24	44.72	22.14	4.36	0.44	0.13	40.42	7.96	3.83	23.71	0.72	23.57	2.71	41.51	17.61	0.21	3.76	34.53	74.09	9.2	16.18	0.0	5.21	12.34	0.07	42.97	4.2	34.2	2.23	10.65	0.0	23.22	0.06	0.0	3.44	0.0	0.0	0.0	0.28	26.09	0.0	147.32	3.62	87.56	0.0	131.44	29.28	2.52	29.51	95.97	89.11	99.9
