	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Gad2_tdTpositive_cell_16	Ndnf_tdTpositive_cell_10	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_26	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_30	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_54	Scnn1a.Tg3_tdTpositive_cell_106	Scnn1a.Tg3_tdTnegative_cell_11	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
Camk2b	0.0	0.0	0.0	0.0	0.0	0.0	30.88	0.0	203.92	95.06	91.36	186.06	45.44	53.37	57.05	93.98	161.84	74.85	45.88	0.4	0.0	0.19	0.35	0.32	0.0	68.0	317.37	0.52	0.18	142.37	0.0	532.26	545.35
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.0	10.7	0.0	149.26	54.72	30.68	0.23	50.62	21.3	114.35	145.03	0.49	118.2	75.28	0.0	0.0	0.0	0.0	0.0	0.0	150.8	105.31	0.46	0.11	289.98	0.0	30.63	22.96
Ccm2	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.0	31.88	39.19	1.12	0.0	0.0	49.32	0.0	0.0	0.0	0.34	0.0	0.19	0.0	650.01	0.0	0.0	0.0	0.0	64.31	0.0	0.11	204.56	0.0	55.46	57.53
Clasp1	132.26	0.17	37.37	0.82	5.48	98.61	140.13	16.74	55.23	30.15	37.87	1.27	10.12	9.97	0.27	61.4	36.08	34.22	12.94	0.33	0.41	0.32	0.31	0.44	0.07	24.58	99.77	0.07	146.64	195.88	1.64	40.25	43.42
Cnksr2	0.0	0.0	0.0	0.0	0.0	0.0	23.43	0.0	88.07	49.19	55.94	2.6	0.8	15.69	0.32	43.26	24.67	40.77	0.81	0.0	0.13	0.0	0.0	0.12	0.31	65.11	153.84	0.15	0.0	116.91	0.0	114.68	116.88
Cntn5	0.0	0.0	0.0	0.0	0.0	0.0	45.16	0.0	54.08	0.0	1.69	0.77	3.2	7.77	29.77	0.0	0.0	6.33	29.59	0.0	0.0	0.0	0.0	0.0	0.0	61.39	97.34	0.0	0.0	163.74	0.0	5.84	5.03
Csnk1d	0.0	0.0	0.0	0.0	0.0	0.33	0.0	20.07	44.03	0.0	14.98	0.0	5.84	0.88	0.0	11.28	47.95	18.99	6.57	0.0	0.0	176.69	674.76	0.0	0.0	0.0	71.61	0.11	35.23	127.88	0.28	101.99	96.3
Csrnp3	0.0	0.0	0.87	0.15	0.16	0.0	0.49	0.06	45.84	25.37	30.73	14.82	12.46	14.01	3.89	43.62	1.6	24.97	10.83	0.18	0.02	0.81	0.0	0.09	0.49	33.77	41.49	0.47	0.12	77.91	0.0	29.79	28.47
Ctnnbip1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	154.42	70.4	14.74	0.0	8.13	8.46	0.0	0.0	4.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.27	95.18	0.0	0.07	184.55	0.0	31.48	31.26
Dclk2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.05	8.21	0.0	11.49	0.0	0.0	0.0	0.0	0.0	10.87	3.63	0.0	0.0	9.81	0.0	0.0	0.0	0.0	0.0	0.1	0.0	40.77	0.0	45.98	47.27
Diap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.58	15.95	0.0	0.0	0.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.04	27.29	0.0	0.0	51.62	0.0	31.57	29.39
Dnm1	0.0	0.0	0.0	0.0	0.0	0.0	11.22	0.0	84.28	65.89	75.92	46.15	11.85	37.8	33.46	69.02	133.85	42.49	64.19	0.0	0.19	0.2	0.0	0.0	0.0	33.52	162.07	0.11	0.14	127.72	0.0	785.48	821.55
Doc2a	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	142.38	18.35	30.7	8.34	142.46	2.5	51.7	15.4	7.52	1.54	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	147.6	0.0	0.0	157.88	0.0	44.38	45.81
Efha1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.03	0.0	0.0	17.63	0.0	2.02	0.0	0.0	0.0	31.56	0.0	0.0	0.0	0.34	0.0	0.0	0.0	20.85	73.02	0.0	0.0	111.44	0.0	23.4	21.26
Eif3g	0.0	0.0	0.0	0.0	0.0	165.55	195.73	0.0	238.4	79.08	106.58	181.63	118.13	2.05	164.87	114.66	0.0	136.79	1.97	0.0	1.41	38.13	0.0	0.62	0.0	154.39	296.86	2.01	0.52	568.68	1.01	103.28	102.26
Ephb2	0.0	0.0	5.73	0.0	2.51	6.59	0.55	1.03	33.28	0.91	1.87	1.35	12.18	1.35	3.67	0.66	10.76	6.06	0.89	1.19	1.49	1.66	1.18	0.91	2.61	0.78	59.83	0.09	0.75	23.29	3.73	10.98	12.45
Fbll1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.24	0.0	0.0	0.23	28.29	0.0	0.0	0.0	0.75	0.0	29.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.63	0.0	0.0	63.31	0.0	34.35	38.67
Fosb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.08	26.86	0.0	0.09	0.0	10.47	0.0	0.12	0.0	0.0	1.07	0.0	26.16	357.62	404.04	0.35	20.34	0.13	57.59	0.0	0.0	142.66	18.47	16.9	7.05
Gabarapl1	0.0	0.23	0.0	0.0	0.0	87.02	801.33	0.0	420.83	324.71	295.58	276.75	100.84	128.48	30.64	87.91	139.28	107.48	57.14	754.21	0.42	0.44	0.0	65.5	0.0	373.89	493.35	36.26	0.2	740.58	0.0	698.4	696.03
Gbp5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.29	0.0	3.46	2.96
Gm13306	0.0	0.0	0.0	0.0	0.0	0.0	10.7	0.0	149.26	54.72	30.68	0.23	50.62	21.3	114.35	145.03	0.49	118.2	75.28	0.0	0.0	0.0	0.0	0.0	0.0	150.8	105.31	0.46	0.11	289.98	0.0	30.63	22.96
Gm14430	0.0	0.0	0.0	0.03	0.0	0.0	1.33	0.0	9.59	4.76	8.15	0.0	6.89	0.0	0.0	12.82	18.78	0.2	0.0	0.04	0.0	0.0	0.0	0.28	0.0	13.33	9.46	0.24	0.0	19.38	0.0	7.67	7.49
Gm14434	0.0	0.0	0.0	0.03	0.0	0.0	1.33	0.0	9.59	4.76	8.15	0.0	6.89	0.0	0.0	12.82	18.78	0.2	0.0	0.04	0.0	0.0	0.0	0.28	0.0	13.33	9.46	0.24	0.0	19.38	0.0	7.67	7.49
Gm2506	0.0	0.0	0.0	0.0	0.0	0.0	10.7	0.0	149.26	54.72	30.68	0.23	50.62	21.3	114.35	145.03	0.49	118.2	75.28	0.0	0.0	0.0	0.0	0.0	0.0	150.8	105.31	0.46	0.11	289.98	0.0	30.63	22.96
Gm4724	0.0	0.0	0.0	0.03	0.0	0.0	1.33	0.0	9.59	4.76	8.15	0.0	6.89	0.0	0.0	12.82	18.78	0.2	0.0	0.04	0.0	0.0	0.0	0.28	0.0	13.33	9.46	0.24	0.0	19.38	0.0	7.67	7.49
Gm5512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.02	6.15	40.92	0.0	0.0	41.54	0.0	31.96	30.86	0.31	0.2	0.0	49.8	30.99	0.0	0.37	0.0	3.26	150.65	0.48	53.42	57.26	52.27	3.43	9.44
Gm9855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.87	0.12	69.1	22.34	87.64	0.0	19.89	0.72	0.0	3.13	49.89	0.22	979.08	0.0	0.0	0.22	0.0	24.23	175.85	0.0	0.0	179.5	0.0	36.11	30.98
Gprin1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.87	6.07	14.1	26.51	4.25	17.05	1.56	23.73	52.6	0.0	0.81	0.0	0.0	0.0	0.0	0.15	0.0	23.85	112.23	0.0	0.0	61.99	0.0	78.28	79.23
Hic2	0.0	0.0	0.0	0.0	0.51	0.4	0.2	0.0	15.4	0.0	0.0	0.05	0.06	0.13	0.0	0.11	0.0	0.0	0.05	0.26	0.0	0.0	0.15	0.35	0.0	0.06	24.26	0.0	0.03	49.48	0.56	4.56	4.6
Huwe1	0.07	0.0	1.3	0.0	0.0	0.0	19.59	0.0	80.2	12.11	22.55	1.56	2.37	18.38	22.41	3.89	11.76	2.29	20.71	0.02	0.05	0.26	13.13	0.0	155.56	7.4	132.55	0.0	0.01	133.75	0.0	83.26	88.23
Lonrf1	1.0	1.13	19.62	3.25	1.0	6.23	4.68	8.34	71.67	40.87	8.04	15.79	24.15	1.63	4.47	24.78	49.5	5.4	10.65	4.1	4.91	11.54	9.54	6.94	10.46	1.6	109.39	5.41	0.37	99.47	0.34	20.65	17.87
Ltk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.11	0.0	0.21	6.86	65.25	0.76	23.71	38.23	197.8	94.52	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.62	0.19	0.0	131.12	0.0	29.14	29.49
Mbip	0.0	0.0	0.0	0.0	0.0	0.0	80.43	0.0	78.04	40.07	14.6	49.24	90.73	10.0	64.02	110.39	38.24	25.27	7.08	524.77	98.57	1.04	714.13	541.35	0.0	97.36	63.84	0.0	0.0	195.99	0.0	26.66	26.3
Mical2	0.0	0.0	0.0	0.0	0.0	0.0	30.06	0.0	144.59	37.02	69.58	41.91	66.0	35.6	25.7	50.22	110.56	51.24	36.8	0.09	0.0	0.0	0.39	0.17	0.0	42.9	274.66	0.0	0.14	633.54	0.0	226.64	243.34
Mir690	18673.1	26828.41	18854.32	19376.41	14062.21	22720.97	30464.78	15214.15	10245.69	30528.33	39867.27	42000.18	28765.87	28695.45	37370.15	37614.4	24336.09	23271.48	32522.04	27509.93	44948.68	42282.55	27759.51	24726.6	35532.88	48007.3	13202.21	26597.61	17318.28	8608.46	26521.64	1.35	0.95
Mlxip	3.57	32.46	6.46	0.44	8.15	10.96	5.82	11.75	10.33	5.35	6.64	5.39	9.57	9.64	11.77	4.6	7.39	3.2	4.43	5.76	39.42	1.31	3.75	3.2	5.43	3.26	18.19	2.48	1.74	60.28	2.26	16.93	18.33
Mpv17l2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	33.89	0.0	8.84	0.0	87.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.59	24.13	0.0	0.0	90.46	0.0	23.54	28.35
Msl1	0.0	171.75	0.0	0.07	0.0	0.0	92.97	0.44	83.35	12.36	20.39	2.78	0.09	4.34	0.21	38.98	0.52	6.35	3.78	3.69	0.18	0.36	0.0	0.15	16.37	27.64	128.2	0.0	0.04	86.84	0.0	91.29	88.95
Mxi1	0.0	0.0	0.0	0.0	0.0	0.0	50.36	0.0	88.29	2.82	29.35	5.11	8.54	0.17	0.0	5.28	0.06	0.7	12.69	0.08	0.15	0.0	0.0	0.0	0.0	11.7	158.43	0.25	0.07	50.72	0.0	35.92	32.05
Neu1	0.0	0.22	10.32	1.08	0.16	0.32	16.39	0.18	23.17	1.89	16.41	28.55	0.88	16.36	51.34	3.77	73.6	5.71	1.66	0.67	0.0	0.0	0.55	6.64	6.56	1.37	40.06	4.09	0.44	82.84	447.88	33.45	32.28
Nfasc	0.0	0.0	1.27	0.0	0.06	0.0	7.88	0.0	48.01	17.94	13.74	0.0	11.99	0.0	6.3	4.68	0.29	5.12	4.36	0.3	0.16	0.41	0.29	0.35	0.0	0.35	75.07	0.14	0.04	115.22	399.88	91.43	99.71
Nrm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	1188.3	0.0	0.0	0.0	0.0	0.0	0.0	68.93	0.0	0.0	211.16	0.0	3.96	4.65
Nup50	0.0	0.0	0.25	0.07	95.39	0.0	0.0	0.0	37.09	0.35	0.0	0.0	0.0	0.79	0.0	33.16	0.0	0.83	0.0	0.0	0.76	0.0	0.0	0.0	0.0	15.7	40.66	0.0	170.35	35.53	0.0	24.06	22.56
Osgep	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.0	70.19	0.0	0.0	1.75	0.0	0.0	0.51	57.18	0.0	0.0	0.0	0.0	173.18	8.78	0.0	0.0	0.0	30.17	63.46	79.89	0.11	102.76	968.65	26.39	26.61
Oxct1	0.0	0.46	0.0	0.0	0.0	26.73	155.92	0.0	224.06	296.6	129.24	178.25	77.54	17.06	207.88	78.8	37.01	131.67	50.69	0.0	0.84	1.33	0.0	151.29	0.0	269.54	218.82	4.51	0.41	287.42	0.0	237.85	230.25
Oxsm	0.13	0.2	0.32	0.0	0.0	0.08	0.0	1.0	55.79	0.09	0.5	0.68	0.84	0.0	1.6	0.37	16.88	1.28	0.5	1.33	0.98	141.36	0.0	1.88	0.0	0.84	103.32	1.17	0.97	94.87	1.72	7.16	7.59
Pcdh10	0.0	0.0	0.0	0.0	0.14	0.0	2.43	30.13	36.01	25.67	33.43	28.35	28.3	47.17	23.51	35.26	46.27	3.17	24.73	0.04	61.82	0.1	104.63	0.0	0.0	16.63	65.98	3.54	260.61	131.58	4.24	96.09	95.98
Pcdhb22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.04	0.0	7.34	7.49
Pcnt	0.0	50.8	0.0	0.0	0.0	0.0	2.28	0.0	14.87	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	28.47	0.0	0.0	32.01	0.0	11.47	11.23
Phtf1	0.0	0.0	0.0	0.0	20.87	0.0	0.0	0.0	86.53	1.48	1.61	13.14	0.0	0.0	0.0	7.38	27.67	4.26	12.6	0.0	30.3	0.0	754.66	0.0	0.0	8.11	167.92	0.0	0.06	184.96	0.0	39.72	36.1
Pi4k2a	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.16	56.13	22.26	18.61	0.09	0.0	12.5	0.0	39.13	25.91	0.0	0.0	0.08	0.0	0.0	0.0	5.28	0.0	18.35	74.55	0.0	0.0	205.9	0.0	52.66	51.53
Plcb1	0.21	0.0	14.17	0.0	0.0	0.0	105.14	21.9	76.94	39.42	27.17	63.47	24.21	57.81	120.64	54.67	73.49	42.87	46.54	0.09	0.21	0.11	3.42	0.0	0.0	115.56	43.77	0.24	0.2	188.07	0.0	113.5	118.49
Prickle2	0.0	0.0	0.0	0.0	0.0	0.01	0.33	0.0	70.32	16.32	24.05	45.08	12.67	8.04	62.79	15.1	6.19	16.21	25.19	0.04	0.35	0.0	0.0	0.08	0.0	50.74	94.74	0.1	0.06	69.02	90.92	85.57	85.69
Prkdc	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	5.86	0.0	5.04	16.46	0.03	12.55	0.06	0.0	0.04	0.35	1.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.87	0.0	0.0	14.45	0.0	10.04	9.69
Rfxap	0.0	0.0	0.0	0.0	0.0	0.0	10.24	0.0	13.55	0.0	0.0	4.68	1.28	0.0	0.0	44.4	0.26	11.35	1.1	0.0	0.0	0.0	0.0	0.0	0.0	15.05	24.07	0.0	0.0	56.4	0.0	27.62	26.29
Rnf167	0.0	0.0	148.66	0.0	0.0	0.0	251.62	0.0	340.46	143.0	99.85	133.51	171.02	63.56	121.33	0.93	45.58	126.09	66.14	2.56	0.49	0.0	0.0	0.86	0.8	144.31	371.98	1.11	0.59	531.84	1297.29	79.79	77.3
Rnf216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.17	25.23	1.04	0.0	6.51	0.0	4.11	0.15	12.48	2.5	16.26	0.0	0.0	0.17	0.0	0.0	0.4	6.84	44.09	0.0	0.04	1.87	0.0	27.69	26.54
Ryr2	0.0	0.0	0.0	0.0	0.07	0.04	18.13	0.04	34.85	17.42	9.72	1.72	22.21	12.75	13.76	16.42	24.47	13.79	3.33	0.03	0.18	0.13	0.07	0.04	0.0	4.47	51.72	0.02	0.03	58.55	0.0	51.84	51.46
Sar1a	0.0	0.0	0.0	0.0	0.0	29.1	204.85	0.0	200.41	105.48	39.65	200.06	0.61	2.12	76.76	18.5	256.8	35.34	107.39	6.83	827.54	0.3	0.0	1.26	0.0	0.0	294.38	737.49	0.14	259.93	599.41	122.53	123.09
Scamp1	0.0	0.0	0.0	0.02	0.0	0.0	117.47	0.0	240.42	73.59	343.39	64.59	22.38	42.13	255.09	184.74	187.11	160.23	217.69	0.59	0.41	0.43	76.7	0.0	0.0	109.31	232.51	1.04	0.35	576.21	2.32	186.31	173.43
Scn2a1	0.08	0.0	0.0	0.01	0.0	0.05	274.46	0.16	215.09	150.4	128.08	97.79	144.77	72.87	45.39	137.86	56.59	74.1	128.53	0.07	0.35	0.15	0.17	0.0	0.21	149.95	231.91	0.38	0.39	302.06	7.47	128.76	126.47
Slc25a10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.14	0.0	9.35	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.04	16.12	0.0	9.23	9.16
Slc6a6	1.51	0.0	0.72	161.17	0.0	0.04	32.38	0.0	70.6	18.08	7.79	44.3	14.94	5.49	34.86	2.83	10.73	8.54	0.13	2.8	0.23	0.68	0.23	0.1	54.6	11.02	104.51	0.4	0.04	131.26	0.0	71.84	75.99
Slc9a5	0.0	0.0	0.0	0.0	0.0	0.0	12.77	0.0	10.05	0.06	0.0	0.0	36.5	0.0	0.92	0.53	0.0	0.0	8.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.68	0.0	0.0	23.2	0.0	20.29	19.37
Smarca5	0.0	447.23	0.0	0.0	0.0	0.0	46.16	0.0	61.9	0.14	12.77	27.26	71.0	9.31	61.53	47.35	48.9	41.94	2.99	0.0	0.0	0.0	175.22	0.0	0.0	78.7	111.0	21.58	103.53	121.88	0.0	39.16	36.72
Snhg1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.87	3.93	110.82	124.75	0.0	48.48	0.0	1.63	0.0	1.32	70.24	0.0	0.0	0.0	0.0	0.0	1347.78	132.53	158.91	0.0	0.41	203.72	0.0	18.41	20.36
Sord	0.51	0.0	0.0	0.0	0.0	0.0	1.91	0.34	63.67	0.14	0.0	3.56	0.0	0.0	0.0	22.36	0.0	0.0	0.0	0.12	0.0	798.52	0.0	0.3	0.0	3.0	120.31	3.89	0.08	139.09	0.0	18.48	18.27
Spns1	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	65.86	0.13	21.24	41.18	35.37	23.49	6.14	23.31	0.21	23.92	25.63	0.25	0.56	0.24	0.0	0.0	0.0	0.77	146.68	0.16	0.08	140.11	0.0	47.1	50.3
Srek1ip1	0.0	0.0	0.0	0.0	0.0	0.0	258.2	0.0	92.32	0.0	60.21	44.54	32.37	71.41	123.03	43.08	20.0	88.55	7.92	0.19	0.0	107.6	0.0	0.0	0.0	62.47	170.39	0.0	0.11	97.72	0.0	19.04	16.86
Sstr3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.64	0.0	0.0	0.0	23.3	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.68	29.29	0.0	0.0	53.29	0.0	16.31	16.32
Tfg	0.0	0.0	0.0	0.0	1.91	0.0	1.45	18.19	162.93	385.2	69.92	161.71	22.1	1.1	194.47	5.07	41.11	147.77	129.49	0.18	1227.18	0.0	0.0	1047.94	0.0	209.84	191.61	0.0	0.55	249.0	0.0	65.21	58.13
Tmem9b	0.0	10.15	0.0	0.0	0.0	0.0	0.0	0.0	100.36	0.0	131.01	56.29	0.0	0.25	19.02	0.0	101.17	70.63	2.64	980.62	0.88	0.0	0.0	0.0	0.36	37.73	164.81	13.2	0.21	300.93	0.63	128.28	131.39
Trim37	0.0	0.0	0.2	0.0	0.04	0.0	5.45	0.0	156.83	103.08	26.54	25.33	29.95	6.61	40.9	35.63	41.47	33.09	13.26	0.17	0.23	0.4	0.0	0.0	0.0	79.03	214.57	201.7	0.19	232.92	0.0	216.02	202.32
Vcpip1	0.0	0.0	0.0	0.0	0.0	0.0	79.3	0.0	85.29	14.19	12.01	0.0	73.73	15.38	0.0	46.27	41.65	45.49	0.13	0.18	0.14	0.0	0.0	0.12	51.45	36.83	162.52	178.66	0.03	141.47	0.0	38.3	37.5
Vps37b	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	53.4	0.0	0.0	0.0	0.71	0.0	36.23	0.0	54.04	7.02	0.81	0.0	0.0	0.0	286.54	0.26	0.0	0.0	98.66	0.0	0.0	134.94	0.0	39.01	36.05
Zfp276	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	26.36	0.0	2.02	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	51.35	0.17	0.0	19.45	0.0	12.53	12.32
Zfp711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.53	35.6	23.84	14.14	50.7	5.82	0.0	0.0	35.75	0.26	30.61	0.07	0.0	0.0	0.0	0.0	0.0	0.0	40.87	0.1	0.0	92.65	0.0	7.94	7.98
