	Calb2_tdTpositive_cell_46	Calb2_tdTpositive_cell_48	Calb2_tdTpositive_cell_53	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_11	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_16	Gad2_tdTpositive_cell_24	Htr3a_tdTpositive_cell_16	Htr3a_tdTpositive_cell_29	Ndnf_tdTpositive_cell_3	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_56	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTnegative_cell_3	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_23
D730040F13Rik	3.4	0.2	1.59	0.14	0.0	0.81	1.76	0.05	0.55	0.82	1.35	0.85	0.13	42.95	1.61	0.13	0.65	0.16	1.61	2.38	1.31	15.82	1.71	4.5	2.87	1.69	1.53	1.85	2.93	4.03	0.21	0.46	1.06	0.99	0.69	0.87	1.04	95.16	2.98	2.19	0.83	1.83	1.66	1.14	0.49	1.0	0.0
Dclk1	2258.55	2813.68	408.38	0.0	0.0	806.89	1186.33	187.43	0.09	0.18	523.69	379.4	0.0	2165.28	1229.34	147.86	423.93	0.07	304.82	336.27	629.0	299.71	1113.59	551.79	2073.06	889.9	771.75	801.9	1744.82	3347.99	0.0	0.0	0.0	525.5	59.84	446.29	382.43	2100.49	1951.61	2601.34	1012.81	1035.55	1091.33	0.0	0.0	0.0	0.0
E330033B04Rik	3.54	0.36	0.71	0.13	1.48	123.12	1.57	0.0	1.81	0.66	0.97	0.31	1.61	291.4	1.42	0.48	0.47	0.41	0.69	2.04	0.71	1.53	27.08	2.32	2.37	69.74	2.48	2.03	2.34	48.34	1.59	0.75	1.06	1.14	0.72	3.1	1.46	38.77	2.68	0.57	79.49	0.84	1.29	1.24	0.0	1.04	0.27
Fam177a	21.46	3.15	57.42	2.8	0.52	11.61	0.48	2.15	6.05	0.81	13.11	12.78	0.31	22.83	122.26	0.45	1.77	3.14	2.5	0.0	0.72	6.31	8.35	7.88	0.72	92.92	0.96	5.52	38.66	19.6	0.28	2.34	1.39	9.83	2.26	1.38	89.54	2.92	4.55	2.11	2.6	2.1	1.68	1.52	0.0	0.87	4.49
Fgfr3	369.34	490.85	0.59	0.0	0.0	537.92	375.6	293.75	0.0	0.0	481.5	723.87	0.0	988.56	442.44	0.0	0.0	0.0	447.81	398.84	16.64	427.81	228.06	165.6	550.62	566.78	20.61	971.37	397.77	1422.08	0.0	0.0	0.0	272.31	21.06	622.63	142.29	1045.62	510.78	476.72	32.67	696.97	100.38	0.0	0.0	0.0	0.0
Hdac4	220.7	263.17	0.0	0.0	0.0	59.58	81.27	0.0	0.0	0.12	0.14	0.0	0.0	193.45	290.22	0.0	0.0	0.0	0.0	0.0	60.67	66.44	0.0	1.85	142.81	43.23	56.4	0.0	0.0	0.26	0.0	0.0	0.0	75.88	0.1	0.22	44.61	286.05	307.35	72.98	2.44	188.94	0.62	0.0	0.0	0.0	0.0
Htra1	1847.92	525.83	1001.57	0.0	0.0	856.72	849.73	255.83	0.0	0.0	501.35	679.72	0.0	1314.79	541.11	25.49	34.43	0.0	1030.39	1314.13	1072.39	1012.54	518.06	1439.29	906.6	1140.09	694.67	2990.49	738.99	1775.52	0.0	0.0	0.0	22.85	604.32	170.84	436.13	1033.99	332.43	36.42	1138.74	357.49	1210.62	0.24	0.0	0.0	1.58
Ick	9.25	4.42	4.25	0.0	0.06	1.8	4.8	0.0	0.0	0.0	7.73	4.0	0.0	6.73	6.52	0.0	2.74	0.0	4.25	5.99	9.27	6.63	5.8	41.45	13.15	6.42	7.35	5.29	5.7	15.32	0.0	0.0	0.0	3.94	3.4	3.31	2.65	2.51	9.41	3.66	3.61	5.47	3.62	0.0	0.0	0.0	0.0
Ift27	684.56	0.0	0.0	1092.82	0.0	408.47	0.0	0.0	0.0	0.0	0.0	279.25	0.0	546.31	494.29	0.0	0.0	0.0	594.09	0.69	0.0	797.92	0.0	0.0	1.29	518.41	0.0	386.7	0.61	1.08	0.0	0.0	0.0	0.0	0.0	0.0	170.99	436.08	0.38	353.04	0.0	544.88	419.9	0.0	0.0	0.0	0.0
Mt1	5349.36	6412.81	10285.25	2619.23	4247.75	8909.51	11278.24	11111.72	0.93	1.86	9518.94	8052.46	587.27	4927.83	10611.35	0.0	152.07	2224.06	4393.42	9719.89	6322.27	9724.23	5174.94	12499.64	14312.64	11645.23	10565.8	12225.6	9478.03	3368.91	1.53	1270.56	0.0	14381.11	7949.09	7081.5	8494.84	13447.76	13718.19	11271.3	15408.87	10988.06	10017.81	844.22	7.72	329.36	909.2
Mt2	2419.91	499.73	2309.6	0.0	0.78	2099.85	1302.1	580.07	0.0	0.0	2404.22	1529.0	0.0	753.62	4388.51	0.0	3.69	264.55	501.51	1671.22	1180.47	2078.26	460.79	2157.43	2281.11	1203.5	2146.39	2745.21	1312.94	927.99	0.0	0.0	0.0	2876.11	1059.77	2159.1	1117.68	1626.85	3314.42	1681.97	2017.7	1862.95	1746.24	0.0	0.0	0.0	0.0
Nrcam	155.48	8.2	345.42	0.0	3.42	95.3	110.51	0.0	0.0	0.0	2.86	4.01	1.0	256.78	31.62	0.04	24.91	0.05	5.47	3.17	5.31	17.92	1.67	110.76	1.99	196.63	232.85	19.62	0.66	292.47	0.56	0.24	0.74	10.54	55.35	182.33	0.18	39.39	96.13	0.93	1.5	4.45	20.95	0.0	0.0	0.0	0.15
Oip5	5.68	1.92	0.46	0.0	1.01	36.99	0.76	0.0	0.29	0.47	0.36	0.68	0.41	2.65	5.8	0.0	0.63	0.77	0.57	4.31	1.08	3.62	3.56	3.55	2.56	2.73	0.65	0.43	1.25	12.27	0.0	0.44	1.35	2.14	2.52	1.37	1.04	2.11	1.93	9.47	0.37	4.28	2.62	0.32	0.0	0.66	0.0
Prex2	184.31	91.0	111.37	0.15	7.63	100.74	87.59	0.05	0.28	0.27	0.25	198.87	0.08	369.37	272.75	0.55	0.44	3.42	2.13	47.4	211.37	46.82	1.99	107.01	37.64	6.02	4.3	1.37	3.32	54.72	0.61	0.93	0.95	262.46	0.0	51.83	1.05	612.87	552.67	328.36	0.13	41.72	13.64	0.0	0.12	0.0	0.0
Sigmar1	398.12	0.0	0.0	0.0	0.0	522.51	0.0	0.0	0.0	0.0	0.0	370.61	0.0	913.24	832.78	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	475.13	0.0	0.62	392.45	0.0	44.28	161.26	0.0	0.0	0.0	0.45	111.55	0.23	0.0	0.33	701.08	184.31	0.0	0.46	0.0	0.0	0.0	0.0	0.0
Slc7a2	95.98	24.3	126.08	0.0	0.57	0.81	0.36	0.0	0.15	0.39	1.36	0.06	0.0	210.71	0.56	0.0	0.22	0.08	1.39	3.61	0.77	0.13	3.91	136.07	0.4	78.4	2.05	110.8	2.67	33.19	1.26	0.27	0.61	21.94	3.37	1.37	0.91	0.43	3.7	1.84	1.69	154.06	0.16	0.33	0.14	0.2	0.0
Synrg	40.28	11.47	13.6	5.41	7.47	48.43	30.66	9.86	8.25	13.66	20.13	12.1	5.02	67.22	23.29	0.64	5.25	4.37	14.26	7.53	12.97	22.78	15.98	7.63	10.3	13.07	12.71	17.35	11.61	44.63	6.78	9.32	5.86	14.41	15.86	12.41	5.58	9.31	9.96	7.54	10.19	15.98	6.64	5.77	5.77	7.3	2.52
Ttyh1	451.5	346.49	165.41	0.0	0.0	818.21	181.54	145.86	0.3	0.33	286.18	348.28	17.61	346.03	790.38	64.49	23.55	0.29	378.99	758.41	299.57	433.74	642.89	656.56	490.98	479.95	480.57	1476.52	765.72	1531.31	0.98	0.25	0.0	544.29	834.85	80.98	438.25	848.54	553.79	468.18	827.67	876.33	614.05	0.0	0.22	0.0	0.51
