	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_20	Ntsr1_tdTpos_10cell_4	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ube2j1	0.0	0.0	8.53	79.49	82.59	77.99
Ubr4	0.0	0.0	3.08	45.95	42.73	49.32
Ubtf	0.0	0.0	10.2	78.31	78.64	80.03
Usp13	0.0	0.0	6.3	16.56	14.56	16.81
Usp47	0.0	0.0	14.37	50.06	49.08	47.58
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wbscr17	0.0	0.0	0.0	37.98	45.03	41.83
Whsc1	0.0	0.0	13.72	47.83	41.47	47.63
Wsb2	0.0	0.0	43.58	294.59	283.93	280.67
Zbtb7a	0.0	0.0	8.52	55.37	53.85	57.0
Zc3h18	0.0	0.0	2.76	30.0	31.22	31.72
Zfp827	0.1	0.0	2.72	19.14	18.31	19.24
Zfp91	0.0	0.0	8.67	72.51	70.41	73.83
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
Zyg11b	41.73	0.0	23.43	75.5	71.7	74.11
mt_AK131586	6370.03	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
