	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_8	Calb2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_58	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_55	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_69	Ndnf_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_43	Nr5a1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_94	Rbp4_tdTpositive_cell_115	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_142	Rbp4_tdTpositive_cell_155	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_32	Rorb_tdTpositive_cell_33	Rorb_tdTpositive_cell_38	Scnn1a.Tg2_tdTnegative_cell_8	Scnn1a.Tg3_tdTpositive_cell_7	Scnn1a.Tg3_tdTpositive_cell_56	Scnn1a.Tg3_tdTpositive_cell_80	Scnn1a.Tg3_tdTpositive_cell_97	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Arsb	108.94	2.64	10.23	0.0	0.0	127.48	0.0	7.63	0.0	4.24	3.4	0.0	0.0	0.0	0.05	3.82	0.17	0.0	16.68	24.37	0.06	0.0	0.0	37.01	1.21	0.0	0.0	0.0	16.83	14.33	0.0	28.48	1.46	4.49	0.0	0.0	0.07	0.0	1.03	18.37	15.08	11.59	15.82
Aste1	0.0	0.0	0.0	0.0	0.0	7.38	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	136.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.6	0.08	2.57	0.0	0.0	0.0	0.0	0.1	5.24	4.89	6.5	4.09
Atp6v1d	797.35	1300.89	760.93	1115.06	0.38	1183.04	835.51	561.89	816.15	1514.21	1086.59	904.57	1119.49	0.0	922.42	1396.88	1216.48	1443.99	984.73	2026.84	1105.61	1452.72	1400.23	716.97	1141.81	1042.94	908.09	986.87	851.17	1178.78	828.6	2048.35	1266.96	1088.53	1080.51	716.57	612.41	1079.16	1247.56	1328.28	1420.89	1242.78	1311.15
B3galnt1	691.65	170.47	349.37	500.01	0.0	410.33	319.01	1208.24	0.0	0.0	0.0	0.0	360.73	0.0	196.02	325.4	214.2	292.29	501.38	921.43	221.99	122.46	182.56	143.44	405.42	0.26	247.15	222.71	400.99	155.41	173.1	843.39	67.49	211.84	234.42	786.02	428.45	76.73	3.98	140.19	191.91	175.26	226.46
BC002230	0.0	0.0	58.01	0.0	0.0	1.51	0.0	20.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.09	0.0	0.0	0.0	107.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	37.86	0.03	0.0	0.0	0.0	2.21	0.11	4.83	3.52	3.14	4.1
Ccl27b	0.0	60.41	38.08	19.47	0.0	88.08	2.22	7.78	2.68	26.22	0.0	39.72	54.38	0.0	98.78	98.8	32.42	70.05	177.4	180.65	57.56	52.23	5.88	54.51	1.96	0.0	5.36	8.68	8.96	2.6	0.0	110.11	23.67	180.86	0.94	199.04	275.94	83.28	127.6	74.98	61.27	76.52	71.98
Cdh8	3.39	61.68	109.97	26.82	0.0	10.85	0.03	0.06	94.99	95.06	0.0	1.57	0.18	0.0	128.63	0.05	23.62	0.0	68.16	137.91	0.08	0.0	38.32	0.0	0.0	0.0	139.0	225.22	161.29	62.85	0.9	212.54	351.75	96.95	2.15	121.89	27.36	117.52	7.45	15.5	11.95	7.59	14.04
Cog4	10.29	65.9	0.0	104.86	0.0	90.87	0.66	0.0	152.72	167.66	0.0	0.0	163.39	0.0	0.0	0.0	0.0	133.24	79.63	0.38	0.09	0.0	0.0	0.28	0.0	0.0	14.37	165.65	56.9	71.02	0.0	193.09	155.76	0.16	0.32	99.64	0.0	0.0	0.1	58.15	61.85	60.21	66.56
Commd1	148.88	90.52	127.77	83.26	0.0	58.8	0.0	0.0	88.63	0.0	0.0	191.83	402.81	0.0	115.4	0.0	0.0	59.81	0.0	203.73	294.42	0.0	0.0	216.39	12.47	28.17	0.0	226.78	44.88	57.91	163.37	97.11	237.5	0.0	0.0	0.0	177.39	102.44	110.58	90.85	52.31	98.35	67.07
D15Ertd621e	0.13	0.0	32.21	1.53	0.0	10.75	0.0	69.46	0.0	75.58	0.0	0.14	0.0	0.0	0.0	0.29	6.57	0.0	0.0	182.93	0.0	0.0	1.27	55.07	0.0	0.18	0.0	0.0	30.41	0.0	0.0	0.58	0.02	0.02	0.0	0.0	0.0	0.0	0.02	9.15	4.72	3.63	4.58
Dcp2	0.0	1.05	0.12	1.41	0.15	0.43	0.19	1.84	18.95	0.0	0.19	34.45	0.33	0.0	0.7	6.88	0.33	0.55	0.34	46.16	0.35	0.0	0.87	16.11	0.58	0.91	3.52	0.11	0.6	0.38	0.39	1.69	0.05	3.4	0.25	1.21	1.65	0.02	0.93	2.1	3.03	2.71	1.85
Dcun1d2	133.31	102.21	79.47	0.0	0.0	49.12	0.0	7.15	11.06	0.0	0.0	0.0	0.0	0.0	168.37	103.48	0.0	0.0	55.35	317.1	0.09	0.11	0.0	0.0	0.0	0.0	0.0	0.0	4.13	39.36	0.0	0.5	136.32	0.04	107.2	17.28	103.9	0.0	93.9	38.77	30.28	31.63	31.85
Dlg2	68.68	77.93	6.2	35.48	0.0	32.45	50.59	86.98	31.71	30.86	33.29	1.9	8.03	0.0	9.1	20.57	0.05	6.39	92.45	73.66	8.98	2.06	1.27	0.47	38.11	31.45	0.08	0.0	8.76	13.5	10.52	53.13	32.51	1.6	39.03	41.51	91.6	2.89	7.47	28.79	18.88	25.39	13.69
Dnajc18	95.28	161.59	91.66	196.71	0.28	76.54	163.25	73.82	52.31	54.76	69.54	99.84	55.41	0.0	285.61	116.59	73.37	112.68	84.02	229.94	96.18	136.13	44.77	120.68	144.37	37.3	105.54	157.94	128.12	72.46	1.09	112.56	0.28	224.01	62.1	32.44	220.96	0.0	105.96	200.46	231.27	167.81	188.88
Dnajc19	97.39	53.7	92.18	154.09	0.0	421.24	151.07	360.17	221.77	254.29	0.0	0.0	334.79	0.0	125.43	0.82	192.07	0.0	8.28	312.32	581.2	88.86	466.94	0.0	0.0	146.26	2.45	0.0	118.91	112.85	0.0	534.57	130.38	6.41	64.4	1.8	279.18	59.66	156.02	111.95	150.6	140.38	183.02
Edem3	0.69	0.21	0.0	0.0	0.0	0.01	55.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.89	0.0	0.0	71.74	0.0	0.0	29.95	0.0	0.0	0.0	0.99	0.0	20.47	0.0	141.31	0.0	0.02	0.32	58.2	0.0	0.0	0.0	0.24	0.13	5.8	3.04	7.11
Eef1e1	194.07	176.21	99.49	247.64	0.0	344.07	190.97	0.0	0.0	36.68	0.0	469.84	112.95	0.0	281.5	0.5	348.8	296.62	305.39	395.09	54.71	4.5	291.15	250.85	98.73	86.48	0.6	8.42	133.78	0.0	0.0	219.35	64.68	117.48	302.67	0.0	372.09	0.0	1.49	103.32	101.87	136.96	112.93
Eef2	358.96	468.46	41.17	198.41	0.0	312.77	54.98	156.55	94.68	13.52	0.19	0.0	162.19	0.0	45.39	92.13	16.16	19.61	181.66	306.88	103.0	195.51	175.57	72.8	196.86	194.91	83.0	141.2	137.65	167.05	123.2	289.86	290.41	133.26	242.51	96.02	6.17	4.12	126.09	147.08	133.87	176.73	154.87
Eepd1	0.0	2.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	68.2	0.0	108.97	0.08	0.0	187.73	0.12	5.66	0.0	53.89	0.0	0.22	0.0	0.0	0.0	0.0	110.64	0.04	0.0	68.91	0.0	4.0	0.0	0.0	0.0	8.04	10.18	3.64
Eif3m	0.0	336.2	488.06	299.59	0.0	167.53	198.94	155.96	136.78	259.0	0.0	0.0	153.1	0.0	0.31	415.94	0.0	252.02	123.0	486.04	0.61	257.67	772.95	74.01	135.35	124.91	329.77	188.1	222.4	332.26	239.08	130.76	798.61	375.07	684.35	158.65	275.93	652.71	381.42	278.44	202.84	234.66	239.12
Erlin2	0.0	58.98	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	4.85	0.0	0.0	0.0	20.37	0.0	0.0	0.0	0.1	0.0	0.0	0.0	124.81	65.29	0.0	0.0	95.87	172.06	0.42	20.32	0.03	114.41	2.3	0.07	4.91	16.75	15.34	16.44
Fam177a	7.62	6.07	1.53	4.89	0.82	3.11	3.24	4.07	4.53	26.14	1.23	1.14	4.9	1.72	26.37	19.28	7.45	1.69	4.87	24.68	0.84	5.97	12.26	1.07	4.86	6.98	3.17	2.52	12.09	3.51	4.29	21.46	2.26	18.88	7.61	14.66	37.61	1.83	1.53	14.42	13.41	14.19	19.02
Fchsd2	0.0	0.0	0.0	0.09	0.0	0.0	45.64	67.77	2.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.83	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	8.75	0.0	0.0	60.22	2.82	0.14	0.0	0.0	0.0	0.03	0.48	4.63	3.93	3.83
Fxr1	2.99	28.31	47.83	62.13	0.0	208.5	43.11	234.41	141.6	1.28	0.0	0.0	1.66	0.0	12.49	3.27	81.09	0.0	24.34	0.0	0.95	169.11	172.41	74.52	59.74	0.0	0.29	0.0	7.59	70.77	0.0	132.62	1.04	0.29	0.29	0.0	1.47	0.0	0.33	36.1	53.07	31.08	34.78
Gm13306	0.0	60.41	38.08	19.47	0.0	88.08	2.22	7.78	2.68	26.22	0.0	39.72	54.38	0.0	98.78	98.8	32.42	70.05	177.4	180.65	57.56	52.23	5.88	54.51	1.96	0.0	5.36	8.68	8.96	2.6	0.0	110.11	23.67	180.86	0.94	199.04	275.94	83.28	127.6	74.98	61.27	76.52	71.98
Gm2002	0.0	0.07	0.0	0.0	0.0	0.04	0.0	0.0	0.09	0.33	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.08	0.23	0.1	0.1	0.06	0.2	0.0	0.0	0.0	0.0	0.36	2.32	0.12	0.0	0.02	0.0	0.0	0.0	0.89	0.17	0.18	0.0	2.35	1.27	4.28	1.89
Gm2506	0.0	60.41	38.08	19.47	0.0	88.08	2.22	7.78	2.68	26.22	0.0	39.72	54.38	0.0	98.78	98.8	32.42	70.05	177.4	180.65	57.56	52.23	5.88	54.51	1.96	0.0	5.36	8.68	8.96	2.6	0.0	110.11	23.67	180.86	0.94	199.04	275.94	83.28	127.6	74.98	61.27	76.52	71.98
Gprin1	0.0	12.5	0.0	5.46	0.0	0.94	0.0	31.78	4.53	0.0	0.0	0.0	0.0	0.0	29.31	0.72	20.95	0.0	1.85	45.65	0.0	1.21	0.0	0.19	38.99	0.0	0.0	0.0	7.98	0.0	0.0	29.11	28.36	2.91	0.0	16.19	0.0	0.88	1.34	0.14	5.65	6.44	7.74
Hilpda	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	73.18	0.0	0.0	0.0	0.0	168.48	0.0	212.11	0.0	0.0	0.0	28.88	0.0	180.63	0.0	99.36	0.0	0.0	0.0	0.0	72.36	0.0	72.53	0.13	135.81	0.0	0.14	135.65	0.0	0.0	41.52	36.88	35.96	37.39
Ica1l	0.0	0.0	9.33	0.0	0.0	0.1	0.0	0.0	18.68	4.58	0.0	0.0	0.0	0.0	33.88	0.0	60.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.29	0.0	1.9	64.58	7.23	89.34	120.93	6.24	3.46	0.27	0.0	5.73	0.22	7.93	8.21	3.19	6.81
Il11ra2	0.0	0.07	0.0	0.0	0.0	0.04	0.0	0.0	0.09	0.33	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.08	0.23	0.1	0.1	0.06	0.2	0.0	0.0	0.0	0.0	0.36	2.32	0.12	0.0	0.02	0.0	0.0	0.0	0.89	0.17	0.18	0.0	2.35	1.27	4.28	1.89
Ipo8	1.84	1.07	33.99	0.0	0.0	0.02	0.28	29.21	0.0	0.0	0.0	2.63	0.0	0.0	0.0	0.09	1.39	0.0	18.2	49.93	3.5	6.72	5.83	0.0	2.3	0.0	0.0	0.0	1.69	1.58	0.0	0.18	77.79	0.0	4.31	0.91	2.33	0.0	4.05	5.79	9.48	6.23	4.87
Irgq	6.95	5.05	0.41	0.3	0.0	36.35	0.06	1.88	0.0	0.46	2.39	0.0	0.24	0.0	0.88	2.6	1.26	0.0	0.02	84.29	0.47	0.0	0.05	2.02	0.0	0.0	0.08	0.09	1.1	0.31	0.14	53.61	0.59	1.22	30.02	0.27	2.4	0.0	0.41	0.53	6.06	5.09	4.48
Lphn1	41.79	64.02	25.03	50.74	0.13	17.6	31.35	26.92	41.63	27.71	22.95	17.93	29.11	0.07	0.0	6.23	8.76	9.9	59.96	72.42	80.59	22.79	59.0	41.64	20.66	24.47	0.07	1.49	51.06	30.73	60.94	55.41	74.43	30.56	6.62	24.76	70.98	17.54	36.01	32.57	60.5	46.45	43.94
Lrrtm2	276.78	31.72	0.0	0.0	0.0	26.08	11.04	64.68	151.58	59.2	0.0	0.1	0.0	0.0	115.51	44.09	207.39	35.53	0.6	59.28	26.42	80.74	10.84	87.74	42.5	0.0	0.0	72.22	78.93	38.83	230.62	100.89	0.0	0.0	0.0	34.94	0.0	0.0	0.14	100.95	71.2	52.82	54.87
Mbip	59.52	15.54	0.0	126.71	0.0	0.0	0.0	127.98	60.88	0.0	0.0	73.92	0.0	0.0	48.93	39.36	131.61	95.41	0.0	160.08	52.23	0.87	0.0	0.0	33.64	8.07	84.2	51.27	62.65	0.83	84.41	113.71	0.0	41.29	28.52	213.6	0.0	0.0	0.09	56.31	52.38	43.35	55.78
Med13	0.0	0.24	0.0	0.03	0.0	13.34	4.26	0.91	0.0	8.64	8.67	0.0	18.99	0.0	0.03	2.42	0.0	0.6	7.73	29.77	0.87	0.03	33.76	0.0	0.0	0.25	0.0	0.0	0.67	0.03	0.0	32.7	1.89	0.02	4.76	0.33	51.8	0.15	0.1	7.33	7.14	4.19	5.16
Mtmr12	0.0	46.72	5.23	0.0	0.0	12.12	0.13	0.0	0.0	0.0	0.0	0.12	1.07	0.0	2.11	3.67	0.95	0.1	2.68	83.11	0.11	0.07	0.52	17.98	0.0	0.0	0.0	92.47	26.87	5.11	0.0	0.41	2.61	0.17	0.27	0.36	71.73	0.0	13.26	6.78	11.98	24.09	12.27
Nck2	138.19	85.28	13.76	102.56	0.0	118.8	161.65	81.99	27.5	12.49	51.99	3.16	203.53	0.0	60.39	0.07	0.0	0.0	15.65	175.39	30.99	50.46	102.26	124.08	83.78	110.9	0.0	45.6	23.59	32.98	0.0	99.0	77.84	48.11	24.06	130.27	58.17	78.41	51.1	80.5	45.25	40.66	30.15
Nmral1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.35	0.38	0.0	255.14	169.91	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.49	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	4.24	18.01	19.41
Npm1	1068.53	396.51	381.44	563.16	952.25	439.19	618.74	575.15	562.47	323.8	24.11	194.86	519.57	0.43	347.53	306.19	465.32	440.47	689.96	1242.22	660.5	559.14	683.05	227.23	365.88	272.38	306.36	602.64	604.15	600.1	961.68	604.27	879.57	591.76	447.84	739.22	251.05	279.56	502.02	582.85	579.99	563.81	515.33
Odf2	0.0	1.7	0.0	23.64	0.0	147.84	37.71	0.0	0.0	121.36	0.0	0.0	1.59	0.0	0.08	0.85	0.0	33.68	11.19	101.88	1.3	0.16	28.73	206.18	0.88	0.22	0.0	8.45	94.82	80.04	0.0	12.2	35.71	36.38	0.13	3.52	5.87	0.89	3.1	41.47	25.47	34.47	38.68
Os9	0.39	18.92	78.31	28.45	0.0	88.72	96.57	47.88	32.55	25.81	0.0	0.14	67.67	0.0	0.53	21.8	97.73	16.25	14.02	233.44	0.06	22.31	30.46	31.7	0.0	40.02	16.57	25.31	54.79	48.56	2.18	41.12	4.43	0.0	9.68	126.46	0.07	3.04	0.1	12.5	25.32	23.2	22.02
Pcid2	138.57	32.66	0.4	0.0	0.0	28.51	145.36	127.9	0.0	0.22	0.0	0.23	58.29	49.68	31.02	0.21	0.16	60.72	10.23	272.38	0.16	81.68	290.74	84.44	65.13	0.0	4.75	0.32	0.0	29.47	0.0	73.74	141.78	77.41	150.76	101.22	0.0	114.37	34.29	39.48	26.57	37.27	31.67
Pdpk1	15.54	18.28	14.78	40.07	0.0	5.49	0.04	0.01	0.06	22.92	33.76	0.0	1.26	0.0	0.86	0.58	3.81	77.1	86.05	104.93	5.5	3.88	64.79	1.89	6.88	35.17	81.24	0.86	54.08	9.59	2.59	143.97	31.09	46.07	5.01	38.02	107.0	0.0	5.04	19.98	15.66	14.47	13.77
Pgam5	237.09	48.21	0.48	0.2	0.0	0.0	15.57	0.0	0.0	113.98	0.0	74.62	0.0	0.0	0.0	0.0	0.0	52.31	5.56	0.0	0.0	202.91	0.0	0.0	0.0	0.0	0.0	0.0	49.98	50.93	176.02	142.84	0.0	0.11	0.0	0.18	4.79	0.0	0.13	36.31	24.13	19.85	24.07
Pmpcb	219.86	180.71	75.14	19.51	0.0	208.33	2.64	163.1	0.0	56.55	4.68	244.27	3.98	0.35	0.24	355.04	528.01	0.0	190.15	442.21	123.01	361.98	176.69	262.9	303.46	107.79	0.38	168.99	268.07	196.36	0.0	74.41	278.92	0.0	230.14	126.84	71.86	161.46	100.65	145.88	120.03	137.08	112.48
Ppp2r1a	993.47	735.11	1029.78	893.15	0.0	696.16	816.35	1725.87	869.46	582.75	701.41	2282.35	904.38	0.24	836.56	826.86	1810.24	724.36	674.99	1531.11	896.81	913.88	827.21	807.98	426.25	579.86	538.16	1144.18	672.35	854.67	444.75	1146.84	1303.83	1308.58	1043.05	615.77	580.23	640.96	1143.56	741.93	756.93	889.87	823.4
Ppp2r2c	272.42	103.74	86.42	25.83	0.0	107.18	0.5	85.6	10.92	38.45	19.71	77.83	77.92	0.0	72.55	29.94	182.09	0.0	137.97	79.07	93.13	0.08	6.32	36.52	34.79	67.87	13.15	49.9	4.1	45.57	0.0	148.9	141.76	77.91	99.79	50.76	116.64	63.53	15.59	58.97	58.28	60.62	60.51
Ppp6c	213.43	112.05	23.63	0.0	0.0	0.06	134.01	0.3	0.0	0.34	0.0	0.0	281.74	0.0	0.0	70.7	0.0	165.26	0.0	285.84	39.61	187.67	247.92	172.63	80.83	222.63	104.47	222.47	139.7	200.68	215.74	158.69	293.11	0.22	30.65	84.73	153.66	1.79	124.43	151.41	182.08	98.58	125.29
Ptcd3	263.08	22.4	106.04	325.03	0.0	0.18	410.1	146.66	75.78	142.29	467.23	0.21	7.9	41.22	34.8	156.04	0.0	92.26	137.59	136.88	156.46	115.16	177.16	79.87	174.64	136.26	42.58	4.34	47.42	2.24	0.0	384.61	362.4	136.53	8.55	0.14	117.41	214.51	113.75	131.47	147.56	96.12	107.57
Qars	299.9	176.74	221.38	122.36	0.0	181.72	176.44	0.0	0.0	228.8	356.23	0.0	0.0	0.0	210.29	0.16	396.56	0.0	0.0	171.29	0.23	20.38	120.19	0.0	98.72	7.44	0.0	181.23	0.25	0.25	0.0	363.1	0.0	0.05	92.94	97.6	0.0	0.85	143.48	63.94	34.55	41.22	44.1
Rab11fip3	0.0	0.17	0.0	30.86	0.0	25.15	8.82	6.08	14.0	0.32	5.79	0.0	1.68	0.0	0.0	0.0	54.08	3.77	10.54	123.42	0.15	54.14	49.8	0.0	0.0	4.55	0.0	0.0	0.33	0.47	9.24	0.26	0.0	0.65	0.09	2.18	51.02	115.06	0.7	7.95	12.54	15.2	9.52
Rad17	0.0	53.19	0.0	2.29	0.0	4.48	4.29	0.0	0.0	12.95	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	20.71	0.0	2.72	140.95	0.0	0.0	0.0	0.0	0.0	28.43	0.0	0.0	51.02	1.08	0.04	0.69	0.05	0.1	4.37	0.05	14.12	9.44	5.7	12.96
Ralyl	223.57	66.83	99.05	19.06	0.0	24.95	165.15	137.8	0.22	212.94	0.0	304.65	320.57	0.0	137.04	207.36	69.52	198.71	242.65	363.62	136.8	283.39	197.86	18.59	0.0	74.59	0.0	179.16	45.52	0.31	0.0	138.19	0.17	185.18	153.45	17.76	137.04	122.78	307.91	193.86	213.81	173.02	173.16
Rpn2	326.52	207.52	0.0	0.0	0.0	37.47	0.45	3.34	0.0	121.05	0.0	9.88	0.0	0.0	17.45	455.56	0.0	0.16	115.26	98.67	12.17	71.5	57.41	25.12	0.25	0.0	0.22	70.85	63.84	0.0	0.0	100.62	0.12	204.79	189.45	7.1	108.33	8.42	123.36	64.4	105.02	121.9	115.34
Rps12	462.31	153.34	185.96	387.84	1.11	124.63	202.59	430.95	207.9	60.28	655.96	0.0	21.78	0.0	98.47	184.14	116.11	222.25	129.99	65.29	160.08	75.47	179.96	283.97	72.19	155.77	1.27	87.38	225.68	53.32	116.71	76.59	188.7	407.54	242.65	290.43	192.09	0.0	105.36	244.26	196.55	169.74	206.29
Ruvbl2	130.3	52.31	0.0	0.0	0.0	1.7	0.0	16.75	0.0	234.34	0.0	0.0	0.0	0.0	119.45	0.1	0.48	0.0	73.17	462.3	0.0	26.12	0.0	0.0	2.09	0.0	0.36	160.06	0.65	0.0	0.0	110.55	0.0	0.07	0.0	0.0	0.0	0.0	0.91	27.79	19.69	29.37	21.65
Snap25	26182.83	20995.4	18360.91	20371.44	0.0	19986.44	24880.43	23752.44	19564.24	19832.73	17171.12	25194.29	22198.58	0.0	24000.2	21827.11	24648.02	22891.51	21740.03	20866.53	20758.47	21685.06	21261.82	23051.34	22470.57	17672.87	19257.32	22845.02	19669.87	19534.15	25542.47	14482.41	18151.46	22725.47	19485.64	20633.02	19177.26	18361.62	20516.03	17485.78	20846.74	19146.26	18964.09
