	Cux2_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	Rbp4_tdTpositive_cell_174	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Klrk1	0.0	0.09	0.18	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03
Krt8	0.0	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21	0.67	0.85
Limd2	0.0	12.19	0.34	0.0	6.71	0.0	0.22	0.0	0.0	0.0	2.9	0.2	0.0	0.08	0.0	0.0	39.83	44.35	41.74
Lsm2	1.38	49.89	0.0	0.0	0.0	2.79	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	13.31	14.55	14.75
Me1	0.0	20.0	0.0	0.0	0.0	0.0	6.77	0.32	0.0	0.0	17.07	0.0	0.0	0.21	0.0	86.44	46.9	47.04	44.19
Melk	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21	1.15	0.84
Mvd	0.0	30.06	2.32	0.0	0.0	0.0	24.67	0.0	20.55	0.0	0.0	0.0	0.0	0.26	0.74	0.0	22.49	27.95	25.99
Necab2	0.0	42.14	5.01	0.0	119.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.45	80.52	73.62
Nfib	0.05	109.45	182.92	217.42	81.08	23.38	2.83	1.11	6.71	0.18	19.18	0.0	0.0	0.05	5.71	4.18	26.19	24.58	27.07
Nfix	19.66	43.36	0.16	0.0	124.69	187.93	50.86	2.12	8.95	0.12	12.52	2.43	0.0	1.52	0.19	3.01	105.07	107.16	113.44
Nov	0.0	1.82	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	124.61	128.44	115.44
Nr2f2	0.47	4.83	0.32	19.14	9.13	0.16	0.33	1.66	0.0	0.11	0.33	0.25	0.12	0.17	0.2	0.84	11.59	12.8	12.35
O3far1	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.15
Olfr1030	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olfr605	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pcdhgb7	0.0	8.56	0.0	0.05	0.0	0.11	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.07	9.97	8.46
Pfkfb1	0.0	4.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.6	0.66
Pik3r6	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.77	2.81	3.37
Pip5k1b	0.0	91.35	0.46	0.0	334.96	78.08	1.11	0.0	0.72	0.0	0.0	0.0	0.0	0.27	0.0	0.0	20.49	20.78	19.82
Plekhg1	0.0	4.27	0.0	0.02	0.0	0.04	0.94	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.22	6.86	7.87
Pnoc	0.0	346.8	70.32	1.14	351.25	0.0	0.0	0.49	0.0	0.0	0.0	15.8	0.0	248.95	136.62	0.0	5.94	7.48	6.62
Prlr	0.0	26.31	1.11	0.06	3.12	19.53	0.28	4.01	0.92	0.61	0.37	0.83	2.35	0.33	2.01	6.51	0.85	0.69	1.04
Prok2	0.0	17.42	0.0	0.0	1.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.6	0.33
Psg19	0.0	1.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.82	0.1	0.0	0.0	0.0	0.03
Rgnef	0.0	9.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.82	2.01	0.0	0.0	0.0	0.0	15.42	14.91	15.83
Rgs10	2193.44	809.34	431.95	0.19	1190.88	0.0	0.0	0.0	0.0	0.0	63.84	0.0	0.0	0.82	0.0	0.0	51.34	48.58	43.64
Rgs16	0.0	1.74	0.0	0.0	2.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.46	10.89	8.0
Rhpn2	0.13	18.92	0.15	293.26	0.58	0.22	0.43	0.61	0.05	0.0	8.55	0.0	0.15	0.09	0.17	0.63	4.24	4.78	4.59
Rph3a	0.0	51.91	96.16	0.52	232.26	40.55	43.48	2.3	20.46	0.0	22.79	52.64	2.88	1.74	7.31	43.55	260.55	249.44	277.37
Scfd2	0.0	10.13	0.66	0.71	1.72	0.68	1.19	1.01	0.0	0.09	0.15	0.0	0.0	0.18	0.23	0.73	10.99	12.28	12.37
Sdpr	0.0	11.8	0.0	85.7	0.0	0.81	0.0	0.0	0.0	0.0	0.0	2.19	0.0	0.0	0.0	0.0	7.66	8.78	6.39
Sectm1b	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0
Sema3c	0.0	82.21	0.0	265.65	38.1	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	13.41	14.04	14.1
Slc22a6	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.06	0.0	0.0	4.78	5.29	3.85
Snca	0.0	293.52	253.57	0.14	135.94	472.23	92.8	12.72	0.0	0.81	183.98	0.0	0.0	3.93	1.78	97.9	410.27	436.81	425.96
Snora7a	0.0	55.18	77.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.75	16.94	9.83
Sorcs1	0.0	0.87	0.13	0.44	0.3	0.0	0.58	0.0	0.0	0.0	0.0	0.05	0.11	1.76	0.12	1.82	22.98	19.94	24.33
Sorcs3	0.0	2.18	0.0	0.03	0.0	30.91	1.21	0.18	0.0	0.0	11.22	0.25	0.0	0.0	0.0	0.42	26.5	23.84	29.89
Speer4b	0.0	7.23	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.2	0.79
St18	0.0	5.33	0.0	0.0	1.97	0.05	0.04	0.18	0.09	0.0	0.08	0.06	0.0	0.15	0.08	0.72	4.21	4.03	4.76
Ston2	0.1	7.81	1.28	0.27	1.23	0.35	0.56	7.29	0.23	0.36	0.18	0.63	0.48	12.7	0.5	4.97	6.44	5.92	7.43
Syt5	0.0	41.62	108.61	0.18	21.43	5.94	6.58	3.65	0.0	0.0	8.27	0.2	0.0	2.37	7.58	80.67	188.11	211.38	187.16
Taf1c	0.0	11.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.45	9.88	9.62
Tgfb2	0.0	21.48	20.67	53.31	6.94	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.68	7.93	8.15
Trim46	0.0	25.82	1.27	0.0	10.35	51.56	7.89	0.0	0.0	0.69	3.51	0.23	0.0	0.08	0.0	2.63	74.11	77.53	76.37
Ttc12	0.0	0.08	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.52	1.3	1.45
Tyro3	0.0	22.1	0.0	0.0	4.55	2.01	1.34	0.26	0.0	0.0	2.26	0.0	0.0	0.34	0.0	0.0	147.78	147.82	151.14
Tyrobp	6150.06	7.79	88.55	0.0	31.43	83.21	0.0	0.0	0.0	0.0	73.22	0.0	0.0	0.0	0.0	0.0	24.84	33.8	32.29
Vmn1r229	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Wars2	14.12	44.4	2.48	1.68	6.17	15.2	1.08	3.39	1.81	2.44	8.01	2.48	5.38	1.8	3.95	25.7	5.34	6.17	5.87
Zfhx2	0.0	1.99	1.04	0.0	0.45	1.8	4.48	0.12	0.08	0.0	1.19	0.4	0.0	0.08	0.0	1.21	24.18	22.92	24.02
c18_tRNA-Thr-ACG	0.0	11.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c3_SSU-rRNA_Hsa	0.0	3.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0
mt_AK131579	55662.18	21017.94	73067.83	55281.42	56311.06	40069.68	94403.3	50469.69	22740.29	24027.15	60705.47	56120.42	21319.39	59803.41	51796.42	50260.41	21203.35	20196.08	21406.08
mt_AK162500	10812.53	4028.08	18017.62	16972.65	15862.29	13510.06	31266.91	20312.88	4995.62	6458.84	18115.72	13178.06	4895.0	9688.78	7506.44	16571.2	16158.33	15507.36	15898.39
mt_AK167037	6586.18	3922.34	11869.87	6129.44	6636.2	5183.26	12410.34	4761.71	3749.81	3100.83	9933.94	10889.61	3930.65	9572.18	7992.08	5861.73	4857.0	4144.16	4779.18
