	Ctgf_tdTpositive_cell_2	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_30	Ndnf_tdTpositive_cell_1	Ndnf_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_23	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_45	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_9	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_25	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_92	PvalbF.Gad2_tdTpositive_cell_93	PvalbF.Gad2_tdTpositive_cell_94	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTpositive_cell_100	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Dnajb6	169.24	111.25	0.28	0.0	0.0	0.0	0.0	1.07	3.25	0.0	63.04	54.04	167.79	128.41	59.39	190.07	59.18	108.38	5.19	106.4	231.64	193.25	121.4	65.96	0.0	0.44	0.0	223.33	221.99	220.84	215.36
Gm14431	0.0	0.0	0.0	0.0	0.15	0.22	0.0	0.87	2.99	0.0	1.83	1.63	0.74	1.48	0.44	0.11	5.21	1.46	0.37	0.16	0.4	1.46	11.39	32.23	0.0	0.0	0.0	0.0	8.87	7.17	8.34
Gm8898	0.0	0.0	0.0	0.0	0.15	0.22	0.0	0.87	2.99	0.0	1.83	1.63	0.74	1.48	0.44	0.11	5.21	1.46	0.37	0.16	0.4	1.46	11.39	32.23	0.0	0.0	0.0	0.0	8.87	7.17	8.34
Guk1	0.0	0.0	0.0	0.0	8.7	0.0	0.0	24.4	0.0	0.0	117.73	60.97	146.91	43.63	5.31	157.73	129.95	94.22	139.87	142.13	349.26	161.62	194.4	214.11	0.0	0.0	0.0	52.75	146.44	161.54	150.98
Ndufa10	0.0	0.0	1.52	0.0	0.39	0.0	0.0	2.94	30.47	0.0	366.53	151.68	568.76	445.33	48.59	294.11	169.5	296.71	210.1	79.39	201.02	46.05	337.45	1.26	20.22	0.0	0.0	180.08	203.73	210.1	204.47
Ndufb2	0.0	0.0	0.0	0.0	0.0	153.25	0.0	192.41	0.53	0.0	99.7	507.28	407.36	461.64	100.61	281.03	37.33	423.49	160.74	391.12	830.1	539.45	502.65	254.61	0.0	0.0	0.0	110.27	161.25	181.94	168.51
Ppp2ca	0.0	0.3	0.0	0.0	0.0	0.0	0.0	6.32	0.45	0.0	208.97	270.03	428.05	408.67	74.0	200.28	320.64	130.53	85.14	481.64	205.91	100.8	101.03	169.77	0.62	0.0	0.0	9.48	412.48	418.25	392.13
Psmd5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.31	0.0	24.94	49.56	1.18	0.0	2.27	90.38	0.11	0.21	1.27	35.5	1.1	63.22	1.18	0.0	0.0	4.67	49.38	49.21	44.6
Rpgrip1l	0.0	0.0	0.0	0.0	0.0	1.27	0.0	0.0	1.91	0.0	5.29	42.23	10.52	0.0	0.0	0.0	7.27	0.44	0.03	0.08	21.16	1.02	0.95	6.57	0.0	0.0	0.0	0.04	11.64	10.12	11.23
Rraga	0.0	0.0	0.0	0.0	0.58	0.0	0.0	0.0	19.46	0.0	0.0	122.78	50.34	7.33	31.83	0.67	63.34	12.52	54.64	197.27	97.15	156.83	68.72	18.02	0.0	0.0	26.78	7.32	150.93	161.88	152.26
Snap91	0.0	0.0	0.0	0.0	0.11	0.0	0.0	38.0	11.45	0.0	54.54	59.47	144.53	250.27	8.44	55.33	48.78	97.39	36.98	222.99	114.74	67.39	75.11	126.86	3.61	0.0	0.0	42.23	254.03	253.8	241.24
Snrpf	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.0	30.55	0.0	34.79	15.22	75.28	34.24	25.77	6.85	15.94	57.15	40.09	81.1	137.06	176.59	0.0	26.35	0.0	0.0	0.0	1.4	27.75	29.2	28.13
Syn1	0.0	0.0	0.0	0.0	0.14	0.0	0.0	25.28	60.56	0.0	145.9	27.8	100.33	118.72	27.15	41.12	76.9	38.73	94.78	210.02	100.58	63.7	17.81	163.46	23.21	0.0	25.93	103.67	435.88	453.27	459.24
Tspan13	1.6	4.63	1.44	0.59	4.84	0.51	79.68	0.78	16.92	0.32	36.49	34.46	109.42	102.0	18.01	74.97	58.36	82.12	2.14	3.46	100.45	110.13	46.27	30.79	10.18	2.5	0.99	603.34	232.21	236.24	228.37
Vti1b	0.0	0.0	0.0	0.0	0.0	0.38	12.84	36.4	132.34	0.0	53.54	58.91	65.41	104.05	35.06	79.57	59.41	111.3	70.1	153.65	48.3	60.71	2.98	37.96	0.0	0.0	0.0	3.77	225.68	209.93	212.04
Ywhag	0.0	0.0	0.36	0.0	0.16	12.55	0.0	42.27	61.8	0.0	209.45	70.49	226.88	261.95	76.7	46.58	163.79	35.64	39.36	104.28	50.66	89.19	27.49	182.12	26.08	0.0	0.0	179.54	763.25	785.32	749.06
mt_AK131577	2881.05	4742.32	4978.65	6586.18	4775.02	3882.52	4143.72	11869.87	12410.34	3619.36	7432.39	5859.78	4710.81	7256.23	9933.94	10889.61	6412.84	5150.24	9572.18	6997.29	7992.08	5989.85	5226.37	5027.88	5861.73	1605.16	3935.42	7229.73	4857.0	4144.16	4779.18
mt_AK132015	2881.05	4742.32	4978.65	6586.18	4775.02	3882.52	4143.72	11869.87	12410.34	3619.36	7432.39	5859.78	4710.81	7256.23	9933.94	10889.61	6412.84	5150.24	9572.18	6997.29	7992.08	5989.85	5226.37	5027.88	5861.73	1605.16	3935.42	7229.73	4857.0	4144.16	4779.18
mt_AK132098	2881.05	4742.32	4978.65	6586.18	4775.02	3882.52	4143.72	11869.87	12410.34	3619.36	7432.39	5859.78	4710.81	7256.23	9933.94	10889.61	6412.84	5150.24	9572.18	6997.29	7992.08	5989.85	5226.37	5027.88	5861.73	1605.16	3935.42	7229.73	4857.0	4144.16	4779.18
mt_AK167037	2881.05	4742.32	4978.65	6586.18	4775.02	3882.52	4143.72	11869.87	12410.34	3619.36	7432.39	5859.78	4710.81	7256.23	9933.94	10889.61	6412.84	5150.24	9572.18	6997.29	7992.08	5989.85	5226.37	5027.88	5861.73	1605.16	3935.42	7229.73	4857.0	4144.16	4779.18
