	Cux2_tdTpositive_cell_57	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_13	Scnn1a.Tg3_tdTpositive_cell_83	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Il15ra	90.09	0.0	0.0	0.0	0.0	0.0	5.23	4.77	5.14
Jmjd5	112.67	0.0	0.0	0.0	0.0	0.43	4.29	6.17	4.6
Kctd12b	0.73	0.72	0.09	0.14	0.18	0.11	2.85	2.84	2.38
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Kti12	121.87	0.0	0.0	0.0	0.0	0.0	16.21	19.5	17.33
Lama5	0.03	0.0	0.0	0.0	0.0	0.0	3.79	4.02	4.04
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lrrc48	147.31	0.0	0.0	0.0	0.0	0.0	15.12	14.95	14.4
Man2b2	58.3	0.0	0.0	0.0	0.0	0.0	19.0	20.78	19.91
Maoa	73.53	7.02	13.2	8.62	55.9	6.38	26.39	23.44	28.07
Map3k7	64.18	0.0	0.0	30.87	0.0	0.0	35.88	33.8	33.16
Mapk1	344.38	101.21	102.36	31.72	4.51	60.54	371.72	366.39	352.91
Mbd2	48.92	0.0	0.0	0.0	25.59	0.0	44.34	48.96	43.56
Mir709	8.81	0.0	1.81	0.0	0.0	0.0	5.73	0.0	1.97
Mirlet7a-2	5.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Msl2	60.79	0.0	0.0	20.46	1.05	0.0	32.92	32.23	29.12
Msmb	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Msrb3	88.02	0.0	0.04	0.0	1.98	0.02	6.18	6.02	6.35
Msto1	133.53	0.0	0.0	0.0	0.0	0.0	24.39	26.47	22.1
Mybl2	33.65	0.0	0.0	0.0	0.0	0.0	0.8	0.83	1.23
Npc1	45.88	0.0	0.08	0.13	0.0	0.99	33.09	34.16	33.39
Npy2r	0.37	0.0	0.0	0.0	0.0	0.0	10.4	9.63	8.89
Nsun5	138.91	0.0	0.0	0.0	0.0	7.81	10.89	10.71	11.07
Odf2l	199.34	0.0	9.71	10.01	0.0	0.0	12.72	10.58	11.83
P4ha3	7.23	0.23	0.72	0.42	0.31	0.0	3.51	3.19	3.45
Pak4	25.17	1.12	0.3	0.0	0.71	0.37	7.83	7.46	8.28
Pcdhb15	142.03	0.0	0.0	0.0	0.0	0.0	3.88	3.31	3.09
Pnpla6	91.55	0.0	13.52	1.08	0.27	0.0	30.55	30.03	32.54
Pnpla8	232.01	5.25	29.16	0.16	32.27	25.25	68.69	61.52	66.05
Rfx4	98.93	0.0	0.0	0.0	0.0	0.0	9.48	9.6	10.66
Rhbdd3	119.45	0.0	0.0	0.0	0.0	0.0	20.41	19.75	19.49
Rnf214	130.43	0.0	0.1	5.46	19.36	0.0	46.43	43.52	43.58
Samd3	217.31	0.0	0.0	0.0	0.0	0.0	2.96	3.02	2.26
Scn3b	249.66	0.21	0.19	0.17	11.81	34.28	86.72	84.57	77.54
Sec14l1	218.22	2.08	0.0	46.03	0.0	68.99	162.02	165.04	152.18
Sec22c	42.75	0.47	0.95	0.23	0.57	0.71	22.99	22.86	22.18
Sepsecs	165.79	0.0	0.0	12.7	0.0	0.0	9.28	8.32	10.06
Sft2d3	76.01	0.0	0.0	0.0	0.0	0.0	7.09	7.21	6.96
Slc22a4	159.43	0.0	0.0	0.0	0.0	0.0	7.18	7.12	7.34
Slfn14-ps	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Smarcad1	43.39	0.0	17.59	0.15	0.09	0.0	14.82	13.65	15.42
Svop	188.65	24.26	0.0	44.4	59.28	52.04	162.41	167.3	157.31
Taf5l	94.16	0.0	0.0	0.0	0.14	103.25	18.7	19.86	16.45
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tet1	26.27	0.0	0.0	0.0	0.08	0.09	3.75	3.32	4.28
Thumpd3	173.25	0.0	0.0	0.0	219.19	0.0	23.2	22.45	23.31
Tmem30c	24.72	0.0	0.0	0.0	0.0	0.0	0.43	0.14	0.15
Tmem81	66.08	0.0	0.0	0.0	0.0	0.0	4.34	4.87	5.42
Tomm70a	162.36	0.0	0.0	117.29	42.23	7.41	162.49	155.46	154.23
Treml2	0.47	0.36	0.0	0.0	0.0	0.0	0.35	0.38	0.4
Tubgcp2	410.73	78.53	177.75	10.52	0.0	6.58	32.13	33.69	30.53
Ube2s	111.79	0.0	0.0	0.0	0.0	0.0	112.79	123.41	115.9
Ubxn8	91.08	0.19	100.5	50.56	0.16	0.2	15.21	14.47	13.03
Upk3a	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09
Vcan	26.24	0.0	0.04	0.0	0.0	0.0	7.15	6.63	7.15
Vsig10	0.35	0.0	0.28	0.0	0.0	0.07	1.2	1.5	2.19
Vwc2	0.1	0.0	0.0	0.0	0.0	0.0	4.62	3.86	5.14
Wasf3	40.58	36.76	0.0	0.0	0.0	0.0	65.21	62.16	68.55
Xpo4	133.84	0.0	0.0	0.0	4.69	3.0	6.75	7.46	7.35
Zbtb22	49.52	0.0	0.0	0.0	0.0	0.0	31.62	34.2	31.51
Zfp707	126.01	4.83	0.0	2.31	45.59	0.0	9.19	13.45	12.32
Zfp72	203.96	0.0	0.0	236.0	0.0	0.0	3.55	3.63	4.89
Zfp738	152.38	0.36	45.62	1.37	0.0	0.0	12.49	8.02	11.6
Zfp799	68.02	3.42	3.38	4.0	3.16	4.81	18.36	15.58	17.74
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
c12_tRNA-Ala-GCY_	119.99	0.0	50.36	0.0	26.89	0.0	25.12	14.09	29.71
mt_AK131586	0.09	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK141881	15.14	0.0	0.0	0.0	0.0	0.0	0.0	21.9	18.44
mt_AK166684	4.95	0.0	9.22	0.0	0.0	0.0	18796.57	17507.83	18655.33
