	Nos1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_76	Rbp4_tdTpositive_cell_89	Scnn1a.Tg3_tdTnegative_cell_6	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ces1a	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Cfp	102.35	0.0	0.0	0.0	16.17	15.21	15.54
Coil	68.01	0.0	0.0	0.0	19.05	20.55	19.08
Col23a1	41.82	0.0	0.0	0.0	8.66	8.34	7.44
Cpt1b	50.39	0.0	0.0	0.0	1.56	1.07	0.62
Creg1	30.56	6.49	0.0	0.0	26.95	30.03	25.78
D030028A08Rik	57.53	0.0	0.0	0.0	5.56	4.5	5.53
Dlx1	0.24	0.0	0.0	0.0	16.9	20.94	19.29
Dnahc2	11.45	0.0	0.0	0.0	0.8	0.86	0.83
E030011O05Rik	28.42	3.8	0.0	0.0	1.09	1.41	2.23
Eif4e1b	0.63	0.0	0.0	0.0	0.3	0.16	0.36
Ext2	62.56	0.0	0.0	0.0	28.71	33.1	31.52
Fam110a	60.33	0.0	0.0	0.0	5.02	5.5	6.17
Fam113b	19.2	0.0	0.0	0.0	5.82	5.98	5.16
Fbxo30	59.41	0.86	0.0	0.0	4.97	4.67	4.96
Fig4	139.98	0.0	0.0	0.0	27.98	30.41	28.25
Figf	199.25	0.0	0.0	0.0	2.43	2.94	2.13
Gal3st2	50.6	0.0	0.0	0.0	0.11	0.15	0.13
Gm106	11.34	0.0	0.0	0.0	1.4	1.25	1.41
Gm14431	5.42	0.96	2.0	0.0	8.87	7.17	8.34
Gm16677	54.75	0.0	0.0	0.0	1.01	1.14	0.42
Gm20605	0.38	0.0	0.0	0.0	10.74	13.39	12.28
Gm4340	0.55	0.0	0.0	0.0	0.28	0.19	0.49
Gm5126	11.95	0.0	0.0	0.0	3.09	3.34	4.04
Gm6086	1.93	0.22	0.0	0.0	0.45	0.33	0.59
Gm7538	1.28	0.0	0.0	0.0	0.0	0.29	0.13
Gm8898	5.42	0.96	2.0	0.0	8.87	7.17	8.34
Gm9994	37.0	0.0	0.0	0.0	0.0	0.0	0.0
Gpr30	89.12	0.0	0.0	0.0	2.87	2.56	2.4
Hmgb4	6.31	0.0	0.0	0.0	0.0	0.14	0.0
Ifi203	3.22	1.2	0.13	0.23	1.82	1.57	2.08
Ikzf2	0.6	0.0	0.0	0.0	1.27	1.09	1.16
Il5	0.37	0.0	0.0	0.0	0.26	0.18	0.4
Impg2	33.01	0.26	0.0	0.08	0.72	0.4	0.75
Kcng3	59.54	0.0	0.0	0.0	3.4	2.35	3.81
Kera	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Mapk15	1.23	0.0	0.0	0.0	1.23	1.26	1.65
Met	24.49	0.54	0.0	0.0	4.89	4.77	4.94
Mob1a	21.88	0.0	0.0	2.73	23.68	17.56	20.43
Neb	6.22	0.0	0.0	0.0	0.31	0.28	0.36
Necab2	0.0	0.0	0.0	0.0	76.45	80.52	73.62
Nkd1	2.85	0.0	0.0	0.26	9.09	10.05	10.24
Nov	278.27	23.83	5.54	0.0	124.61	128.44	115.44
P2rx3	0.91	0.65	0.0	0.0	2.06	2.26	2.14
Pla2g4c	5.13	0.0	0.0	0.0	0.23	0.25	0.3
Pou5f1	18.7	0.0	0.0	0.0	0.0	0.0	0.0
Prkg2	49.0	0.0	0.0	0.0	6.31	5.06	6.6
Prmt2	934.64	0.0	0.0	0.0	68.97	69.46	66.96
Psg23	5.16	3.33	0.0	1.87	4.14	3.46	4.61
Ptprn2	80.77	36.59	89.96	0.0	221.75	226.44	219.46
Rftn1	23.97	0.0	0.0	0.0	7.78	7.89	8.54
Rfxank	60.05	0.56	0.13	0.67	10.68	10.68	11.79
Rtdr1	55.47	0.0	0.0	0.0	0.17	0.16	0.26
S100b	337.65	0.0	0.0	14.39	142.33	130.78	139.88
S1pr5	51.71	0.44	0.0	0.0	13.6	15.22	18.08
Scd1	57.2	0.0	0.0	0.09	100.21	100.65	111.27
Scel	0.11	0.0	0.0	0.0	2.03	1.58	1.97
Scml4	33.68	0.48	0.0	0.11	2.28	2.19	2.28
Scn9a	12.01	0.0	0.0	0.0	1.31	0.92	1.3
Senp5	17.87	2.25	0.0	0.0	32.11	30.03	30.39
Sftpb	2.36	0.0	0.0	0.0	0.12	0.12	0.0
Slc24a6	36.66	0.53	0.0	1.17	4.75	5.08	6.09
Snora74a	120.68	0.0	0.0	0.0	0.6	0.0	0.0
Snord116	6.33	0.0	0.0	0.0	1.22	1.15	1.9
Snord116l1	6.33	0.0	0.0	0.0	1.22	1.15	1.9
Snord116l2	6.33	0.0	0.0	0.0	1.22	1.15	1.9
Snord15a	3.71	0.0	0.0	0.0	0.88	0.0	0.0
Syap1	42.69	0.0	0.0	0.0	34.59	32.47	30.63
Syt17	553.17	103.76	0.0	0.0	56.63	51.77	56.47
Tas2r137	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tigd3	67.15	0.92	0.0	0.0	3.59	4.34	3.25
Tmem132d	58.61	0.0	0.0	0.0	24.39	20.73	26.63
Tnpo2	61.99	2.23	0.0	0.0	98.65	98.42	99.6
Trim62	62.75	2.99	0.0	0.0	17.43	19.99	16.33
Trim68	60.26	0.0	0.0	0.0	3.27	5.65	5.85
Tssk4	0.28	0.0	0.0	0.0	0.71	0.66	0.44
Ttc39d	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Vax2os2	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r38	0.41	0.0	0.0	0.0	0.0	0.0	0.0
Vmn2r55	26.76	1.0	0.0	0.22	3.27	1.36	3.31
Ypel1	45.0	5.5	0.0	0.0	25.96	28.29	24.98
Zfp867	105.12	3.6	0.32	0.0	7.0	7.01	9.38
Zp3r	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Zscan20	24.14	0.0	0.0	0.0	4.12	3.66	3.09
c12_tRNA-Val-GTA	14.61	0.0	0.0	0.0	0.0	0.0	3.24
mt_AK131586	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
