	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_6	Ndnf_tdTpositive_cell_10	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_3	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_8	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_157	Rbp4_tdTpositive_cell_160	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTpositive_cell_189	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_5	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_47	Scnn1a.Tg3_tdTnegative_cell_16
Fut9	0.0	0.0	96.99	0.0	93.98	212.66	74.13	48.89	33.13	12.86	11.56	30.88	15.7	291.63	214.04	29.09	57.53	66.03	35.39	6.77	16.4	0.06	0.08	0.0	2.2	0.0	0.0	0.0	105.93	0.0	0.0	0.0	0.08	15.13	0.17	0.0
Gm13306	0.0	0.0	113.94	0.0	10.7	185.36	141.26	52.82	54.72	30.68	0.23	50.62	21.3	145.89	387.32	114.35	145.03	0.49	118.2	75.28	177.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.8	0.46	0.0
Gm15800	0.0	113.46	69.39	0.0	72.19	47.09	54.4	77.48	50.69	29.07	43.32	30.97	27.32	45.39	96.04	22.4	25.44	37.07	50.11	57.32	14.82	0.13	0.02	88.34	32.94	21.16	120.54	0.0	84.48	0.08	0.07	0.04	0.0	29.92	39.27	0.0
Gm2506	0.0	0.0	113.94	0.0	10.7	185.36	141.26	52.82	54.72	30.68	0.23	50.62	21.3	145.89	387.32	114.35	145.03	0.49	118.2	75.28	177.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.8	0.46	0.0
Grin2b	0.0	0.0	288.53	0.13	273.17	359.14	327.75	328.93	232.39	233.05	267.2	160.55	103.49	344.57	318.68	136.61	97.59	158.37	74.3	48.48	106.89	0.15	0.15	0.0	0.3	0.6	0.26	0.35	1.24	0.34	0.19	1.38	0.63	274.26	1.13	0.88
Grpel2	0.0	0.0	29.61	0.0	0.95	45.59	0.0	43.62	12.93	0.0	39.65	36.43	13.61	40.63	46.44	55.75	0.0	0.0	15.88	26.91	8.78	0.17	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.31	0.15
Hnmt	0.0	0.0	0.0	0.0	0.8	387.56	128.44	280.7	59.35	50.99	47.02	222.3	84.93	786.21	518.91	0.0	0.0	28.54	98.73	300.75	0.95	180.48	0.2	0.0	640.39	0.45	0.0	0.0	0.0	0.0	0.22	0.0	0.0	64.54	1.29	0.0
Klf7	33.33	0.0	90.55	0.0	0.0	9.4	138.59	91.19	74.37	0.0	5.04	0.0	35.65	157.3	0.0	0.62	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0
Klhl24	1.27	0.11	52.08	41.46	63.92	113.97	0.21	78.98	22.25	30.31	45.98	88.75	3.64	27.73	88.42	141.7	54.31	3.94	1.75	63.99	40.6	2.93	1.29	1.09	26.1	3.55	2.13	0.37	36.37	1.91	0.45	7.15	5.7	5.58	2.48	0.79
Lmo3	0.0	0.0	0.0	0.0	0.0	571.16	191.69	414.3	358.98	258.32	294.78	49.78	3.45	744.76	530.3	0.0	0.0	0.0	232.98	0.0	82.57	0.0	0.0	0.0	0.0	0.7	0.0	0.0	619.93	0.0	0.0	0.0	0.22	79.52	0.0	0.0
Mapk10	0.0	0.0	111.74	0.0	74.2	260.52	175.43	229.41	119.61	124.01	110.51	83.58	105.32	106.59	302.69	62.02	83.82	82.92	78.24	35.75	108.78	0.0	0.12	0.0	25.3	0.96	15.62	0.0	17.6	0.37	0.1	0.08	0.0	149.15	2.36	0.0
Mir690	18673.1	26828.41	25738.25	19376.41	30464.78	11982.72	14240.81	13586.5	30528.33	39867.27	42000.18	28765.87	28695.45	17099.63	14448.88	37370.15	37614.4	24336.09	23271.48	32522.04	16606.18	17241.06	27509.93	14320.25	22371.82	44948.68	42282.55	11286.64	27759.51	24726.6	17671.81	35532.88	23237.11	48007.3	26597.61	14247.57
Mtch2	0.0	0.0	318.66	0.0	2.68	152.16	226.46	435.81	190.67	96.52	98.4	258.57	222.96	95.68	170.87	113.25	55.43	27.15	121.28	39.82	1.66	643.59	0.27	0.0	884.52	979.53	0.64	0.0	521.03	0.27	46.7	0.25	0.0	34.6	0.52	0.0
Ncald	0.0	0.0	407.22	0.0	247.02	766.08	1272.89	796.37	0.29	43.29	41.19	372.41	283.22	1373.27	907.42	40.61	169.88	161.67	86.04	89.52	0.36	0.79	0.56	0.0	677.17	423.16	353.39	0.35	704.82	0.56	1.34	0.0	0.67	167.11	3.51	0.18
Ncan	0.46	0.96	114.86	0.19	65.17	216.02	321.55	448.11	94.97	134.08	127.12	12.79	74.64	209.5	114.75	54.34	81.04	15.58	37.83	29.28	99.54	0.64	1.06	0.59	193.49	1033.25	265.83	0.75	330.84	0.42	0.65	1.07	0.36	124.02	190.33	0.55
Ncs1	0.0	0.0	3.94	0.0	0.64	151.81	436.22	94.62	225.91	96.74	208.03	23.55	16.35	357.4	422.65	0.8	41.34	0.14	89.4	5.66	108.48	0.17	0.0	0.0	0.36	0.72	0.0	0.0	0.0	0.16	0.0	0.0	0.11	111.4	0.72	0.0
Necab3	0.0	0.0	0.0	0.0	0.0	219.4	239.39	136.89	0.0	0.0	65.83	0.0	290.06	148.47	0.0	12.25	0.39	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0
Ngfrap1	0.0	0.0	221.37	0.0	196.18	82.65	154.35	430.48	410.26	379.55	311.27	449.44	174.78	188.32	228.84	0.91	103.57	676.89	70.35	242.87	293.78	0.0	0.38	0.0	596.97	0.0	18.45	0.0	0.0	0.75	0.0	0.0	0.0	247.83	0.0	0.0
Nlgn3	0.0	0.0	0.0	0.0	0.0	15.9	83.69	122.39	3.6	6.02	4.79	6.38	46.68	1.04	1.2	1.66	1.43	112.16	2.47	3.29	1.18	0.0	0.0	0.0	201.72	51.96	18.34	0.0	5.84	0.0	0.0	0.0	0.0	2.47	0.96	0.0
Nop56	0.0	0.0	323.95	0.0	198.07	78.02	232.77	486.51	463.33	199.27	335.34	2.52	191.41	132.05	133.84	88.56	316.91	253.18	129.06	174.45	93.57	0.36	0.0	0.0	245.36	43.17	0.41	0.0	0.0	0.34	0.0	0.0	57.53	46.78	0.22	0.0
Otud5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.46	8.69	15.52	19.38	0.0	0.0	0.0	2.39	0.0	11.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	443.45	0.0	0.0	0.0	0.0
Pak1	0.0	0.0	412.85	0.0	594.73	865.92	750.74	1045.01	680.51	690.87	546.68	247.17	237.79	1109.76	1150.18	150.69	254.16	77.02	98.13	225.19	282.75	0.22	0.42	0.0	0.75	0.95	0.25	0.39	0.0	27.01	1218.95	0.0	1.06	793.22	3.11	0.2
Papolg	0.0	0.0	0.08	0.0	0.34	129.23	80.74	146.88	21.11	0.0	0.0	18.3	1.8	105.06	34.36	56.13	48.05	2.64	0.0	0.0	20.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	45.49	0.11	0.0
Pcdh9	0.0	0.0	296.56	0.0	26.68	442.54	145.62	322.86	11.31	46.48	21.91	241.17	122.86	613.12	112.84	84.24	60.9	61.44	12.3	53.29	40.92	0.24	0.46	0.0	273.85	263.67	0.14	0.22	0.0	0.12	0.06	0.0	0.08	158.45	385.73	0.0
Pgm2l1	344.82	0.04	179.93	0.04	236.56	130.65	89.59	178.03	178.57	121.73	163.32	157.55	82.11	694.56	566.57	153.9	51.88	81.09	44.49	65.94	50.73	0.16	0.29	0.02	0.09	0.41	0.09	0.0	63.34	0.44	0.16	0.0	0.0	111.08	0.34	0.0
Phf12	0.0	0.0	18.75	0.0	0.29	36.82	35.14	46.63	5.72	20.2	20.04	0.0	32.88	22.52	0.0	0.0	0.0	10.79	0.0	2.6	0.0	0.0	4.61	0.0	147.26	286.73	0.0	0.0	102.54	0.0	0.0	0.0	0.0	6.6	13.76	0.0
Pigb	0.0	94.57	0.0	0.0	0.0	0.51	5.94	1.94	0.0	0.0	0.95	113.48	0.0	76.21	19.88	0.0	0.38	2.29	14.94	0.27	0.14	0.0	0.0	0.0	32.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pik3r3	0.0	0.0	19.36	0.0	0.0	27.7	69.11	63.85	12.06	19.66	6.79	0.0	0.0	50.54	124.89	0.0	0.41	0.0	0.0	7.97	6.7	0.0	0.0	0.0	0.06	0.0	0.31	0.0	0.0	0.26	0.35	0.0	0.0	0.49	0.08	0.0
Pnpla1	0.0	0.0	0.13	0.0	0.77	11.82	3.51	4.18	0.16	0.69	0.31	0.18	2.43	3.36	10.13	1.08	12.03	1.11	0.1	0.15	1.16	9.74	0.0	0.0	0.0	0.0	0.02	0.0	0.32	0.0	0.0	0.4	0.0	1.12	0.0	0.0
Polr2d	0.0	0.45	0.0	0.0	201.6	294.84	152.07	0.62	157.93	0.0	108.03	4.09	83.19	115.12	108.12	146.86	0.0	0.0	130.87	162.23	24.12	0.74	0.0	0.0	495.65	1.59	0.0	0.0	0.0	0.7	836.7	1076.81	0.0	154.59	0.9	0.0
Ppp2r2b	0.0	0.0	256.4	0.0	12.29	197.67	220.87	608.78	62.52	209.0	301.59	32.48	91.42	360.53	529.94	23.71	55.0	163.69	40.0	94.22	64.16	0.35	0.17	0.0	7.05	1153.9	0.0	0.0	0.0	0.33	0.36	0.0	0.0	387.87	0.62	0.0
Prepl	0.0	0.0	202.27	0.0	62.91	415.68	372.28	395.44	591.36	359.45	371.14	8.57	59.9	251.2	52.28	17.17	66.85	21.72	49.95	60.5	225.21	0.0	0.0	0.0	0.09	0.69	0.0	0.0	0.0	0.0	0.55	0.19	0.15	95.6	2.62	0.0
Psmc1	0.0	0.0	856.14	1109.48	1153.55	565.27	627.19	831.02	479.27	397.54	202.99	215.1	501.15	265.37	829.26	422.69	323.21	371.59	264.37	725.41	332.81	0.46	0.22	0.0	547.57	3.49	960.83	0.0	0.0	62.83	0.72	0.0	0.63	477.17	2.83	0.0
Psmd2	1060.42	0.0	12.72	0.0	290.92	230.2	307.08	287.29	38.61	86.33	106.13	24.8	149.64	155.5	275.16	52.78	9.63	110.26	18.37	63.09	212.55	12.08	0.65	0.13	34.09	4.43	2.61	0.0	0.0	1.74	2.49	1016.67	3.44	134.15	6.44	0.41
Rap1gds1	0.0	0.0	209.1	0.0	338.45	261.08	416.95	404.81	137.09	130.24	282.28	46.47	17.73	492.51	469.96	2.3	80.93	110.09	87.55	45.21	8.9	310.41	0.36	0.0	0.17	0.41	0.22	0.0	0.4	82.35	4.47	222.91	102.75	140.6	153.0	237.48
Rbfox1	0.0	0.0	71.23	0.0	88.09	289.77	274.13	146.67	73.57	74.71	72.08	65.64	70.79	303.8	97.89	35.14	13.26	0.14	36.28	50.43	50.15	0.0	0.0	0.0	0.0	0.14	53.73	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.2	6.47
Rev3l	0.0	0.0	0.0	0.0	8.25	6.05	8.96	34.67	12.35	1.38	6.24	15.84	4.73	15.68	0.0	8.31	62.46	10.0	0.42	4.34	0.0	0.0	0.03	0.04	9.54	47.8	1.89	0.0	0.13	0.0	0.03	0.0	0.0	0.25	0.12	0.0
Rmnd5b	0.0	0.0	43.96	0.0	0.67	103.72	108.71	252.24	0.0	17.8	22.64	0.0	0.0	134.81	0.0	48.78	72.95	0.0	28.97	0.0	0.96	0.0	0.17	0.0	0.31	0.38	0.4	0.0	0.0	0.0	0.36	0.0	0.0	153.23	0.22	0.0
Rnf6	0.0	0.0	170.88	0.0	144.12	267.73	51.03	186.11	63.77	123.46	32.31	70.03	43.87	0.0	276.65	59.51	54.11	38.12	0.0	27.14	37.65	0.0	0.1	0.0	5.34	0.0	0.25	0.0	0.0	0.0	0.11	0.0	4.26	192.75	18.15	0.0
Rsrc2	0.0	0.19	592.89	0.15	9.87	230.92	93.86	209.87	164.1	184.04	220.31	314.77	89.93	261.56	282.76	187.88	148.84	213.82	165.73	307.24	393.18	0.79	0.3	0.0	217.7	0.34	11.82	0.0	18.49	0.3	0.0	0.0	12.55	166.26	0.0	0.0
Runx1t1	0.0	100.8	104.34	0.0	53.52	120.23	267.57	168.02	36.09	165.12	84.91	138.21	158.53	316.67	312.88	96.2	101.94	168.91	84.15	38.9	74.34	0.15	14.45	0.0	2.56	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	51.62	0.21	0.0
Sass6	0.11	0.38	1.47	0.03	0.44	29.18	0.7	1.04	1.05	1.34	28.02	2.72	7.15	46.94	52.99	1.37	1.05	1.9	1.49	1.21	2.12	0.84	1.32	0.0	1.66	6.04	1.42	1.67	0.9	0.54	3.01	4.23	0.99	1.57	1.62	1.19
Senp7	0.1	0.0	15.71	0.0	0.0	115.54	25.11	63.63	23.72	0.78	37.45	4.14	0.0	146.1	122.57	36.97	7.23	147.62	32.84	0.0	97.08	0.0	0.0	0.0	17.1	0.0	0.0	0.0	0.0	0.0	0.0	35.07	0.0	0.0	21.49	0.0
Sept7	0.0	2428.04	953.56	0.0	1074.69	1214.38	1959.74	1916.99	1222.93	1022.2	656.77	1687.82	1396.67	1638.32	1993.09	1178.31	1482.98	1008.97	949.8	1555.96	1085.86	208.54	2.29	0.15	1980.14	325.35	998.27	285.66	557.69	504.15	892.18	285.93	0.18	1139.36	867.27	323.3
Sez6l	0.0	0.0	52.52	0.0	0.22	23.24	1.09	9.94	36.73	30.3	36.22	33.22	32.98	69.14	50.3	36.38	3.87	6.05	3.15	10.63	9.5	0.11	0.0	0.0	54.12	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.29	0.0	0.0
Shisa4	0.0	0.0	162.39	0.0	0.0	82.06	86.71	83.77	43.44	0.0	4.49	36.06	36.94	38.39	98.82	56.05	52.37	69.04	16.18	7.31	19.72	0.0	0.28	0.0	0.0	0.0	3.34	0.0	0.0	0.0	0.0	0.0	0.0	72.96	0.0	0.0
Sirt3	435.3	0.0	171.0	0.23	186.81	110.36	384.65	451.03	239.54	136.72	48.19	0.28	102.54	314.79	273.62	0.0	0.5	71.65	7.87	0.24	30.71	0.0	0.23	0.0	0.21	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	10.78	0.0
Slc7a11	3.6	3.07	0.46	2.93	0.83	1.9	2.74	4.3	3.41	2.0	2.39	2.56	2.83	4.23	2.64	0.69	1.08	1.46	1.46	3.09	1.78	0.13	0.0	0.0	0.16	6.02	0.19	0.0	0.0	0.0	0.0	0.06	0.1	1.99	232.33	0.0
Spop	0.5	0.0	18.95	0.11	55.68	287.93	232.62	297.5	196.64	91.02	90.14	4.9	36.97	285.12	9.28	1.41	2.9	62.66	68.05	0.79	21.8	0.0	0.11	0.0	0.1	0.21	0.0	298.19	7.19	0.45	0.12	64.77	0.0	51.84	478.53	0.0
Srp54c	0.0	0.0	53.34	0.13	282.72	309.0	386.7	263.89	99.96	177.55	175.8	142.44	88.42	202.36	334.98	78.34	174.93	17.3	22.05	74.16	114.35	0.0	8.72	0.0	473.37	808.73	84.93	0.48	0.0	0.0	0.0	0.0	0.0	265.13	61.97	0.0
Stmn2	0.0	0.0	439.17	0.0	421.72	830.16	1121.76	446.34	684.89	333.82	408.69	588.29	318.21	711.19	488.8	508.55	434.43	423.88	301.38	639.62	403.49	0.36	0.51	0.0	0.47	0.77	0.0	0.0	0.0	1.71	1.3	0.0	0.0	450.56	4.4	0.0
Sv2b	0.0	0.0	250.41	0.0	1.21	472.16	361.99	285.57	186.25	125.65	183.33	42.47	69.62	149.61	261.45	136.84	13.88	158.8	272.24	96.13	49.53	0.0	0.18	0.0	0.06	0.67	0.0	0.0	0.0	0.48	0.2	0.0	0.0	167.42	0.46	0.0
Syt11	5.35	7.79	258.58	3.92	217.2	726.53	922.76	570.18	717.9	584.09	417.72	329.52	211.28	671.43	603.36	122.02	277.99	200.65	160.1	101.87	120.47	8.44	6.49	3.85	75.03	581.11	850.61	6.01	515.0	9.37	142.38	6.22	7.21	472.1	72.67	4.06
Sytl2	0.0	0.0	0.0	0.0	197.03	261.01	6.45	427.34	125.1	90.4	137.16	37.49	0.48	161.97	273.1	6.28	84.17	138.95	67.69	51.53	2.12	0.0	0.0	0.08	0.23	0.28	0.6	0.0	0.0	0.25	0.09	0.0	0.0	194.86	0.64	0.0
Tmx4	0.0	0.3	45.87	0.3	178.5	249.58	174.86	144.35	133.42	116.19	119.26	158.52	109.47	352.57	105.99	105.65	1.16	213.85	138.81	65.56	176.99	0.39	547.69	0.45	0.4	0.89	186.39	30.14	0.29	0.13	0.53	15.12	1.17	119.37	1.6	0.24
