	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Gad2_tdTpositive_cell_47	Ndnf_tdTpositive_cell_9	Ntsr1_tdTnegative_cell_27	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_79	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_16
Dnmt3a	12.07	8.51	11.65	1.65	0.0	12.31	10.03	26.44	30.44	85.17	10.75	2.98	0.95	17.34	13.63	27.42	44.33	5.04	13.04	25.79	27.43	0.06
Elp2	0.51	0.09	403.12	0.0	0.0	62.64	32.88	12.3	197.56	508.16	4.54	346.15	45.76	130.69	43.81	84.03	162.47	192.9	77.9	94.28	1.6	0.38
Erbb4	0.0	0.0	6.26	0.0	0.0	2.88	24.73	16.19	24.07	16.12	26.24	9.7	23.89	12.67	12.76	15.33	0.61	37.12	1.13	4.63	20.95	0.0
Fam168a	0.0	21.34	48.65	0.0	0.0	51.17	51.69	98.62	84.6	114.28	63.14	89.58	126.41	91.38	43.43	84.25	84.09	46.03	34.35	60.66	78.18	0.05
Fam33a	0.0	0.0	75.57	0.0	0.0	33.78	0.0	57.25	94.97	142.95	52.26	44.68	41.51	0.0	0.0	6.81	102.94	8.17	24.52	56.85	92.8	0.0
Fbxo11	0.0	0.85	218.33	0.0	0.0	0.55	118.24	17.81	46.35	169.91	0.09	27.64	56.84	30.26	55.28	25.68	8.19	64.86	21.47	44.73	0.0	0.0
Gfpt1	0.0	0.08	18.03	0.15	0.0	1.62	13.98	16.39	0.82	29.8	8.7	5.53	20.95	5.99	1.41	0.78	7.92	1.58	0.24	11.29	4.63	0.0
Grin2b	0.14	98.19	136.04	0.06	11.19	95.88	131.16	100.1	149.12	263.84	97.76	142.71	202.23	119.36	87.9	45.81	65.75	23.01	60.34	21.67	117.63	0.19
Igsf3	0.0	0.03	23.96	0.0	0.0	0.47	21.87	28.38	29.46	48.25	56.55	19.79	49.46	2.79	43.9	38.38	30.78	23.44	42.7	25.12	43.82	0.0
Kcnmb2	0.0	9.89	92.26	0.0	0.0	57.26	2.94	4.51	1.11	98.97	37.38	36.01	82.11	57.24	44.95	83.99	2.09	3.12	96.87	17.93	36.33	0.0
Ldhb	7486.96	8970.97	6819.53	1744.47	4948.76	10118.08	10894.4	8808.99	10165.1	7814.88	11261.44	10004.69	6263.78	9074.03	13571.31	12546.17	9755.78	8904.1	11010.48	10182.84	11746.38	2798.49
Mad2l1bp	0.0	0.0	62.7	0.0	0.0	0.0	0.0	0.0	0.0	140.76	0.0	0.0	69.88	106.07	0.0	54.65	0.0	78.87	0.0	64.46	0.0	0.0
Mau2	1.23	1.51	108.23	10.23	3.84	0.0	19.02	20.72	54.17	2.3	42.69	62.61	32.77	22.69	8.22	68.61	38.12	22.61	41.82	1.75	14.13	1.53
Mrpl38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.73	0.0	7.55	107.0	3.1	0.0	17.17	12.91	0.0	0.0	0.0	0.0	0.0
Mutyh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.1	0.0	0.0	58.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.24	0.0	0.0	3.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pcm1	0.0	0.0	56.14	0.0	0.0	0.0	6.86	23.31	45.2	53.14	10.22	59.35	29.27	3.62	16.31	16.82	13.93	3.2	25.82	18.7	39.24	0.12
Pdpk1	0.0	0.05	14.89	0.0	0.08	23.4	21.21	14.27	10.47	86.67	0.52	48.28	47.97	11.9	1.4	16.89	34.21	32.92	17.99	41.01	7.18	0.0
Pgpep1	0.0	0.0	32.56	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.99	0.0	0.07
Prpf39	0.12	55.56	82.56	0.0	0.0	5.58	53.65	36.05	29.48	68.17	0.29	36.83	86.14	19.96	23.27	10.62	89.31	2.0	1.24	47.16	35.89	0.18
Pum2	0.0	0.0	78.28	0.0	0.0	4.65	25.42	52.36	20.21	62.65	22.45	7.33	28.44	5.05	30.19	36.02	12.5	34.07	20.24	0.15	18.89	0.12
Rc3h2	0.0	37.08	78.77	0.0	0.0	0.38	14.83	5.63	46.89	79.05	6.1	32.02	28.0	4.16	6.11	24.96	10.1	14.81	19.09	6.91	7.18	0.0
Rhot2	0.0	0.0	74.36	0.0	0.0	0.0	78.24	81.72	79.73	81.16	0.13	4.59	0.0	50.64	28.38	0.0	39.21	34.53	0.0	0.0	0.0	0.0
Sar1a	0.0	0.0	204.45	0.0	0.0	9.48	13.97	45.44	22.48	132.76	77.68	72.36	89.06	135.62	64.45	57.2	186.64	18.03	71.17	44.85	44.89	0.0
Synj1	0.0	39.87	68.6	0.0	0.0	130.09	30.88	91.61	62.46	95.53	39.97	94.43	69.81	101.21	52.87	64.58	115.44	53.24	50.55	68.45	84.67	0.0
Tmem117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	23.1	119.67	0.0	0.0	48.32	0.0	0.0	0.0	5.17	1.94	0.0	0.0	0.0	0.0
Tmem170b	0.0	9.15	172.49	0.0	170.83	39.5	7.83	104.16	45.04	283.15	107.7	85.07	132.26	78.23	52.69	63.65	46.39	81.88	50.49	57.39	63.15	0.48
Tox2	0.29	0.15	0.0	0.0	0.0	0.75	0.0	21.47	0.0	31.93	2.71	1.67	1.88	2.6	0.33	0.0	0.79	0.0	0.98	0.55	1.06	0.0
Ube2h	0.0	19.11	206.19	0.0	11.59	75.06	42.98	166.92	99.67	375.15	88.69	76.48	144.4	98.95	32.98	142.76	177.22	49.42	71.8	155.17	128.03	0.25
Ubl4	0.0	156.33	251.1	0.0	0.0	126.63	93.83	164.93	202.81	482.71	88.67	91.37	97.71	215.08	246.68	296.78	400.06	365.38	0.0	284.23	287.97	0.0
Uqcc	0.0	43.64	113.76	0.18	20.6	192.6	37.81	138.19	113.95	190.58	69.62	188.87	245.26	67.8	34.14	99.11	99.08	97.6	104.97	0.17	218.48	0.0
Vps33b	2.81	18.51	89.12	7.42	13.76	0.1	2.43	6.91	37.63	115.98	118.49	97.99	67.53	1.83	25.86	72.67	28.09	3.22	7.4	45.03	101.87	5.8
Wwox	0.0	256.14	210.87	0.0	0.0	8.11	79.55	64.7	11.88	238.14	59.89	46.3	72.85	21.06	62.5	33.18	7.97	64.96	0.0	0.2	47.9	74.73
Zfp101	0.0	9.06	102.32	0.0	0.0	51.6	33.42	2.04	38.99	95.04	0.0	108.56	54.92	1.57	0.72	0.0	43.69	35.38	0.0	1.65	52.27	0.0
Zfp410	0.0	0.49	107.69	0.46	0.32	0.08	0.48	4.13	40.25	34.84	64.08	45.18	124.48	18.79	16.86	20.37	46.35	1.25	105.45	38.09	0.76	3.27
