	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_56	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_116	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_92	Scnn1a.Tg3_tdTpositive_cell_94	Scnn1a.Tg3_tdTpositive_cell_97	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Ccl25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.97	0.0	0.0	118.28	0.0	16.12	268.27	46.73	186.94	0.34	0.53	31.07	15.58	30.47
Ccl27b	0.0	2.22	7.78	26.22	39.72	98.78	32.42	177.4	180.65	54.51	1.96	20.62	8.68	0.0	180.86	72.74	95.97	127.6	61.27	76.52	71.98
Cecr6	0.0	0.12	0.14	0.32	0.22	0.19	0.0	62.38	0.24	0.72	0.0	0.12	19.0	0.0	0.02	158.2	53.98	1.14	8.44	13.65	10.81
Chst14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0
Cidea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.05	0.15	0.12	5.55	3.96	8.6
Cks2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	175.87	1.05	0.84	2.3	2.65	11.75
Cnnm3	0.43	0.46	0.25	1.25	0.53	3.15	0.36	0.46	0.05	21.61	0.35	0.05	0.64	49.64	1.16	40.85	11.23	0.3	4.16	3.95	1.58
Crat	0.0	0.05	0.0	0.0	142.15	0.0	0.09	0.0	0.0	0.0	0.0	0.03	0.0	0.0	19.66	132.87	0.31	22.47	6.67	6.45	5.25
Ctsa	82.39	87.15	0.07	62.57	161.1	154.58	2.26	80.17	96.61	146.31	87.13	111.18	91.76	1.01	67.43	223.01	69.0	84.69	58.94	89.14	100.8
Cxcl17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	270.13	0.72	0.57	2.5	0.0	0.97
D19Ertd386e	0.0	136.99	0.0	1.84	0.0	0.0	6.52	23.21	0.0	89.29	17.97	1.33	0.0	0.0	26.56	126.12	0.26	0.27	15.34	11.51	13.26
Dgkq	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	41.76	0.0	0.0	0.0	0.0	3.18	0.1	96.21	0.13	13.54	3.96	5.47	0.47
Echdc1	0.0	0.16	0.0	0.0	0.0	0.23	0.0	2.65	0.0	110.52	54.88	0.0	0.22	0.0	0.0	173.95	0.42	0.23	30.96	23.11	22.75
Edc3	0.0	0.42	0.0	0.0	0.0	7.02	95.59	0.82	0.0	0.0	0.0	0.09	50.64	0.0	0.0	37.34	0.1	0.16	25.07	16.11	19.15
Egfl8	0.0	0.0	0.0	0.0	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	156.4	0.32	0.26	0.0	0.0	0.0
Egln2	0.37	0.0	0.43	0.25	0.0	1.08	1.32	5.48	0.5	0.0	0.0	0.99	0.27	0.0	0.05	20.33	2.87	1.37	7.13	7.39	3.65
Eif2b2	0.0	303.77	133.34	0.0	0.0	214.7	310.55	223.99	129.88	0.0	0.0	68.27	15.27	0.0	0.15	181.52	0.78	53.64	20.63	28.45	37.46
Eif4enif1	0.0	0.0	37.07	0.0	0.0	0.0	72.88	73.24	0.0	0.0	0.0	26.88	3.87	0.0	0.22	149.83	0.24	0.19	40.6	49.68	35.97
Eral1	0.0	179.2	167.08	0.0	1.66	1.04	0.4	0.26	11.91	0.39	129.87	0.59	0.56	0.0	0.8	281.18	165.14	236.43	21.5	28.83	40.14
Fam186b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.19	0.0	0.04	0.0	0.11	0.0
Fam18b	218.73	0.18	151.08	12.17	0.0	174.92	207.74	0.12	0.07	0.0	132.67	48.6	203.32	0.0	15.66	317.27	1.15	65.43	102.64	109.21	90.3
Fancm	0.0	0.0	0.03	0.0	0.0	0.07	0.0	0.0	32.61	1.64	0.0	0.0	0.0	0.0	0.0	54.69	0.09	0.1	0.04	1.05	0.57
Fermt2	0.0	0.03	0.0	8.23	0.0	0.0	0.0	6.21	0.0	0.0	0.0	0.0	118.18	0.0	0.0	267.65	0.53	0.79	2.84	5.82	5.12
Fhl1	0.0	0.17	0.0	0.0	0.0	0.07	0.0	73.96	0.05	0.0	0.0	0.0	0.0	0.0	0.1	192.3	0.59	0.76	0.32	1.49	4.44
Gar1	0.0	0.0	0.0	0.0	0.0	0.15	0.0	6.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.35	0.14	0.11	0.48	0.28	1.68
Gm10865	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.08	0.0	0.0	0.0	0.0	1.04	0.0	0.0	6.21	2.82	0.32	0.76	0.0	0.0
Gm13305	0.55	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.29	0.29	19.22	8.46	0.0	2.15
Gm13306	0.0	2.22	7.78	26.22	39.72	98.78	32.42	177.4	180.65	54.51	1.96	20.62	8.68	0.0	180.86	72.74	95.97	127.6	61.27	76.52	71.98
Gm2506	0.0	2.22	7.78	26.22	39.72	98.78	32.42	177.4	180.65	54.51	1.96	20.62	8.68	0.0	180.86	72.74	95.97	127.6	61.27	76.52	71.98
Gm3317	0.0	0.0	0.0	0.0	2.07	0.0	0.0	0.0	0.99	0.0	0.0	1.08	0.0	0.0	0.0	2.74	8.57	0.0	2.65	0.88	0.92
Gm3494	0.0	0.0	0.0	0.0	2.07	0.0	0.0	0.0	0.99	0.0	0.0	1.08	0.0	0.0	0.0	2.74	8.57	0.0	2.65	0.88	0.92
Gm6981	0.57	0.42	0.34	0.37	0.24	0.44	0.28	0.61	0.44	0.3	0.52	10.81	2.44	0.0	0.16	208.03	0.85	1.15	1.7	1.44	1.82
Gmppa	2.04	0.13	317.42	126.26	23.33	0.13	0.0	0.14	0.0	89.25	27.29	3.46	0.0	0.0	0.0	443.12	1.26	1.63	27.22	49.95	24.97
H2-M3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	239.22	0.0	0.88	0.0	2.71	0.0
Has1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	183.22	16.44	0.33	0.86	1.82	0.33
Hdac2	256.62	40.35	0.0	0.0	0.0	30.69	14.92	1.07	0.13	3.94	0.0	4.4	0.59	10.01	2.09	216.58	118.16	4.52	43.07	30.46	23.93
Hic2	0.0	0.04	0.0	0.06	0.0	50.97	0.25	0.0	50.59	0.0	0.0	6.86	0.17	0.25	40.77	78.23	33.51	0.32	2.28	1.27	1.62
Hist2h2ac	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.12	0.0	0.0	0.0	0.0
Hmgb4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0	0.0	0.0
Itgb1	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.14	0.0	12.62	0.0	0.0	0.0	0.0	0.03	8.78	2.64	0.39	3.67	6.43	7.97
Kcnj11	0.0	2.2	0.09	0.99	0.0	3.39	0.0	133.47	3.79	0.0	64.7	6.46	41.79	0.0	56.37	121.97	6.18	86.2	10.63	5.68	2.48
Kctd10	0.0	0.49	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	1.78	0.0	9.25	195.48	65.24	163.88	0.89	0.31	17.05	19.16	12.8
LOC629393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.04	0.0	0.0	0.0
Layn	0.0	0.0	1.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.24	0.1	30.76	0.51	0.0	0.0
Lpin2	111.1	0.12	0.01	2.17	31.68	0.06	0.07	0.0	0.07	0.0	3.48	60.84	0.2	0.0	0.0	170.67	41.92	0.57	23.22	18.22	22.71
Lrch4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.61	0.38	0.0	0.0	0.0	0.34
Lrriq1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.69	0.1	0.21	1.65	2.17	1.51
Lysmd1	54.09	59.97	1.23	0.0	0.0	0.0	0.0	6.53	0.0	0.0	0.29	144.66	0.0	0.0	0.0	199.37	0.72	0.68	46.86	40.25	44.97
Map3k11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0	17.48	0.09	0.04	0.0	0.0	0.0
Mrm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	66.07	0.0	0.0	0.0	202.34	1.11	0.55	6.04	2.23	6.88
Mrrf	0.0	148.23	0.0	0.0	0.0	0.08	0.0	5.86	84.85	0.0	110.75	80.53	0.0	0.0	94.71	97.71	1.48	0.18	27.69	33.08	21.38
Mterfd3	0.0	0.2	0.15	0.0	0.0	4.15	0.82	0.0	0.08	16.52	0.0	0.0	0.36	0.0	0.0	206.53	0.56	0.62	54.01	46.65	47.3
Naglu	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.94	0.42	0.5	0.0	0.14	0.42
Nap1l2	374.66	203.57	698.91	153.99	1.47	58.73	386.36	497.85	9.11	116.42	504.11	250.32	413.44	0.0	123.0	731.1	178.16	324.24	212.94	216.27	210.76
Ncf2	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.01	0.86	0.16	1.66	1.9	0.13
Npl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	190.4	0.25	0.3	7.38	8.51	7.07
Nthl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.59	0.0	0.0	0.0	0.0	0.0	0.0	129.67	0.16	0.39	0.0	1.98	1.33
Nudt17	0.0	0.0	134.59	110.96	0.0	0.0	0.0	5.22	0.0	0.0	108.74	175.36	0.0	0.0	0.0	270.52	1.34	0.87	0.71	10.28	11.08
Oprl1	34.77	189.64	0.0	0.18	0.0	79.38	0.13	4.45	0.0	128.96	1.89	242.11	0.19	0.0	0.08	322.08	51.85	36.2	42.01	28.14	41.96
Pbx4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.82	0.26	0.0	0.0	1.31	0.26
Pdcd1lg2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.42	0.1	0.12	0.0	0.0	0.0
Pdgfb	0.0	0.28	0.08	0.0	183.22	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.04	154.2	14.43	71.1	14.17	11.68	9.31
Phf12	0.0	0.07	0.0	1.54	0.0	0.0	1.52	0.34	0.0	65.99	0.0	4.02	22.62	0.0	1.72	0.81	0.12	0.18	4.18	5.13	6.51
Phyhip	23.89	209.55	149.0	143.3	65.74	211.87	317.49	75.54	245.66	81.93	23.81	115.44	54.52	56.72	21.8	186.45	266.58	242.19	83.94	88.43	93.96
Pim3	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.04	0.0	0.0	0.0	31.81	0.0	0.39	0.0	119.06	0.29	47.12	2.72	2.0	5.33
Ppp1r1a	9.47	54.07	56.85	1.66	0.0	0.0	0.0	48.99	0.0	32.24	0.0	3.88	0.0	0.0	1.51	98.98	2.31	8.4	9.49	15.52	16.76
Ptprq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.48	0.05	0.13	0.0	0.0	0.0
Rab1b	174.69	57.94	0.0	28.83	5.43	77.48	16.77	69.77	12.62	57.22	14.1	85.07	65.7	8.35	1.17	140.17	2.27	63.88	15.94	18.39	39.97
Rab23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.04	0.0	0.0	0.03	94.76	0.41	0.1	5.35	8.6	7.53
Rab3ip	0.0	0.37	0.0	0.0	0.0	24.26	0.0	0.3	0.0	23.77	0.77	0.0	0.0	0.0	0.0	189.69	0.51	108.69	19.19	17.66	20.79
Rab5c	0.0	97.94	1.47	0.0	1.77	0.85	2.81	0.72	0.42	0.0	0.89	0.0	0.0	0.0	0.15	113.03	2.55	0.35	13.69	18.67	19.29
Rapgef3	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.34	0.0	0.0	0.0	0.15	0.0	0.0	111.35	0.23	0.36	0.0	0.0	0.0
Rapgefl1	147.68	0.48	95.22	10.26	0.16	112.67	0.01	58.58	111.75	27.88	0.0	0.28	0.79	0.0	2.7	126.82	26.5	6.16	26.3	31.26	31.93
Rbm14	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.95	0.0	0.0	0.0	0.0	0.0	29.97	0.18	1.65	1.49	5.02	5.07
Rbm4b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.5	0.0	3.37	0.0	50.09	0.0	0.0	140.6	392.17	1.33	1.75	26.27	23.5	29.06
Rdh10	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.87	0.0	141.26	0.0	0.24	3.66	0.3	1.06
Rgs9	0.0	0.0	0.0	0.07	0.0	0.0	0.0	40.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.32	0.75	0.33	6.39	5.61	2.48
Rnf185	0.0	156.3	0.16	0.0	0.0	0.0	0.0	11.11	0.0	0.14	0.24	0.0	0.0	0.0	6.3	409.42	150.61	11.0	37.63	32.38	41.38
Rnu12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.62	0.0	0.0	0.0	0.0	3.68
Serinc2	0.0	0.11	0.0	0.0	18.28	0.0	0.0	0.11	0.0	0.0	27.18	0.0	0.0	0.0	0.12	298.82	0.55	0.88	13.49	28.7	28.79
Setd1a	23.24	0.05	0.0	0.15	0.0	0.07	0.0	0.02	0.0	0.0	0.0	4.11	0.0	0.0	28.08	0.03	0.42	0.05	0.75	2.35	0.75
Slc27a3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.13	0.0	0.06	0.0	0.0	0.15
Slc35a3	0.0	109.29	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.97	0.0	0.0	0.0	0.0	0.03	84.42	0.0	0.17	1.32	1.36	0.26
Snap25	26182.83	24880.43	23752.44	19832.73	25194.29	24000.2	24648.02	21740.03	20866.53	23051.34	22470.57	21435.37	22845.02	25542.47	22725.47	15085.86	18336.85	20516.03	20846.74	19146.26	18964.09
Snupn	0.59	0.08	0.0	166.27	0.0	0.0	0.6	7.14	10.39	8.01	58.21	0.0	0.0	0.0	163.5	244.97	91.75	210.74	86.96	72.88	72.48
Srbd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	15.22	0.0	0.0	0.0	0.0	57.45	0.05	0.12	2.86	2.04	1.27
Stk24	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	13.32	0.13	0.11	1.97	2.81	2.16
Stx17	0.0	0.02	0.0	0.0	0.0	0.07	0.0	0.02	0.0	0.07	0.0	1.03	0.06	0.0	0.06	30.38	31.2	0.14	5.62	2.42	4.4
Tab1	0.0	0.03	0.15	0.0	0.0	0.0	0.0	34.14	0.0	0.0	0.0	91.15	1.53	0.0	0.0	150.87	0.41	0.46	3.15	8.32	6.15
Taf4a	0.0	62.69	2.49	0.0	0.0	0.0	0.0	2.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.34	0.04	0.09	3.55	1.24	1.64
Tap2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.0	0.35	0.38	0.0	0.0	0.0
Tcte2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.6	0.12	0.1	0.0	0.75	0.0
Tmem177	0.0	211.6	0.0	0.0	0.0	0.06	0.0	0.0	11.6	0.0	0.0	0.0	0.0	0.0	0.0	135.78	0.26	0.16	18.51	19.06	21.65
Tmem37	0.0	0.0	7.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	374.33	98.41	1.39	0.0	0.0	0.0
Tmem80	0.86	0.0	0.0	0.0	0.0	0.0	76.7	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	218.4	17.53	0.46	14.36	16.39	10.39
Trim43a	0.0	0.0	0.0	0.58	1.21	1.55	0.32	0.33	0.0	0.0	0.4	1.2	1.57	7.13	0.05	190.97	0.2	0.4	0.33	1.87	0.58
Trmu	0.0	0.0	0.0	0.0	0.0	140.55	0.0	1.02	0.0	0.0	88.49	62.8	0.0	266.37	0.0	121.75	0.35	0.46	21.58	21.19	20.22
Vmn2r85	0.0	0.0	0.0	0.0	0.0	0.0	2.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.64	0.0	0.11	1.46	0.21	0.53
Vmn2r86	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.81	0.0	0.0	0.44	0.59	0.0
Vmn2r89	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.05	0.0	0.0	0.0
Wdr25	0.0	0.11	0.09	1.39	1.73	1.5	0.44	0.03	0.05	1.35	0.13	44.09	1.91	0.0	0.77	128.49	1.04	0.36	2.67	4.15	1.18
Wscd2	0.0	0.03	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	11.01	0.31	0.07	0.39	0.45	0.72
Zbtb48	0.0	1.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.2	0.0	0.0	0.15	66.01	1.09	1.66	4.45	10.41	5.96
Zdhhc14	0.0	0.0	0.07	0.17	0.0	0.0	0.0	35.03	0.0	37.92	0.22	1.81	0.0	0.0	0.0	159.82	0.39	0.44	7.26	7.6	4.34
Zfyve1	46.64	0.08	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.49	0.0	73.55	0.22	48.15	9.42	5.22	3.3
Zmym6	130.95	0.05	2.72	0.0	0.0	2.58	0.47	0.0	0.09	61.22	0.0	0.0	0.0	80.34	64.97	145.2	0.25	0.29	14.76	16.78	7.77
c14_tRNA-Ala-GCG	0.0	0.0	0.0	0.0	0.0	7.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.11	0.0	0.0	0.0	0.0	0.0
c7_tRNA-Ala-GCA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.33	0.0	0.0	0.0	62.94	0.0	0.0	0.0	0.0	0.0
