	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_56	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_116	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_35	Rorb_tdTpositive_cell_38	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
9030025P20Rik	5.82	0.0	10.95	8.53	55.63	0.61	1.66	5.55	0.0	1.42	113.32	2.54	2.72	2.16	4.79
9230115E21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.93	0.0	0.0	0.0	0.0
9330151L19Rik	0.0	6.24	0.0	0.0	0.0	56.68	5.19	0.0	0.0	0.37	136.6	88.22	1.17	3.25	5.33
A830080D01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.75	0.0	0.0	65.23	30.25	6.0	9.57	8.32
AI854517	0.0	0.03	0.0	119.97	0.0	0.0	1.79	2.9	3.36	0.0	79.48	0.03	8.69	7.33	6.71
Abcc4	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.58	0.02	0.05	1.36	1.62
Aen	0.0	0.08	0.0	0.0	3.74	0.0	0.0	0.0	0.0	65.48	154.26	3.15	3.64	8.95	8.9
Ap1g2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	151.4	16.3	4.79	1.84	1.05
Apc	111.63	37.08	1.99	63.69	9.65	22.72	11.56	1.39	4.22	5.99	86.33	0.52	13.88	10.82	10.37
Asb12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0
Ascl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.25	0.0	1.46	0.31	0.0
Astn2	0.31	0.17	0.13	0.15	1.17	0.0	0.25	4.69	0.0	0.49	12.04	14.29	1.77	0.59	0.37
Atp5sl	0.0	0.14	0.0	0.4	0.0	0.0	0.07	0.0	0.0	0.0	85.24	41.61	24.43	35.84	29.16
Brpf1	0.0	0.0	6.37	0.0	0.09	0.0	0.04	0.0	22.67	0.0	91.78	0.0	3.21	1.85	1.09
C1qtnf3	0.0	0.0	0.0	0.24	0.17	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0
C2cd2	0.34	0.16	1.97	0.76	1.54	0.27	0.51	0.42	0.96	0.0	16.97	0.24	0.45	0.75	0.38
Cbx8	0.0	0.0	0.0	0.0	0.87	0.0	0.0	0.29	0.0	0.0	177.43	0.0	4.16	3.78	3.82
Ccdc115	0.0	0.24	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	129.23	0.2	18.62	29.24	21.25
Cish	0.0	0.0	0.0	0.0	1.66	0.0	0.0	0.0	0.0	0.0	147.74	0.05	4.72	3.36	11.96
Clcn6	146.2	3.62	0.0	21.59	0.0	5.12	0.0	0.0	53.48	0.0	146.11	103.46	0.41	4.61	1.07
Clybl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.2	218.31	0.0	458.97	242.93	78.78	64.9	76.13
Csrnp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.2	0.0	1.34	0.83	0.72
D130017N08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.96	6.02	0.0	197.68	1.87	8.69	1.84	1.86
D18Ertd653e	54.82	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	117.29	0.0	4.32	2.63	7.12
Dbt	0.0	0.27	46.19	0.51	0.5	0.51	0.0	15.44	0.16	0.0	117.67	14.39	5.32	1.15	5.99
Ddx27	0.0	2.49	0.22	0.51	0.21	0.49	5.16	0.43	42.25	250.81	120.94	43.58	10.95	4.81	12.71
Dhdh	0.84	2.26	0.0	2.47	1.56	0.32	1.76	0.46	1.63	0.0	129.51	0.7	0.44	0.27	0.89
Dpp7	0.0	0.06	23.49	0.23	0.0	0.0	0.0	145.82	196.89	0.0	548.32	0.14	28.9	26.57	39.37
Dpy19l2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.46	0.0	0.0	0.0	0.0
Ebi3	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	11.66	39.11	0.0	3.94	0.91	3.66
Fam116b	0.0	1.46	0.0	42.25	0.26	0.09	0.56	14.76	0.0	0.0	146.83	50.31	4.81	2.66	6.57
Fam189b	0.75	0.0	0.0	0.06	36.89	83.27	0.0	0.0	25.69	2.47	49.84	5.24	1.65	1.01	2.04
Fam196b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.74	0.0	0.05	0.0	0.0
Fam53c	113.94	0.04	127.75	18.83	0.0	66.77	0.0	25.47	0.0	2.73	88.41	0.02	12.59	9.61	6.46
Fanca	0.0	0.0	0.0	50.75	0.0	0.0	0.0	0.0	0.0	0.0	27.81	0.02	0.0	0.0	0.59
Ffar2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0
G630090E17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.2
Gdpd3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.81	0.0	0.0	0.0	0.34
Gm10432	0.15	0.18	0.86	0.42	1.05	0.0	0.52	0.09	0.0	0.2	73.3	0.16	3.13	2.25	0.44
Gm14634	0.0	0.0	0.0	1.95	0.0	0.0	0.0	0.0	0.26	0.0	184.95	0.07	1.46	0.63	0.42
Gm15915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.47	0.0	0.0	0.0	0.0
Gm6377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.61	0.0	0.0	0.0	0.0
Gpr25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.55	0.0	0.0	0.18	0.71
Grap2	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.08	0.11	0.0	0.0
Grwd1	0.0	151.79	0.0	0.1	0.0	74.22	0.09	0.21	0.0	0.0	365.11	0.3	43.4	33.06	19.72
Gstt1	0.0	0.1	0.55	81.67	0.0	178.25	0.0	0.0	44.43	0.0	664.4	0.34	11.34	14.1	23.6
Hnrnpl	30.05	35.88	46.03	36.98	52.0	81.14	32.35	57.05	42.4	54.26	117.09	59.13	53.57	61.25	73.98
Htr5a	18.35	9.7	0.0	0.0	0.0	4.76	0.0	0.07	0.0	0.0	16.16	1.08	0.69	1.28	1.42
Iah1	0.0	173.1	0.0	0.0	0.0	0.0	0.0	0.0	158.6	0.0	413.57	0.25	21.79	26.77	37.98
Katnal2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	106.18	0.0	5.79	2.29	3.79
Kdelr1	0.51	0.0	0.0	1.38	0.0	0.0	3.8	0.0	0.0	0.0	155.55	0.0	1.99	8.95	4.87
Kpna4	0.2	126.91	0.15	128.27	0.11	18.2	10.82	0.94	1.05	0.0	161.75	2.67	20.46	20.85	21.05
Lasp1	0.0	0.15	0.16	1.69	137.02	0.0	0.0	6.37	0.0	22.54	109.37	0.07	3.81	6.39	13.09
Lgi2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.31	0.06	2.81	3.24	1.64
Lmnb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07	0.0	0.0	0.0	0.12
Lpcat3	0.0	0.0	0.0	0.0	5.67	0.0	0.0	0.0	0.0	0.0	155.1	0.05	4.68	8.11	4.66
Madcam1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.6	0.0	0.21	0.0	0.0
Mcm9	0.0	0.0	0.0	0.0	0.0	34.88	0.21	0.0	0.0	0.0	57.77	0.0	0.84	0.0	0.18
Med18	0.0	19.24	0.0	8.06	12.0	0.0	0.3	2.04	4.11	0.0	181.25	0.92	6.46	4.72	11.55
Mettl15	0.0	4.44	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	202.9	0.12	16.25	10.29	16.13
Mettl21a	0.0	20.0	0.0	0.0	0.0	0.0	0.06	105.22	0.0	0.0	135.98	0.08	14.33	23.12	28.93
Mif4gd	0.0	0.0	0.0	0.15	0.0	0.33	0.0	0.0	35.86	0.0	90.62	0.0	6.95	3.06	12.1
Mlf1ip	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.16	0.0	0.0	96.44	0.05	0.86	0.44	0.0
Mslnl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	147.61	62.48	0.43	0.0	0.0	0.0
Mxi1	47.65	240.3	122.86	46.16	0.0	0.0	4.89	21.1	59.4	0.0	128.6	92.13	21.36	23.51	14.52
Myo1e	4.16	6.39	3.31	9.25	6.87	3.77	3.49	3.06	5.87	6.61	56.19	3.93	5.63	2.49	3.71
Nat9	0.0	0.37	0.0	0.0	2.89	0.39	0.0	0.0	0.0	240.39	278.28	1.23	37.61	34.83	26.63
Notch3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.32	0.42	0.15	0.0	0.0
Nppc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.83	0.0	22.27	19.16	14.8
Ntf5	0.0	0.26	0.0	0.0	0.0	0.0	0.25	0.21	0.0	0.49	1.97	0.04	0.15	0.0	0.0
Pafah2	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	141.19	0.04	7.42	4.72	10.19
Pcdhga8	0.0	0.0	0.0	0.0	165.27	0.0	0.0	0.0	0.0	0.0	130.52	0.0	2.78	0.79	3.63
Peli1	0.0	46.28	37.69	0.0	0.0	0.0	0.0	0.0	0.32	0.0	94.89	0.0	12.27	6.49	5.16
Pisd	328.83	390.29	72.07	67.27	0.0	13.5	393.02	4.83	0.34	116.44	542.93	54.24	75.4	86.15	102.34
Pms2	0.0	0.04	0.0	0.0	0.12	0.0	0.05	0.0	0.0	0.0	108.88	99.63	26.85	23.23	18.49
Ppp1r14c	0.0	154.44	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	84.81	0.04	0.12	1.64	1.79
Pqlc2	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	122.86	0.22	3.38	7.44	5.81
Prps2	51.33	0.03	1.2	0.13	0.42	0.0	5.21	0.0	0.0	13.2	130.44	20.23	13.36	17.41	24.66
Psph	0.0	0.07	0.0	0.0	0.0	0.28	0.0	151.47	0.37	0.0	137.62	0.0	10.86	13.21	17.92
Ptpdc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.51	55.62	0.05	3.98	4.59	3.44
Rad51c	0.0	135.05	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	160.53	0.14	1.01	7.56	2.23
Ralgapa2	1.01	1.27	1.63	1.0	5.21	2.33	1.72	2.81	4.23	1.2	40.93	24.87	3.97	4.36	3.83
Rap1a	0.0	0.0	0.0	109.2	0.0	86.04	0.0	0.0	0.0	0.0	179.04	0.0	14.23	14.14	10.7
Rcl1	0.0	0.8	0.0	0.0	0.0	0.0	0.0	72.78	0.0	0.0	139.63	0.0	4.52	8.11	13.63
Rims3	0.0	15.95	0.0	1.6	0.0	0.0	6.76	0.0	0.0	0.0	89.61	5.14	0.95	0.0	0.0
Rnf144b	1.34	3.52	0.0	1.11	0.0	4.52	0.11	0.0	0.0	0.0	41.69	0.56	0.07	0.0	0.0
Rnps1	93.66	525.54	0.0	140.97	38.65	334.71	0.51	12.35	79.72	373.71	753.34	182.13	152.0	134.2	142.59
Rps6ka4	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	68.77	0.04	1.05	1.33	1.67
Rsph4a	0.0	0.0	0.02	0.21	0.0	0.14	0.0	0.0	0.0	0.0	60.15	0.0	0.0	1.5	1.32
S100a11	0.0	0.0	0.0	0.0	13.89	0.0	0.0	0.0	49.38	0.0	91.12	0.0	0.0	3.02	0.0
Setd4	0.0	0.06	0.0	0.0	0.0	0.0	1.17	0.0	0.0	0.0	43.09	11.13	9.42	5.72	15.19
Shc2	0.57	6.41	8.66	1.63	1.08	16.58	1.77	0.55	1.44	1.18	121.93	4.17	4.89	3.83	4.98
Skint7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.06	0.0	0.0	0.0
Slc16a12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0
Slc16a7	0.0	0.17	0.0	1.87	155.91	95.07	0.0	0.0	0.0	0.0	211.57	68.77	8.04	8.85	9.21
Slc22a17	84.85	46.24	0.0	198.8	1.38	177.02	238.72	78.11	49.25	5.39	363.69	245.99	63.34	72.98	73.87
Slc26a6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.63	0.08	0.0	1.39	0.89
Snap25	26182.83	24880.43	25194.29	24000.2	24648.02	22891.51	21459.53	23051.34	22845.02	25542.47	18233.72	22725.47	20846.74	19146.26	18964.09
Snord15b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.88	0.0	0.0	0.0	0.0
Spon1	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.63	0.0	45.73	0.0	22.61	12.41	15.97
Sstr1	60.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.61	67.47	0.0	10.38	6.98	4.91
Stim1	0.0	0.0	0.0	0.31	0.0	0.47	0.0	27.93	10.09	9.94	149.59	0.37	24.7	13.3	18.98
Strada	11.05	0.11	3.98	95.2	11.38	3.87	139.68	0.06	2.18	0.0	184.24	0.38	13.48	18.76	14.43
Stxbp4	0.42	41.31	16.47	0.26	0.19	0.2	0.97	0.7	0.41	0.29	99.49	0.32	4.7	4.45	4.78
Tes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.02	0.0	86.73	0.0	2.94	0.0	0.0
Thumpd2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.14	0.0	2.6	2.44	2.65
Tlcd2	1.48	1.83	0.0	1.88	0.69	0.0	0.23	1.98	2.19	1.68	135.42	0.87	0.27	1.68	1.22
Tmem174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.83	0.05	0.0	0.0	0.0
Tmem184b	0.0	1.41	0.0	0.0	0.0	0.15	2.43	0.14	0.0	0.0	120.65	0.04	0.93	2.48	1.32
Trpc2	0.0	0.0	0.0	0.0	23.22	0.0	0.0	16.46	0.0	0.0	43.77	0.0	1.86	0.91	2.16
Tsc2	2.39	0.05	0.0	0.0	0.0	14.83	7.74	0.28	0.0	6.07	69.84	9.42	11.75	11.66	9.59
Tsix	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.7	15.17	0.14	0.0	0.64
Tyro3	0.0	0.0	132.4	1.64	0.0	23.56	0.04	0.0	74.96	0.0	148.03	0.03	11.59	12.43	16.26
Xirp2	0.0	0.0	0.0	1.72	0.0	0.0	0.0	0.0	0.0	1.72	2.44	0.0	0.0	0.0	0.17
Xpr1	10.04	0.02	0.0	0.0	2.45	0.11	1.71	9.49	2.76	0.0	71.87	0.02	11.37	5.72	12.04
Xrcc2	1.56	0.9	0.8	0.63	0.27	0.85	0.52	1.08	1.15	0.69	153.34	0.31	7.79	5.77	6.19
Ypel1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.83	138.08	0.13	5.87	1.43	1.31
Zc3h4	0.0	0.0	0.0	0.0	0.0	11.83	0.03	0.0	0.0	0.0	53.9	0.0	2.19	2.53	3.01
Zfand6	471.43	0.68	7.04	294.05	101.75	189.35	397.48	63.06	45.43	523.34	781.78	157.71	262.7	174.25	178.64
Zfp58	0.0	124.54	0.0	132.74	0.0	0.0	0.0	0.0	0.0	0.0	191.57	0.05	22.84	17.54	15.21
Zfp647	88.73	0.0	40.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.21	0.0	1.9	2.19	1.1
Zxda	0.64	0.28	0.0	0.87	0.4	0.35	0.14	0.89	0.2	0.0	61.54	0.13	0.46	0.54	1.38
c15_tRNA-Met-i	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.0
mt_AK136262	12.47	0.0	0.94	0.0	0.0	0.0	0.16	0.0	0.0	0.0	20.23	0.23	8.22	0.19	1.6
mt_AK142003	12.47	0.0	0.94	0.0	0.0	0.0	0.16	0.0	0.0	0.0	20.23	0.23	8.22	0.19	1.6
mt_AK166798	12.47	0.0	0.94	0.0	0.0	0.0	0.16	0.0	0.0	0.0	20.23	0.23	8.22	0.19	1.6
mt_AK166978	12.47	0.0	0.94	0.0	0.0	0.0	0.16	0.0	0.0	0.0	20.23	0.23	8.22	0.19	1.6
