	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_15	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_44	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80
Gabarapl1	348.52	243.56	355.43	0.0	0.0	22.16	407.51	242.01	448.75	564.37	376.53	297.75	439.6	571.0	274.22	258.74	403.79	450.09	352.4	345.93	116.22	312.9	123.8	146.8	319.45	227.74	336.19	206.02	490.63	11.06	0.0	0.0	0.0	0.26	4.08	0.0	0.0	0.0	283.95	302.56	436.69	399.21	377.12
Gm12070	17.97	20.36	23.26	7.05	4.72	0.0	21.38	23.44	20.39	28.59	25.6	24.63	20.14	27.05	23.32	24.85	14.46	30.78	21.93	25.62	12.09	13.62	13.85	25.47	16.83	24.51	11.86	15.8	24.31	5.29	1.11	1.55	14.04	0.0	0.0	0.0	7.08	0.0	27.83	21.91	20.89	27.76	32.36
Gm5177	30.2	21.48	40.79	1.62	0.25	0.12	43.45	37.63	30.18	35.35	31.33	31.41	30.05	25.4	37.89	34.71	35.88	35.77	34.43	27.74	26.09	27.15	26.59	31.26	36.77	32.84	34.41	32.93	29.56	17.56	0.21	0.19	0.0	0.5	6.43	0.18	13.27	3.99	36.97	34.57	37.35	33.65	44.41
Higd1a	396.72	567.94	538.62	0.0	11.35	0.0	493.5	345.42	459.23	451.94	492.1	333.17	293.21	390.52	395.03	528.54	308.34	428.03	421.21	252.24	470.24	600.1	115.84	381.45	115.89	276.48	330.83	404.21	717.03	0.0	0.0	1.14	0.36	0.45	0.0	16.98	171.62	0.0	635.26	375.55	257.44	492.5	486.25
Mapk10	182.76	241.3	234.46	0.0	0.0	0.0	265.13	440.69	303.87	243.73	363.2	206.08	272.24	326.77	311.72	195.52	295.76	364.54	459.87	154.4	134.46	320.72	132.93	274.97	285.34	325.39	186.59	404.72	277.57	0.05	0.0	0.1	0.35	0.0	0.0	0.0	0.0	0.0	199.18	208.38	274.18	273.08	247.96
Mmadhc	66.47	64.57	128.39	0.0	0.0	0.0	7.07	211.19	47.69	71.68	63.2	21.38	166.95	0.0	208.94	70.78	118.55	77.71	25.82	21.17	315.19	161.3	0.0	0.0	33.97	16.4	68.51	215.01	9.32	0.0	0.0	0.0	0.0	859.06	0.0	0.0	0.0	0.0	92.42	148.16	3.0	0.0	67.89
Nap1l2	209.04	312.87	253.4	0.0	0.0	0.0	288.93	364.67	176.46	282.61	243.49	0.34	208.6	280.39	156.97	134.82	270.07	179.4	271.61	294.52	116.39	167.68	0.0	158.14	125.39	237.95	116.4	193.18	85.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.34	163.66	201.33	190.7	224.97
Ndrg3	287.26	654.25	731.74	0.17	0.0	0.0	676.78	917.24	261.91	678.46	364.64	324.11	563.45	330.86	684.29	705.34	854.53	701.72	787.15	492.53	414.13	519.57	232.76	434.72	501.25	251.77	649.39	702.58	447.8	0.14	0.0	1.33	46.36	0.18	0.0	0.0	10.01	0.0	461.42	364.64	635.58	552.24	599.02
Npy	138375.8	173305.25	115124.65	0.0	0.0	0.0	132042.44	149629.49	134232.96	130357.56	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	130527.91	173863.58	126989.03	166048.87	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	151963.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145032.54	180453.32	128781.07	137945.15	137580.94
Pfn2	1006.34	429.07	674.48	0.0	0.23	0.0	986.77	359.87	1381.2	1103.96	887.46	698.9	1262.31	714.47	838.98	724.0	850.49	1147.07	1080.85	410.53	907.32	747.4	252.0	366.56	970.23	850.33	873.15	1470.39	595.39	0.0	0.0	1.93	0.0	0.0	0.51	0.34	0.0	0.0	1013.81	543.78	978.22	818.8	1097.61
Pgk1	961.58	810.69	1226.04	0.0	0.26	0.26	828.87	575.81	1099.91	798.13	1066.17	913.4	823.83	866.95	1141.26	512.65	738.57	838.97	968.79	763.48	812.62	661.91	578.47	549.39	614.76	848.67	772.49	463.03	990.51	863.75	0.0	2.56	1.85	2.86	0.0	0.38	759.2	31.9	965.21	621.17	950.89	836.37	1218.45
Pja2	288.69	325.21	366.52	138.21	0.0	298.97	439.49	395.31	462.24	409.0	493.1	382.66	382.84	671.13	399.34	420.4	397.24	300.42	233.68	424.67	375.63	280.31	93.22	377.74	368.79	295.86	291.16	249.62	278.41	0.0	0.0	0.31	106.74	0.31	0.0	0.0	189.05	0.0	383.76	355.14	455.53	517.72	303.26
Polr3k	1.53	128.57	78.36	0.0	2.17	19.08	138.25	29.84	183.85	67.2	154.54	134.0	72.43	112.19	50.02	62.26	163.9	76.33	154.65	42.43	10.36	14.87	0.89	84.27	114.84	103.47	0.75	30.84	35.57	0.18	0.35	1.69	4.3	1.61	0.54	7.23	1.31	0.44	61.06	105.5	81.45	163.68	1.27
Rcan3	59.62	5.09	19.34	0.0	0.0	0.0	0.0	17.15	0.02	0.0	0.68	10.84	20.05	86.66	47.76	0.15	10.06	11.17	11.18	33.57	12.87	2.96	0.0	35.49	17.71	0.0	45.84	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.94	0.04	8.9	22.4	31.37
Rdh14	120.95	0.0	57.03	0.0	0.0	0.0	0.0	0.0	0.08	17.72	21.11	0.0	37.39	73.99	0.0	11.27	3.92	0.0	44.92	39.68	67.92	0.44	0.0	70.91	0.0	7.89	53.6	6.63	50.4	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0	31.99	47.49	22.49	0.0
Rnf14	226.54	389.45	481.78	0.0	0.0	0.0	428.75	532.66	267.44	333.84	526.58	249.64	462.76	519.88	300.27	239.8	483.09	508.67	82.79	233.91	376.6	135.72	112.18	344.3	299.74	273.44	189.37	422.33	205.08	0.0	0.0	0.36	0.23	0.0	0.0	0.0	0.0	0.0	337.66	217.61	522.16	519.41	380.3
Rnf181	167.36	149.55	276.23	0.0	0.0	0.0	77.7	168.5	173.12	213.2	191.71	129.38	0.36	166.87	57.79	47.26	42.77	202.03	182.01	268.13	290.19	1.58	22.07	281.23	92.9	46.39	69.5	207.73	195.99	0.0	56.38	0.0	0.0	0.0	0.0	1004.05	0.0	0.0	2.75	151.94	240.81	136.48	13.91
Sec23b	60.2	3.44	95.99	0.0	0.0	0.0	50.83	138.69	163.83	0.3	123.66	11.17	85.77	107.31	130.46	50.69	144.13	158.23	65.28	126.99	50.12	57.69	0.0	0.76	47.95	57.11	55.07	52.13	78.54	0.0	0.16	0.0	0.0	0.0	0.42	0.0	0.0	0.0	86.75	43.5	92.73	5.31	61.78
Slc7a11	1.93	3.77	6.06	0.05	2.22	0.05	8.62	6.4	4.89	7.96	7.23	5.01	5.39	5.72	4.56	5.42	6.51	5.27	4.28	5.12	5.67	4.92	2.89	7.05	5.51	5.12	4.18	3.25	5.88	1.8	0.0	0.0	0.08	0.1	0.22	0.07	2.22	0.34	5.95	3.97	8.08	5.32	6.15
Snord116	0.0	6.02	14.63	0.0	0.0	0.0	3.94	1.42	3.17	8.88	12.85	2.97	4.45	14.05	2.5	7.02	3.68	0.0	7.38	0.0	6.1	4.03	6.45	11.58	11.77	2.54	2.69	9.96	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	7.66	12.13	14.21
Snord116l1	0.0	6.02	14.63	0.0	0.0	0.0	3.94	1.42	3.17	8.88	12.85	2.97	4.45	14.05	2.5	7.02	3.68	0.0	7.38	0.0	6.1	4.03	6.45	11.58	11.77	2.54	2.69	9.96	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	7.66	12.13	14.21
Snord116l2	0.0	6.02	14.63	0.0	0.0	0.0	3.94	1.42	3.17	8.88	12.85	2.97	4.45	14.05	2.5	7.02	3.68	0.0	7.38	0.0	6.1	4.03	6.45	11.58	11.77	2.54	2.69	9.96	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	7.66	12.13	14.21
Ube2v1	244.71	34.69	250.52	0.0	5.08	0.0	479.65	233.32	397.49	414.67	642.58	192.7	297.75	443.92	328.27	368.37	325.12	141.91	314.44	313.77	285.22	393.94	154.69	298.2	285.06	325.77	408.88	279.53	238.23	0.0	0.0	878.31	0.34	0.24	323.62	0.0	0.0	0.0	238.48	186.19	410.89	329.76	133.78
Uqcrc1	528.11	625.06	696.41	0.0	0.0	197.05	440.85	675.11	436.59	486.12	484.53	638.8	596.01	852.99	463.91	710.58	364.59	725.19	377.13	533.76	451.9	323.27	171.47	185.43	426.39	515.02	364.38	379.42	357.8	0.0	0.0	0.43	266.2	0.0	1.88	0.42	899.5	1.55	698.59	311.99	334.63	627.75	603.83
Vapb	17.41	16.59	0.53	0.0	0.0	0.0	0.31	34.53	0.0	15.15	32.77	0.0	3.93	24.06	6.52	5.88	0.8	4.9	0.0	0.0	6.76	0.0	0.0	19.96	6.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	12.94	3.53	9.27	26.86	4.52
Zcchc12	1646.48	2102.73	2477.7	0.0	0.0	0.0	2916.48	2311.07	2066.1	4396.19	3900.77	2222.32	2355.68	3454.91	2669.74	1972.86	2515.67	2451.84	2256.89	2061.17	2338.22	2611.39	1314.22	3393.42	1903.86	2478.34	1983.81	2357.23	2768.98	0.0	0.0	0.64	0.3	0.21	0.47	0.0	0.0	0.0	1867.04	1748.1	2840.11	2061.79	2861.02
Zfp944	0.25	0.0	75.85	0.0	0.0	2.35	0.13	2.1	0.04	49.39	78.7	2.04	0.0	0.0	0.75	54.43	7.91	0.1	38.91	0.0	0.0	12.73	0.0	0.09	0.0	0.8	47.47	0.1	0.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.33	0.0	0.24	0.33
