	Ctgf_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_31	Ntsr1_tdTnegative_cell_13	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Npc1	1.81	0.0	0.0	33.09	34.16	33.39
Nup210l	0.0	0.0	0.0	0.22	0.23	0.36
Ocln	0.0	0.0	0.0	6.62	6.16	5.9
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Ovol2	0.0	0.0	0.0	9.35	12.26	7.86
Pcdhb16	0.0	0.0	0.0	5.23	4.06	5.55
Pde5a	0.25	0.19	0.0	4.35	4.54	4.79
Pdia2	0.0	0.0	0.0	0.35	0.44	0.3
Pou3f3	0.0	0.13	0.2	62.62	61.78	61.73
Rragd	0.0	0.09	0.0	80.38	75.0	78.27
Ryr2	0.0	18.41	0.0	51.84	45.32	51.46
Sbno2	0.0	0.0	0.0	11.04	12.05	12.55
Scrn1	0.0	140.57	38.61	181.86	175.57	170.49
Slc24a2	0.0	152.89	74.89	186.31	165.34	192.36
Snx11	0.0	0.0	0.0	31.08	31.39	30.35
Sqstm1	0.0	58.53	0.97	475.31	516.54	466.69
Srsf12	0.0	0.13	0.0	17.5	17.84	19.21
Stat2	0.0	0.0	0.0	19.19	17.83	18.17
Supt3h	0.0	1.62	0.0	12.59	11.35	10.91
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tbc1d30	0.0	0.0	0.0	56.82	56.2	53.74
Thap6	1.65	0.48	0.0	2.34	2.42	2.02
Tmem184b	0.0	0.14	0.0	63.39	64.99	62.74
Trim66	0.0	0.0	0.0	15.6	13.69	15.39
Tsc22d2	0.0	7.65	0.0	12.53	11.57	11.14
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Vav1	0.37	0.38	0.16	3.39	2.83	2.77
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Vps13c	0.0	0.03	0.0	25.02	19.73	26.55
Vwa5b2	0.0	0.0	0.0	37.24	38.11	39.6
Wdr85	16.93	17.06	4.9	18.32	18.04	18.05
Wdr92	0.0	0.0	0.0	15.5	15.28	16.17
Zbtb34	0.0	0.64	0.0	10.73	10.32	10.94
Zfp872	0.44	0.0	0.59	0.47	0.29	0.43
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
c11_tRNA-Ala-GCY_	14.66	0.0	0.0	42.96	20.04	41.13
mt_AK131586	6370.03	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
