	Chrna2_tdTpositive_cell_31	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_107	Sst_tdTpositive_cell_18	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gadd45b	0.0	0.0	0.0	0.0	0.0	0.0	4.02	0.0	61.96	0.0	28.12	25.81	20.85
Gar1	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	9.73	0.0	16.55	17.61	15.63
Gm13306	0.0	0.03	0.0	0.77	0.0	1.65	1.9	4.31	51.46	4.89	30.63	28.29	22.96
Gm2506	0.0	0.03	0.0	0.77	0.0	1.65	1.9	4.31	51.46	4.89	30.63	28.29	22.96
Gm6642	0.0	0.6	0.0	0.0	0.0	0.06	0.0	0.68	4.26	0.0	0.0	0.0	0.0
Gng5	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	120.29	0.0	48.08	46.58	60.52
Gpr137c	0.0	0.03	0.0	5.69	0.0	6.72	0.0	6.58	71.26	3.57	22.29	21.41	20.62
Grm7	11.7	37.99	0.69	13.56	0.0	0.0	2.29	0.0	150.84	4.78	38.61	37.39	39.11
Hdac4	42.06	14.01	3.31	25.27	9.23	0.91	14.73	7.95	57.92	28.12	22.25	20.83	23.35
Hibadh	15.58	0.0	175.59	0.0	0.0	0.0	0.0	69.18	97.71	0.0	64.53	62.78	56.55
Hist1h2bq	0.0	0.08	0.04	0.0	0.0	0.07	0.0	0.06	0.09	0.0	0.38	0.28	0.38
Hist1h2br	0.0	0.08	0.04	0.0	0.0	0.07	0.0	0.06	0.09	0.0	0.38	0.28	0.38
Hp1bp3	35.99	60.36	26.23	18.19	18.05	38.76	23.29	98.39	292.45	98.57	192.47	198.49	176.78
Hs2st1	0.0	0.0	26.97	0.0	0.0	0.0	26.23	0.0	84.96	0.0	40.63	39.0	38.87
Hs6st2	0.0	0.0	4.1	0.0	0.0	0.0	0.0	43.32	125.91	0.0	30.42	28.53	28.81
Hsd3b5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0
Ifrd1	41.14	0.04	0.0	0.0	0.0	15.16	3.58	0.27	73.44	0.0	44.21	48.54	43.72
Jak2	1.51	1.16	4.33	1.36	1.11	0.22	0.47	0.15	70.58	8.2	24.04	22.77	23.35
Kdm1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	64.71	0.0	6.79	6.44	6.93
Lifr	36.19	12.17	52.77	17.46	0.59	28.83	1.47	22.17	158.32	12.09	16.67	14.87	16.92
Mc3r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.49	0.64	0.36
Mgrn1	79.81	39.34	0.0	0.0	68.0	36.1	51.32	111.05	318.41	119.94	150.24	149.55	151.89
Mir1186	0.0	1.19	0.0	0.0	12.11	0.0	0.0	1.94	19.83	0.0	14.63	7.85	4.5
Naif1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.62	0.0	2.1	1.91	2.3
Ncoa4	34.49	2.49	1.0	66.22	40.31	79.53	0.0	72.67	300.01	0.0	68.37	68.18	66.04
Ndel1	38.02	91.1	50.39	28.33	4.07	10.37	27.14	0.0	182.74	0.0	92.33	93.85	89.91
Nomo1	12.76	20.94	5.47	5.41	42.17	24.93	10.96	9.77	83.99	39.88	81.15	79.36	78.97
Npy	173305.25	149629.49	173863.58	166048.87	191162.16	153405.37	147732.76	151963.58	275.71	180453.32	214.21	196.57	200.76
Ophn1	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	134.52	0.0	26.69	26.6	27.42
Osbpl11	22.67	0.0	1.47	2.55	0.0	0.0	0.0	0.0	27.45	0.0	14.34	14.11	12.95
Palm	0.0	0.0	0.0	0.0	0.0	1.11	0.12	0.0	78.97	24.3	185.83	203.34	190.96
Patl1	0.0	0.02	11.74	0.0	0.05	0.13	0.0	0.0	88.12	35.4	15.96	15.96	14.17
Pcdh8	9.72	0.02	0.0	0.0	0.0	0.0	0.0	0.0	38.34	0.0	27.66	31.46	29.13
Pdlim7	0.0	34.44	0.57	29.85	0.0	4.48	10.13	46.41	252.58	22.66	74.27	84.59	78.65
Pex6	1.03	0.02	0.39	15.88	0.0	0.0	0.0	0.0	24.43	0.0	43.33	48.21	47.37
Rab11fip3	40.45	1.76	6.13	0.89	1.83	0.51	0.18	0.08	172.47	18.13	71.82	76.68	77.65
Retsat	0.0	5.5	0.0	0.0	0.0	0.0	0.0	0.0	71.85	0.0	11.7	11.44	11.79
Robo2	6.38	18.22	6.91	0.0	0.0	0.07	8.81	0.0	103.32	0.06	43.76	40.41	41.99
Rps6ka3	0.0	2.36	7.08	0.73	0.0	0.0	0.0	0.0	85.72	0.0	35.0	26.79	33.58
Rps6kb2	7.94	9.72	30.91	22.93	0.0	0.0	0.0	0.0	183.49	0.0	34.36	35.63	35.8
Skiv2l	0.0	38.73	20.0	0.08	2.78	1.25	25.71	3.22	90.92	0.97	44.73	49.03	48.76
Slain2	0.0	0.0	5.86	0.0	0.0	0.0	0.0	0.3	67.35	0.05	16.28	15.41	16.28
Slc22a8	0.21	0.0	0.0	0.08	0.07	0.0	0.26	0.0	1.35	0.0	14.22	14.6	13.72
Slc37a3	20.57	22.71	11.05	0.0	0.1	0.68	2.71	9.4	134.88	16.6	37.22	34.54	35.28
Slc39a3	0.0	0.0	1.64	0.0	0.0	0.4	0.0	0.0	80.36	0.0	60.42	61.8	64.04
Slc47a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	3.15	3.07	1.74
Smo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.06	8.27	8.75	8.9
Snord87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.64	0.0	0.0	0.0	0.0
Spg20	34.34	0.02	0.0	0.0	0.0	0.15	11.83	0.0	127.32	0.0	25.24	24.5	24.57
St3gal3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.61	0.0	41.35	41.45	41.69
Tbc1d24	5.81	6.83	6.61	8.05	15.48	3.2	7.9	15.16	158.47	28.4	49.86	48.16	50.67
Tmem45b	1.65	3.03	1.77	1.3	0.2	2.33	1.99	2.63	6.07	0.66	4.36	3.16	4.63
Trip12	26.88	31.95	26.56	27.24	18.39	14.26	20.49	31.25	66.98	13.29	63.25	57.31	62.05
Ube4a	29.59	7.1	28.4	0.0	2.33	0.05	19.68	0.04	52.94	18.73	36.49	35.63	34.35
Ugt8a	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	71.29	0.0	44.13	40.77	48.35
Unc5c	2.68	0.01	0.03	0.07	29.82	7.57	0.15	2.09	80.98	12.99	13.18	13.74	14.31
Wdr31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.07	0.0	8.16	6.26	6.71
Wdsub1	0.0	0.04	0.0	0.0	0.0	5.08	0.0	0.24	67.41	0.15	11.8	12.36	12.9
Zbtb9	0.94	0.41	0.0	0.58	0.23	0.56	0.42	0.43	62.48	0.69	15.69	14.88	16.7
Zdhhc24	0.0	0.11	0.0	0.0	0.0	0.12	0.0	0.0	73.09	0.0	24.93	24.85	26.17
Zfhx2as	0.0	0.0	0.0	5.07	0.0	0.0	0.0	0.0	10.87	0.0	8.1	6.32	10.68
Zfp161	0.0	0.04	11.45	61.32	0.0	1.4	0.0	0.0	181.87	0.0	23.66	23.62	23.41
Zfp661	0.0	0.03	0.0	0.0	0.0	0.0	11.32	33.74	187.52	0.0	7.98	8.61	8.4
c11_tRNA-Ala-GCG	0.0	24.29	0.0	0.0	0.0	0.0	0.0	0.0	42.84	0.0	6.49	2.13	0.0
